         time tilt_low_s... 
 5.440003e-02 -2.337510e-02 
 5.472079e-02 -2.165405e-02 
 5.504154e-02 -1.989071e-02 
 5.536229e-02 -1.808962e-02 
 5.568304e-02 -1.625098e-02 
 5.600380e-02 -1.436795e-02 
 5.632455e-02 -1.243428e-02 
 5.664530e-02 -1.044112e-02 
 5.696606e-02 -8.386938e-03 
 5.728681e-02 -6.268227e-03 
 5.760756e-02 -4.089398e-03 
 5.792831e-02 -1.852965e-03 
 5.824906e-02  4.272876e-04 
 5.856981e-02  2.743800e-03 
 5.889056e-02  5.085499e-03 
 5.921131e-02  7.445859e-03 
 5.953206e-02  9.814100e-03 
 5.985281e-02  1.219264e-02 
 6.017357e-02  1.458333e-02 
 6.049431e-02  1.697549e-02 
 6.081506e-02  1.935900e-02 
 6.113581e-02  2.173431e-02 
 6.145656e-02  2.410436e-02 
 6.177731e-02  2.647122e-02 
 6.209805e-02  2.884668e-02 
 6.241880e-02  3.123383e-02 
 6.273955e-02  3.362802e-02 
 6.306030e-02  3.601865e-02 
 6.338105e-02  3.839723e-02 
 6.370179e-02  4.075916e-02 
 6.402254e-02  4.310333e-02 
 6.434328e-02  4.542775e-02 
 6.466403e-02  4.773473e-02 
 6.498477e-02  5.002457e-02 
 6.530552e-02  5.229646e-02 
 6.562626e-02  5.454815e-02 
 6.594701e-02  5.677363e-02 
 6.626775e-02  5.898579e-02 
 6.658850e-02  6.118738e-02 
 6.690924e-02  6.338135e-02 
 6.722999e-02  6.556803e-02 
 6.755073e-02  6.774740e-02 
 6.787147e-02  6.991811e-02 
 6.819221e-02  7.207642e-02 
 6.851296e-02  7.420612e-02 
 6.883370e-02  7.630181e-02 
 6.915444e-02  7.836448e-02 
 6.947519e-02  8.038776e-02 
 6.979593e-02  8.238638e-02 
 7.011667e-02  8.436617e-02 
 7.043741e-02  8.633433e-02 
 7.075815e-02  8.828973e-02 
 7.107889e-02  9.019700e-02 
 7.139963e-02  9.206180e-02 
 7.172037e-02  9.387371e-02 
 7.204111e-02  9.575696e-02 
 7.236185e-02  9.738549e-02 
 7.268259e-02  9.920025e-02 
 7.300333e-02  1.007537e-01 
 7.332406e-02  1.023664e-01 
 7.364480e-02  1.039063e-01 
 7.396554e-02  1.053847e-01 
 7.428628e-02  1.068085e-01 
 7.460701e-02  1.081748e-01 
 7.492775e-02  1.094967e-01 
 7.524849e-02  1.107713e-01 
 7.556923e-02  1.120062e-01 
 7.588996e-02  1.132089e-01 
 7.621070e-02  1.143871e-01 
 7.653144e-02  1.155410e-01 
 7.685217e-02  1.166723e-01 
 7.717291e-02  1.177726e-01 
 7.749364e-02  1.188388e-01 
 7.781438e-02  1.198618e-01 
 7.813512e-02  1.208423e-01 
 7.845585e-02  1.217836e-01 
 7.877659e-02  1.226709e-01 
 7.909732e-02  1.235193e-01 
 7.941806e-02  1.243090e-01 
 7.973879e-02  1.250512e-01 
 8.005953e-02  1.257521e-01 
 8.038026e-02  1.264069e-01 
 8.070100e-02  1.270411e-01 
 8.102173e-02  1.276554e-01 
 8.134247e-02  1.282353e-01 
 8.166320e-02  1.287728e-01 
 8.198394e-02  1.292708e-01 
 8.230467e-02  1.297321e-01 
 8.262541e-02  1.301692e-01 
 8.294614e-02  1.305800e-01 
 8.326688e-02  1.309636e-01 
 8.358761e-02  1.313150e-01 
 8.390834e-02  1.316273e-01 
 8.422908e-02  1.319092e-01 
 8.454981e-02  1.321336e-01 
 8.487055e-02  1.323385e-01 
 8.519128e-02  1.325096e-01 
 8.551202e-02  1.326651e-01 
 8.583275e-02  1.328039e-01 
 8.615349e-02  1.329335e-01 
 8.647422e-02  1.330422e-01 
 8.679496e-02  1.331257e-01 
 8.711569e-02  1.331826e-01 
 8.743643e-02  1.331971e-01 
 8.775716e-02  1.331735e-01 
 8.807790e-02  1.331126e-01 
 8.839863e-02  1.330193e-01 
 8.871937e-02  1.328985e-01 
 8.904010e-02  1.327402e-01 
 8.936084e-02  1.325396e-01 
 8.968157e-02  1.323012e-01 
 9.000231e-02  1.320439e-01 
 9.032304e-02  1.317565e-01 
 9.064378e-02  1.314504e-01 
 9.096451e-02  1.311244e-01 
 9.128525e-02  1.307755e-01 
 9.160598e-02  1.303814e-01 
 9.192672e-02  1.299311e-01 
 9.224746e-02  1.294258e-01 
 9.256819e-02  1.288664e-01 
 9.288893e-02  1.282519e-01 
 9.320967e-02  1.275843e-01 
 9.353041e-02  1.268635e-01 
 9.385115e-02  1.260650e-01 
 9.417189e-02  1.252132e-01 
 9.449262e-02  1.243119e-01 
 9.481336e-02  1.233568e-01 
 9.513410e-02  1.223585e-01 
 9.545484e-02  1.213323e-01 
 9.577558e-02  1.202685e-01 
 9.609632e-02  1.191835e-01 
 9.641706e-02  1.180605e-01 
 9.673780e-02  1.168983e-01 
 9.705855e-02  1.156847e-01 
 9.737929e-02  1.144202e-01 
 9.770003e-02  1.130978e-01 
 9.802077e-02  1.117121e-01 
 9.834151e-02  1.102773e-01 
 9.866225e-02  1.088015e-01 
 9.898299e-02  1.072880e-01 
 9.930374e-02  1.057388e-01 
 9.962448e-02  1.041487e-01 
 9.994522e-02  1.025258e-01 
 1.002660e-01  1.008663e-01 
 1.005867e-01  9.918270e-02 
 1.009074e-01  9.747359e-02 
 1.012282e-01  9.575048e-02 
 1.015489e-01  9.399160e-02 
 1.018697e-01  9.220426e-02 
 1.021904e-01  9.037053e-02 
 1.025112e-01  8.850262e-02 
 1.028319e-01  8.660838e-02 
 1.031527e-01  8.468924e-02 
 1.034734e-01  8.274337e-02 
 1.037941e-01  8.077908e-02 
 1.041149e-01  7.879898e-02 
 1.044356e-01  7.680766e-02 
 1.047564e-01  7.480823e-02 
 1.050771e-01  7.281510e-02 
 1.053979e-01  7.081613e-02 
 1.057186e-01  6.881169e-02 
 1.060393e-01  6.679926e-02 
 1.063601e-01  6.478484e-02 
 1.066808e-01  6.274808e-02 
 1.070016e-01  6.069084e-02 
 1.073223e-01  5.860383e-02 
 1.076431e-01  5.648959e-02 
 1.079638e-01  5.433845e-02 
 1.082846e-01  5.216135e-02 
 1.086053e-01  4.996374e-02 
 1.089261e-01  4.776320e-02 
 1.092468e-01  4.556562e-02 
 1.095676e-01  4.337252e-02 
 1.098883e-01  4.116875e-02 
 1.102091e-01  3.896196e-02 
 1.105298e-01  3.674231e-02 
 1.108505e-01  3.452077e-02 
 1.111713e-01  3.228817e-02 
 1.114920e-01  3.004776e-02 
 1.118128e-01  2.779191e-02 
 1.121335e-01  2.551499e-02 
 1.124543e-01  2.320688e-02 
 1.127750e-01  2.087442e-02 
 1.130958e-01  1.851545e-02 
 1.134165e-01  1.614216e-02 
 1.137373e-01  1.377526e-02 
 1.140580e-01  1.141029e-02 
 1.143788e-01  9.042396e-03 
 1.146995e-01  6.793403e-03 
 1.150203e-01  4.449714e-03 
 1.153410e-01  2.110154e-03 
 1.156618e-01 -2.259169e-04 
 1.159825e-01 -2.565806e-03 
 1.163033e-01 -4.909501e-03 
 1.166240e-01 -7.365220e-03 
 1.169448e-01 -9.712038e-03 
 1.172655e-01 -1.206283e-02 
 1.175863e-01 -1.442280e-02 
 1.179070e-01 -1.678583e-02 
 1.182278e-01 -1.915215e-02 
 1.185485e-01 -2.149945e-02 
 1.188693e-01 -2.382637e-02 
 1.191900e-01 -2.613114e-02 
 1.195108e-01 -2.841369e-02 
 1.198315e-01 -3.068129e-02 
 1.201523e-01 -3.293821e-02 
 1.204730e-01 -3.518407e-02 
 1.207938e-01 -3.742029e-02 
 1.211145e-01 -3.963024e-02 
 1.214353e-01 -4.180148e-02 
 1.217560e-01 -4.395053e-02 
 1.220768e-01 -4.605459e-02 
 1.223975e-01 -4.811960e-02 
 1.227183e-01 -5.012068e-02 
 1.230390e-01 -5.206631e-02 
 1.233597e-01 -5.391513e-02 
 1.236805e-01 -5.565309e-02 
 1.240012e-01 -5.727670e-02 
 1.243220e-01 -5.878037e-02 
 1.246427e-01 -6.014827e-02 
 1.249635e-01 -6.122008e-02 
 1.252842e-01 -6.229696e-02 
 1.256050e-01 -6.323292e-02 
 1.259257e-01 -6.404659e-02 
 1.262465e-01 -6.474655e-02 
 1.265672e-01 -6.534490e-02 
 1.268880e-01 -6.584644e-02 
 1.272087e-01 -6.625946e-02 
 1.275295e-01 -6.659226e-02 
 1.278502e-01 -6.684751e-02 
 1.281710e-01 -6.704925e-02 
 1.284918e-01 -6.720898e-02 
 1.288125e-01 -6.733209e-02 
 1.291333e-01 -6.742724e-02 
 1.294540e-01 -6.750497e-02 
 1.297748e-01 -6.771789e-02 
 1.300955e-01 -6.777670e-02 
 1.304163e-01 -6.785524e-02 
 1.307370e-01 -6.795385e-02 
