run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,T_im_s,rock_note,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,servo_F_min_kN,servo_F_max_kN,servo_shed_pct,servo_beam_dy_min_mm,servo_beam_dy_max_mm,beta_applied,s_applied
15,HU12,3.0,0.095258,1.0048,0.5963,1.7889,1.76,1.02,0.095258,rock_off:T/T1 1.005 < 1.050,3.1991,0.3262,0.048353,0.095316,1.0054,0.726,two-IM(Sd+PGA),0.389,0,0,0.097093,0.095762,ok_autocorr,0.097093,0.095316,0.095528,0.0,2.9478,exp_psd_svd,,,,,,1.0,0
16,HU12,3.5,0.095316,1.0054,0.5975,2.0914,2.0533,1.02,0.095316,rock_off:T/T1 1.005 < 1.050,3.7376,0.3811,0.05653,0.095386,1.0062,0.727,two-IM(Sd+PGA),0.4539,0,0,0.097246,0.095886,ok_autocorr,0.097246,0.095386,0.095656,0.0,2.9475,exp_psd_svd,,,,,,1.0,0
17,HU12,4.0,0.095386,1.0062,0.599,2.3961,2.3466,1.02,0.095386,rock_off:T/T1 1.006 < 1.050,4.2788,0.4363,0.06477,0.095653,1.009,0.728,two-IM(Sd+PGA),0.5187,0,0,0.098144,0.096562,ok_autocorr,0.098144,0.095653,0.096196,0.0,2.9475,exp_psd_svd,,,,,,1.0,0
18,HU12,4.5,0.095653,1.009,0.6046,2.7209,2.6399,1.03,0.095653,rock_off:T/T1 1.009 < 1.050,4.8385,0.4934,0.073472,0.095926,1.0119,0.731,two-IM(Sd+PGA),0.5836,0,0,0.099787,0.097294,ok_autocorr,0.099787,0.095926,0.096714,0.0002,2.9475,exp_psd_svd,,,,,,1.0,0
19,HU12,5.0,0.095926,1.0119,0.6104,3.052,2.9333,1.04,0.095926,rock_off:T/T1 1.012 < 1.050,5.3854,0.5492,0.082036,0.101784,1.0737,0.734,two-IM(Sd+PGA),0.6484,0,0,0.101784,0.098358,ok_autocorr,0.101784,0.09626,0.09745,2.8614,2.9475,legacy_fallback:channels disagree by 286% | track,,,,,,1.0,0
20,HU12,5.5,0.101784,1.0737,1.6709,6.1041,3.2266,1.89,0.209265,rock_on:peak 3.17mm T_rock 0.2093s | Sd_clamped,6.8266,0.6961,0.110546,0.110423,1.1648,1.287,two-IM(Sd+PGA),0.7132,0,0,0.110423,0.103736,ok_autocorr,0.110423,0.098561,0.024714,2.973,2.9428,legacy_fallback:channels disagree by 297% | track,,,,,,1.0,0
21,HU12,6.0,0.110423,1.1648,2.0674,12.2081,3.5199,3.47,0.26933,rock_on:peak 5.20mm T_rock 0.2693s | Sd_clamped,8.0364,0.8195,0.140687,0.110423,1.1648,2.323,two-IM(Sd+PGA),0.7781,1,0,0.151422,0.111143,HOLD_disagree_36pct,0.110423,0.103021,0.107348,3.0785,2.9463,legacy_fallback:channels disagree by 308% | track,,,,,,1.0,0
22,FR76,1.0,0.110423,1.1648,28.2327,24.4163,1.4325,17.04,0.435128,rock_on:peak 13.14mm T_rock 0.4351s | Sd_clamped,8.5385,0.8707,0.150058,0.12389,1.3069,10.0,two-IM(Sd+PGA),0.352,0,0,0.12389,0.110265,ok_autocorr,0.12389,0.108441,0.10909,3.3057,2.9851,legacy_fallback:channels disagree by 331% | track,,,,,,1.0,0
23,FR76,1.5,0.12389,1.3069,28.4438,42.6657,2.1487,19.86,0.429132,rock_on:peak 12.80mm T_rock 0.4291s,11.7453,1.1977,0.231584,0.130263,1.3741,10.0,two-IM(Sd+PGA),0.5279,0,0,0.130263,0.111694,ok_autocorr,0.130263,0.106571,0.109951,1.3234,2.9803,legacy_fallback:channels disagree by 132% | track,,,,,,1.0,0
24,FR76,1.75,0.130263,1.3741,37.4311,65.5045,2.5069,26.13,0.578012,rock_on:peak 22.28mm T_rock 0.5780s,16.3315,1.6654,0.338583,0.113634,1.1987,10.0,two-IM(Sd+PGA),0.6159,0,0,0.14249,0.118653,ok_autocorr,0.14249,0.113634,0.047007,0.0001,2.9622,exp_psd_svd,,,,,,1.0,0
25,FR76,2.0,0.113634,1.1987,41.8363,83.6726,2.865,29.21,0.712344,rock_on:peak 32.34mm T_rock 0.7123s,27.4987,2.8041,0.497292,0.113634,1.1987,10.0,two-IM(Sd+PGA),0.7039,1,0,0.204011,0.150726,HOLD_disagree_35pct,0.113634,0.13484,0.027729,3.9139,2.8941,legacy_fallback:channels disagree by 391% | track,,,,,,1.0,0
