run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,T_im_s,rock_note,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,servo_F_min_kN,servo_F_max_kN,servo_shed_pct,servo_beam_dy_min_mm,servo_beam_dy_max_mm,beta_applied,s_applied
15,HU12,3.0,0.095258,1.0048,0.5963,1.7889,1.76,1.02,0.095258,rock_off:T/T1 1.005 < 1.050,3.1991,0.3262,0.048353,0.095316,1.0054,0.726,two-IM(Sd+PGA),0.389,0,0,0.097093,0.095762,ok_autocorr,0.097093,0.095316,0.095528,0.0,2.9478,exp_psd_svd,,,,,,1.0,0
16,HU12,3.5,0.095316,1.0054,0.5975,2.0914,2.0533,1.02,0.095316,rock_off:T/T1 1.005 < 1.050,3.7376,0.3811,0.05653,0.095386,1.0062,0.727,two-IM(Sd+PGA),0.4539,0,0,0.097246,0.095886,ok_autocorr,0.097246,0.095386,0.095656,0.0,2.9475,exp_psd_svd,,,,,,1.0,0
17,HU12,4.0,0.095386,1.0062,0.599,2.3961,2.3466,1.02,0.095386,rock_off:T/T1 1.006 < 1.050,4.2788,0.4363,0.06477,0.095653,1.009,0.728,two-IM(Sd+PGA),0.5187,0,0,0.098144,0.096562,ok_autocorr,0.098144,0.095653,0.096196,0.0,2.9475,exp_psd_svd,,,,,,1.0,0
18,HU12,4.5,0.095653,1.009,0.6046,2.7209,2.6399,1.03,0.095653,rock_off:T/T1 1.009 < 1.050,4.8385,0.4934,0.073472,0.095926,1.0119,0.731,two-IM(Sd+PGA),0.5836,0,0,0.099787,0.097294,ok_autocorr,0.099787,0.095926,0.096714,0.0002,2.9475,exp_psd_svd,,,,,,1.0,0
19,HU12,5.0,0.095926,1.0119,0.6104,3.052,2.9333,1.04,0.095926,rock_off:T/T1 1.012 < 1.050,5.3854,0.5492,0.082036,0.101784,1.0737,0.734,two-IM(Sd+PGA),0.6484,0,0,0.101784,0.098358,ok_autocorr,0.101784,0.09626,0.09745,2.8614,2.9475,legacy_fallback:channels disagree by 286% | track,,,,,,1.0,0
20,HU12,5.5,0.101784,1.0737,1.6709,6.1041,3.2266,1.89,0.209265,rock_on:peak 3.17mm T_rock 0.2093s | Sd_clamped,9.9284,1.0124,0.160773,0.131889,1.3912,1.287,two-IM(Sd+PGA),0.7132,0,0,0.131889,0.111847,ok_autocorr,0.131889,0.102535,0.025987,1.2538,2.9583,legacy_fallback:channels disagree by 125% | track,,,,,,1.0,0
21,HU12,6.0,0.131889,1.3912,2.6085,12.2081,3.5199,3.47,0.344567,rock_on:peak 8.40mm T_rock 0.3446s | Sd_clamped,14.1857,1.4465,0.297762,0.107353,1.1324,1.436,two-IM(Sd+PGA),0.7781,0,0,0.19699,0.151627,HOLD_disagree_30pct,0.131889,0.107353,0.114658,0.0014,2.7602,exp_psd_svd,,,,,,1.0,0
22,FR76,1.0,0.107353,1.1324,31.745,24.4163,1.4325,17.04,0.65597,rock_on:peak 27.98mm T_rock 0.6560s | Sd_clamped,45.2212,4.6113,0.772635,0.130525,1.3768,10.0,two-IM(Sd+PGA),0.352,0,1,0.199904,0.165328,JUMP_1.86x_accepted,0.199904,0.130525,0.151477,0.0002,2.8941,exp_psd_svd,,,,,,1.0,0
23,FR76,1.5,0.130525,1.3768,52.1496,48.8326,2.1487,22.73,0.89852,rock_on:peak 47.76mm T_rock 0.8985s | Sd_clamped,60.8649,6.2065,1.264393,0.19697,2.0777,10.0,two-IM(Sd+PGA),0.5279,0,1,0.19697,0.160426,JUMP_1.51x_accepted,0.19697,0.140928,0.153535,1.745,2.9835,legacy_fallback:channels disagree by 175% | track,,,,,,1.0,0
24,FR76,1.75,0.19697,2.0777,59.3283,97.6651,2.5069,38.96,0.985366,rock_on:peak 55.27mm T_rock 0.9854s | Sd_clamped,54.5745,5.5651,1.710842,0.352428,3.7176,10.0,two-IM(Sd+PGA),0.6159,0,1,0.352428,0.320246,JUMP_1.79x_accepted,0.352428,0.276259,0.116433,0.9397,2.9847,legacy_fallback:channels disagree by 94% | track,,,,,,1.0,0
25,FR76,2.0,0.352428,3.7176,60.63,121.2599,2.865,42.33,1.0,rock_on:peak 121.26mm T_rock 1.8118s,21.2307,2.1649,1.190792,0.452004,4.768,2.601,two-IM(Sd+PGA),0.7039,0,0,0.452004,0.462219,ok_autocorr,0.452004,0.301865,0.328121,0.9616,2.382,legacy_fallback:channels disagree by 96% | track,,,,,,1.0,0
