run,folder,T_exp_psd_s,T_exp_welch_s,T_ch_bot_s,T_ch_mid_s,T_ch_top_s,channel_spread,window_s,cycles_in_window,accepted,stop_rule,note,pulse_end_s,T_driver_logged_s
1,Run01_HU12_s0p50,0.098792,0.098791,0.098792,0.098792,0.098792,0.0,2.5262,25.6,1,sustained-quiet RMS,seed,,0.098526
2,Run02_HU12_s0p75,0.098787,0.098787,0.098787,0.098787,0.098787,0.0,2.5262,25.6,1,sustained-quiet RMS,tracked p=100%,,0.098676
3,Run03_EC40_s0p20,0.098802,0.098803,0.098803,0.098803,0.098802,0.0,2.5401,25.7,1,sustained-quiet RMS,tracked p=100%,,0.097576
4,Run04_HU12_s1p00,0.098877,0.098876,0.098877,0.098877,0.098876,0.0,2.5262,25.5,1,sustained-quiet RMS,tracked p=100%,,0.098826
5,Run05_HU12_s1p25,0.099121,0.09912,0.099121,0.099121,0.099121,0.0,2.5262,25.5,1,sustained-quiet RMS,tracked p=100%,,0.098813
6,Run06_EC40_s0p30,0.100215,0.10025,0.026505,0.100215,0.100215,2.7811,2.5405,25.4,0,sustained-quiet RMS,channels disagree by 278% | tracked p=100%,,0.100055
7,Run07_HU12_s1p50,0.100837,0.047707,0.047211,0.100628,0.10146,1.1491,0.2211,2.2,0,sustained-quiet RMS,channels disagree by 115% | tracked p=74%,,0.1011
8,Run08_EC40_s0p40,0.100586,0.100561,0.100581,0.100586,0.100588,0.0001,2.5401,25.3,1,sustained-quiet RMS,tracked p=100%,,0.099953
9,Run09_HU12_s1p75,0.105931,0.027038,0.027371,0.02763,0.107284,2.9197,0.2211,2.1,0,sustained-quiet RMS,channels disagree by 292% | tracked p=37%,,0.102768
10,Run10_HU12_s2p00,0.101322,0.04798,0.047784,0.101324,0.101318,1.1204,1.9499,19.2,0,sustained-quiet RMS,channels disagree by 112% | tracked p=88%,,0.099093
11,Run11_EC40_s0p50,0.100522,0.100481,0.047407,0.100522,0.100522,1.1204,2.5401,25.3,0,sustained-quiet RMS,channels disagree by 112% | tracked p=100%,,0.099083
12,Run12_HU12_s2p25,0.100919,0.100896,0.10092,0.100919,0.100919,0.0,2.5262,25.0,1,sustained-quiet RMS,tracked p=100%,,0.100958
13,Run13_HU12_s2p50,0.103089,0.026026,0.026081,0.103088,0.103089,2.9526,2.5262,24.5,0,sustained-quiet RMS,channels disagree by 295% | tracked p=100%,,0.102621
14,Run14_HU12_s2p75,0.101716,0.026795,0.026564,0.027194,0.101723,2.8293,2.5262,24.8,0,sustained-quiet RMS,channels disagree by 283% | tracked p=55%,,0.103214
15,Run15_HU12_s3p00,0.103575,0.026461,0.025102,0.103573,0.103579,3.1264,2.5262,24.4,0,sustained-quiet RMS,channels disagree by 313% | tracked p=100%,,0.10311
16,Run16_HU12_s3p50,0.102927,0.048193,0.048241,0.102926,0.048241,1.1336,2.5262,24.5,0,sustained-quiet RMS,channels disagree by 113% | tracked p=71%,,0.101502
17,Run17_HU12_s4p00,0.103169,0.025663,0.026149,0.026129,0.04861,0.8604,2.5262,24.5,0,sustained-quiet RMS,channels disagree by 86% | tracked p=40%,,0.102997
18,Run18_HU12_s4p50,0.104663,0.026117,0.026024,0.026037,0.104669,3.0221,2.5258,24.1,0,sustained-quiet RMS,channels disagree by 302% | tracked p=44%,,0.103424
19,Run19_HU12_s5p00,0.104168,0.027276,0.027363,0.02736,0.104179,2.8077,2.5262,24.3,0,sustained-quiet RMS,channels disagree by 281% | tracked p=56%,,0.104854
20,Run20_HU12_s5p50,0.103077,0.026748,0.026683,0.026686,0.103081,2.8632,2.5262,24.5,0,sustained-quiet RMS,channels disagree by 286% | tracked p=61%,,0.103668
21,Run21_HU12_s6p00,0.103283,0.026654,0.026655,0.026655,0.026654,0.0,2.5262,24.5,1,sustained-quiet RMS,tracked p=24%,,0.103261
22,Run22_FR76_s1p00,0.102208,0.102267,0.047603,0.102207,0.102209,1.1471,2.5162,24.6,0,sustained-quiet RMS,channels disagree by 115% | tracked p=100%,,0.101673
23,Run23_FR76_s1p50,0.102279,0.026602,0.026612,0.026613,0.102283,2.8434,2.5158,24.6,0,sustained-quiet RMS,channels disagree by 284% | tracked p=64%,,0.102315
24,Run24_FR76_s1p75,0.102417,0.026631,0.026601,0.026601,0.026601,0.0,2.5162,24.6,1,sustained-quiet RMS,tracked p=12%,,0.10241
25,Run25_FR76_s2p00,0.108278,0.026866,0.02686,0.026859,0.026859,0.0,2.5162,23.2,1,sustained-quiet RMS,tracked p=25%,,0.108287
