run,record,peak_tilt_deg,residual_tilt_deg,peak_topq_avg_rel_mm,peak_rel_disp_mm,peak_ch4_rel_mm,peak_ch19_rel_mm,T_end_over_Tinit,beta_applied,Sd_target_mm,scale,table_file,record_dur_s,T_end,T_end_src
1,HU12,0.0106,-0.0,0.3811,,0.3833,0.3811,1.0709,,,0.5,vel_HU.txt,35.9467,0.098526,summary
2,HU12,0.0174,-0.0001,0.6258,,0.6314,0.6258,1.0726,,,0.75,vel_HU.txt,35.9467,0.098676,summary
3,EC40,0.0196,0.0001,0.7059,,0.7111,0.7059,1.0606,,,0.2,vel_EC.txt,39.5922,0.097576,summary
4,HU12,0.0323,-0.0002,1.1598,,1.1686,1.1598,1.0742,,,1.0,vel_HU.txt,35.9467,0.098826,summary
5,HU12,0.048,0.0,1.7245,,1.735,1.7245,1.0741,,,1.25,vel_HU.txt,35.9467,0.098813,summary
6,EC40,0.0784,-0.0014,2.8206,,2.9005,2.8206,1.0876,,,0.3,vel_EC.txt,39.5922,0.100055,summary
7,HU12,0.0784,-0.001,2.8188,,2.7554,2.8188,1.0989,,,1.5,vel_HU.txt,35.9467,0.1011,summary
8,EC40,0.0613,-0.0015,2.2058,,2.467,2.2057,1.0864,,,0.4,vel_EC.txt,39.5922,0.099953,summary
9,HU12,0.0774,-0.0001,2.7812,,2.9205,2.7812,1.117,,,1.75,vel_HU.txt,35.9467,0.102768,summary
10,HU12,0.0633,-0.0015,2.2756,,2.3422,2.2756,1.0771,,,2.0,vel_HU.txt,35.9467,0.099093,summary
11,EC40,0.0731,-0.0018,2.6294,,2.5089,2.6294,1.077,,,0.5,vel_EC.txt,39.5922,0.099083,summary
12,HU12,0.0653,-0.0017,2.3488,,2.2254,2.3488,1.0974,,,2.25,vel_HU.txt,35.9467,0.100958,summary
13,HU12,0.0635,-0.0007,2.2839,,2.6963,2.2839,1.1154,,,2.5,vel_HU.txt,35.9467,0.102621,log
14,HU12,0.0765,-0.0014,2.7516,,2.5261,2.7516,1.1219,,,2.75,vel_HU.txt,35.9467,0.103214,log
15,HU12,0.0807,-0.0017,2.9007,,3.0011,2.9007,1.1208,,,3.0,vel_HU.txt,35.9467,0.10311,log
16,HU12,0.0988,-0.0022,3.5512,,3.7918,3.5512,1.1033,,,3.5,vel_HU.txt,35.9467,0.101502,log
17,HU12,0.1146,-0.0036,4.1205,,4.1511,4.1204,1.1195,,,4.0,vel_HU.txt,35.9467,0.102997,log
18,HU12,0.112,-0.0026,4.0263,,4.3965,4.0263,1.1242,,,4.5,vel_HU.txt,35.9467,0.103424,log
19,HU12,0.2591,-0.0001,9.3167,,9.1364,9.3167,1.1397,,,5.0,vel_HU.txt,35.9467,0.104854,log
20,HU12,0.3817,0.009,13.7243,,13.7416,13.7243,1.1268,,,5.5,vel_HU.txt,35.9467,0.103668,log
21,HU12,0.4722,0.015,16.9793,,17.0298,16.9793,1.1224,,,6.0,vel_HU.txt,35.9467,0.103261,log
22,FR76,0.1037,0.0208,3.7281,,3.7018,3.7281,1.1051,,,1.0,vel_FR.txt,17.346,0.101673,log
23,FR76,0.1651,0.0381,5.9354,,5.9664,5.9354,1.1121,,,1.5,vel_FR.txt,17.346,0.102315,log
24,FR76,0.231,0.0606,8.3066,,8.2115,8.3066,1.1132,,,1.75,vel_FR.txt,17.346,0.10241,log
25,FR76,1.1594,0.0739,41.6897,,41.7895,41.6897,1.177,,,2.0,vel_FR.txt,17.346,0.108287,log
