         time tiltx_up_s... 
------------- ------------- 
 3.579261e-04 -4.817592e-03 
 7.556217e-04 -5.633018e-03 
 1.153317e-03 -6.444286e-03 
 1.551013e-03 -7.161096e-03 
 1.948709e-03 -7.785921e-03 
 2.346404e-03 -8.332371e-03 
 2.744100e-03 -8.790523e-03 
 3.141795e-03 -9.165098e-03 
 3.539491e-03 -9.457282e-03 
 3.937187e-03 -9.684842e-03 
 4.334882e-03 -9.853307e-03 
 4.732578e-03 -9.955566e-03 
 5.130274e-03 -1.001122e-02 
 5.527969e-03 -1.002067e-02 
 5.925665e-03 -9.995876e-03 
 6.323360e-03 -9.929593e-03 
 6.721056e-03 -9.826380e-03 
 7.118752e-03 -9.706866e-03 
 7.516447e-03 -9.575619e-03 
 7.914143e-03 -9.433443e-03 
 8.311839e-03 -9.281072e-03 
 8.709534e-03 -9.132594e-03 
 9.107230e-03 -8.987311e-03 
 9.504926e-03 -8.843632e-03 
 9.902621e-03 -8.709866e-03 
 1.030032e-02 -8.589322e-03 
 1.069801e-02 -8.501881e-03 
 1.109571e-02 -8.450104e-03 
 1.149340e-02 -8.429305e-03 
 1.189110e-02 -8.446560e-03 
 1.228879e-02 -8.487285e-03 
 1.268649e-02 -8.545880e-03 
 1.308419e-02 -8.610342e-03 
 1.348188e-02 -8.679631e-03 
 1.387958e-02 -8.752329e-03 
 1.427727e-02 -8.837029e-03 
 1.467497e-02 -8.934217e-03 
 1.507266e-02 -9.030680e-03 
 1.547036e-02 -9.132497e-03 
 1.586806e-02 -9.225081e-03 
 1.626575e-02 -9.303807e-03 
 1.666345e-02 -9.367438e-03 
 1.706114e-02 -9.423790e-03 
 1.745884e-02 -9.477119e-03 
 1.785653e-02 -9.545279e-03 
 1.825423e-02 -9.616211e-03 
 1.865192e-02 -9.702145e-03 
 1.904962e-02 -9.798967e-03 
 1.944732e-02 -9.886527e-03 
 1.984501e-02 -9.972430e-03 
 2.024271e-02 -1.006022e-02 
 2.064040e-02 -1.016060e-02 
 2.103810e-02 -1.028896e-02 
 2.143579e-02 -1.042795e-02 
 2.183349e-02 -1.057532e-02 
 2.223119e-02 -1.073156e-02 
 2.262888e-02 -1.088947e-02 
 2.302658e-02 -1.102856e-02 
 2.342427e-02 -1.113509e-02 
 2.382197e-02 -1.119224e-02 
 2.421966e-02 -1.119694e-02 
 2.461736e-02 -1.115140e-02 
 2.501505e-02 -1.103796e-02 
 2.541275e-02 -1.084143e-02 
 2.581045e-02 -1.058887e-02 
 2.620814e-02 -1.028801e-02 
 2.660584e-02 -9.937788e-03 
 2.700353e-02 -9.551320e-03 
 2.740123e-02 -9.125018e-03 
 2.779892e-02 -8.661799e-03 
 2.819662e-02 -8.149265e-03 
 2.859432e-02 -7.579066e-03 
 2.899201e-02 -6.933593e-03 
 2.938971e-02 -6.223807e-03 
 2.978740e-02 -5.451067e-03 
 3.018510e-02 -4.614487e-03 
 3.058279e-02 -3.727666e-03 
 3.098049e-02 -2.782961e-03 
 3.137819e-02 -1.761648e-03 
 3.177588e-02 -6.643292e-04 
 3.217358e-02  5.234702e-04 
 3.257127e-02  1.798054e-03 
 3.296897e-02  3.165285e-03 
 3.336666e-02  4.610921e-03 
 3.376436e-02  6.123715e-03 
 3.416205e-02  7.681571e-03 
 3.455975e-02  9.289943e-03 
 3.495745e-02  1.093515e-02 
 3.535514e-02  1.259857e-02 
 3.575284e-02  1.426529e-02 
 3.615053e-02  1.590551e-02 
 3.654823e-02  1.749614e-02 
 3.694592e-02  1.900807e-02 
 3.734362e-02  2.041949e-02 
 3.774132e-02  2.171059e-02 
 3.813901e-02  2.287189e-02 
 3.853671e-02  2.388782e-02 
 3.893440e-02  2.475230e-02 
 3.933210e-02  2.546346e-02 
 3.972979e-02  2.600615e-02 
 4.012749e-02  2.638121e-02 
 4.052518e-02  2.660237e-02 
 4.092288e-02  2.668739e-02 
 4.132058e-02  2.665886e-02 
 4.171827e-02  2.653441e-02 
 4.211597e-02  2.633904e-02 
 4.251366e-02  2.608222e-02 
 4.291136e-02  2.578158e-02 
 4.330905e-02  2.543716e-02 
 4.370675e-02  2.505742e-02 
 4.410445e-02  2.465365e-02 
 4.450214e-02  2.421340e-02 
 4.489984e-02  2.373491e-02 
 4.529753e-02  2.321972e-02 
 4.569523e-02  2.265424e-02 
 4.609292e-02  2.203682e-02 
 4.649062e-02  2.133170e-02 
 4.688831e-02  2.052669e-02 
 4.728601e-02  1.962245e-02 
 4.768371e-02  1.860426e-02 
 4.808140e-02  1.745681e-02 
 4.847910e-02  1.617319e-02 
 4.887679e-02  1.475684e-02 
 4.927449e-02  1.322128e-02 
 4.967218e-02  1.157801e-02 
 5.006988e-02  9.852373e-03 
 5.046758e-02  8.074094e-03 
 5.086527e-02  6.268801e-03 
 5.126297e-02  4.486385e-03 
 5.166066e-02  2.759912e-03 
 5.205836e-02  1.128858e-03 
 5.245605e-02 -3.826436e-04 
 5.285375e-02 -1.759774e-03 
 5.325144e-02 -2.993934e-03 
 5.364914e-02 -4.081643e-03 
 5.404684e-02 -5.041761e-03 
 5.444453e-02 -5.885356e-03 
 5.484223e-02 -6.636434e-03 
 5.523992e-02 -7.306787e-03 
 5.563762e-02 -7.904614e-03 
 5.603531e-02 -8.446279e-03 
 5.643301e-02 -8.949255e-03 
 5.683071e-02 -9.417837e-03 
 5.722840e-02 -9.866318e-03 
 5.762610e-02 -1.030683e-02 
 5.802379e-02 -1.076026e-02 
 5.842149e-02 -1.123294e-02 
 5.881918e-02 -1.172809e-02 
 5.921688e-02 -1.224231e-02 
 5.961457e-02 -1.272975e-02 
 6.001227e-02 -1.316957e-02 
 6.040997e-02 -1.352920e-02 
 6.080766e-02 -1.378988e-02 
 6.120536e-02 -1.393021e-02 
 6.160305e-02 -1.393758e-02 
 6.200075e-02 -1.380159e-02 
 6.239844e-02 -1.353111e-02 
 6.279614e-02 -1.312197e-02 
 6.319384e-02 -1.258129e-02 
 6.359153e-02 -1.191283e-02 
 6.398923e-02 -1.114128e-02 
 6.438692e-02 -1.030840e-02 
 6.478462e-02 -9.444330e-03 
 6.518231e-02 -8.582907e-03 
 6.558001e-02 -7.758670e-03 
 6.597770e-02 -6.999586e-03 
 6.637540e-02 -6.341600e-03 
 6.677310e-02 -5.809770e-03 
 6.717079e-02 -5.407456e-03 
 6.756849e-02 -5.142001e-03 
 6.796618e-02 -5.019230e-03 
 6.836388e-02 -5.037115e-03 
 6.876157e-02 -5.176883e-03 
 6.915927e-02 -5.412921e-03 
 6.955697e-02 -5.709172e-03 
 6.995466e-02 -6.047706e-03 
 7.035236e-02 -6.405950e-03 
 7.075005e-02 -6.745783e-03 
 7.114775e-02 -7.044436e-03 
 7.154544e-02 -7.292660e-03 
 7.194314e-02 -7.480991e-03 
 7.234083e-02 -7.603991e-03 
 7.273853e-02 -7.642920e-03 
 7.313623e-02 -7.599560e-03 
 7.353392e-02 -7.474492e-03 
 7.393162e-02 -7.263653e-03 
 7.432931e-02 -6.978507e-03 
 7.472701e-02 -6.628759e-03 
 7.512470e-02 -6.227785e-03 
 7.552240e-02 -5.789679e-03 
 7.592010e-02 -5.330447e-03 
 7.631779e-02 -4.863154e-03 
 7.671549e-02 -4.409228e-03 
 7.711318e-02 -3.981660e-03 
 7.751088e-02 -3.575286e-03 
 7.790857e-02 -3.206543e-03 
 7.830627e-02 -2.865595e-03 
 7.870396e-02 -2.547697e-03 
 7.910166e-02 -2.229229e-03 
 7.949936e-02 -1.888553e-03 
 7.989705e-02 -1.515940e-03 
 8.029475e-02 -1.079975e-03 
 8.069244e-02 -5.699995e-04 
 8.109014e-02  1.914964e-05 
 8.148783e-02  6.982922e-04 
 8.188553e-02  1.463967e-03 
 8.228323e-02  2.310413e-03 
 8.268092e-02  3.221964e-03 
 8.307862e-02  4.185707e-03 
 8.347631e-02  5.190629e-03 
 8.387401e-02  6.228162e-03 
 8.427170e-02  7.298210e-03 
 8.466940e-02  8.379679e-03 
 8.506709e-02  9.459870e-03 
 8.546479e-02  1.052337e-02 
 8.586249e-02  1.155497e-02 
 8.626018e-02  1.252131e-02 
 8.665788e-02  1.340724e-02 
 8.705557e-02  1.420546e-02 
 8.745327e-02  1.491603e-02 
 8.785096e-02  1.554708e-02 
 8.824866e-02  1.610237e-02 
 8.864636e-02  1.657450e-02 
 8.904405e-02  1.696951e-02 
 8.944175e-02  1.731120e-02 
 8.983944e-02  1.758689e-02 
 9.023714e-02  1.781004e-02 
 9.063483e-02  1.797334e-02 
 9.103253e-02  1.808290e-02 
 9.143022e-02  1.814816e-02 
 9.182792e-02  1.816030e-02 
 9.222562e-02  1.811204e-02 
 9.262331e-02  1.799173e-02 
 9.302101e-02  1.779910e-02 
 9.341870e-02  1.752998e-02 
 9.381640e-02  1.717664e-02 
 9.421409e-02  1.673575e-02 
 9.461179e-02  1.620382e-02 
 9.500949e-02  1.556736e-02 
 9.540718e-02  1.481816e-02 
 9.580488e-02  1.393535e-02 
 9.620257e-02  1.291124e-02 
 9.660027e-02  1.174491e-02 
 9.699796e-02  1.044286e-02 
 9.739566e-02  9.029349e-03 
 9.779335e-02  7.520306e-03 
 9.819105e-02  5.933259e-03 
 9.858875e-02  4.263977e-03 
 9.898644e-02  2.533315e-03 
 9.938414e-02  7.534043e-04 
 9.978183e-02 -1.062188e-03 
 1.001795e-01 -2.902652e-03 
 1.005772e-01 -4.744220e-03 
 1.009749e-01 -6.556456e-03 
 1.013726e-01 -8.330858e-03 
 1.017703e-01 -1.006164e-02 
 1.021680e-01 -1.175179e-02 
 1.025657e-01 -1.340026e-02 
 1.029634e-01 -1.499506e-02 
 1.033611e-01 -1.654516e-02 
 1.037588e-01 -1.802261e-02 
 1.041565e-01 -1.942171e-02 
 1.045542e-01 -2.073505e-02 
 1.049519e-01 -2.194794e-02 
 1.053496e-01 -2.305570e-02 
 1.057473e-01 -2.407392e-02 
 1.061450e-01 -2.499995e-02 
 1.065427e-01 -2.584495e-02 
 1.069404e-01 -2.661144e-02 
 1.073380e-01 -2.727758e-02 
 1.077357e-01 -2.784069e-02 
 1.081334e-01 -2.828456e-02 
 1.085311e-01 -2.860616e-02 
 1.089288e-01 -2.879891e-02 
 1.093265e-01 -2.886624e-02 
 1.097242e-01 -2.881412e-02 
 1.101219e-01 -2.865504e-02 
 1.105196e-01 -2.840001e-02 
 1.109173e-01 -2.804200e-02 
 1.113150e-01 -2.757876e-02 
 1.117127e-01 -2.701565e-02 
 1.121104e-01 -2.635265e-02 
 1.125081e-01 -2.559560e-02 
 1.129058e-01 -2.472639e-02 
 1.133035e-01 -2.374787e-02 
 1.137012e-01 -2.266493e-02 
 1.140989e-01 -2.150514e-02 
 1.144966e-01 -2.027664e-02 
 1.148943e-01 -1.899224e-02 
 1.152920e-01 -1.767601e-02 
 1.156897e-01 -1.634829e-02 
 1.160874e-01 -1.502869e-02 
 1.164850e-01 -1.372687e-02 
 1.168827e-01 -1.244172e-02 
 1.172804e-01 -1.118339e-02 
 1.176781e-01 -9.962982e-03 
 1.180758e-01 -8.771427e-03 
 1.184735e-01 -7.610778e-03 
