         time tiltx_bot_... 
 5.426264e-02 -2.296832e-03 
 5.458564e-02 -2.296970e-03 
 5.490863e-02 -2.297112e-03 
 5.523162e-02 -2.297260e-03 
 5.555461e-02 -2.297413e-03 
 5.587760e-02 -2.297571e-03 
 5.620059e-02 -2.297732e-03 
 5.652359e-02 -2.297897e-03 
 5.684658e-02 -2.298065e-03 
 5.716957e-02 -2.298236e-03 
 5.749256e-02 -2.298410e-03 
 5.781555e-02 -2.298587e-03 
 5.813855e-02 -2.298766e-03 
 5.846154e-02 -2.298947e-03 
 5.878453e-02 -2.299132e-03 
 5.910752e-02 -2.299319e-03 
 5.943051e-02 -2.299510e-03 
 5.975351e-02 -2.299703e-03 
 6.007650e-02 -2.299899e-03 
 6.039949e-02 -2.300098e-03 
 6.072248e-02 -2.300299e-03 
 6.104547e-02 -2.300503e-03 
 6.136847e-02 -2.300709e-03 
 6.169146e-02 -2.300917e-03 
 6.201445e-02 -2.301126e-03 
 6.233744e-02 -2.301337e-03 
 6.266043e-02 -2.301551e-03 
 6.298343e-02 -2.301766e-03 
 6.330642e-02 -2.301982e-03 
 6.362941e-02 -2.302200e-03 
 6.395240e-02 -2.302421e-03 
 6.427539e-02 -2.302644e-03 
 6.459839e-02 -2.302869e-03 
 6.492138e-02 -2.303095e-03 
 6.524437e-02 -2.303323e-03 
 6.556736e-02 -2.303552e-03 
 6.589035e-02 -2.303784e-03 
 6.621334e-02 -2.304016e-03 
 6.653634e-02 -2.304249e-03 
 6.685933e-02 -2.304483e-03 
 6.718232e-02 -2.304717e-03 
 6.750531e-02 -2.304951e-03 
 6.782830e-02 -2.305187e-03 
 6.815130e-02 -2.305423e-03 
 6.847429e-02 -2.305660e-03 
 6.879728e-02 -2.305898e-03 
 6.912027e-02 -2.306137e-03 
 6.944326e-02 -2.306379e-03 
 6.976626e-02 -2.306622e-03 
 7.008925e-02 -2.306867e-03 
 7.041224e-02 -2.307112e-03 
 7.073523e-02 -2.307360e-03 
 7.105822e-02 -2.307610e-03 
 7.138122e-02 -2.307862e-03 
 7.170421e-02 -2.308116e-03 
 7.202720e-02 -2.308372e-03 
 7.235019e-02 -2.308631e-03 
 7.267318e-02 -2.308893e-03 
 7.299618e-02 -2.309159e-03 
 7.331917e-02 -2.309429e-03 
 7.364216e-02 -2.309702e-03 
 7.396515e-02 -2.309980e-03 
 7.428814e-02 -2.310263e-03 
 7.461113e-02 -2.310551e-03 
 7.493413e-02 -2.310843e-03 
 7.525712e-02 -2.311139e-03 
 7.558011e-02 -2.311441e-03 
 7.590310e-02 -2.311747e-03 
 7.622609e-02 -2.312058e-03 
 7.654909e-02 -2.312375e-03 
 7.687208e-02 -2.312697e-03 
 7.719507e-02 -2.313023e-03 
 7.751806e-02 -2.313355e-03 
 7.784105e-02 -2.313693e-03 
 7.816405e-02 -2.314036e-03 
 7.848704e-02 -2.314385e-03 
 7.881003e-02 -2.314740e-03 
 7.913302e-02 -2.315100e-03 
 7.945601e-02 -2.315466e-03 
 7.977901e-02 -2.315837e-03 
 8.010200e-02 -2.316212e-03 
 8.042499e-02 -2.316592e-03 
 8.074798e-02 -2.316976e-03 
 8.107097e-02 -2.317365e-03 
 8.139397e-02 -2.317759e-03 
 8.171696e-02 -2.318157e-03 
 8.203995e-02 -2.318561e-03 
 8.236294e-02 -2.318968e-03 
 8.268593e-02 -2.319381e-03 
 8.300893e-02 -2.319798e-03 
 8.333192e-02 -2.320220e-03 
 8.365491e-02 -2.320647e-03 
