         time bulge_top_... 
------------- ------------- 
 2.862607e-04  2.190752e-04 
 6.043282e-04  2.235443e-04 
 9.223956e-04  2.284378e-04 
 1.240463e-03  2.332535e-04 
 1.558531e-03  2.379811e-04 
 1.876598e-03  2.428059e-04 
 2.194665e-03  2.498760e-04 
 2.512733e-03  2.636085e-04 
 2.830800e-03  2.878775e-04 
 3.148868e-03  3.679421e-04 
 3.466935e-03  5.618968e-04 
 3.785003e-03  7.987919e-04 
 4.103070e-03  9.744480e-04 
 4.421138e-03  1.043019e-03 
 4.739205e-03  9.973624e-04 
 5.057273e-03  8.672818e-04 
 5.375340e-03  7.062656e-04 
 5.693407e-03  5.845091e-04 
 6.011475e-03  5.095586e-04 
 6.329542e-03  4.144408e-04 
 6.647610e-03  2.753407e-04 
 6.965677e-03  1.012455e-04 
 7.283745e-03 -1.093368e-04 
 7.601812e-03 -3.472296e-04 
 7.919880e-03 -5.722872e-04 
 8.237947e-03 -7.764588e-04 
 8.556014e-03 -9.314182e-04 
 8.874082e-03 -9.577280e-04 
 9.192149e-03 -7.642938e-04 
 9.510217e-03 -3.089419e-04 
 9.828284e-03  3.312570e-04 
 1.014635e-02  1.011194e-03 
 1.046442e-02  1.598220e-03 
 1.078249e-02  2.003941e-03 
 1.110055e-02  2.153213e-03 
 1.141862e-02  2.015037e-03 
 1.173669e-02  1.618586e-03 
 1.205476e-02  1.061481e-03 
 1.237282e-02  5.220392e-04 
 1.269089e-02  1.837113e-04 
 1.300896e-02  8.535565e-05 
 1.332703e-02  2.932669e-04 
 1.364509e-02  7.412726e-04 
 1.396316e-02  1.328431e-03 
 1.428123e-02  1.909497e-03 
 1.459930e-02  2.495006e-03 
 1.491736e-02  3.097672e-03 
 1.523543e-02  3.812958e-03 
 1.555350e-02  4.460372e-03 
 1.587157e-02  4.905542e-03 
 1.618963e-02  5.324734e-03 
 1.650770e-02  5.226723e-03 
 1.682577e-02  5.291720e-03 
 1.714384e-02  5.332511e-03 
 1.746190e-02  5.793873e-03 
 1.777997e-02  6.332112e-03 
 1.809804e-02  7.399389e-03 
 1.841611e-02  8.392310e-03 
 1.873417e-02  9.490842e-03 
 1.905224e-02  1.053067e-02 
 1.937031e-02  1.145764e-02 
 1.968838e-02  1.222350e-02 
 2.000644e-02  1.292744e-02 
 2.032451e-02  1.341336e-02 
 2.064258e-02  1.380403e-02 
 2.096065e-02  1.424301e-02 
 2.127871e-02  1.466854e-02 
