         time tiltx_bot_... 
------------- ------------- 
 2.862607e-04  1.812513e-02 
 6.043282e-04  1.809133e-02 
 9.223956e-04  1.799579e-02 
 1.240463e-03  1.781733e-02 
 1.558531e-03  1.756438e-02 
 1.876598e-03  1.724027e-02 
 2.194665e-03  1.684713e-02 
 2.512733e-03  1.638232e-02 
 2.830800e-03  1.583800e-02 
 3.148868e-03  1.519230e-02 
 3.466935e-03  1.445425e-02 
 3.785003e-03  1.366137e-02 
 4.103070e-03  1.280849e-02 
 4.421138e-03  1.189080e-02 
 4.739205e-03  1.090530e-02 
 5.057273e-03  9.848191e-03 
 5.375340e-03  8.724369e-03 
 5.693407e-03  7.544826e-03 
 6.011475e-03  6.322082e-03 
 6.329542e-03  5.059542e-03 
 6.647610e-03  3.763995e-03 
 6.965677e-03  2.444424e-03 
 7.283745e-03  1.101483e-03 
 7.601812e-03 -2.716138e-04 
 7.919880e-03 -1.671763e-03 
 8.237947e-03 -3.075346e-03 
 8.556014e-03 -4.457107e-03 
 8.874082e-03 -5.832736e-03 
 9.192149e-03 -7.219563e-03 
 9.510217e-03 -8.616202e-03 
 9.828284e-03 -1.003182e-02 
 1.014635e-02 -1.144921e-02 
 1.046442e-02 -1.283421e-02 
 1.078249e-02 -1.419410e-02 
 1.110055e-02 -1.554596e-02 
 1.141862e-02 -1.689047e-02 
 1.173669e-02 -1.819129e-02 
 1.205476e-02 -1.945281e-02 
 1.237282e-02 -2.067832e-02 
 1.269089e-02 -2.186536e-02 
 1.300896e-02 -2.303450e-02 
 1.332703e-02 -2.418424e-02 
 1.364509e-02 -2.531601e-02 
 1.396316e-02 -2.642344e-02 
 1.428123e-02 -2.752090e-02 
 1.459930e-02 -2.861840e-02 
 1.491736e-02 -2.969116e-02 
 1.523543e-02 -3.074181e-02 
 1.555350e-02 -3.175675e-02 
 1.587157e-02 -3.272954e-02 
 1.618963e-02 -3.366798e-02 
 1.650770e-02 -3.457402e-02 
 1.682577e-02 -3.545264e-02 
 1.714384e-02 -3.630168e-02 
 1.746190e-02 -3.712210e-02 
 1.777997e-02 -3.791072e-02 
 1.809804e-02 -3.865710e-02 
 1.841611e-02 -3.935737e-02 
 1.873417e-02 -4.003009e-02 
 1.905224e-02 -4.068689e-02 
 1.937031e-02 -4.132538e-02 
 1.968838e-02 -4.194362e-02 
 2.000644e-02 -4.255633e-02 
 2.032451e-02 -4.316292e-02 
 2.064258e-02 -4.377280e-02 
 2.096065e-02 -4.440423e-02 
 2.127871e-02 -4.504710e-02 
 2.159678e-02 -4.567877e-02 
 2.191485e-02 -4.629345e-02 
 2.223292e-02 -4.691026e-02 
 2.255098e-02 -4.752379e-02 
 2.286905e-02 -4.812315e-02 
 2.318712e-02 -4.872674e-02 
 2.350518e-02 -4.933898e-02 
 2.382325e-02 -4.995864e-02 
 2.414132e-02 -5.061192e-02 
 2.445939e-02 -5.129084e-02 
 2.477745e-02 -5.199861e-02 
 2.509552e-02 -5.274516e-02 
 2.541359e-02 -5.353294e-02 
 2.573166e-02 -5.435583e-02 
 2.604972e-02 -5.517843e-02 
 2.636779e-02 -5.598502e-02 
 2.668586e-02 -5.677545e-02 
 2.700393e-02 -5.753855e-02 
 2.732199e-02 -5.827072e-02 
 2.764006e-02 -5.899501e-02 
 2.795813e-02 -5.968518e-02 
 2.827620e-02 -6.035109e-02 
 2.859426e-02 -6.101845e-02 
 2.891233e-02 -6.169479e-02 
 2.923040e-02 -6.237334e-02 
 2.954847e-02 -6.306179e-02 
 2.986653e-02 -6.375980e-02 
 3.018460e-02 -6.445625e-02 
 3.050267e-02 -6.516451e-02 
 3.082074e-02 -6.585108e-02 
 3.113880e-02 -6.650347e-02 
 3.145687e-02 -6.710951e-02 
 3.177494e-02 -6.768689e-02 
 3.209301e-02 -6.823715e-02 
 3.241107e-02 -6.875243e-02 
 3.272914e-02 -6.924279e-02 
 3.304721e-02 -6.969427e-02 
 3.336528e-02 -7.013088e-02 
 3.368334e-02 -7.053208e-02 
 3.400141e-02 -7.090200e-02 
 3.431948e-02 -7.122353e-02 
 3.463755e-02 -7.150348e-02 
 3.495561e-02 -7.172602e-02 
 3.527368e-02 -7.190544e-02 
 3.559175e-02 -7.204683e-02 
 3.590982e-02 -7.211674e-02 
 3.622788e-02 -7.208880e-02 
 3.654595e-02 -7.200293e-02 
 3.686402e-02 -7.185495e-02 
 3.718209e-02 -7.165290e-02 
 3.750015e-02 -7.138638e-02 
 3.781822e-02 -7.104580e-02 
 3.813629e-02 -7.061543e-02 
 3.845436e-02 -7.013843e-02 
 3.877242e-02 -6.960502e-02 
 3.909049e-02 -6.901948e-02 
