         time Top_Quarte... 
------------- ------------- 
 1.988478e-04 -1.052851e-03 
 5.965434e-04 -1.046336e-03 
 9.942391e-04 -1.039491e-03 
 1.391935e-03 -1.031674e-03 
 1.789630e-03 -1.023257e-03 
 2.187326e-03 -1.013588e-03 
 2.585022e-03 -1.003802e-03 
 2.982717e-03 -9.931148e-04 
 3.380413e-03 -9.806383e-04 
 3.778108e-03 -9.672797e-04 
 4.175804e-03 -9.526479e-04 
 4.573500e-03 -9.373283e-04 
 4.971195e-03 -9.224342e-04 
 5.368891e-03 -9.054107e-04 
 5.766587e-03 -8.851287e-04 
 6.164282e-03 -8.624135e-04 
 6.561978e-03 -8.384629e-04 
 6.959673e-03 -8.141448e-04 
 7.357369e-03 -7.906578e-04 
 7.755065e-03 -7.660707e-04 
 8.152760e-03 -7.410004e-04 
 8.550456e-03 -7.164657e-04 
 8.948152e-03 -6.924142e-04 
 9.345847e-03 -6.695915e-04 
 9.743543e-03 -6.473589e-04 
 1.014124e-02 -6.238699e-04 
 1.053893e-02 -6.000469e-04 
 1.093663e-02 -5.765314e-04 
 1.133433e-02 -5.538361e-04 
 1.173202e-02 -5.330513e-04 
 1.212972e-02 -5.133740e-04 
 1.252741e-02 -4.934089e-04 
 1.292511e-02 -4.729725e-04 
 1.332280e-02 -4.515772e-04 
 1.372050e-02 -4.300419e-04 
 1.411819e-02 -4.077456e-04 
 1.451589e-02 -3.856266e-04 
 1.491359e-02 -3.639253e-04 
 1.531128e-02 -3.427902e-04 
 1.570898e-02 -3.234058e-04 
 1.610667e-02 -3.060719e-04 
 1.650437e-02 -2.897295e-04 
 1.690206e-02 -2.739216e-04 
 1.729976e-02 -2.579944e-04 
 1.769746e-02 -2.424174e-04 
 1.809515e-02 -2.275355e-04 
 1.849285e-02 -2.124657e-04 
 1.889054e-02 -1.974452e-04 
 1.928824e-02 -1.819921e-04 
 1.968593e-02 -1.641689e-04 
 2.008363e-02 -1.436922e-04 
 2.048132e-02 -1.213563e-04 
 2.087902e-02 -9.631142e-05 
 2.127672e-02 -6.910397e-05 
 2.167441e-02 -3.954164e-05 
 2.207211e-02 -6.997805e-06 
 2.246980e-02  2.655394e-05 
 2.286750e-02  6.065121e-05 
 2.326519e-02  9.283663e-05 
 2.366289e-02  1.225228e-04 
 2.406059e-02  1.510610e-04 
 2.445828e-02  1.793151e-04 
 2.485598e-02  2.064453e-04 
 2.525367e-02  2.316230e-04 
 2.565137e-02  2.563777e-04 
 2.604906e-02  2.800452e-04 
 2.644676e-02  3.040582e-04 
 2.684445e-02  3.297058e-04 
 2.724215e-02  3.568001e-04 
 2.763985e-02  3.870426e-04 
 2.803754e-02  4.195212e-04 
 2.843524e-02  4.540112e-04 
 2.883293e-02  4.908259e-04 
 2.923063e-02  5.282845e-04 
 2.962832e-02  5.650381e-04 
 3.002602e-02  6.005824e-04 
 3.042372e-02  6.355011e-04 
 3.082141e-02  6.678015e-04 
 3.121911e-02  6.971066e-04 
 3.161680e-02  7.245670e-04 
 3.201450e-02  7.505591e-04 
 3.241219e-02  7.751167e-04 
 3.280989e-02  8.005278e-04 
 3.320758e-02  8.266374e-04 
 3.360528e-02  8.528547e-04 
 3.400298e-02  8.789576e-04 
 3.440067e-02  9.045948e-04 
 3.479837e-02  9.298266e-04 
 3.519606e-02  9.559497e-04 
 3.559376e-02  9.833582e-04 
 3.599145e-02  1.011749e-03 
 3.638915e-02  1.040622e-03 
 3.678685e-02  1.069898e-03 
 3.718454e-02  1.099573e-03 
 3.758224e-02  1.128738e-03 
 3.797993e-02  1.157870e-03 
 3.837763e-02  1.187941e-03 
 3.877532e-02  1.218170e-03 
 3.917302e-02  1.249021e-03 
 3.957071e-02  1.279924e-03 
 3.996841e-02  1.310539e-03 
 4.036611e-02  1.340235e-03 
 4.076380e-02  1.369849e-03 
 4.116150e-02  1.398967e-03 
 4.155919e-02  1.427980e-03 
 4.195689e-02  1.457823e-03 
 4.235458e-02  1.488919e-03 
 4.275228e-02  1.522245e-03 
 4.314998e-02  1.557518e-03 
 4.354767e-02  1.592726e-03 
 4.394537e-02  1.628433e-03 
 4.434306e-02  1.664432e-03 
 4.474076e-02  1.700617e-03 
 4.513845e-02  1.735324e-03 
 4.553615e-02  1.768828e-03 
 4.593385e-02  1.800945e-03 
 4.633154e-02  1.833378e-03 
 4.672924e-02  1.865612e-03 
 4.712693e-02  1.899359e-03 
 4.752463e-02  1.935174e-03 
 4.792232e-02  1.970586e-03 
 4.832002e-02  2.004215e-03 
 4.871771e-02  2.036472e-03 
 4.911541e-02  2.067925e-03 
 4.951311e-02  2.098034e-03 
 4.991080e-02  2.129116e-03 
 5.030850e-02  2.161116e-03 
 5.070619e-02  2.193369e-03 
 5.110389e-02  2.225190e-03 
 5.150158e-02  2.256491e-03 
 5.189928e-02  2.287876e-03 
 5.229698e-02  2.320017e-03 
 5.269467e-02  2.354250e-03 
 5.309237e-02  2.389939e-03 
 5.349006e-02  2.426457e-03 
 5.388776e-02  2.464312e-03 
 5.428545e-02  2.502145e-03 
 5.468315e-02  2.540203e-03 
 5.508084e-02  2.579833e-03 
 5.547854e-02  2.621292e-03 
 5.587624e-02  2.664457e-03 
 5.627393e-02  2.708494e-03 
 5.667163e-02  2.753477e-03 
 5.706932e-02  2.799478e-03 
 5.746702e-02  2.845171e-03 
 5.786471e-02  2.891101e-03 
 5.826241e-02  2.936673e-03 
 5.866011e-02  2.982072e-03 
 5.905780e-02  3.027109e-03 
 5.945550e-02  3.071686e-03 
 5.985319e-02  3.116561e-03 
 6.025089e-02  3.161321e-03 
 6.064858e-02  3.206538e-03 
 6.104628e-02  3.253441e-03 
 6.144397e-02  3.302358e-03 
 6.184167e-02  3.352054e-03 
 6.223937e-02  3.402046e-03 
 6.263706e-02  3.452544e-03 
 6.303476e-02  3.504273e-03 
 6.343245e-02  3.555283e-03 
 6.383015e-02  3.605577e-03 
 6.422784e-02  3.654904e-03 
 6.462554e-02  3.703039e-03 
 6.502324e-02  3.749837e-03 
 6.542093e-02  3.795708e-03 
 6.581863e-02  3.840163e-03 
 6.621632e-02  3.884026e-03 
 6.661402e-02  3.926193e-03 
 6.701171e-02  3.966944e-03 
 6.740941e-02  4.007461e-03 
 6.780710e-02  4.047714e-03 
 6.820480e-02  4.087175e-03 
 6.860250e-02  4.126138e-03 
 6.900019e-02  4.165259e-03 
 6.939789e-02  4.203320e-03 
 6.979558e-02  4.241600e-03 
 7.019328e-02  4.279428e-03 
 7.059097e-02  4.317553e-03 
 7.098867e-02  4.357214e-03 
 7.138637e-02  4.397704e-03 
 7.178406e-02  4.438950e-03 
 7.218176e-02  4.481229e-03 
 7.257945e-02  4.524063e-03 
 7.297715e-02  4.567946e-03 
 7.337484e-02  4.612016e-03 
 7.377254e-02  4.656588e-03 
 7.417023e-02  4.702362e-03 
 7.456793e-02  4.749479e-03 
 7.496563e-02  4.798802e-03 
 7.536332e-02  4.850199e-03 
 7.576102e-02  4.903250e-03 
 7.615871e-02  4.956009e-03 
 7.655641e-02  5.007509e-03 
 7.695410e-02  5.058031e-03 
 7.735180e-02  5.107330e-03 
 7.774950e-02  5.156859e-03 
 7.814719e-02  5.206558e-03 
 7.854489e-02  5.254760e-03 
 7.894258e-02  5.301191e-03 
 7.934028e-02  5.346944e-03 
 7.973797e-02  5.392126e-03 
 8.013567e-02  5.437804e-03 
 8.053336e-02  5.482327e-03 
 8.093106e-02  5.526727e-03 
 8.132876e-02  5.571744e-03 
 8.172645e-02  5.616813e-03 
 8.212415e-02  5.661837e-03 
 8.252184e-02  5.706559e-03 
 8.291954e-02  5.750948e-03 
 8.331723e-02  5.794724e-03 
 8.371493e-02  5.837434e-03 
 8.411263e-02  5.878990e-03 
 8.451032e-02  5.918187e-03 
 8.490802e-02  5.955777e-03 
 8.530571e-02  5.991852e-03 
 8.570341e-02  6.026921e-03 
 8.610110e-02  6.062186e-03 
 8.649880e-02  6.097406e-03 
 8.689649e-02  6.131685e-03 
 8.729419e-02  6.165529e-03 
 8.769189e-02  6.197503e-03 
 8.808958e-02  6.228279e-03 
 8.848728e-02  6.259068e-03 
 8.888497e-02  6.290317e-03 
 8.928267e-02  6.322566e-03 
 8.968036e-02  6.356343e-03 
 9.007806e-02  6.391597e-03 
 9.047576e-02  6.427385e-03 
 9.087345e-02  6.464114e-03 
 9.127115e-02  6.501527e-03 
 9.166884e-02  6.540203e-03 
 9.206654e-02  6.578017e-03 
 9.246423e-02  6.614463e-03 
 9.286193e-02  6.649064e-03 
 9.325962e-02  6.681771e-03 
 9.365732e-02  6.712488e-03 
 9.405502e-02  6.743362e-03 
 9.445271e-02  6.774490e-03 
 9.485041e-02  6.806243e-03 
 9.524810e-02  6.838976e-03 
 9.564580e-02  6.873443e-03 
 9.604349e-02  6.909166e-03 
 9.644119e-02  6.947031e-03 
 9.683889e-02  6.985827e-03 
 9.723658e-02  7.024039e-03 
 9.763428e-02  7.061781e-03 
 9.803197e-02  7.098669e-03 
 9.842967e-02  7.133969e-03 
