         time Mid_Disp()... 
------------- ------------- 
 2.423077e-04 -5.290131e-03 
 6.461537e-04 -5.270695e-03 
 1.050000e-03 -5.253140e-03 
 1.453846e-03 -5.237691e-03 
 1.857692e-03 -5.224303e-03 
 2.261538e-03 -5.212707e-03 
 2.665384e-03 -5.202477e-03 
 3.069230e-03 -5.193198e-03 
 3.473076e-03 -5.184543e-03 
 3.876922e-03 -5.176117e-03 
 4.280769e-03 -5.167464e-03 
 4.684615e-03 -5.158339e-03 
 5.088461e-03 -5.148495e-03 
 5.492307e-03 -5.137649e-03 
 5.896153e-03 -5.125675e-03 
 6.299999e-03 -5.113218e-03 
 6.703845e-03 -5.100903e-03 
 7.107691e-03 -5.088885e-03 
 7.511537e-03 -5.077227e-03 
 7.915383e-03 -5.066192e-03 
 8.319229e-03 -5.056078e-03 
 8.723075e-03 -5.046899e-03 
 9.126922e-03 -5.038882e-03 
 9.530768e-03 -5.032131e-03 
 9.934614e-03 -5.026760e-03 
 1.033846e-02 -5.022829e-03 
 1.074231e-02 -5.020541e-03 
 1.114615e-02 -5.019687e-03 
 1.155000e-02 -5.020132e-03 
 1.195384e-02 -5.021630e-03 
 1.235769e-02 -5.023836e-03 
 1.276154e-02 -5.026526e-03 
 1.316538e-02 -5.029437e-03 
 1.356923e-02 -5.032169e-03 
 1.397307e-02 -5.034583e-03 
 1.437692e-02 -5.036579e-03 
 1.478077e-02 -5.038062e-03 
 1.518461e-02 -5.039066e-03 
 1.558846e-02 -5.039821e-03 
 1.599231e-02 -5.040512e-03 
 1.639615e-02 -5.041168e-03 
 1.680000e-02 -5.041887e-03 
 1.720384e-02 -5.043028e-03 
 1.760769e-02 -5.045274e-03 
 1.801154e-02 -5.048832e-03 
 1.841538e-02 -5.053556e-03 
 1.881923e-02 -5.059418e-03 
 1.922307e-02 -5.066356e-03 
 1.962692e-02 -5.074417e-03 
 2.003077e-02 -5.083400e-03 
 2.043461e-02 -5.093385e-03 
 2.083846e-02 -5.104735e-03 
 2.124230e-02 -5.117393e-03 
 2.164615e-02 -5.130843e-03 
 2.205000e-02 -5.144726e-03 
 2.245384e-02 -5.158709e-03 
 2.285769e-02 -5.172374e-03 
 2.326153e-02 -5.185333e-03 
 2.366538e-02 -5.197303e-03 
 2.406923e-02 -5.207806e-03 
 2.447307e-02 -5.216488e-03 
 2.487692e-02 -5.223231e-03 
 2.528077e-02 -5.228024e-03 
 2.568461e-02 -5.231061e-03 
 2.608846e-02 -5.232703e-03 
 2.649230e-02 -5.233093e-03 
 2.689615e-02 -5.232349e-03 
 2.730000e-02 -5.230546e-03 
 2.770384e-02 -5.227740e-03 
 2.810769e-02 -5.224260e-03 
 2.851153e-02 -5.220427e-03 
 2.891538e-02 -5.216348e-03 
 2.931923e-02 -5.211836e-03 
 2.972307e-02 -5.206786e-03 
 3.012692e-02 -5.201253e-03 
 3.053076e-02 -5.195290e-03 
 3.093461e-02 -5.188877e-03 
 3.133846e-02 -5.181727e-03 
 3.174230e-02 -5.173879e-03 
 3.214615e-02 -5.165508e-03 
 3.254999e-02 -5.156169e-03 
 3.295384e-02 -5.145308e-03 
 3.335769e-02 -5.132725e-03 
 3.376153e-02 -5.118289e-03 
 3.416538e-02 -5.102173e-03 
 3.456923e-02 -5.084561e-03 
 3.497307e-02 -5.065794e-03 
 3.537692e-02 -5.046144e-03 
 3.578076e-02 -5.026063e-03 
 3.618461e-02 -5.005707e-03 
 3.658846e-02 -4.985432e-03 
 3.699230e-02 -4.965574e-03 
 3.739615e-02 -4.946481e-03 
 3.779999e-02 -4.927916e-03 
 3.820384e-02 -4.909731e-03 
 3.860769e-02 -4.891856e-03 
 3.901153e-02 -4.874496e-03 
 3.941538e-02 -4.857934e-03 
 3.981922e-02 -4.842071e-03 
 4.022307e-02 -4.826746e-03 
 4.062692e-02 -4.811848e-03 
 4.103076e-02 -4.797106e-03 
 4.143461e-02 -4.782185e-03 
 4.183845e-02 -4.766881e-03 
 4.224230e-02 -4.751075e-03 
 4.264615e-02 -4.734662e-03 
 4.304999e-02 -4.717633e-03 
 4.345384e-02 -4.699930e-03 
 4.385769e-02 -4.681220e-03 
 4.426153e-02 -4.661455e-03 
 4.466538e-02 -4.640956e-03 
 4.506922e-02 -4.620293e-03 
 4.547307e-02 -4.599671e-03 
 4.587692e-02 -4.579196e-03 
 4.628076e-02 -4.558934e-03 
 4.668461e-02 -4.538675e-03 
 4.708845e-02 -4.518239e-03 
 4.749230e-02 -4.497744e-03 
 4.789615e-02 -4.477072e-03 
 4.829999e-02 -4.455999e-03 
 4.870384e-02 -4.434398e-03 
 4.910768e-02 -4.411893e-03 
 4.951153e-02 -4.388488e-03 
 4.991538e-02 -4.364193e-03 
 5.031922e-02 -4.339122e-03 
 5.072307e-02 -4.313059e-03 
 5.112691e-02 -4.285764e-03 
 5.153076e-02 -4.256886e-03 
 5.193461e-02 -4.226499e-03 
 5.233845e-02 -4.194540e-03 
 5.274230e-02 -4.160934e-03 
 5.314615e-02 -4.125662e-03 
 5.354999e-02 -4.089021e-03 
 5.395384e-02 -4.051179e-03 
 5.435768e-02 -4.012410e-03 
 5.476153e-02 -3.972836e-03 
 5.516538e-02 -3.932675e-03 
 5.556922e-02 -3.892065e-03 
 5.597307e-02 -3.851537e-03 
 5.637691e-02 -3.811542e-03 
 5.678076e-02 -3.772312e-03 
 5.718461e-02 -3.733832e-03 
 5.758845e-02 -3.696094e-03 
 5.799230e-02 -3.658860e-03 
 5.839614e-02 -3.622019e-03 
 5.879999e-02 -3.585579e-03 
 5.920384e-02 -3.549346e-03 
 5.960768e-02 -3.513012e-03 
 6.001153e-02 -3.476209e-03 
 6.041537e-02 -3.438696e-03 
 6.081922e-02 -3.400288e-03 
 6.122307e-02 -3.360998e-03 
 6.162691e-02 -3.320745e-03 
 6.203076e-02 -3.279509e-03 
 6.243461e-02 -3.237269e-03 
 6.283845e-02 -3.194067e-03 
 6.324230e-02 -3.149970e-03 
 6.364614e-02 -3.105216e-03 
 6.404999e-02 -3.059963e-03 
 6.445384e-02 -3.014784e-03 
 6.485768e-02 -2.970245e-03 
 6.526153e-02 -2.926644e-03 
 6.566537e-02 -2.883776e-03 
 6.606922e-02 -2.841886e-03 
 6.647307e-02 -2.801223e-03 
 6.687691e-02 -2.762040e-03 
 6.728076e-02 -2.724300e-03 
 6.768460e-02 -2.687799e-03 
 6.808845e-02 -2.652014e-03 
 6.849230e-02 -2.616449e-03 
 6.889614e-02 -2.580856e-03 
 6.929999e-02 -2.544931e-03 
 6.970383e-02 -2.508623e-03 
 7.010768e-02 -2.471952e-03 
 7.051153e-02 -2.434868e-03 
 7.091537e-02 -2.397423e-03 
 7.131922e-02 -2.359914e-03 
 7.172307e-02 -2.322687e-03 
 7.212691e-02 -2.286098e-03 
 7.253076e-02 -2.250194e-03 
 7.293460e-02 -2.215139e-03 
 7.333845e-02 -2.181009e-03 
 7.374230e-02 -2.147947e-03 
 7.414614e-02 -2.116132e-03 
 7.454999e-02 -2.085746e-03 
 7.495383e-02 -2.056986e-03 
 7.535768e-02 -2.030057e-03 
 7.576153e-02 -2.005125e-03 
 7.616537e-02 -1.982318e-03 
 7.656922e-02 -1.961586e-03 
 7.697306e-02 -1.942653e-03 
 7.737691e-02 -1.925560e-03 
 7.778076e-02 -1.910171e-03 
 7.818460e-02 -1.896277e-03 
 7.858845e-02 -1.883445e-03 
 7.899229e-02 -1.871311e-03 
 7.939614e-02 -1.859781e-03 
 7.979999e-02 -1.848534e-03 
 8.020383e-02 -1.837451e-03 
 8.060768e-02 -1.826552e-03 
 8.101153e-02 -1.815989e-03 
 8.141537e-02 -1.805876e-03 
 8.181922e-02 -1.796264e-03 
 8.222306e-02 -1.787153e-03 
 8.262691e-02 -1.778916e-03 
 8.303076e-02 -1.771629e-03 
 8.343460e-02 -1.765437e-03 
 8.383845e-02 -1.760643e-03 
 8.424229e-02 -1.757599e-03 
 8.464614e-02 -1.756551e-03 
 8.504999e-02 -1.757798e-03 
 8.545383e-02 -1.761454e-03 
 8.585768e-02 -1.767846e-03 
 8.626152e-02 -1.777373e-03 
 8.666537e-02 -1.790151e-03 
 8.706922e-02 -1.806088e-03 
 8.747306e-02 -1.824550e-03 
 8.787691e-02 -1.845004e-03 
 8.828075e-02 -1.867208e-03 
