         time bulge_top_... 
------------- ------------- 
 2.783869e-04  9.268953e-03 
 6.760826e-04  6.419083e-03 
 1.073778e-03  2.725669e-03 
 1.471474e-03 -4.720424e-04 
 1.869169e-03 -3.041985e-03 
 2.266865e-03 -4.974254e-03 
 2.664561e-03 -6.135797e-03 
 3.062256e-03 -6.541535e-03 
 3.459952e-03 -6.235078e-03 
 3.857648e-03 -5.026966e-03 
 4.255343e-03 -2.994918e-03 
 4.653039e-03 -3.097720e-04 
 5.050734e-03  2.701724e-03 
 5.448430e-03  5.776289e-03 
 5.846126e-03  8.652273e-03 
 6.243821e-03  1.110443e-02 
 6.641517e-03  1.315079e-02 
 7.039213e-03  1.460311e-02 
 7.436908e-03  1.550895e-02 
 7.834604e-03  1.592541e-02 
 8.232299e-03  1.599053e-02 
 8.629995e-03  1.555817e-02 
 9.027691e-03  1.486069e-02 
 9.425386e-03  1.408732e-02 
 9.823082e-03  1.330302e-02 
 1.022078e-02  1.257613e-02 
 1.061847e-02  1.199870e-02 
 1.101617e-02  1.141838e-02 
 1.141386e-02  1.083600e-02 
 1.181156e-02  1.041696e-02 
 1.220926e-02  1.001109e-02 
 1.260695e-02  9.778738e-03 
 1.300465e-02  9.833323e-03 
 1.340234e-02  1.022626e-02 
 1.380004e-02  1.096689e-02 
 1.419773e-02  1.184272e-02 
 1.459543e-02  1.267898e-02 
 1.499313e-02  1.341348e-02 
 1.539082e-02  1.406112e-02 
 1.578852e-02  1.463293e-02 
 1.618621e-02  1.498830e-02 
 1.658391e-02  1.523874e-02 
 1.698160e-02  1.518579e-02 
 1.737930e-02  1.476406e-02 
 1.777699e-02  1.392902e-02 
 1.817469e-02  1.252296e-02 
 1.857239e-02  1.043468e-02 
 1.897008e-02  7.980675e-03 
 1.936778e-02  5.480502e-03 
 1.976547e-02  3.246929e-03 
 2.016317e-02  1.646391e-03 
 2.056086e-02  1.019835e-03 
 2.095856e-02  1.365782e-03 
 2.135626e-02  2.651430e-03 
 2.175395e-02  4.681695e-03 
 2.215165e-02  7.403750e-03 
 2.254934e-02  1.059134e-02 
 2.294704e-02  1.416340e-02 
 2.334473e-02  1.790423e-02 
 2.374243e-02  2.165910e-02 
 2.414012e-02  2.537038e-02 
 2.453782e-02  2.866084e-02 
 2.493552e-02  3.117511e-02 
 2.533321e-02  3.262911e-02 
 2.573091e-02  3.307617e-02 
 2.612860e-02  3.262922e-02 
 2.652630e-02  3.132287e-02 
 2.692399e-02  2.928519e-02 
 2.732169e-02  2.650933e-02 
 2.771939e-02  2.315417e-02 
 2.811708e-02  1.939603e-02 
 2.851478e-02  1.544305e-02 
 2.891247e-02  1.132254e-02 
 2.931017e-02  7.350971e-03 
 2.970786e-02  3.607539e-03 
 3.010556e-02  3.016107e-04 
 3.050325e-02 -2.505613e-03 
 3.090095e-02 -4.979093e-03 
 3.129865e-02 -7.111021e-03 
 3.169634e-02 -8.736824e-03 
 3.209404e-02 -1.003280e-02 
 3.249173e-02 -1.096729e-02 
 3.288943e-02 -1.164184e-02 
 3.328712e-02 -1.197541e-02 
 3.368482e-02 -1.210082e-02 
 3.408252e-02 -1.188721e-02 
 3.448021e-02 -1.150126e-02 
 3.487791e-02 -1.107454e-02 
 3.527560e-02 -1.043178e-02 
 3.567330e-02 -9.502988e-03 
 3.607099e-02 -8.247276e-03 
 3.646869e-02 -6.678801e-03 
 3.686638e-02 -4.676086e-03 
 3.726408e-02 -2.416443e-03 
 3.766178e-02 -1.815558e-05 
 3.805947e-02  2.473057e-03 
 3.845717e-02  4.817856e-03 
 3.885486e-02  6.974938e-03 
 3.925256e-02  8.863760e-03 
 3.965025e-02  1.066531e-02 
 4.004795e-02  1.239890e-02 
 4.044565e-02  1.392807e-02 
 4.084334e-02  1.527047e-02 
 4.124104e-02  1.626308e-02 
 4.163873e-02  1.696271e-02 
 4.203643e-02  1.727212e-02 
 4.243412e-02  1.722133e-02 
 4.283182e-02  1.692278e-02 
 4.322951e-02  1.651368e-02 
 4.362721e-02  1.601902e-02 
 4.402491e-02  1.567381e-02 
 4.442260e-02  1.559504e-02 
 4.482030e-02  1.568705e-02 
 4.521799e-02  1.601839e-02 
 4.561569e-02  1.663530e-02 
 4.601338e-02  1.740008e-02 
 4.641108e-02  1.819072e-02 
 4.680878e-02  1.857699e-02 
 4.720647e-02  1.850301e-02 
 4.760417e-02  1.781674e-02 
 4.800186e-02  1.641326e-02 
 4.839956e-02  1.446934e-02 
 4.879725e-02  1.190426e-02 
 4.919495e-02  8.835298e-03 
 4.959264e-02  5.551177e-03 
 4.999034e-02  2.028551e-03 
 5.038804e-02 -1.355350e-03 
 5.078573e-02 -4.649054e-03 
 5.118343e-02 -7.555465e-03 
 5.158112e-02 -9.762180e-03 
 5.197882e-02 -1.103104e-02 
 5.237651e-02 -1.125610e-02 
 5.277421e-02 -1.059671e-02 
 5.317191e-02 -9.076655e-03 
 5.356960e-02 -6.880908e-03 
 5.396730e-02 -4.046009e-03 
 5.436499e-02 -8.209049e-04 
 5.476269e-02  2.689382e-03 
 5.516038e-02  6.515560e-03 
 5.555808e-02  1.049065e-02 
 5.595577e-02  1.429265e-02 
 5.635347e-02  1.748215e-02 
 5.675117e-02  1.966973e-02 
 5.714886e-02  2.050764e-02 
 5.754656e-02  2.014395e-02 
 5.794425e-02  1.848160e-02 
 5.834195e-02  1.568695e-02 
 5.873964e-02  1.192081e-02 
 5.913734e-02  7.442694e-03 
 5.953504e-02  2.443831e-03 
 5.993273e-02 -2.824354e-03 
 6.033043e-02 -7.946176e-03 
 6.072812e-02 -1.269471e-02 
 6.112582e-02 -1.685077e-02 
 6.152351e-02 -2.007149e-02 
 6.192121e-02 -2.226254e-02 
 6.231890e-02 -2.339046e-02 
 6.271660e-02 -2.355347e-02 
 6.311430e-02 -2.278347e-02 
 6.351199e-02 -2.120522e-02 
 6.390969e-02 -1.902986e-02 
 6.430738e-02 -1.633972e-02 
 6.470508e-02 -1.318721e-02 
 6.510277e-02 -9.422439e-03 
 6.550047e-02 -5.430392e-03 
 6.589817e-02 -1.439720e-03 
 6.629586e-02  2.279104e-03 
 6.669356e-02  5.384154e-03 
 6.709125e-02  7.567938e-03 
 6.748895e-02  8.759425e-03 
 6.788664e-02  8.958436e-03 
 6.828434e-02  8.204536e-03 
 6.868203e-02  6.768354e-03 
 6.907973e-02  4.787579e-03 
 6.947743e-02  2.530999e-03 
 6.987512e-02  1.791236e-04 
 7.027282e-02 -2.031598e-03 
 7.067051e-02 -3.975197e-03 
 7.106821e-02 -5.242386e-03 
 7.146590e-02 -5.497295e-03 
 7.186360e-02 -4.508986e-03 
 7.226130e-02 -2.348178e-03 
 7.265899e-02  6.960836e-04 
 7.305669e-02  4.472608e-03 
 7.345438e-02  8.529346e-03 
 7.385208e-02  1.271094e-02 
 7.424977e-02  1.674685e-02 
 7.464747e-02  2.011939e-02 
 7.504516e-02  2.269378e-02 
 7.544286e-02  2.434858e-02 
 7.584056e-02  2.486596e-02 
 7.623825e-02  2.420728e-02 
 7.663595e-02  2.224720e-02 
 7.703364e-02  1.910629e-02 
 7.743134e-02  1.497499e-02 
 7.782903e-02  1.015782e-02 
 7.822673e-02  4.776666e-03 
 7.862443e-02 -8.609141e-04 
 7.902212e-02 -6.544126e-03 
 7.941982e-02 -1.179305e-02 
 7.981751e-02 -1.625558e-02 
 8.021521e-02 -1.980179e-02 
 8.061290e-02 -2.227451e-02 
 8.101060e-02 -2.352824e-02 
 8.140830e-02 -2.356533e-02 
 8.180599e-02 -2.244364e-02 
 8.220369e-02 -2.028477e-02 
 8.260138e-02 -1.717369e-02 
 8.299908e-02 -1.338795e-02 
 8.339677e-02 -9.126192e-03 
 8.379447e-02 -4.694044e-03 
 8.419216e-02 -3.502932e-04 
 8.458986e-02  3.574431e-03 
 8.498756e-02  6.879233e-03 
 8.538525e-02  9.537592e-03 
 8.578295e-02  1.133616e-02 
 8.618064e-02  1.216203e-02 
 8.657834e-02  1.185863e-02 
 8.697603e-02  1.080491e-02 
