run,record,peak_tilt_deg,residual_tilt_deg,peak_rel_disp_mm,peak_ch4_rel_mm,peak_ch19_rel_mm,T_end_over_Tinit,beta_applied,Sd_target_mm,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,s_applied
1,HU12,0.0102,0.0,0.3672,0.3706,0.3672,1.069,1.0,0.2641,0.5,0.092,1.0,0.5282,0.2641,1.0,0.3914,0.0399,0.005676,0.098347,1.0
2,HU12,0.0187,0.0,0.6735,0.6789,0.6735,1.0704,0.9418,0.4957,0.75,0.098347,1.069,0.6609,0.3962,1.25,0.6549,0.0668,0.009897,0.098475,1.0
3,EC40,0.0122,0.0,0.4391,0.4427,0.4391,1.07,0.9592,0.3233,0.2,0.098475,1.0704,1.6163,0.2497,1.29,0.4222,0.0431,0.006436,0.098443,1.0
4,HU12,0.025,0.0,0.8995,0.9067,0.8995,1.0708,0.9386,0.6629,1.0,0.098443,1.07,0.6629,0.5282,1.25,0.8753,0.0893,0.013226,0.098512,1.0
5,HU12,0.0313,-0.0,1.1237,1.1325,1.1237,1.0717,0.9363,0.8304,1.25,0.098512,1.0708,0.6643,0.6603,1.26,1.0962,0.1118,0.016559,0.0986,1.0
6,EC40,0.0183,-0.0001,0.6589,0.6642,0.6589,1.0706,0.9565,0.4861,0.3,0.0986,1.0717,1.6204,0.3746,1.3,0.6341,0.0647,0.00967,0.098497,1.0
7,HU12,0.0376,-0.0001,1.3507,1.3605,1.3507,1.0733,0.9368,0.996,1.5,0.098497,1.0706,0.664,0.7924,1.26,1.3149,0.1341,0.019864,0.098743,1.0
8,EC40,0.0244,-0.0001,0.8779,0.8849,0.8779,1.0715,0.9534,0.65,0.4,0.098743,1.0733,1.625,0.4994,1.3,0.8467,0.0863,0.012916,0.098581,1.0
9,HU12,0.0436,-0.0001,1.5684,1.5784,1.5684,1.0765,0.934,1.165,1.75,0.098581,1.0715,0.6657,0.9244,1.26,1.5375,0.1568,0.023221,0.099034,1.0
10,HU12,0.0501,-0.0004,1.7995,1.8102,1.7995,1.0814,0.9189,1.3504,2.0,0.099034,1.0765,0.6752,1.0565,1.28,1.7799,0.1815,0.026826,0.099485,1.0
11,EC40,0.0306,-0.0004,1.0991,1.1072,1.0991,1.0743,0.9373,0.8245,0.5,0.099485,1.0814,1.6491,0.6243,1.32,1.0689,0.109,0.016307,0.098835,1.0
12,HU12,0.0556,-0.0013,1.9996,2.009,1.9996,1.0873,0.9255,1.5099,2.25,0.098835,1.0743,0.671,1.1885,1.27,1.9908,0.203,0.030038,0.100034,1.0
13,HU12,0.0593,-0.002,2.1327,2.1447,2.1327,1.0943,0.8855,1.7403,2.5,0.100034,1.0873,0.6961,1.3206,1.32,2.2986,0.2344,0.034329,0.100675,1.0
14,HU12,0.0624,-0.0028,2.2451,2.262,2.2451,1.1013,0.8642,1.9558,2.75,0.100675,1.0943,0.7112,1.4527,1.35,2.5909,0.2642,0.038371,0.101322,1.0
15,HU12,0.0674,-0.0037,2.4243,2.4404,2.4243,1.1074,0.8426,2.1793,3.0,0.101322,1.1013,0.7264,1.5847,1.38,2.8618,0.2918,0.042281,0.101885,1.0
16,HU12,0.0762,-0.0045,2.7413,2.7578,2.7413,1.1245,0.8238,2.5889,3.5,0.101885,1.1074,0.7397,1.8488,1.4,3.3865,0.3453,0.049979,0.103458,1.0
17,HU12,0.0877,-0.0037,3.1534,3.1712,3.1534,1.1314,0.7714,3.1069,4.0,0.103458,1.1245,0.7767,2.113,1.47,4.0507,0.4131,0.058889,0.104092,1.0
18,HU12,0.1024,-0.0021,3.68,3.6998,3.68,1.1493,0.7503,3.5625,4.5,0.104092,1.1314,0.7917,2.3771,1.5,4.6586,0.475,0.067172,0.105731,1.0
19,HU12,0.1204,-0.0012,4.3279,4.3451,4.3279,1.2035,0.6956,4.1454,5.0,0.105731,1.1493,0.8291,2.6412,1.57,5.3973,0.5504,0.078142,0.110718,1.0
20,HU12,0.1556,0.0009,5.5943,5.5945,5.5943,1.2551,0.54,5.1663,5.5,0.110718,1.2035,0.9393,2.9053,1.78,6.6897,0.6822,0.091334,0.115473,1.0
21,HU12,0.2714,-0.0026,9.7592,9.7355,9.7592,1.4274,0.54,6.2848,6.0,0.115473,1.2551,1.0475,3.1694,1.98,7.4953,0.7643,0.110108,0.131318,1.0
22,FR76,0.0857,-0.0007,3.0801,3.084,3.0801,1.2742,0.78,3.1962,1.0,0.131318,1.4274,3.1962,1.299,2.46,2.5766,0.2627,0.048492,0.11723,-1.0
23,FR76,0.0969,0.0006,3.4842,3.4839,3.4842,1.2636,0.78,2.9463,1.5,0.11723,1.2742,1.9642,1.9485,1.51,2.9912,0.305,0.049749,0.116247,-1.0
24,FR76,0.1197,0.0019,4.3039,4.2992,4.3039,1.2706,0.78,3.3471,1.75,0.116247,1.2636,1.9126,2.2732,1.47,3.4771,0.3546,0.057251,0.116897,-1.0
25,FR76,0.1473,0.003,5.2963,5.2878,5.2963,1.2875,0.78,3.8934,2.0,0.116897,1.2706,1.9467,2.598,1.5,3.9838,0.4062,0.065915,0.118448,-1.0
