run,record,scale,channel,n,dur_s,start,peak,vmin,vmax,end_mean,residual
1,HU12,0.5,Bot_Quarter_Disp,174773,3.14,3.900037e-05,0.00025893673,3.465053e-06,0.0002979371,0.000183591310607621,0.00014459094060762098
1,HU12,0.5,Channel_10_LeftJoistBelowSlab2,174773,3.14,0.0001332724,0.0003832742,2.039307e-05,0.0005165466,0.0002768994868291567,0.00014362708682915667
1,HU12,0.5,Channel_11_LeftJoistBelowSlab2,174773,3.14,7.574492e-05,0.00029327278,3.04363e-05,0.0003690177,0.0002192684707746882,0.0001435235507746882
1,HU12,0.5,Channel_12_AccTable,174773,3.14,2.956682e-07,0.005665237331800001,-0.005656313,0.005665533,1.439245795764161e-08,-2.8127574204235837e-07
1,HU12,0.5,Channel_13_AccSlab1,174773,3.14,-4.151239e-10,0.0064742764151239,-0.005408824,0.006474276,8.050220380352782e-07,8.054371619352782e-07
1,HU12,0.5,Channel_14_AccSlab2,174773,3.14,-4.411787e-09,0.021587714411787,-0.01978637,0.02158771,4.264294651496738e-06,4.268706438496738e-06
1,HU12,0.5,Channel_15_AccBot,174773,3.14,1.619717e-09,0.009462165380283001,-0.009447598,0.009462167,1.8153029038848854e-06,1.8136831868848855e-06
1,HU12,0.5,Channel_16_AccMid,174773,3.14,1.227964e-08,0.02528339772036,-0.02423449,0.02528341,4.976602194533702e-06,4.964322554533702e-06
1,HU12,0.5,Channel_17_AccTop,174773,3.14,-1.042607e-09,0.023704901042607,-0.02163867,0.0237049,4.645559020788424e-06,4.646601627788424e-06
1,HU12,0.5,Channel_19_DispTopQRight,174773,3.14,0.0002979375,0.0005152294,7.487916e-05,0.0008131669,0.0004427000023686921,0.00014476250236869205
1,HU12,0.5,Channel_1_DispBot,174773,3.14,5.011209e-05,0.00028057481,-5.865143e-07,0.0003306869,0.0001947215675592173,0.00014460947755921732
1,HU12,0.5,Channel_20_TopBeam,174773,3.14,-2.223982e-05,0.00018596282,-3.292555e-05,0.000163723,0.0001222385521455544,0.00014447837214555438
1,HU12,0.5,Channel_2_DispMid,174773,3.14,0.0002481519,0.0005218391999999999,-3.529512e-06,0.0007699911,0.00039293328430026317,0.00014478138430026318
1,HU12,0.5,Channel_3_DispTopQLeft,174773,3.14,0.0002939272,0.0005170749,6.785893e-05,0.0008110021,0.0004377726019109738,0.00014384540191097382
1,HU12,0.5,Channel_4_DispTopQRight,174773,3.14,0.0002920805,0.0005186189000000001,6.689656e-05,0.0008106994,0.000437764191234695,0.000145683691234695
1,HU12,0.5,Channel_5_DispTable,174773,3.14,5.860905e-07,0.0001649383095,4.576804e-07,0.0001655244,0.00014509491235839341,0.0001445088218583934
1,HU12,0.5,Channel_8_LeftJoistBelowSlab1,174773,3.14,3.832039e-05,0.00025196201,7.267073e-06,0.0002902824,0.00018268836709005608,0.00014436797709005606
1,HU12,0.5,Channel_9_LeftJoistAboveSlab1,174773,3.14,5.335202e-05,0.00028329737999999995,4.451311e-07,0.0003366494,0.0001977166918297288,0.0001443646718297288
1,HU12,0.5,Mid_Disp,174773,3.14,0.0002481519,0.0005218391999999999,-3.529512e-06,0.0007699911,0.00039293328430026317,0.00014478138430026318
1,HU12,0.5,Record_Disp,174773,3.14,-2.223982e-05,0.00018596282,-3.292555e-05,0.000163723,0.0001222385521455544,0.00014447837214555438
1,HU12,0.5,Top_Quarter_A_Disp,174773,3.14,0.0002939272,0.0005170749,6.785893e-05,0.0008110021,0.0004377726019109738,0.00014384540191097382
1,HU12,0.5,Top_Quarter_B_Disp,174773,3.14,0.0002920805,0.0005186189000000001,6.689656e-05,0.0008106994,0.000437764191234695,0.000145683691234695
1,HU12,0.5,cstav_BaseShear,174773,3.14,-2.839909,1.157921,-3.975319,-1.681988,-2.8383150310104135,0.001593968989586525
1,HU12,0.5,joist_s1_shear,174773,3.14,-2.096476e-09,1.1666203999999999e-08,-1.376268e-08,-1.62543e-09,-1.0349392556356563e-08,-8.252916556356562e-09
1,HU12,0.5,joist_s2_shear,174773,3.14,-1.656445e-08,1.907563e-08,-3.564008e-08,-3.500013e-09,-1.955950084563451e-08,-2.99505084563451e-09
1,HU12,0.5,rel_disp_top_mm,174773,3.14,0.2973514,0.36720900000000006,-0.02849319,0.6645604,0.29760509050234585,0.0002536905023458602
1,HU12,0.5,tilt_beam_seg,174773,3.14,-0.0295884,0.03812918,-0.06771758,0.004228863,-0.02961465637372697,-2.625637372696832e-05
1,HU12,0.5,tilt_bot_seg,174773,3.14,0.004299441,0.011527668999999997,-0.007181603,0.01582711,0.0043081786684975405,8.73766849754029e-06
1,HU12,0.5,tilt_full_wall,174773,3.14,0.008270378,0.010213361999999998,-0.000792495,0.01848374,0.008277434720906281,7.056720906280928e-06
1,HU12,0.5,tilt_low_seg,174773,3.14,0.01891141,0.023040559999999998,-0.002631638,0.04195197,0.018927824035930886,1.6414035930886056e-05
1,HU12,0.5,tilt_up_seg,174773,3.14,0.003565629,0.0025800220000000004,0.001584713,0.006145651,0.003564278583361941,-1.3504166380589114e-06
1,HU12,0.5,total_shear,174773,3.14,-2.839909,1.15792,-3.975319,-1.681989,-2.838315061677537,0.0015939383224630177
2,HU12,0.75,Bot_Quarter_Disp,175330,3.15,0.0001834776,0.00047257880000000003,8.686127e-05,0.0006560564,0.00043585737090224706,0.00039685700090224705
2,HU12,0.75,Channel_10_LeftJoistBelowSlab2,175330,3.15,0.000276669,0.0006973637999999999,4.759317e-05,0.0009740328,0.0005292391039466181,0.00039596670394661805
2,HU12,0.75,Channel_11_LeftJoistBelowSlab2,175330,3.15,0.0002191223,0.0005329739,0.0001115717,0.0007520962,0.00047155120609102317,0.00039580628609102317
2,HU12,0.75,Channel_12_AccTable,175330,3.15,3.959681e-09,0.009888818959681,-0.009888815,0.009872088,-2.1075785905898303e-10,-2.9587895785905896e-07
2,HU12,0.75,Channel_13_AccSlab1,175330,3.15,-1.303568e-05,0.01222760568,-0.01068138,0.01221457,-1.279831030352426e-08,-1.238318640352426e-08
2,HU12,0.75,Channel_14_AccSlab2,175330,3.15,-6.907735e-05,0.04000191735,-0.03710388,0.03993284,-7.117819752367438e-08,-6.676641052367438e-08
2,HU12,0.75,Channel_15_AccBot,175330,3.15,-2.948325e-05,0.01817759325,-0.01593366,0.01814811,-3.038436161400645e-08,-3.200407861400645e-08
2,HU12,0.75,Channel_16_AccMid,175330,3.15,-8.083521e-05,0.045318565209999995,-0.04512146,0.04523773,-8.394353926086225e-08,-9.622317926086226e-08
2,HU12,0.75,Channel_17_AccTop,175330,3.15,-7.545859e-05,0.043563068590000004,-0.04065224,0.04348761,-7.84353604402892e-08,-7.739275344028921e-08
2,HU12,0.75,Channel_19_DispTopQRight,175330,3.15,0.0004423535,0.0009401565,1.761003e-05,0.00138251,0.0006951229161058515,0.0003971854161058515
