         time Mid_Disp()... 
------------- ------------- 
 2.583921e-04 -4.950328e-03 
 5.813822e-04 -4.950342e-03 
 9.043723e-04 -4.950358e-03 
 1.227362e-03 -4.950376e-03 
 1.550353e-03 -4.950395e-03 
 1.873343e-03 -4.950417e-03 
 2.196333e-03 -4.950440e-03 
 2.519323e-03 -4.950465e-03 
 2.842313e-03 -4.950492e-03 
 3.165304e-03 -4.950521e-03 
 3.488294e-03 -4.950552e-03 
 3.811285e-03 -4.950586e-03 
 4.134276e-03 -4.950631e-03 
 4.457266e-03 -4.950701e-03 
 4.780257e-03 -4.950774e-03 
 5.103248e-03 -4.950668e-03 
 5.426239e-03 -4.950151e-03 
 5.749229e-03 -4.949374e-03 
 6.072220e-03 -4.948815e-03 
 6.395212e-03 -4.948653e-03 
 6.718204e-03 -4.948798e-03 
 7.041196e-03 -4.949195e-03 
 7.364188e-03 -4.949867e-03 
 7.687180e-03 -4.950896e-03 
 8.010172e-03 -4.952259e-03 
 8.333164e-03 -4.953989e-03 
 8.656156e-03 -4.956031e-03 
 8.979148e-03 -4.958214e-03 
 9.302140e-03 -4.960508e-03 
 9.625133e-03 -4.962899e-03 
 9.948125e-03 -4.965397e-03 
 1.027112e-02 -4.967997e-03 
 1.059411e-02 -4.970745e-03 
 1.091710e-02 -4.973589e-03 
 1.124009e-02 -4.976514e-03 
 1.156309e-02 -4.979536e-03 
 1.188608e-02 -4.982718e-03 
 1.220907e-02 -4.986158e-03 
 1.253206e-02 -4.989848e-03 
 1.285506e-02 -4.993766e-03 
 1.317807e-02 -4.997826e-03 
 1.350107e-02 -5.001896e-03 
 1.382407e-02 -5.005834e-03 
 1.414707e-02 -5.009563e-03 
 1.447007e-02 -5.013111e-03 
 1.479307e-02 -5.016515e-03 
 1.511607e-02 -5.019794e-03 
 1.543907e-02 -5.022876e-03 
 1.576207e-02 -5.025641e-03 
 1.608507e-02 -5.028132e-03 
 1.640807e-02 -5.030560e-03 
 1.673108e-02 -5.033058e-03 
 1.705408e-02 -5.035562e-03 
 1.737708e-02 -5.037880e-03 
 1.770008e-02 -5.039888e-03 
 1.802308e-02 -5.041578e-03 
 1.834608e-02 -5.042951e-03 
 1.866908e-02 -5.043893e-03 
 1.899209e-02 -5.044310e-03 
 1.931509e-02 -5.044239e-03 
 1.963809e-02 -5.043843e-03 
 1.996110e-02 -5.043236e-03 
 2.028410e-02 -5.042521e-03 
 2.060711e-02 -5.041636e-03 
 2.093011e-02 -5.040403e-03 
 2.125311e-02 -5.038721e-03 
 2.157612e-02 -5.036528e-03 
 2.189912e-02 -5.033794e-03 
 2.222213e-02 -5.030581e-03 
 2.254513e-02 -5.026765e-03 
 2.286814e-02 -5.022225e-03 
 2.319114e-02 -5.016828e-03 
 2.351415e-02 -5.010509e-03 
 2.383715e-02 -5.003292e-03 
 2.416016e-02 -4.995158e-03 
 2.448316e-02 -4.986192e-03 
 2.480617e-02 -4.976538e-03 
 2.512917e-02 -4.966247e-03 
 2.545218e-02 -4.955420e-03 
 2.577519e-02 -4.943856e-03 
 2.609819e-02 -4.931452e-03 
 2.642120e-02 -4.918237e-03 
 2.674421e-02 -4.904352e-03 
 2.706721e-02 -4.889721e-03 
 2.739022e-02 -4.874272e-03 
 2.771323e-02 -4.857801e-03 
 2.803623e-02 -4.841070e-03 
 2.835924e-02 -4.821802e-03 
 2.868224e-02 -4.802407e-03 
 2.900525e-02 -4.782169e-03 
 2.932826e-02 -4.760995e-03 
 2.965127e-02 -4.738857e-03 
 2.997428e-02 -4.715972e-03 
 3.029729e-02 -4.692506e-03 
 3.062030e-02 -4.668479e-03 
 3.094330e-02 -4.643670e-03 
 3.126631e-02 -4.617920e-03 
 3.158932e-02 -4.591177e-03 
 3.191233e-02 -4.563409e-03 
 3.223534e-02 -4.534705e-03 
 3.255835e-02 -4.505110e-03 
 3.288136e-02 -4.474610e-03 
 3.320438e-02 -4.443268e-03 
 3.352739e-02 -4.411188e-03 
 3.385040e-02 -4.378377e-03 
 3.417341e-02 -4.344902e-03 
 3.449642e-02 -4.310778e-03 
 3.481943e-02 -4.276150e-03 
 3.514245e-02 -4.241093e-03 
 3.546546e-02 -4.205795e-03 
 3.578847e-02 -4.170153e-03 
 3.611149e-02 -4.133966e-03 
 3.643450e-02 -4.097059e-03 
 3.675751e-02 -4.059526e-03 
 3.708053e-02 -4.021366e-03 
 3.740354e-02 -3.982680e-03 
 3.772655e-02 -3.943371e-03 
 3.804957e-02 -3.903474e-03 
 3.837258e-02 -3.863120e-03 
 3.869560e-02 -3.822571e-03 
 3.901861e-02 -3.781802e-03 
 3.934163e-02 -3.741033e-03 
 3.966464e-02 -3.700061e-03 
 3.998766e-02 -3.658939e-03 
