         time tilt_low_s... 
 6.812526e-02  1.170666e-01 
 6.852296e-02  1.156188e-01 
 6.892065e-02  1.137331e-01 
 6.931835e-02  1.115544e-01 
 6.971604e-02  1.093757e-01 
 7.011374e-02  1.075058e-01 
 7.051143e-02  1.058379e-01 
 7.090913e-02  1.044038e-01 
 7.130683e-02  1.031926e-01 
 7.170452e-02  1.024198e-01 
 7.210222e-02  1.023419e-01 
 7.249991e-02  1.028269e-01 
 7.289761e-02  1.038355e-01 
 7.329530e-02  1.051488e-01 
 7.369300e-02  1.067696e-01 
 7.409070e-02  1.085776e-01 
 7.448839e-02  1.104366e-01 
 7.488609e-02  1.120784e-01 
 7.528378e-02  1.134239e-01 
 7.568148e-02  1.141388e-01 
 7.607917e-02  1.144566e-01 
 7.647687e-02  1.142777e-01 
 7.687456e-02  1.136156e-01 
 7.727226e-02  1.126332e-01 
 7.766996e-02  1.111799e-01 
 7.806765e-02  1.093546e-01 
 7.846535e-02  1.073272e-01 
 7.886304e-02  1.049817e-01 
 7.926074e-02  1.025954e-01 
 7.965843e-02  1.001129e-01 
 8.005613e-02  9.771143e-02 
 8.045383e-02  9.563275e-02 
 8.085152e-02  9.390267e-02 
 8.124922e-02  9.254624e-02 
 8.164691e-02  9.170320e-02 
 8.204461e-02  9.135696e-02 
 8.244230e-02  9.157468e-02 
 8.284000e-02  9.214083e-02 
 8.323769e-02  9.305396e-02 
 8.363539e-02  9.424341e-02 
 8.403309e-02  9.546312e-02 
 8.443078e-02  9.647401e-02 
 8.482848e-02  9.721033e-02 
 8.522617e-02  9.767056e-02 
 8.562387e-02  9.788488e-02 
 8.602156e-02  9.772789e-02 
 8.641926e-02  9.717985e-02 
 8.681696e-02  9.616522e-02 
 8.721465e-02  9.459807e-02 
 8.761235e-02  9.263883e-02 
 8.801004e-02  9.021411e-02 
 8.840774e-02  8.722713e-02 
 8.880543e-02  8.409511e-02 
 8.920313e-02  8.087865e-02 
 8.960082e-02  7.770258e-02 
 8.999852e-02  7.468017e-02 
 9.039622e-02  7.201211e-02 
 9.079391e-02  6.978498e-02 
 9.119161e-02  6.790180e-02 
 9.158930e-02  6.646273e-02 
 9.198700e-02  6.535132e-02 
 9.238469e-02  6.436067e-02 
 9.278239e-02  6.352653e-02 
 9.318009e-02  6.267443e-02 
 9.357778e-02  6.165115e-02 
 9.397548e-02  6.006672e-02 
 9.437317e-02  5.803642e-02 
 9.477087e-02  5.549288e-02 
 9.516856e-02  5.229262e-02 
 9.556626e-02  4.866144e-02 
 9.596396e-02  4.463482e-02 
 9.636165e-02  4.024811e-02 
 9.675935e-02  3.547117e-02 
 9.715704e-02  3.067270e-02 
 9.755474e-02  2.586226e-02 
 9.795243e-02  2.117893e-02 
 9.835013e-02  1.669961e-02 
 9.874782e-02  1.261997e-02 
 9.914552e-02  8.585241e-03 
 9.954322e-02  4.584547e-03 
 9.994091e-02  7.672730e-04 
 1.003386e-01 -2.944480e-03 
 1.007363e-01 -6.351006e-03 
 1.011340e-01 -9.326544e-03 
 1.015317e-01 -1.214350e-02 
 1.019294e-01 -1.459053e-02 
 1.023271e-01 -1.691178e-02 
 1.027248e-01 -1.886675e-02 
 1.031225e-01 -2.087239e-02 
 1.035202e-01 -2.286903e-02 
 1.039179e-01 -2.486653e-02 
 1.043156e-01 -2.697214e-02 
 1.047133e-01 -2.928480e-02 
 1.051110e-01 -3.160575e-02 
 1.055087e-01 -3.382655e-02 
 1.059063e-01 -3.609398e-02 
 1.063040e-01 -3.841233e-02 
 1.067017e-01 -4.080839e-02 
 1.070994e-01 -4.350388e-02 
 1.074971e-01 -4.628326e-02 
 1.078948e-01 -4.897250e-02 
 1.082925e-01 -5.161359e-02 
 1.086902e-01 -5.438720e-02 
 1.090879e-01 -5.729893e-02 
 1.094856e-01 -6.021791e-02 
 1.098833e-01 -6.304715e-02 
 1.102810e-01 -6.557692e-02 
 1.106787e-01 -6.767109e-02 
 1.110764e-01 -6.936623e-02 
 1.114741e-01 -7.075468e-02 
 1.118718e-01 -7.178973e-02 
 1.122695e-01 -7.258183e-02 
 1.126672e-01 -7.301054e-02 
 1.130649e-01 -7.337402e-02 
 1.134626e-01 -7.366101e-02 
 1.138603e-01 -7.411977e-02 
 1.142580e-01 -7.462697e-02 
 1.146556e-01 -7.542493e-02 
 1.150533e-01 -7.639811e-02 
