run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,servo_F_min_kN,servo_F_max_kN,servo_shed_pct,servo_beam_dy_min_mm,servo_beam_dy_max_mm,beta_applied,s_applied
11,EC40,0.5,0.103017,1.0867,1.8372,0.9186,0.6877,1.34,1.6732,0.1706,0.027405,0.104478,1.1021,0.654,two-IM(Sd+PGA),0.1876,0,0,0.104478,0.104924,ok_autocorr,0.104478,0.103769,0.02609,2.9715,3.0344,legacy_fallback:channels disagree by 297% | track,10.1944,10.2624,1.5,-1.5714,-0.8849,1.0,0
12,HU12,2.25,0.104478,1.1021,0.8007,1.8016,1.32,1.36,2.6793,0.2732,0.044451,0.101415,1.0698,0.823,two-IM(Sd+PGA),0.2918,0,0,0.101415,0.102379,ok_autocorr,0.101415,0.101796,0.025956,2.9389,0.4403,legacy_fallback:channels disagree by 294% | track,10.2021,10.252,1.43,-1.4942,-0.9899,1.0,0
13,HU12,2.5,0.101415,1.0698,0.7286,1.8216,1.4666,1.24,2.8423,0.2898,0.045866,0.104714,1.1046,0.791,two-IM(Sd+PGA),0.3242,0,0,0.104714,0.105609,ok_autocorr,0.104714,0.105259,0.028601,2.73,0.2231,legacy_fallback:channels disagree by 273% | track,10.1765,10.2781,1.68,-1.753,-0.726,1.0,0
14,HU12,2.75,0.104714,1.1046,0.8063,2.2173,1.6133,1.37,3.2755,0.334,0.054452,0.104397,1.1012,0.825,two-IM(Sd+PGA),0.3566,0,0,0.104397,0.104824,ok_autocorr,0.104397,0.102338,0.026001,2.9382,1.4679,legacy_fallback:channels disagree by 294% | track,10.1891,10.2653,1.55,-1.6256,-0.8555,1.0,0
15,HU12,3.0,0.104397,1.1012,0.7988,2.3965,1.76,1.36,3.5724,0.3643,0.059227,0.025825,0.2724,0.822,two-IM(Sd+PGA),0.389,0,0,0.106647,0.107048,ok_autocorr,0.106647,0.025825,0.025703,0.0953,0.062,exp_psd_svd,10.1686,10.286,1.75,-1.8318,-0.6465,1.0,0
16,HU12,3.5,0.025825,0.2724,0.0233,0.0815,2.0533,0.04,5.8644,0.598,0.022607,0.101188,1.0674,0.365,two-IM(Sd+PGA),0.4539,0,1,0.101188,0.103918,JUMP_3.92x_accepted,0.101188,0.057804,0.039671,604.8658,0.0227,legacy_fallback:channels disagree by 60487%,10.1876,10.2637,1.57,-1.6404,-0.8713,1.0,0
17,HU12,4.0,0.101188,1.0674,0.7233,2.8932,2.3466,1.23,4.5391,0.4629,0.073087,0.111209,1.1731,0.788,two-IM(Sd+PGA),0.5187,0,0,0.111209,0.109936,ok_autocorr,0.111209,0.048415,0.025758,0.8777,1.9761,legacy_fallback:channels disagree by 88%,10.176,10.2926,1.68,-1.7574,-0.5801,1.0,0
18,HU12,4.5,0.111209,1.1731,0.9506,4.2777,2.6399,1.62,5.9175,0.6034,0.104311,0.111852,1.1799,0.868,two-IM(Sd+PGA),0.5836,0,0,0.111852,0.110503,ok_autocorr,0.111852,0.106508,0.026234,0.887,2.9437,legacy_fallback:channels disagree by 89% | track,10.1528,10.2955,1.91,-1.9924,-0.5509,1.0,0
19,HU12,5.0,0.111852,1.1799,0.9654,4.8268,2.9333,1.65,6.5351,0.6664,0.116109,0.105679,1.1148,0.872,two-IM(Sd+PGA),0.6484,0,0,0.116979,0.11166,ok_autocorr,0.116979,0.105679,0.025761,0.0001,2.9433,exp_psd_svd,10.1577,10.2843,1.86,-1.9422,-0.6637,1.0,0
20,HU12,5.5,0.105679,1.1148,0.8279,4.5537,3.2266,1.41,7.0813,0.7221,0.118988,0.048557,0.5122,0.833,two-IM(Sd+PGA),0.7132,0,0,0.119391,0.112344,ok_autocorr,0.119391,0.048557,0.048331,0.0005,2.9537,exp_psd_svd,10.1731,10.2754,1.71,-1.7871,-0.7533,1.0,0
21,HU12,6.0,0.048557,0.5122,0.0903,0.5421,3.5199,0.15,9.1755,0.9356,0.068209,0.105566,1.1136,0.403,two-IM(Sd+PGA),0.7781,0,1,0.105566,0.106572,JUMP_2.17x_accepted,0.105566,0.104553,0.024971,3.2091,2.9756,legacy_fallback:channels disagree by 321% | track,10.188,10.2515,1.56,-1.6361,-0.9952,1.0,0
22,FR76,1.0,0.105566,1.1136,1.7364,1.7364,1.4325,1.21,3.1182,0.318,0.05221,0.109527,1.1553,0.625,two-IM(Sd+PGA),0.352,0,0,0.109527,0.106464,ok_autocorr,0.109527,0.104365,0.026495,3.0151,2.9437,legacy_fallback:channels disagree by 302% | track,10.1985,10.241,1.46,-1.5298,-1.1013,1.0,0
23,FR76,1.5,0.109527,1.1553,1.6963,2.5444,2.1487,1.18,5.4527,0.556,0.094165,0.104769,1.1052,0.562,two-IM(Sd+PGA),0.5279,0,0,0.113118,0.10868,ok_autocorr,0.113118,0.104769,0.047823,0.0002,2.9537,exp_psd_svd,10.1975,10.2481,1.47,-1.5407,-1.0294,1.0,0
24,FR76,1.75,0.104769,1.1052,1.7377,3.041,2.5069,1.21,5.5134,0.5622,0.091699,0.105583,1.1137,0.636,two-IM(Sd+PGA),0.6159,0,0,0.11436,0.110113,ok_autocorr,0.11436,0.105583,0.047647,0.0007,2.9589,exp_psd_svd,10.1781,10.2583,1.66,-1.7365,-0.9258,1.0,0
25,FR76,2.0,0.105583,1.1137,1.7362,3.4725,2.865,1.21,6.2364,0.6359,0.104436,0.108309,1.1425,0.624,two-IM(Sd+PGA),0.7039,0,0,0.115324,0.111694,ok_autocorr,0.115324,0.108309,0.048388,0.0003,2.9437,exp_psd_svd,10.173,10.2677,1.71,-1.7877,-0.8318,1.0,0
