run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,beta_applied,s_applied
1,HU12,0.5,0.0948,1.0,0.5867,0.2933,0.2933,1.0,0.5211,0.0531,0.007841,0.095486,1.0072,0.721,two-IM(Sd+PGA),0.0648,0,0,0.095486,0.09862,ok_autocorr,1.0,0
2,HU12,0.75,0.095486,1.0072,0.6011,0.4508,0.44,1.02,0.8043,0.082,0.012189,0.099921,1.054,0.729,two-IM(Sd+PGA),0.0973,0,0,0.099921,0.100328,ok_autocorr,1.0,0
3,EC40,0.2,0.099921,1.054,1.6632,0.3326,0.2751,1.21,0.6023,0.0614,0.009579,0.095565,1.0081,0.627,two-IM(Sd+PGA),0.0751,0,0,0.095565,0.100272,ok_autocorr,1.0,0
4,HU12,1.0,0.095565,1.0081,0.6028,0.6028,0.5867,1.03,1.0745,0.1096,0.0163,0.098721,1.0414,0.73,two-IM(Sd+PGA),0.1297,0,0,0.098721,0.09907,ok_autocorr,1.0,0
5,HU12,1.25,0.098721,1.0414,0.6687,0.8358,0.7333,1.14,1.3768,0.1404,0.021627,0.101097,1.0664,0.762,two-IM(Sd+PGA),0.1621,0,0,0.101097,0.101653,ok_autocorr,1.0,0
6,EC40,0.3,0.101097,1.0664,1.7281,0.5184,0.4126,1.26,0.9383,0.0957,0.015096,0.099597,1.0506,0.637,two-IM(Sd+PGA),0.1126,0,0,0.099597,0.100118,ok_autocorr,1.0,0
7,HU12,1.5,0.099597,1.0506,0.6869,1.0304,0.88,1.17,1.6658,0.1699,0.026404,0.099871,1.0535,0.77,two-IM(Sd+PGA),0.1945,0,0,0.099871,0.099922,ok_autocorr,1.0,0
8,EC40,0.4,0.099871,1.0535,1.6616,0.6646,0.5501,1.21,1.2037,0.1227,0.019133,0.099554,1.0502,0.627,two-IM(Sd+PGA),0.1501,0,0,0.099554,0.099677,ok_autocorr,1.0,0
9,HU12,1.75,0.099554,1.0502,0.686,1.2006,1.0266,1.17,1.9434,0.1982,0.030791,0.101527,1.071,0.77,two-IM(Sd+PGA),0.2269,0,0,0.101527,0.102518,ok_autocorr,1.0,0
10,HU12,2.0,0.101527,1.071,0.7313,1.4625,1.1733,1.25,2.2762,0.2321,0.036769,0.103017,1.0867,0.792,two-IM(Sd+PGA),0.2594,0,0,0.103017,0.104351,ok_autocorr,1.0,0
11,EC40,0.5,0.103017,1.0867,1.8372,0.9186,0.6877,1.34,1.6732,0.1706,0.027405,0.104478,1.1021,0.654,two-IM(Sd+PGA),0.1876,0,0,0.104478,0.104924,ok_autocorr,1.0,0
12,HU12,2.25,0.104478,1.1021,0.8007,1.8016,1.32,1.36,2.6793,0.2732,0.044451,0.101415,1.0698,0.823,two-IM(Sd+PGA),0.2918,0,0,0.101415,0.102379,ok_autocorr,1.0,0
13,HU12,2.5,0.101415,1.0698,0.7286,1.8216,1.4666,1.24,2.8423,0.2898,0.045866,0.104714,1.1046,0.791,two-IM(Sd+PGA),0.3242,0,0,0.104714,0.105609,ok_autocorr,1.0,0
14,HU12,2.75,0.104714,1.1046,0.8063,2.2173,1.6133,1.37,3.2755,0.334,0.054452,0.104397,1.1012,0.825,two-IM(Sd+PGA),0.3566,0,0,0.104397,0.104824,ok_autocorr,1.0,0
15,HU12,3.0,0.104397,1.1012,0.7988,2.3965,1.76,1.36,3.5724,0.3643,0.059227,0.025825,0.2724,0.822,two-IM(Sd+PGA),0.389,0,0,0.106647,0.107048,ok_autocorr,1.0,0
16,HU12,3.5,0.025825,0.2724,0.0233,0.0815,2.0533,0.04,5.8644,0.598,0.022607,0.101188,1.0674,0.365,two-IM(Sd+PGA),0.4539,0,1,0.101188,0.103918,JUMP_3.92x_accepted,1.0,0
17,HU12,4.0,0.101188,1.0674,0.7233,2.8932,2.3466,1.23,4.5391,0.4629,0.073087,0.111209,1.1731,0.788,two-IM(Sd+PGA),0.5187,0,0,0.111209,0.109936,ok_autocorr,1.0,0
