run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,beta_applied,s_applied
1,HU12,0.5,0.0948,1.0,0.5867,0.2933,0.2933,1.0,0.5211,0.0531,0.007841,0.148811,1.5697,0.721,two-IM(Sd+PGA),0.0648,0,1,0.148388,0.148873,JUMP_1.57x_accepted,0.148388,0.148811,0.148839,0.0,2.9634,exp_psd_svd,1.0,0
2,HU12,0.75,0.148811,1.5697,1.5922,1.1941,0.44,2.71,0.8686,0.0886,0.020525,0.156028,1.6459,0.804,two-IM(Sd+PGA),0.0973,0,0,0.15394,0.156136,ok_autocorr,0.15394,0.156028,0.156119,0.0,2.9331,exp_psd_svd,1.0,0
3,EC40,0.2,0.156028,1.6459,3.9255,0.7851,0.2751,2.85,0.6581,0.0671,0.016329,0.156002,1.6456,0.605,two-IM(Sd+PGA),0.0751,0,0,0.155664,0.156072,ok_autocorr,0.155664,0.156002,0.156037,0.0,2.9276,exp_psd_svd,1.0,0
4,HU12,1.0,0.156002,1.6456,1.7169,1.7169,0.5867,2.93,1.132,0.1154,0.028083,0.156137,1.647,0.787,two-IM(Sd+PGA),0.1297,0,0,0.153478,0.15621,ok_autocorr,0.153478,0.156137,0.156264,0.0,2.9226,exp_psd_svd,1.0,0
5,HU12,1.25,0.156137,1.647,1.7183,2.1478,0.7333,2.93,1.413,0.1441,0.035086,0.156355,1.6493,0.786,two-IM(Sd+PGA),0.1621,0,0,0.151374,0.156396,ok_autocorr,0.151374,0.156355,0.156536,0.0,2.9226,exp_psd_svd,1.0,0
6,EC40,0.3,0.156355,1.6493,3.9337,1.1801,0.4126,2.86,0.9895,0.1009,0.024606,0.156355,1.6493,0.603,two-IM(Sd+PGA),0.1126,0,0,0.156143,0.156496,ok_autocorr,0.156143,0.156355,0.156464,0.0,2.9276,exp_psd_svd,1.0,0
7,HU12,1.5,0.156355,1.6493,1.7206,2.5808,0.88,2.93,1.6918,0.1725,0.042072,0.156627,1.6522,0.785,two-IM(Sd+PGA),0.1945,0,0,0.149014,0.156505,ok_autocorr,0.149014,0.156627,0.156866,0.0001,2.9226,exp_psd_svd,1.0,0
8,EC40,0.4,0.156627,1.6522,3.9405,1.5762,0.5501,2.87,1.3213,0.1347,0.032919,0.156582,1.6517,0.602,two-IM(Sd+PGA),0.1501,0,0,0.155475,0.156673,ok_autocorr,0.155475,0.156582,0.156681,0.0,2.9276,exp_psd_svd,1.0,0
9,HU12,1.75,0.156582,1.6517,1.7229,3.0152,1.0266,2.94,1.9695,0.2008,0.049052,0.156601,1.6519,0.783,two-IM(Sd+PGA),0.2269,0,0,0.146768,0.156114,ok_autocorr,0.146768,0.156601,0.156792,0.0002,2.9226,exp_psd_svd,1.0,0
10,HU12,2.0,0.156601,1.6519,1.7232,3.4463,1.1733,2.94,2.2504,0.2295,0.056056,0.156622,1.6521,0.783,two-IM(Sd+PGA),0.2594,0,0,0.144296,0.155715,ok_autocorr,0.144296,0.156622,0.156792,0.0002,2.9226,exp_psd_svd,1.0,0
