run,record,peak_tilt_deg,residual_tilt_deg,peak_topq_avg_rel_mm,peak_rel_disp_mm,peak_ch4_rel_mm,peak_ch19_rel_mm,T_end_over_Tinit,beta_applied,Sd_target_mm,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,n_cycles_used,T_id_held,s_applied
1,HU12,0.0126,-0.0011,0.4534,,0.4589,0.4534,1.0659,1.0,0.2641,0.5,0.092,1.0,0.5282,0.2641,1.0,0.218,0.0222,0.003192,0.098064,3.0,0.0,0.0
2,HU12,0.0197,-0.0022,0.7092,,0.7143,0.7092,1.0662,1.0,0.4912,0.75,0.098064,1.0659,0.655,0.3962,1.24,0.3563,0.0363,0.00556,0.09809,3.0,0.0,0.0
3,EC40,0.0203,-0.0003,0.7285,,0.7337,0.7285,1.0652,1.0,0.3208,0.2,0.09809,1.0662,1.6039,0.2497,1.28,0.2326,0.0237,0.003631,0.098001,3.0,0.0,0.0
4,HU12,0.0342,-0.0039,1.2313,,1.2409,1.2313,1.0676,1.0,0.6537,1.0,0.098001,1.0652,0.6537,0.5282,1.24,0.4744,0.0484,0.007396,0.09822,3.0,0.0,0.0
5,HU12,0.0231,-0.0018,0.8302,,0.8397,0.8302,1.0658,1.0,0.8228,1.25,0.09822,1.0676,0.6582,0.6603,1.25,0.5961,0.0608,0.009318,0.098054,3.0,0.0,0.0
6,EC40,0.0179,-0.0014,0.6432,,0.6485,0.6432,1.0641,1.0,0.4808,0.3,0.098054,1.0658,1.6027,0.3746,1.28,0.3488,0.0356,0.005442,0.097899,3.0,0.0,0.0
7,HU12,0.0464,0.0056,1.669,,1.6832,1.669,1.0842,1.0,0.9773,1.5,0.097899,1.0641,0.6515,0.7924,1.23,0.7103,0.0724,0.011065,0.099748,3.0,0.0,0.0
8,EC40,0.0709,0.0047,2.55,,2.5268,2.55,1.1257,1.0,0.663,0.4,0.099748,1.0842,1.6576,0.4994,1.33,0.4639,0.0473,0.007365,0.103565,3.0,0.0,0.0
9,HU12,0.0815,-0.0048,2.932,,2.9903,2.932,1.1619,1.0,1.3637,1.75,0.103565,1.1257,0.7792,0.9244,1.48,0.8851,0.0903,0.014588,0.106895,3.0,0.0,0.0
10,HU12,0.0709,-0.0022,2.5504,,2.4068,2.5504,1.1355,1.0,1.7093,2.0,0.106895,1.1619,0.8546,1.0565,1.62,1.0381,0.1059,0.01766,0.10447,3.0,0.0,0.0
11,EC40,0.0588,-0.004,2.1135,,2.1975,2.1135,1.1436,1.0,0.9599,0.5,0.10447,1.1355,1.9197,0.6243,1.54,0.613,0.0625,0.010192,0.10521,3.0,0.0,0.0
12,HU12,0.072,-0.0044,2.5888,,2.8074,2.5888,1.164,1.0,1.8397,2.25,0.10521,1.1436,0.8176,1.1885,1.55,1.1546,0.1177,0.019318,0.107083,3.0,0.0,0.0
13,HU12,0.0699,0.0012,2.5148,,2.5589,2.5148,1.1393,1.0,2.147,2.5,0.107083,1.164,0.8588,1.3206,1.63,1.3004,0.1326,0.022158,0.104819,3.0,0.0,0.0
14,HU12,0.0865,-0.0008,3.1115,,3.056,3.1115,1.1953,1.0,2.2241,2.75,0.104819,1.1393,0.8088,1.4527,1.53,1.4062,0.1434,0.023428,0.109963,3.0,0.0,0.0
15,HU12,0.1177,-0.005,4.2309,,4.0511,4.2309,1.1933,1.0,2.7661,3.0,0.109963,1.1953,0.922,1.5847,1.75,1.5906,0.1622,0.027576,0.109782,3.0,0.0,0.0
16,HU12,0.12,-0.008,4.3146,,4.4077,4.3146,1.178,1.0,3.2132,3.5,0.109782,1.1933,0.9181,1.8488,1.74,1.8588,0.1895,0.032285,0.108378,3.0,0.0,0.0
17,HU12,0.1037,-0.005,3.729,,3.6273,3.729,1.1737,1.0,3.5489,4.0,0.108378,1.178,0.8872,2.113,1.68,2.0973,0.2139,0.036169,0.107979,3.0,0.0,0.0
18,HU12,0.1224,-0.0045,4.3991,,4.4691,4.3991,1.2236,1.0,3.9531,4.5,0.107979,1.1737,0.8785,2.3771,1.66,2.3647,0.2411,0.040639,0.112575,3.0,0.0,0.0
