         time Mid_Disp()... 
------------- ------------- 
 3.976956e-05  4.400229e-04 
 4.374652e-04  4.300210e-04 
 8.351608e-04  4.223673e-04 
 1.232856e-03  4.161015e-04 
 1.630552e-03  4.107529e-04 
 2.028248e-03  4.062942e-04 
 2.425943e-03  4.029548e-04 
 2.823639e-03  4.003245e-04 
 3.221335e-03  3.982889e-04 
 3.619030e-03  3.960137e-04 
 4.016726e-03  3.931978e-04 
 4.414421e-03  3.897644e-04 
 4.812117e-03  3.857306e-04 
 5.209813e-03  3.809793e-04 
 5.607508e-03  3.749115e-04 
 6.005204e-03  3.670579e-04 
 6.402900e-03  3.574354e-04 
 6.800595e-03  3.465836e-04 
 7.198291e-03  3.346861e-04 
 7.595986e-03  3.216698e-04 
 7.993682e-03  3.075084e-04 
 8.391378e-03  2.928329e-04 
 8.789073e-03  2.778920e-04 
 9.186769e-03  2.630667e-04 
 9.584465e-03  2.488259e-04 
 9.982160e-03  2.355233e-04 
 1.037986e-02  2.232350e-04 
 1.077755e-02  2.124982e-04 
 1.117525e-02  2.031722e-04 
 1.157294e-02  1.951579e-04 
 1.197064e-02  1.881651e-04 
 1.236833e-02  1.827671e-04 
 1.276603e-02  1.788855e-04 
 1.316373e-02  1.768284e-04 
 1.356142e-02  1.763707e-04 
 1.395912e-02  1.772682e-04 
 1.435681e-02  1.789057e-04 
 1.475451e-02  1.808491e-04 
 1.515220e-02  1.821738e-04 
 1.554990e-02  1.822690e-04 
 1.594759e-02  1.809941e-04 
 1.634529e-02  1.784479e-04 
 1.674299e-02  1.746197e-04 
 1.714068e-02  1.691883e-04 
 1.753838e-02  1.619827e-04 
 1.793607e-02  1.536880e-04 
 1.833377e-02  1.447337e-04 
 1.873146e-02  1.358726e-04 
 1.912916e-02  1.270393e-04 
 1.952686e-02  1.181377e-04 
 1.992455e-02  1.096115e-04 
 2.032225e-02  1.016737e-04 
 2.071994e-02  9.472215e-05 
 2.111764e-02  8.928296e-05 
 2.151533e-02  8.580585e-05 
 2.191303e-02  8.435324e-05 
 2.231072e-02  8.471557e-05 
 2.270842e-02  8.653573e-05 
 2.310612e-02  8.926056e-05 
 2.350381e-02  9.227135e-05 
 2.390151e-02  9.563613e-05 
 2.429920e-02  9.906506e-05 
 2.469690e-02  1.021203e-04 
 2.509459e-02  1.043592e-04 
 2.549229e-02  1.052074e-04 
 2.588999e-02  1.045678e-04 
 2.628768e-02  1.025009e-04 
 2.668538e-02  9.880154e-05 
 2.708307e-02  9.333872e-05 
 2.748077e-02  8.587794e-05 
 2.787846e-02  7.691968e-05 
 2.827616e-02  6.695259e-05 
 2.867385e-02  5.605536e-05 
 2.907155e-02  4.471798e-05 
 2.946925e-02  3.309111e-05 
 2.986694e-02  2.137941e-05 
 3.026464e-02  9.939775e-06 
 3.066233e-02 -1.347976e-07 
 3.106003e-02 -8.388154e-06 
 3.145772e-02 -1.429438e-05 
 3.185542e-02 -1.740776e-05 
 3.225312e-02 -1.762579e-05 
 3.265081e-02 -1.552791e-05 
 3.304851e-02 -1.071318e-05 
 3.344620e-02 -2.938251e-06 
 3.384390e-02  7.525339e-06 
 3.424159e-02  2.028552e-05 
 3.463929e-02  3.463203e-05 
 3.503698e-02  5.004574e-05 
 3.543468e-02  6.608926e-05 
 3.583238e-02  8.177284e-05 
 3.623007e-02  9.667049e-05 
 3.662777e-02  1.101478e-04 
 3.702546e-02  1.217337e-04 
 3.742316e-02  1.316936e-04 
 3.782085e-02  1.400483e-04 
 3.821855e-02  1.463939e-04 
 3.861625e-02  1.510222e-04 
 3.901394e-02  1.535921e-04 
 3.941164e-02  1.546212e-04 
 3.980933e-02  1.544580e-04 
 4.020703e-02  1.535588e-04 
 4.060472e-02  1.528833e-04 
 4.100242e-02  1.530122e-04 
 4.140011e-02  1.543857e-04 
 4.179781e-02  1.570894e-04 
 4.219551e-02  1.612890e-04 
 4.259320e-02  1.676227e-04 
 4.299090e-02  1.759422e-04 
 4.338859e-02  1.864262e-04 
 4.378629e-02  1.986673e-04 
 4.418398e-02  2.116586e-04 
 4.458168e-02  2.250206e-04 
 4.497938e-02  2.383827e-04 
 4.537707e-02  2.515877e-04 
 4.577477e-02  2.646501e-04 
 4.617246e-02  2.770920e-04 
 4.657016e-02  2.890602e-04 
 4.696785e-02  2.998604e-04 
 4.736555e-02  3.092476e-04 
 4.776324e-02  3.170000e-04 
 4.816094e-02  3.228623e-04 
 4.855864e-02  3.266347e-04 
 4.895633e-02  3.283306e-04 
 4.935403e-02  3.287260e-04 
 4.975172e-02  3.276713e-04 
 5.014942e-02  3.258408e-04 
 5.054711e-02  3.232678e-04 
 5.094481e-02  3.207266e-04 
 5.134251e-02  3.186956e-04 
 5.174020e-02  3.172557e-04 
 5.213790e-02  3.170548e-04 
 5.253559e-02  3.182201e-04 
 5.293329e-02  3.209395e-04 
 5.333098e-02  3.254993e-04 
 5.372868e-02  3.320782e-04 
 5.412637e-02  3.405938e-04 
 5.452407e-02  3.503546e-04 
 5.492177e-02  3.613577e-04 
 5.531946e-02  3.730938e-04 
 5.571716e-02  3.855347e-04 
 5.611485e-02  3.987081e-04 
 5.651255e-02  4.118448e-04 
 5.691024e-02  4.242611e-04 
 5.730794e-02  4.347961e-04 
 5.770564e-02  4.429320e-04 
 5.810333e-02  4.488136e-04 
