         time total_shea... 
 6.657425e-02 -2.253758e-01 
 6.697194e-02 -2.058520e-01 
 6.736964e-02 -1.866871e-01 
 6.776733e-02 -1.724046e-01 
 6.816503e-02 -1.650217e-01 
 6.856273e-02 -1.587537e-01 
 6.896042e-02 -1.489659e-01 
 6.935812e-02 -1.340457e-01 
 6.975581e-02 -1.177013e-01 
 7.015351e-02 -1.039203e-01 
 7.055120e-02 -9.553523e-02 
 7.094890e-02 -9.083641e-02 
 7.134660e-02 -8.549945e-02 
 7.174429e-02 -7.594760e-02 
 7.214199e-02 -6.140920e-02 
 7.253968e-02 -4.736178e-02 
 7.293738e-02 -3.850120e-02 
 7.333507e-02 -3.556496e-02 
 7.373277e-02 -3.174120e-02 
 7.413047e-02 -2.309840e-02 
 7.452816e-02 -9.404506e-03 
 7.492586e-02  5.467237e-03 
 7.532355e-02  1.627377e-02 
 7.572125e-02  2.106487e-02 
 7.611894e-02  2.193229e-02 
 7.651664e-02  2.459393e-02 
 7.691433e-02  3.261731e-02 
 7.731203e-02  4.554868e-02 
 7.770973e-02  5.815013e-02 
 7.810742e-02  6.559789e-02 
 7.850512e-02  6.876362e-02 
 7.890281e-02  7.247635e-02 
 7.930051e-02  7.928855e-02 
 7.969820e-02  9.007852e-02 
 8.009590e-02  1.012859e-01 
 8.049360e-02  1.086817e-01 
 8.089129e-02  1.098175e-01 
 8.128899e-02  1.066883e-01 
 8.168668e-02  1.042432e-01 
 8.208438e-02  1.057098e-01 
 8.248207e-02  1.124770e-01 
 8.287977e-02  1.208823e-01 
 8.327746e-02  1.259193e-01 
 8.367516e-02  1.269810e-01 
 8.407286e-02  1.278131e-01 
 8.447055e-02  1.298714e-01 
 8.486825e-02  1.336776e-01 
 8.526594e-02  1.366379e-01 
 8.566364e-02  1.360558e-01 
 8.606133e-02  1.297690e-01 
 8.645903e-02  1.216845e-01 
 8.685673e-02  1.160646e-01 
 8.725442e-02  1.166543e-01 
 8.765212e-02  1.231583e-01 
 8.804981e-02  1.297866e-01 
 8.844751e-02  1.318031e-01 
 8.884520e-02  1.295042e-01 
 8.924290e-02  1.261377e-01 
 8.964059e-02  1.234221e-01 
 9.003829e-02  1.225534e-01 
 9.043599e-02  1.225541e-01 
 9.083368e-02  1.202519e-01 
 9.123138e-02  1.143443e-01 
 9.162907e-02  1.073929e-01 
 9.202677e-02  1.019871e-01 
 9.242446e-02  1.032420e-01 
 9.282216e-02  1.093213e-01 
