run,record,peak_tilt_deg,residual_tilt_deg,peak_topq_avg_rel_mm,peak_rel_disp_mm,peak_ch4_rel_mm,peak_ch19_rel_mm,T_end_over_Tinit,beta_applied,Sd_target_mm,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,s_applied
11,EC40,0.0801,0.0042,2.881,,2.9126,2.881,1.1507,1.0,0.9864,0.5,0.105769,1.1497,1.9728,0.6243,1.58,1.557,0.1588,0.026114,0.105867,0.668,two-IM(Sd+PGA),0.1876,0.0,0.0,0.105433,0.105949,ok_autocorr,0.105433,0.105867,0.105896,0.0,2.9469,exp_psd_svd,0.0
12,HU12,0.1116,-0.0012,4.0116,,3.9848,4.0116,1.1903,1.0,1.8722,2.25,0.105867,1.1507,0.8321,1.1885,1.58,2.8986,0.2956,0.048808,0.109503,0.834,two-IM(Sd+PGA),0.2918,0.0,0.0,0.110934,0.110943,ok_autocorr,0.110934,0.109503,0.109871,2.8824,2.9513,exp_psd_svd,0.0
13,HU12,0.1006,-0.0051,3.6171,,3.6528,3.6171,1.203,1.0,2.2799,2.5,0.109503,1.1903,0.9119,1.3206,1.73,3.3174,0.3383,0.057386,0.110675,0.857,two-IM(Sd+PGA),0.3242,0.0,0.0,0.112519,0.112225,ok_autocorr,0.112519,0.110675,0.026979,3.1187,2.9566,exp_psd_svd,0.0
14,HU12,0.1037,-0.0115,3.7292,,4.1259,3.7292,1.2026,1.0,2.5804,2.75,0.110675,1.203,0.9383,1.4527,1.78,3.6408,0.3713,0.06372,0.110638,0.864,two-IM(Sd+PGA),0.3566,0.0,0.0,0.115822,0.113408,ok_autocorr,0.115822,0.110638,0.026447,3.165,2.9566,exp_psd_svd,0.0
15,HU12,0.0906,-0.0064,3.259,,3.5159,3.259,1.1973,1.0,2.8125,3.0,0.110638,1.2026,0.9375,1.5847,1.77,3.9738,0.4052,0.069513,0.110154,0.864,two-IM(Sd+PGA),0.389,0.0,0.0,0.113671,0.112968,ok_autocorr,0.113671,0.110154,0.02814,2.953,2.9566,exp_psd_svd,0.0
16,HU12,0.1168,-0.0128,4.199,,4.2104,4.1991,1.209,1.0,3.2423,3.5,0.110154,1.1973,0.9264,1.8488,1.75,4.6489,0.4741,0.080749,0.111227,0.861,two-IM(Sd+PGA),0.4539,0.0,0.0,0.116115,0.113782,ok_autocorr,0.116115,0.111227,0.027246,3.0939,2.9566,exp_psd_svd,0.0
17,HU12,0.0991,-0.0143,3.5626,,3.8315,3.5626,1.2125,1.0,3.8041,4.0,0.111227,1.209,0.951,2.113,1.8,5.2589,0.5363,0.092724,0.111548,0.868,two-IM(Sd+PGA),0.5187,0.0,0.0,0.116619,0.114883,ok_autocorr,0.116619,0.111548,0.113339,3.0678,2.9566,exp_psd_svd,0.0
18,HU12,0.1245,-0.0166,4.4769,,4.0058,4.4769,1.2102,1.0,4.3127,4.5,0.111548,1.2125,0.9584,2.3771,1.81,5.8969,0.6013,0.104392,0.111336,0.87,two-IM(Sd+PGA),0.5836,0.0,0.0,0.118504,0.114749,ok_autocorr,0.118504,0.111336,0.113137,1.1502,2.9566,exp_psd_svd,0.0
19,HU12,0.1385,-0.0126,4.9799,,4.5001,4.9799,1.2104,1.0,4.7676,5.0,0.111336,1.2102,0.9535,2.6412,1.81,6.5659,0.6695,0.11593,0.111357,0.869,two-IM(Sd+PGA),0.6484,0.0,0.0,0.119165,0.115568,ok_autocorr,0.119165,0.111357,0.027289,3.1435,2.9562,exp_psd_svd,0.0
20,HU12,0.17,-0.005,6.1133,,6.1852,6.1133,1.2201,1.0,5.2471,5.5,0.111357,1.2104,0.954,2.9053,1.81,7.2209,0.7363,0.127529,0.11225,0.869,two-IM(Sd+PGA),0.7132,0.0,0.0,0.125942,0.120059,ok_autocorr,0.125942,0.11225,0.027569,3.0474,2.9566,exp_psd_svd,0.0
21,HU12,0.1897,-0.0107,6.8217,,6.5866,6.8217,1.24,1.0,5.8471,6.0,0.11225,1.2201,0.9745,3.1694,1.84,8.2108,0.8373,0.146536,0.114082,0.874,two-IM(Sd+PGA),0.7781,0.0,0.0,0.131372,0.123757,ok_autocorr,0.131372,0.114082,0.027563,3.1487,2.9465,exp_psd_svd,0.0
22,FR76,0.0561,-0.0079,2.0182,,2.0319,2.0182,1.1974,1.0,1.8187,1.0,0.114082,1.24,1.8187,1.299,1.4,3.3427,0.3409,0.06049,0.110161,0.554,two-IM(Sd+PGA),0.352,0.0,0.0,0.112816,0.11103,ok_autocorr,0.112816,0.110161,0.050702,0.0002,2.9598,exp_psd_svd,0.0
23,FR76,0.0782,-0.0078,2.8127,,2.9056,2.8127,1.2031,1.0,2.5448,1.5,0.110161,1.1974,1.6965,1.9485,1.31,5.4581,0.5566,0.094756,0.110685,0.555,two-IM(Sd+PGA),0.5279,0.0,0.0,0.11697,0.112387,ok_autocorr,0.11697,0.110685,0.028158,0.0004,2.9549,exp_psd_svd,0.0
24,FR76,0.1075,-0.0078,3.8654,,4.02,3.8654,1.1966,1.0,2.9975,1.75,0.110685,1.2031,1.7128,2.2732,1.32,6.437,0.6564,0.112406,0.110092,0.555,two-IM(Sd+PGA),0.6159,0.0,0.0,0.116475,0.112079,ok_autocorr,0.116475,0.110092,0.028487,2.8723,2.9553,exp_psd_svd,0.0
25,FR76,0.1167,-0.0086,4.196,,4.5305,4.196,1.2038,1.0,3.3887,2.0,0.110092,1.1966,1.6943,2.598,1.3,7.2673,0.7411,0.126064,0.110746,0.555,two-IM(Sd+PGA),0.7039,0.0,0.0,0.12143,0.11422,ok_autocorr,0.12143,0.110746,0.112741,1.1621,2.9549,exp_psd_svd,0.0
