         time tilt_up_se... 
 6.880134e-02 -3.888474e-01 
 6.919904e-02 -3.951704e-01 
 6.959673e-02 -4.014833e-01 
 6.999443e-02 -4.078203e-01 
 7.039213e-02 -4.141603e-01 
 7.078982e-02 -4.205262e-01 
 7.118752e-02 -4.268995e-01 
 7.158521e-02 -4.332831e-01 
 7.198291e-02 -4.396578e-01 
 7.238060e-02 -4.460443e-01 
 7.277830e-02 -4.524471e-01 
 7.317600e-02 -4.588457e-01 
 7.357369e-02 -4.652440e-01 
 7.397139e-02 -4.716427e-01 
 7.436908e-02 -4.779982e-01 
 7.476678e-02 -4.843557e-01 
 7.516447e-02 -4.906906e-01 
 7.556217e-02 -4.970292e-01 
 7.595986e-02 -5.033611e-01 
 7.635756e-02 -5.096760e-01 
 7.675526e-02 -5.159883e-01 
 7.715295e-02 -5.222682e-01 
 7.755065e-02 -5.285175e-01 
 7.794834e-02 -5.347302e-01 
 7.834604e-02 -5.409456e-01 
 7.874373e-02 -5.471478e-01 
 7.914143e-02 -5.533267e-01 
 7.953913e-02 -5.594903e-01 
 7.993682e-02 -5.656439e-01 
 8.033452e-02 -5.717426e-01 
 8.073221e-02 -5.778169e-01 
 8.112991e-02 -5.838625e-01 
 8.152760e-02 -5.898875e-01 
 8.192530e-02 -5.958737e-01 
 8.232299e-02 -6.018306e-01 
 8.272069e-02 -6.077501e-01 
 8.311839e-02 -6.136134e-01 
 8.351608e-02 -6.194375e-01 
 8.391378e-02 -6.252290e-01 
 8.431147e-02 -6.310044e-01 
 8.470917e-02 -6.367486e-01 
 8.510686e-02 -6.424625e-01 
 8.550456e-02 -6.481609e-01 
 8.590226e-02 -6.538293e-01 
 8.629995e-02 -6.594743e-01 
 8.669765e-02 -6.650972e-01 
 8.709534e-02 -6.706780e-01 
 8.749304e-02 -6.762450e-01 
 8.789073e-02 -6.817612e-01 
 8.828843e-02 -6.872597e-01 
 8.868613e-02 -6.927380e-01 
 8.908382e-02 -6.981991e-01 
 8.948152e-02 -7.036578e-01 
 8.987921e-02 -7.090975e-01 
