         time tilt_up_se... 
------------- ------------- 
 2.783869e-04  5.659830e-03 
 6.760826e-04  5.666544e-03 
 1.073778e-03  5.665775e-03 
 1.471474e-03  5.659434e-03 
 1.869169e-03  5.646095e-03 
 2.266865e-03  5.624616e-03 
 2.664561e-03  5.596237e-03 
 3.062256e-03  5.563271e-03 
 3.459952e-03  5.528739e-03 
 3.857648e-03  5.490889e-03 
 4.255343e-03  5.449011e-03 
 4.653039e-03  5.402530e-03 
 5.050734e-03  5.352736e-03 
 5.448430e-03  5.299296e-03 
 5.846126e-03  5.245674e-03 
 6.243821e-03  5.193273e-03 
 6.641517e-03  5.143638e-03 
 7.039213e-03  5.096589e-03 
 7.436908e-03  5.053922e-03 
 7.834604e-03  5.015538e-03 
 8.232299e-03  4.980983e-03 
 8.629995e-03  4.950432e-03 
 9.027691e-03  4.925405e-03 
 9.425386e-03  4.907239e-03 
 9.823082e-03  4.896899e-03 
 1.022078e-02  4.893778e-03 
 1.061847e-02  4.897817e-03 
 1.101617e-02  4.908089e-03 
 1.141386e-02  4.921905e-03 
 1.181156e-02  4.937108e-03 
 1.220926e-02  4.955261e-03 
 1.260695e-02  4.979861e-03 
 1.300465e-02  5.012867e-03 
 1.340234e-02  5.055115e-03 
 1.380004e-02  5.106273e-03 
 1.419773e-02  5.164046e-03 
 1.459543e-02  5.224167e-03 
 1.499313e-02  5.286213e-03 
 1.539082e-02  5.352986e-03 
 1.578852e-02  5.425772e-03 
 1.618621e-02  5.503709e-03 
 1.658391e-02  5.584462e-03 
 1.698160e-02  5.667950e-03 
 1.737930e-02  5.755022e-03 
 1.777699e-02  5.845424e-03 
 1.817469e-02  5.936808e-03 
 1.857239e-02  6.027623e-03 
 1.897008e-02  6.115397e-03 
 1.936778e-02  6.200100e-03 
 1.976547e-02  6.282817e-03 
 2.016317e-02  6.364287e-03 
 2.056086e-02  6.444608e-03 
 2.095856e-02  6.522815e-03 
 2.135626e-02  6.595850e-03 
 2.175395e-02  6.662886e-03 
 2.215165e-02  6.727124e-03 
 2.254934e-02  6.789462e-03 
 2.294704e-02  6.847462e-03 
 2.334473e-02  6.899127e-03 
 2.374243e-02  6.941738e-03 
 2.414012e-02  6.972413e-03 
 2.453782e-02  6.992240e-03 
 2.493552e-02  7.003844e-03 
 2.533321e-02  7.008724e-03 
 2.573091e-02  7.008835e-03 
 2.612860e-02  7.005039e-03 
 2.652630e-02  6.995153e-03 
 2.692399e-02  6.975288e-03 
 2.732169e-02  6.944422e-03 
 2.771939e-02  6.903607e-03 
 2.811708e-02  6.853592e-03 
 2.851478e-02  6.793866e-03 
 2.891247e-02  6.726893e-03 
 2.931017e-02  6.655443e-03 
 2.970786e-02  6.581747e-03 
 3.010556e-02  6.505121e-03 
 3.050325e-02  6.424082e-03 
 3.090095e-02  6.335583e-03 
 3.129865e-02  6.241899e-03 
 3.169634e-02  6.143596e-03 
 3.209404e-02  6.041331e-03 
 3.249173e-02  5.937281e-03 
 3.288943e-02  5.834274e-03 
 3.328712e-02  5.729315e-03 
 3.368482e-02  5.621936e-03 
 3.408252e-02  5.513096e-03 
 3.448021e-02  5.405873e-03 
 3.487791e-02  5.300703e-03 
 3.527560e-02  5.197897e-03 
 3.567330e-02  5.097481e-03 
 3.607099e-02  4.999626e-03 
 3.646869e-02  4.906234e-03 
 3.686638e-02  4.816777e-03 
 3.726408e-02  4.731440e-03 
 3.766178e-02  4.649875e-03 
 3.805947e-02  4.573719e-03 
 3.845717e-02  4.503881e-03 
 3.885486e-02  4.440775e-03 
 3.925256e-02  4.383375e-03 
 3.965025e-02  4.330784e-03 
 4.004795e-02  4.280869e-03 
 4.044565e-02  4.232791e-03 
 4.084334e-02  4.187131e-03 
 4.124104e-02  4.144968e-03 
 4.163873e-02  4.107660e-03 
 4.203643e-02  4.077776e-03 
 4.243412e-02  4.051664e-03 
 4.283182e-02  4.025006e-03 
 4.322951e-02  3.995399e-03 
 4.362721e-02  3.963184e-03 
 4.402491e-02  3.927255e-03 
 4.442260e-02  3.888980e-03 
 4.482030e-02  3.851400e-03 
 4.521799e-02  3.814438e-03 
 4.561569e-02  3.775492e-03 
 4.601338e-02  3.731506e-03 
 4.641108e-02  3.683478e-03 
 4.680878e-02  3.633841e-03 
 4.720647e-02  3.581022e-03 
 4.760417e-02  3.521182e-03 
 4.800186e-02  3.455049e-03 
 4.839956e-02  3.384158e-03 
 4.879725e-02  3.309655e-03 
 4.919495e-02  3.230222e-03 
 4.959264e-02  3.145109e-03 
 4.999034e-02  3.052202e-03 
 5.038804e-02  2.949791e-03 
 5.078573e-02  2.837754e-03 
 5.118343e-02  2.718581e-03 
 5.158112e-02  2.595093e-03 
 5.197882e-02  2.465558e-03 
 5.237651e-02  2.329483e-03 
 5.277421e-02  2.186874e-03 
 5.317191e-02  2.037440e-03 
 5.356960e-02  1.883074e-03 
 5.396730e-02  1.727036e-03 
 5.436499e-02  1.570514e-03 
 5.476269e-02  1.413051e-03 
 5.516038e-02  1.254883e-03 
 5.555808e-02  1.095394e-03 
 5.595577e-02  9.344714e-04 
 5.635347e-02  7.725262e-04 
 5.675117e-02  6.108171e-04 
 5.714886e-02  4.514088e-04 
 5.754656e-02  2.948210e-04 
 5.794425e-02  1.400761e-04 
 5.834195e-02 -1.199474e-05 
 5.873964e-02 -1.600602e-04 
 5.913734e-02 -3.025132e-04 
 5.953504e-02 -4.399941e-04 
 5.993273e-02 -5.731903e-04 
 6.033043e-02 -6.994570e-04 
 6.072812e-02 -8.163212e-04 
 6.112582e-02 -9.235519e-04 
 6.152351e-02 -1.022385e-03 
 6.192121e-02 -1.112053e-03 
 6.231890e-02 -1.195252e-03 
 6.271660e-02 -1.274479e-03 
 6.311430e-02 -1.347650e-03 
 6.351199e-02 -1.411543e-03 
 6.390969e-02 -1.465141e-03 
 6.430738e-02 -1.506532e-03 
 6.470508e-02 -1.535582e-03 
 6.510277e-02 -1.552404e-03 
 6.550047e-02 -1.557690e-03 
 6.589817e-02 -1.552559e-03 
 6.629586e-02 -1.539349e-03 
 6.669356e-02 -1.519089e-03 
 6.709125e-02 -1.490690e-03 
 6.748895e-02 -1.452713e-03 
 6.788664e-02 -1.406429e-03 
 6.828434e-02 -1.350840e-03 
 6.868203e-02 -1.287030e-03 
 6.907973e-02 -1.215527e-03 
 6.947743e-02 -1.139141e-03 
 6.987512e-02 -1.056595e-03 
 7.027282e-02 -9.691471e-04 
 7.067051e-02 -8.787584e-04 
 7.106821e-02 -7.868845e-04 
 7.146590e-02 -6.931065e-04 
 7.186360e-02 -5.981650e-04 
 7.226130e-02 -5.028782e-04 
 7.265899e-02 -4.068525e-04 
 7.305669e-02 -3.098196e-04 
 7.345438e-02 -2.113582e-04 
 7.385208e-02 -1.121758e-04 
 7.424977e-02 -1.279669e-05 
 7.464747e-02  8.418341e-05 
 7.504516e-02  1.785541e-04 
 7.544286e-02  2.687850e-04 
 7.584056e-02  3.564713e-04 
 7.623825e-02  4.419535e-04 
 7.663595e-02  5.245010e-04 
 7.703364e-02  6.043208e-04 
 7.743134e-02  6.817855e-04 
 7.782903e-02  7.566370e-04 
 7.822673e-02  8.262730e-04 
 7.862443e-02  8.867472e-04 
 7.902212e-02  9.381210e-04 
 7.941982e-02  9.814188e-04 
 7.981751e-02  1.017542e-03 
 8.021521e-02  1.047616e-03 
 8.061290e-02  1.075926e-03 
 8.101060e-02  1.103064e-03 
 8.140830e-02  1.126212e-03 
 8.180599e-02  1.145450e-03 
 8.220369e-02  1.161649e-03 
 8.260138e-02  1.177041e-03 
 8.299908e-02  1.191583e-03 
 8.339677e-02  1.206542e-03 
 8.379447e-02  1.221782e-03 
 8.419216e-02  1.240287e-03 
 8.458986e-02  1.261396e-03 
 8.498756e-02  1.284836e-03 
 8.538525e-02  1.310133e-03 
 8.578295e-02  1.339709e-03 
 8.618064e-02  1.372184e-03 
 8.657834e-02  1.407355e-03 
 8.697603e-02  1.445403e-03 
 8.737373e-02  1.486670e-03 
 8.777143e-02  1.533117e-03 
 8.816912e-02  1.585477e-03 
 8.856682e-02  1.644431e-03 
 8.896451e-02  1.709441e-03 
 8.936221e-02  1.779752e-03 
 8.975990e-02  1.857169e-03 
 9.015760e-02  1.941722e-03 
 9.055529e-02  2.033032e-03 
 9.095299e-02  2.130401e-03 
 9.135069e-02  2.233347e-03 
