run,sim_U_peak_mm,sim_F_peak_kN,sim_E_diss_J,sim_fullness,sim_xi_eq,sim_n_cycles,sim_E_diss_largest_cycle_J,sim_k_secant_kN_per_mm,sim_E_diss_J_raw,sim_fullness_raw,exp_U_peak_mm,exp_F_peak_kN,exp_E_diss_J,exp_fullness,exp_xi_eq,exp_n_cycles,exp_E_diss_largest_cycle_J,exp_k_secant_kN_per_mm,exp_E_diss_J_raw,exp_fullness_raw
5,1.753763,4.906295,2.838515,0.082472,0.052503,60,1.166465,1.81494,3.612763,0.055279,0.922636,9.229873,2.316782,0.068014,0.043299,4,2.101018,9.871913,2.639591,0.07286
6,1.988695,3.604913,1.793653,0.062548,0.039819,58,0.937109,1.446021,2.295158,0.039958,0.457966,6.77832,4.803378,0.38684,0.24627,46,0.401361,13.057139,5.153334,0.388281
7,2.565145,3.501849,3.715817,0.103415,0.065836,20,1.245366,1.027417,4.007138,0.046245,1.216042,11.057785,2.715131,0.050479,0.032136,6,2.787567,8.905458,3.249755,0.057967
8,1.863283,4.702424,2.579605,0.073603,0.046857,62,3.084909,1.563026,1.992153,0.028055,0.803099,8.072114,10.720019,0.413408,0.263184,44,3.060195,9.433637,11.164332,0.372381
9,2.680382,7.574153,8.538003,0.105139,0.066934,25,2.41655,2.477989,10.749505,0.076946,1.398112,12.757002,14.589866,0.204503,0.130191,8,7.355478,8.490167,15.802185,0.214171
10,1.843432,4.020648,4.404811,0.148574,0.094585,61,2.657624,1.027063,4.714055,0.064383,2.003397,13.823954,5.768798,0.052075,0.033152,7,5.724957,6.732448,6.64365,0.057215
11,1.428633,2.714685,1.098742,0.070826,0.04509,61,0.842017,1.508388,1.315965,0.039098,0.903422,10.99305,20.947794,0.527314,0.335698,33,2.14831,11.7968,23.117851,0.537042
12,2.598669,5.527443,11.113153,0.19342,0.123135,47,5.351007,1.437887,12.628538,0.112181,2.217785,15.340174,26.094223,0.19175,0.122072,8,14.589842,5.939457,28.029997,0.195625
