run,sim_U_peak_mm,sim_F_peak_kN,sim_E_diss_J,sim_fullness,sim_xi_eq,sim_n_cycles,sim_E_diss_largest_cycle_J,sim_k_secant_kN_per_mm,exp_U_peak_mm,exp_F_peak_kN,exp_E_diss_J,exp_fullness,exp_xi_eq,exp_n_cycles,exp_E_diss_largest_cycle_J,exp_k_secant_kN_per_mm
14,3.662399,6.332202,3.626333,0.039092,0.024887,12,10.057032,0.15115,3.10336,19.169246,16.148183,0.067862,0.043202,7,18.142309,4.238064
15,12.713086,9.739367,34.973457,0.070615,0.044955,4,13.947763,0.006886,3.651975,20.439884,51.932199,0.173928,0.110726,6,38.124872,3.573907
16,12.30846,5.449754,53.69917,0.200137,0.127411,15,25.430927,0.029526,4.76611,22.421273,84.992468,0.198837,0.126583,7,64.586847,2.77847
17,12.70443,7.268128,62.04375,0.167981,0.10694,7,25.985839,0.063907,5.8766,23.898341,130.554779,0.232401,0.147951,6,93.901674,1.152672
18,14.537015,3.48338,72.51445,0.358004,0.227913,12,37.684698,0.075627,8.479925,24.841922,3.910194,0.00464,0.002954,5,1.664277,0.022946
19,26.671455,3.70555,57.400772,0.145197,0.092435,4,48.644112,0.037255,10.73751,27.542209,184.557815,0.156016,0.099323,4,175.32421,0.485578
20,23.96667,2.336043,41.898623,0.18709,0.119105,6,36.027045,0.003746,13.523355,30.168516,311.498245,0.190879,0.121517,3,239.314623,0.279969
21,32.95788,3.032378,53.192683,0.133061,0.084709,4,40.086589,0.008022,16.36784,33.837929,390.77512,0.176389,0.112293,3,305.555813,0.208454
