run,sim_U_peak_mm,sim_F_peak_kN,sim_E_diss_J,sim_E_net_J,sim_fullness,sim_xi_eq,sim_n_cycles,sim_E_diss_largest_cycle_J,sim_k_secant_kN_per_mm,sim_E_diss_J_raw,sim_fullness_raw,exp_U_peak_mm,exp_F_peak_kN,exp_E_diss_J,exp_E_net_J,exp_fullness,exp_xi_eq,exp_n_cycles,exp_E_diss_largest_cycle_J,exp_k_secant_kN_per_mm,exp_E_diss_J_raw,exp_fullness_raw
14,3.610586,4.582507,17.952731,4.809868,0.271262,0.172691,10,8.138494,0.61385,26.567384,0.286397,3.046897,18.393519,34.245797,14.801948,0.152765,0.097253,7,16.835938,4.68382,36.805205,0.154672
15,12.619404,7.426098,30.880227,32.482049,0.08238,0.052445,4,11.965406,0.065145,28.906654,0.058365,3.611815,19.682003,58.438218,48.954289,0.205514,0.130835,6,35.741877,3.891906,63.375094,0.212252
16,12.204214,3.877717,52.715487,53.147515,0.278479,0.177285,15,26.306076,0.058732,53.333069,0.198772,4.707351,21.712418,93.877449,80.403187,0.229624,0.146183,7,60.501118,3.045346,103.173049,0.241369
17,12.58439,5.042892,62.005623,62.310855,0.244264,0.155503,7,26.298024,0.156138,61.930386,0.167674,5.79908,23.398937,137.39061,125.89606,0.253129,0.161147,6,90.056626,1.498219,150.514731,0.267932
18,14.450693,2.526197,72.981742,72.16256,0.499802,0.318184,12,36.456445,0.091386,73.742366,0.364067,8.437207,24.361858,2.385446,4.211691,0.002901,0.001847,5,1.564781,0.021953,2.519577,0.00299
19,26.632886,3.383219,61.351911,57.207297,0.170224,0.108368,4,48.143482,0.036284,62.137947,0.15718,10.669079,26.660321,202.892479,177.251989,0.178326,0.113526,4,164.330617,0.577943,220.805349,0.186658
20,23.921611,2.13959,47.82937,41.670436,0.233622,0.148728,6,35.537631,0.009166,48.617227,0.217091,13.432265,28.760138,273.482645,300.027237,0.176982,0.11267,3,233.35522,0.325904,283.124809,0.173492
21,32.90147,2.859357,53.009349,53.030056,0.140867,0.089679,4,39.814879,0.006276,53.99735,0.135073,16.280959,31.921497,350.018309,373.878707,0.168371,0.107188,3,293.208862,0.237627,365.908364,0.165165
