run,sim_U_peak_mm,sim_F_peak_kN,sim_E_diss_J,sim_fullness,sim_xi_eq,sim_n_cycles,sim_E_diss_largest_cycle_J,sim_k_secant_kN_per_mm,sim_E_diss_J_raw,sim_fullness_raw,exp_U_peak_mm,exp_F_peak_kN,exp_E_diss_J,exp_fullness,exp_xi_eq,exp_n_cycles,exp_E_diss_largest_cycle_J,exp_k_secant_kN_per_mm,exp_E_diss_J_raw,exp_fullness_raw
14,3.610586,4.582507,4.809868,0.072676,0.046267,10,8.138494,0.61385,3.626333,0.039092,3.046897,18.393519,14.801948,0.066029,0.042036,7,16.835938,4.68382,16.148183,0.067862
15,12.619404,7.426098,32.482049,0.086653,0.055165,4,11.965406,0.065145,34.973457,0.070615,3.611815,19.682003,48.954289,0.172161,0.109601,6,35.741877,3.891906,51.932199,0.173928
16,12.204214,3.877717,53.147515,0.280761,0.178738,15,26.306076,0.058732,53.69917,0.200137,4.707351,21.712418,80.403187,0.196666,0.125201,7,60.501118,3.045346,84.992468,0.198837
17,12.58439,5.042892,62.310855,0.245466,0.156269,7,26.298024,0.156138,62.04375,0.167981,5.79908,23.398937,125.89606,0.231951,0.147665,6,90.056626,1.498219,130.554779,0.232401
18,14.450693,2.526197,72.16256,0.494192,0.314613,12,36.456445,0.091386,72.51445,0.358004,8.437207,24.361858,4.211691,0.005123,0.003261,5,1.564781,0.021953,3.910194,0.00464
19,26.632886,3.383219,57.207297,0.158724,0.101047,4,48.143482,0.036284,57.400772,0.145197,10.669079,26.660321,177.251989,0.15579,0.099179,4,164.330617,0.577943,184.557815,0.156016
20,23.921611,2.13959,41.670436,0.203539,0.129577,6,35.537631,0.009166,41.898623,0.18709,13.432265,28.760138,300.027237,0.19416,0.123606,3,233.35522,0.325904,311.498245,0.190879
21,32.90147,2.859357,53.030056,0.140922,0.089714,4,39.814879,0.006276,53.192683,0.133061,16.280959,31.921497,373.878707,0.179849,0.114495,3,293.208862,0.237627,390.77512,0.176389
