run,sim_U_peak_mm,sim_F_peak_kN,sim_E_diss_J,sim_fullness,sim_xi_eq,sim_n_cycles,sim_E_diss_largest_cycle_J,sim_k_secant_kN_per_mm,sim_E_diss_J_raw,sim_fullness_raw,exp_U_peak_mm,exp_F_peak_kN,exp_E_diss_J,exp_fullness,exp_xi_eq,exp_n_cycles,exp_E_diss_largest_cycle_J,exp_k_secant_kN_per_mm,exp_E_diss_J_raw,exp_fullness_raw
5,1.835842,6.73498,3.487873,0.070523,0.044896,62,1.610943,1.384407,3.612763,0.055279,0.96266,9.408373,2.639591,0.07286,0.046384,4,2.295209,9.487667,2.639591,0.07286
6,2.064557,5.369543,2.132219,0.048085,0.030612,59,1.325335,1.308399,2.295158,0.039958,0.47959,6.918506,5.153334,0.388281,0.247187,46,0.482979,13.356084,5.153334,0.388281
7,2.648118,5.945022,4.029104,0.063982,0.040732,21,1.521178,0.654599,4.007138,0.046245,1.2421,11.283778,3.249755,0.057967,0.036903,6,3.597142,8.707222,3.249755,0.057967
8,1.986596,6.700009,2.731637,0.051307,0.032663,62,5.229788,1.669285,1.992153,0.028055,0.87213,8.594166,11.164332,0.372381,0.237065,45,3.127544,8.187611,11.164332,0.372381
9,2.787632,9.97945,10.054865,0.09036,0.057525,28,3.285305,2.833717,10.749505,0.076946,1.41552,13.031063,15.802185,0.214171,0.136346,8,8.131911,7.204847,15.802185,0.214171
10,1.929208,7.356224,4.758414,0.083824,0.053364,61,3.73555,0.97919,4.714055,0.064383,2.059445,14.09567,6.64365,0.057215,0.036424,7,7.107965,6.837631,6.64365,0.057215
11,1.490414,4.567855,1.223269,0.04492,0.028597,61,1.072383,1.838508,1.315965,0.039098,0.921285,11.681145,23.117851,0.537042,0.341891,36,2.548652,11.255869,23.117851,0.537042
12,2.73448,8.423689,12.177849,0.13217,0.084142,49,6.464397,1.623122,12.628538,0.112181,2.248395,15.931866,28.029997,0.195625,0.124539,8,16.874954,6.367632,28.029997,0.195625
