         time tiltx_low_... 
------------- ------------- 
 3.229862e-04  2.645725e-02 
 6.459724e-04  2.644937e-02 
 9.689586e-04  2.644081e-02 
 1.291945e-03  2.643156e-02 
 1.614931e-03  2.642161e-02 
 1.937917e-03  2.641098e-02 
 2.260903e-03  2.639960e-02 
 2.583890e-03  2.638781e-02 
 2.906876e-03  2.638091e-02 
 3.229862e-03  2.639029e-02 
 3.552849e-03  2.641058e-02 
 3.875836e-03  2.642491e-02 
 4.198822e-03  2.643755e-02 
 4.521809e-03  2.644966e-02 
 4.844796e-03  2.646412e-02 
 5.167783e-03  2.648416e-02 
 5.490770e-03  2.651714e-02 
 5.813757e-03  2.657018e-02 
 6.136743e-03  2.662070e-02 
 6.459730e-03  2.663532e-02 
 6.782718e-03  2.660415e-02 
 7.105707e-03  2.652919e-02 
 7.428695e-03  2.641111e-02 
 7.751683e-03  2.625095e-02 
 8.074671e-03  2.604694e-02 
 8.397660e-03  2.579721e-02 
 8.720648e-03  2.548408e-02 
 9.043636e-03  2.511098e-02 
 9.366624e-03  2.469469e-02 
 9.689613e-03  2.423198e-02 
 1.001260e-02  2.372107e-02 
 1.033559e-02  2.316579e-02 
 1.065858e-02  2.255707e-02 
 1.098157e-02  2.189512e-02 
 1.130455e-02  2.118414e-02 
 1.162754e-02  2.042637e-02 
 1.195053e-02  1.962950e-02 
 1.227352e-02  1.878697e-02 
 1.259651e-02  1.789152e-02 
 1.291950e-02  1.693761e-02 
 1.324248e-02  1.592847e-02 
 1.356547e-02  1.487619e-02 
 1.388846e-02  1.378655e-02 
 1.421145e-02  1.265765e-02 
 1.453443e-02  1.149533e-02 
 1.485742e-02  1.030431e-02 
 1.518041e-02  9.078108e-03 
 1.550340e-02  7.814039e-03 
 1.582639e-02  6.518250e-03 
 1.614937e-02  5.198880e-03 
 1.647237e-02  3.862329e-03 
 1.679537e-02  2.499203e-03 
 1.711837e-02  1.100851e-03 
 1.744137e-02 -3.301736e-04 
 1.776437e-02 -1.781582e-03 
