run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,beta_applied,s_applied
1,HU12,0.5,0.0948,1.0,0.5867,0.2933,0.2933,1.0,0.5211,0.0531,0.007841,0.098324,1.0372,0.721,two-IM(Sd+PGA),0.0648,0,0,0.098137,0.098323,ok_autocorr,1.0,0
2,HU12,0.75,0.098324,1.0372,0.6604,0.4953,0.44,1.13,0.8212,0.0837,0.012846,0.09864,1.0405,0.759,two-IM(Sd+PGA),0.0973,0,0,0.098403,0.098658,ok_autocorr,1.0,0
3,EC40,0.2,0.09864,1.0405,1.6217,0.3243,0.2751,1.18,0.6959,0.071,0.010922,0.098839,1.0426,0.627,two-IM(Sd+PGA),0.0751,0,0,0.098599,0.098879,ok_autocorr,1.0,0
4,HU12,1.0,0.098839,1.0426,0.6711,0.6711,0.5867,1.14,1.1035,0.1125,0.017356,0.099558,1.0502,0.763,two-IM(Sd+PGA),0.1297,0,0,0.099812,0.099948,ok_autocorr,1.0,0
5,HU12,1.25,0.099558,1.0502,0.6861,0.8576,0.7333,1.17,1.3881,0.1415,0.021994,0.099751,1.0522,0.77,two-IM(Sd+PGA),0.1621,0,0,0.100713,0.100317,ok_autocorr,1.0,0
6,EC40,0.3,0.099751,1.0522,1.6577,0.4973,0.4126,1.21,0.901,0.0919,0.014305,0.099462,1.0492,0.627,two-IM(Sd+PGA),0.1126,0,0,0.09945,0.099506,ok_autocorr,1.0,0
7,HU12,1.5,0.099462,1.0492,0.6841,1.0262,0.88,1.17,1.6657,0.1699,0.026367,0.100458,1.0597,0.769,two-IM(Sd+PGA),0.1945,0,0,0.100458,0.100179,ok_autocorr,1.0,0
8,EC40,0.4,0.100458,1.0597,1.6917,0.6767,0.5501,1.23,1.2241,0.1248,0.019571,0.099579,1.0504,0.631,two-IM(Sd+PGA),0.1501,0,0,0.099883,0.099759,ok_autocorr,1.0,0
9,HU12,1.75,0.099579,1.0504,0.6865,1.2015,1.0266,1.17,1.9434,0.1982,0.030799,0.100984,1.0652,0.77,two-IM(Sd+PGA),0.2269,0,0,0.100984,0.100445,ok_autocorr,1.0,0
10,HU12,2.0,0.100984,1.0652,0.7185,1.437,1.1733,1.22,2.2661,0.2311,0.036417,0.101259,1.0681,0.786,two-IM(Sd+PGA),0.2594,0,0,0.101259,0.100638,ok_autocorr,1.0,0
11,EC40,0.5,0.101259,1.0681,1.7373,0.8686,0.6877,1.26,1.5729,0.1604,0.025344,0.099982,1.0547,0.639,two-IM(Sd+PGA),0.1876,0,0,0.099982,0.100109,ok_autocorr,1.0,0
