         time tiltx_beam... 
 6.982499e-02 -3.286209e-01 
 7.022883e-02 -3.312063e-01 
 7.063268e-02 -3.336229e-01 
 7.103653e-02 -3.358814e-01 
 7.144037e-02 -3.379658e-01 
 7.184422e-02 -3.398871e-01 
 7.224806e-02 -3.416731e-01 
 7.265191e-02 -3.433226e-01 
 7.305576e-02 -3.448295e-01 
 7.345960e-02 -3.462093e-01 
 7.386345e-02 -3.474403e-01 
 7.426730e-02 -3.485109e-01 
 7.467114e-02 -3.494246e-01 
 7.507499e-02 -3.501887e-01 
 7.547883e-02 -3.508125e-01 
 7.588268e-02 -3.512717e-01 
 7.628653e-02 -3.515867e-01 
 7.669037e-02 -3.517566e-01 
 7.709422e-02 -3.518049e-01 
 7.749806e-02 -3.517139e-01 
 7.790191e-02 -3.514829e-01 
 7.830576e-02 -3.511030e-01 
 7.870960e-02 -3.505577e-01 
 7.911345e-02 -3.498446e-01 
 7.951729e-02 -3.489758e-01 
 7.992114e-02 -3.479461e-01 
 8.032499e-02 -3.467660e-01 
 8.072883e-02 -3.454347e-01 
 8.113268e-02 -3.439390e-01 
 8.153652e-02 -3.423074e-01 
 8.194037e-02 -3.405217e-01 
 8.234422e-02 -3.385883e-01 
 8.274806e-02 -3.365100e-01 
 8.315191e-02 -3.342704e-01 
 8.355576e-02 -3.318586e-01 
 8.395960e-02 -3.292865e-01 
 8.436345e-02 -3.265439e-01 
 8.476729e-02 -3.236406e-01 
 8.517114e-02 -3.205651e-01 
 8.557499e-02 -3.173437e-01 
 8.597883e-02 -3.139702e-01 
 8.638268e-02 -3.104388e-01 
 8.678652e-02 -3.067522e-01 
 8.719037e-02 -3.029149e-01 
 8.759422e-02 -2.989502e-01 
 8.799806e-02 -2.948396e-01 
 8.840191e-02 -2.906108e-01 
 8.880575e-02 -2.862608e-01 
 8.920960e-02 -2.817914e-01 
 8.961345e-02 -2.772266e-01 
 9.001729e-02 -2.725525e-01 
 9.042114e-02 -2.677860e-01 
 9.082498e-02 -2.629057e-01 
 9.122883e-02 -2.579243e-01 
 9.163268e-02 -2.528586e-01 
 9.203652e-02 -2.477072e-01 
 9.244037e-02 -2.424997e-01 
 9.284422e-02 -2.372408e-01 
 9.324806e-02 -2.319183e-01 
 9.365191e-02 -2.265361e-01 
 9.405575e-02 -2.210995e-01 
 9.445960e-02 -2.156193e-01 
 9.486345e-02 -2.100768e-01 
 9.526729e-02 -2.044972e-01 
 9.567114e-02 -1.988742e-01 
 9.607498e-02 -1.932233e-01 
 9.647883e-02 -1.875485e-01 
 9.688268e-02 -1.818627e-01 
 9.728652e-02 -1.761511e-01 
 9.769037e-02 -1.703867e-01 
 9.809421e-02 -1.645658e-01 
 9.849806e-02 -1.586890e-01 
 9.890191e-02 -1.527579e-01 
 9.930575e-02 -1.467792e-01 
 9.970960e-02 -1.407461e-01 
 1.001134e-01 -1.346581e-01 
 1.005173e-01 -1.284997e-01 
 1.009211e-01 -1.223101e-01 
 1.013250e-01 -1.160696e-01 
 1.017288e-01 -1.097774e-01 
 1.021327e-01 -1.034437e-01 
 1.025365e-01 -9.706229e-02 
 1.029404e-01 -9.063265e-02 
 1.033442e-01 -8.416735e-02 
 1.037481e-01 -7.768453e-02 
 1.041519e-01 -7.120313e-02 
 1.045558e-01 -6.471553e-02 
 1.049596e-01 -5.822180e-02 
 1.053634e-01 -5.172489e-02 
 1.057673e-01 -4.522243e-02 
 1.061711e-01 -3.870617e-02 
 1.065750e-01 -3.217423e-02 
 1.069788e-01 -2.564315e-02 
 1.073827e-01 -1.912349e-02 
 1.077865e-01 -1.260742e-02 
 1.081904e-01 -6.121991e-03 
 1.085942e-01  3.358067e-04 
 1.089981e-01  6.754069e-03 
 1.094019e-01  1.312883e-02 
 1.098058e-01  1.946080e-02 
 1.102096e-01  2.573962e-02 
 1.106134e-01  3.197925e-02 
 1.110173e-01  3.817869e-02 
 1.114211e-01  4.432648e-02 
 1.118250e-01  5.042141e-02 
 1.122288e-01  5.644852e-02 
 1.126327e-01  6.243004e-02 
 1.130365e-01  6.837577e-02 
 1.134404e-01  7.427970e-02 
 1.138442e-01  8.015010e-02 
 1.142481e-01  8.598180e-02 
 1.146519e-01  9.177805e-02 
 1.150558e-01  9.756183e-02 
 1.154596e-01  1.033581e-01 
 1.158634e-01  1.090996e-01 
 1.162673e-01  1.147969e-01 
 1.166711e-01  1.204562e-01 
 1.170750e-01  1.260219e-01 
 1.174788e-01  1.315248e-01 
 1.178827e-01  1.369568e-01 
 1.182865e-01  1.423300e-01 
 1.186904e-01  1.476128e-01 
 1.190942e-01  1.528289e-01 
 1.194981e-01  1.579909e-01 
 1.199019e-01  1.630625e-01 
 1.203057e-01  1.680428e-01 
 1.207096e-01  1.728966e-01 
 1.211134e-01  1.776079e-01 
 1.215173e-01  1.821615e-01 
 1.219211e-01  1.865691e-01 
 1.223250e-01  1.908833e-01 
 1.227288e-01  1.950178e-01 
 1.231327e-01  1.990402e-01 
 1.235365e-01  2.029391e-01 
 1.239404e-01  2.066851e-01 
 1.243442e-01  2.102734e-01 
 1.247481e-01  2.137168e-01 
 1.251519e-01  2.169885e-01 
 1.255557e-01  2.200798e-01 
 1.259596e-01  2.230111e-01 
 1.263634e-01  2.258165e-01 
 1.267673e-01  2.284711e-01 
 1.271711e-01  2.310151e-01 
 1.275750e-01  2.334585e-01 
 1.279788e-01  2.357654e-01 
 1.283827e-01  2.379669e-01 
 1.287865e-01  2.400140e-01 
 1.291904e-01  2.419079e-01 
 1.295942e-01  2.436026e-01 
 1.299981e-01  2.451024e-01 
 1.304019e-01  2.464405e-01 
 1.308057e-01  2.475783e-01 
 1.312096e-01  2.484796e-01 
 1.316134e-01  2.492263e-01 
 1.320173e-01  2.497655e-01 
 1.324211e-01  2.500887e-01 
 1.328250e-01  2.502342e-01 
 1.332288e-01  2.501824e-01 
 1.336327e-01  2.500381e-01 
 1.340365e-01  2.496780e-01 
 1.344404e-01  2.492040e-01 
 1.348442e-01  2.486420e-01 
 1.352481e-01  2.479152e-01 
 1.356519e-01  2.470753e-01 
 1.360557e-01  2.461749e-01 
 1.364596e-01  2.451042e-01 
 1.368634e-01  2.438868e-01 
 1.372673e-01  2.424974e-01 
 1.376711e-01  2.410647e-01 
 1.380750e-01  2.394796e-01 
 1.384788e-01  2.377996e-01 
 1.388827e-01  2.360695e-01 
 1.392865e-01  2.342318e-01 
 1.396904e-01  2.323082e-01 
 1.400942e-01  2.303151e-01 
 1.404981e-01  2.282722e-01 
 1.409019e-01  2.261569e-01 
 1.413057e-01  2.239009e-01 
 1.417096e-01  2.215625e-01 
 1.421134e-01  2.191118e-01 
 1.425173e-01  2.165641e-01 
 1.429211e-01  2.139107e-01 
 1.433250e-01  2.111561e-01 
 1.437288e-01  2.083379e-01 
 1.441327e-01  2.054291e-01 
 1.445365e-01  2.024481e-01 
 1.449404e-01  1.994194e-01 
 1.453442e-01  1.963126e-01 
 1.457481e-01  1.931094e-01 
 1.461519e-01  1.898100e-01 
 1.465557e-01  1.864171e-01 
 1.469596e-01  1.829143e-01 
 1.473634e-01  1.793181e-01 
 1.477673e-01  1.756655e-01 
 1.481711e-01  1.719221e-01 
 1.485750e-01  1.680900e-01 
 1.489788e-01  1.641531e-01 
 1.493827e-01  1.600740e-01 
 1.497865e-01  1.558435e-01 
 1.501904e-01  1.514491e-01 
 1.505942e-01  1.468676e-01 
 1.509981e-01  1.420911e-01 
 1.514019e-01  1.371129e-01 
 1.518057e-01  1.319636e-01 
 1.522096e-01  1.266663e-01 
 1.526134e-01  1.212181e-01 
 1.530173e-01  1.156141e-01 
 1.534211e-01  1.098703e-01 
 1.538250e-01  1.040117e-01 
 1.542288e-01  9.804354e-02 
 1.546327e-01  9.197254e-02 
 1.550365e-01  8.584569e-02 
 1.554404e-01  7.964214e-02 
 1.558442e-01  7.335921e-02 
 1.562481e-01  6.704312e-02 
 1.566519e-01  6.069219e-02 
 1.570557e-01  5.427023e-02 
 1.574596e-01  4.781548e-02 
 1.578634e-01  4.131820e-02 
 1.582673e-01  3.482782e-02 
 1.586711e-01  2.836627e-02 
 1.590750e-01  2.191589e-02 
 1.594788e-01  1.551168e-02 
 1.598827e-01  9.155192e-03 
 1.602865e-01  2.858791e-03 
 1.606904e-01 -3.387580e-03 
 1.610942e-01 -9.604835e-03 
 1.614981e-01 -1.580090e-02 
 1.619019e-01 -2.198414e-02 
 1.623057e-01 -2.816706e-02 
 1.627096e-01 -3.432379e-02 
 1.631134e-01 -4.043058e-02 
 1.635173e-01 -4.647909e-02 
 1.639211e-01 -5.251126e-02 
 1.643250e-01 -5.852561e-02 
