run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,beta_applied,s_applied
1,HU12,0.5,0.092,1.0,0.5282,0.2641,0.2641,1.0,0.3914,0.0399,0.005676,0.098111,1.0664,1.0,1
2,HU12,0.75,0.098111,1.0664,0.6559,0.492,0.3962,1.24,0.6508,0.0664,0.009815,0.098476,1.0704,0.9496,1
3,EC40,0.2,0.098476,1.0704,1.6164,0.3233,0.2497,1.29,0.4222,0.0431,0.006436,0.099822,1.085,0.9592,1
4,HU12,1.0,0.099822,1.085,0.6916,0.6916,0.5282,1.31,0.9126,0.0931,0.013663,0.098085,1.0661,0.8926,1
5,HU12,1.25,0.098085,1.0661,0.6554,0.8193,0.6603,1.24,1.0839,0.1105,0.01635,0.101939,1.108,0.9505,1
6,EC40,0.3,0.101939,1.108,1.7759,0.5328,0.3746,1.42,0.6744,0.0688,0.010245,0.101229,1.1003,0.8839,1
7,HU12,1.5,0.101229,1.1003,0.7242,1.0864,0.7924,1.37,1.4281,0.1456,0.021104,0.104275,1.1334,0.8457,1
8,EC40,0.4,0.104275,1.1334,1.9087,0.7635,0.4994,1.53,0.9534,0.0972,0.014415,0.105029,1.1416,0.8332,1
9,HU12,1.75,0.105029,1.1416,0.8137,1.4239,0.9244,1.54,1.8653,0.1902,0.027327,0.10788,1.1726,0.719,1
10,HU12,2.0,0.10788,1.1726,0.8763,1.7526,1.0565,1.66,2.2827,0.2328,0.031881,0.105034,1.1417,0.624,1
11,EC40,0.5,0.105034,1.1417,1.9509,0.9754,0.6243,1.56,1.2104,0.1234,0.018531,0.101903,1.1076,0.8167,1
12,HU12,2.25,0.101903,1.1076,0.7401,1.6652,1.1885,1.4,2.178,0.2221,0.032133,0.112102,1.2185,0.8232,1
13,HU12,2.5,0.112102,1.2185,0.9711,2.4278,1.3206,1.84,3.087,0.3148,0.04377,0.117252,1.2745,0.54,1
14,HU12,2.75,0.117252,1.2745,1.0844,2.9822,1.4527,2.05,3.453,0.3521,0.050141,0.290578,3.1585,0.54,1
15,HU12,3.0,0.290578,3.1585,2.2473,6.742,1.5847,4.25,1.2486,0.1273,0.045111,0.344251,3.7419,0.54,1
16,HU12,3.5,0.344251,3.7419,2.6071,9.1247,1.8488,4.94,1.2023,0.1226,0.051356,0.321583,3.4955,0.54,1
17,HU12,4.0,0.321583,3.4955,2.4888,9.955,2.113,4.71,1.5031,0.1533,0.060385,0.311645,3.3874,0.54,1
18,HU12,4.5,0.311645,3.3874,2.4185,10.8832,2.3771,4.58,1.7512,0.1786,0.068173,0.313311,3.4056,0.54,1
19,HU12,5.0,0.313311,3.4056,2.4306,12.153,2.6412,4.6,1.9344,0.1973,0.075563,0.318437,3.4613,0.54,1
20,HU12,5.5,0.318437,3.4613,2.4676,13.5719,2.9053,4.67,2.0935,0.2135,0.083952,0.329662,3.5833,0.54,1
21,HU12,6.0,0.329662,3.5833,2.5351,15.2105,3.1694,4.8,2.1869,0.223,0.090131,0.34756,3.7778,0.54,1
22,FR76,1.0,0.34756,3.7778,23.723,23.723,1.299,18.26,2.6972,0.275,0.133647,0.344281,3.7422,0.78,-1
23,FR76,1.5,0.344281,3.7422,23.3993,35.099,1.9485,18.01,4.0669,0.4147,0.199719,0.413363,4.4931,0.78,-1
24,FR76,1.75,0.413363,4.4931,28.9907,50.7338,2.2732,22.32,4.0786,0.4159,0.239976,0.092,1.0,0.78,-1
25,FR76,2.0,0.092,1.0,1.299,2.598,2.598,1.0,3.8504,0.3926,0.05583,0.346883,3.7705,1.0,-1
