         time bulge_top_... 
 7.018845e-02 -1.275530e-02 
 7.059230e-02 -1.387013e-02 
 7.099614e-02 -1.443760e-02 
 7.139999e-02 -1.453498e-02 
 7.180383e-02 -1.402130e-02 
 7.220768e-02 -1.294802e-02 
 7.261153e-02 -1.151927e-02 
 7.301537e-02 -1.002537e-02 
 7.341922e-02 -8.536289e-03 
 7.382306e-02 -7.272421e-03 
 7.422691e-02 -6.631745e-03 
 7.463076e-02 -6.706674e-03 
 7.503460e-02 -7.486047e-03 
 7.543845e-02 -8.884817e-03 
 7.584230e-02 -1.063561e-02 
 7.624614e-02 -1.252997e-02 
 7.664999e-02 -1.451659e-02 
 7.705383e-02 -1.622240e-02 
 7.745768e-02 -1.750836e-02 
 7.786153e-02 -1.825876e-02 
 7.826537e-02 -1.829060e-02 
 7.866922e-02 -1.759461e-02 
 7.907306e-02 -1.641803e-02 
 7.947691e-02 -1.444491e-02 
 7.988076e-02 -1.220203e-02 
 8.028460e-02 -9.622157e-03 
 8.068845e-02 -7.366673e-03 
 8.109229e-02 -4.904801e-03 
 8.149614e-02 -2.595853e-03 
 8.189999e-02 -3.318268e-04 
 8.230383e-02  1.864372e-03 
 8.270768e-02  3.525973e-03 
 8.311152e-02  4.827359e-03 
 8.351537e-02  5.556771e-03 
 8.391922e-02  5.636592e-03 
 8.432306e-02  5.009188e-03 
 8.472691e-02  3.886734e-03 
 8.513076e-02  1.869655e-03 
 8.553460e-02 -5.284949e-04 
 8.593845e-02 -2.941361e-03 
 8.634229e-02 -4.874483e-03 
 8.674614e-02 -6.200014e-03 
 8.714999e-02 -6.909037e-03 
 8.755383e-02 -6.734702e-03 
 8.795768e-02 -6.268906e-03 
 8.836152e-02 -5.583326e-03 
 8.876537e-02 -5.010535e-03 
 8.916922e-02 -4.585591e-03 
 8.957306e-02 -4.405669e-03 
 8.997691e-02 -4.433013e-03 
 9.038075e-02 -4.808341e-03 
 9.078460e-02 -5.137481e-03 
 9.118845e-02 -5.443556e-03 
 9.159229e-02 -5.594707e-03 
 9.199614e-02 -5.221820e-03 
 9.239998e-02 -4.312830e-03 
 9.280383e-02 -2.778697e-03 
 9.320768e-02 -7.622203e-04 
 9.361152e-02  1.469778e-03 
 9.401537e-02  3.805028e-03 
 9.441922e-02  6.034403e-03 
 9.482306e-02  7.781520e-03 
 9.522691e-02  9.102065e-03 
 9.563075e-02  9.949475e-03 
 9.603460e-02  1.029075e-02 
 9.643845e-02  1.045172e-02 
 9.684229e-02  1.021519e-02 
 9.724614e-02  9.744270e-03 
 9.764998e-02  9.213734e-03 
 9.805383e-02  8.509455e-03 
 9.845768e-02  7.818403e-03 
 9.886152e-02  7.171740e-03 
 9.926537e-02  6.732103e-03 
 9.966921e-02  6.678011e-03 
 1.000731e-01  6.956392e-03 
 1.004769e-01  7.606367e-03 
 1.008808e-01  8.366706e-03 
 1.012846e-01  9.198751e-03 
 1.016884e-01  9.998376e-03 
 1.020923e-01  1.080557e-02 
 1.024961e-01  1.164129e-02 
 1.029000e-01  1.236701e-02 
