run,record,peak_tilt_deg,residual_tilt_deg,peak_rel_disp_mm,peak_ch4_rel_mm,peak_ch19_rel_mm,T_end_over_Tinit,beta_applied,Sd_target_mm,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,s_applied
1,HU12,0.011,-0.0001,0.3969,0.3999,0.3969,1.0296,1.0,0.2641,0.5,0.092,1.0,0.5282,0.2641,1.0,0.218,0.0222,0.003192,0.094724,0.0
2,HU12,0.0187,-0.0001,0.6708,0.6764,0.6708,1.0304,1.0,0.4388,0.75,0.094724,1.0296,0.585,0.3962,1.11,0.3434,0.035,0.005175,0.094801,0.0
3,EC40,0.012,-0.0001,0.432,0.4356,0.432,1.0301,1.0,0.2751,0.2,0.094801,1.0304,1.3754,0.2497,1.1,0.2153,0.022,0.003245,0.094773,0.0
4,HU12,0.0251,-0.0002,0.9025,0.9101,0.9025,1.0309,1.0,0.5861,1.0,0.094773,1.0301,0.5861,0.5282,1.11,0.4587,0.0468,0.006914,0.09484,0.0
5,HU12,0.0315,-0.0002,1.133,1.1424,1.133,1.0315,1.0,0.7344,1.25,0.09484,1.0309,0.5875,0.6603,1.11,0.5749,0.0586,0.008666,0.094896,0.0
6,EC40,0.018,-0.0001,0.6467,0.6522,0.6467,1.0303,1.0,0.4148,0.3,0.094896,1.0315,1.3827,0.3746,1.11,0.3249,0.0331,0.004896,0.094792,0.0
7,HU12,0.0374,-0.0002,1.3445,1.3548,1.3445,1.0331,1.0,0.8797,1.5,0.094792,1.0303,0.5865,0.7924,1.11,0.6886,0.0702,0.010378,0.095046,0.0
8,EC40,0.0239,-0.0001,0.858,0.8651,0.858,1.0307,1.0,0.5577,0.4,0.095046,1.0331,1.3942,0.4994,1.12,0.4353,0.0444,0.006565,0.094823,0.0
9,HU12,0.0422,-0.0002,1.5166,1.5291,1.5166,1.0352,1.0,1.0275,1.75,0.094823,1.0307,0.5871,0.9244,1.11,0.8044,0.082,0.012124,0.095237,0.0
10,HU12,0.0459,-0.0002,1.65,1.6606,1.65,1.0454,1.0,1.1917,2.0,0.095237,1.0352,0.5959,1.0565,1.13,0.922,0.094,0.013959,0.09618,0.0
11,EC40,0.0299,-0.0002,1.0744,1.0833,1.0744,1.0314,1.0,0.7398,0.5,0.09618,1.0454,1.4796,0.6243,1.19,0.558,0.0569,0.00854,0.09489,0.0
12,HU12,0.0522,-0.0002,1.8766,1.8864,1.8766,1.0391,1.0,1.3242,2.25,0.09489,1.0314,0.5886,1.1885,1.11,1.037,0.1057,0.01563,0.095601,0.0
13,HU12,0.0578,-0.0002,2.0785,2.0891,2.0785,1.0477,1.0,1.5089,2.5,0.095601,1.0391,0.6036,1.3206,1.14,1.1519,0.1175,0.017526,0.096392,0.0
14,HU12,0.0649,-0.0001,2.3337,2.3479,2.3337,1.06,1.0,1.7054,2.75,0.096392,1.0477,0.6201,1.4527,1.17,1.284,0.1309,0.019697,0.097524,0.0
15,HU12,0.0706,-0.0007,2.5387,2.5476,2.5387,1.0705,1.0,1.9312,3.0,0.097524,1.06,0.6437,1.5847,1.22,1.4144,0.1442,0.021939,0.09849,0.0
16,HU12,0.0862,-0.0001,3.0993,3.1054,3.0993,1.0837,1.0,2.3235,3.5,0.09849,1.0705,0.6639,1.8488,1.26,1.683,0.1716,0.026374,0.099696,0.0
17,HU12,0.0988,-0.0007,3.5539,3.5515,3.5539,1.0985,1.0,2.756,4.0,0.099696,1.0837,0.689,2.113,1.3,1.9297,0.1968,0.030619,0.101059,0.0
18,HU12,0.1014,-0.0024,3.6457,3.64,3.6457,1.1132,1.0,3.2411,4.5,0.101059,1.0985,0.7203,2.3771,1.36,2.2092,0.2253,0.035528,0.102412,0.0
19,HU12,0.1115,-0.0027,4.0089,3.9771,4.0089,1.1172,1.0,3.7605,5.0,0.102412,1.1132,0.7521,2.6412,1.42,2.512,0.2562,0.040931,0.102783,0.0
20,HU12,0.1025,-0.0024,3.685,3.6889,3.685,1.1153,1.0,4.1846,5.5,0.102783,1.1172,0.7608,2.9053,1.44,2.7581,0.2812,0.045117,0.102608,0.0
21,HU12,0.1188,-0.0023,4.2723,4.3288,4.2723,1.1522,1.0,4.5403,6.0,0.102608,1.1153,0.7567,3.1694,1.43,3.01,0.3069,0.049138,0.106005,0.0
22,FR76,0.0595,-0.0029,2.1391,2.1375,2.1391,1.1055,1.0,1.732,1.0,0.106005,1.1522,1.732,1.299,1.33,1.0791,0.11,0.018198,0.101707,0.0
23,FR76,0.0866,-0.0025,3.1132,3.1205,3.1132,1.1528,1.0,2.5187,1.5,0.101707,1.1055,1.6791,1.9485,1.29,1.6957,0.1729,0.027444,0.106054,0.0
24,FR76,0.1027,-0.0033,3.6911,3.6816,3.6911,1.168,1.0,3.0301,1.75,0.106054,1.1528,1.7315,2.2732,1.33,1.8841,0.1921,0.031791,0.107452,0.0
25,FR76,0.1022,-0.0041,3.6754,3.6694,3.6754,1.2035,1.0,3.4346,2.0,0.107452,1.168,1.7173,2.598,1.32,2.0747,0.2116,0.035465,0.110721,0.0
