run,folder,T_exp_psd_s,T_exp_welch_s,T_ch_bot_s,T_ch_mid_s,T_ch_top_s,channel_spread,window_s,cycles_in_window,accepted,stop_rule,note,pulse_end_s,T_driver_logged_s
1,Run01_HU12_s0p50,0.09479,0.094794,0.09479,0.09479,0.09479,0.0,2.9828,31.5,1,sustained-quiet RMS,seed,,0.094724
2,Run02_HU12_s0p75,0.094797,0.094807,0.094797,0.094797,0.094797,0.0,2.9927,31.6,1,sustained-quiet RMS,tracked p=100%,,0.094801
3,Run03_EC40_s0p20,0.094791,0.094795,0.094791,0.094791,0.094791,0.0,2.9927,31.6,1,sustained-quiet RMS,tracked p=100%,,0.094773
4,Run04_HU12_s1p00,0.094804,0.094824,0.094804,0.094804,0.094804,0.0,2.9927,31.6,1,sustained-quiet RMS,tracked p=100%,,0.09484
5,Run05_HU12_s1p25,0.094814,0.094846,0.094814,0.094814,0.094814,0.0,2.9927,31.6,1,sustained-quiet RMS,tracked p=100%,,0.094896
6,Run06_EC40_s0p30,0.094796,0.094805,0.094796,0.094796,0.094796,0.0,2.9927,31.6,1,sustained-quiet RMS,tracked p=100%,,0.094792
7,Run07_HU12_s1p50,0.094828,0.094881,0.094827,0.094828,0.094828,0.0,2.9927,31.6,1,sustained-quiet RMS,tracked p=100%,,0.095046
8,Run08_EC40_s0p40,0.094802,0.094817,0.094802,0.094802,0.094802,0.0,2.993,31.6,1,sustained-quiet RMS,tracked p=100%,,0.094823
9,Run09_HU12_s1p75,0.094838,0.094918,0.094838,0.094838,0.094838,0.0,2.944,31.0,1,sustained-quiet RMS,tracked p=100%,,0.095237
10,Run10_HU12_s2p00,0.094845,0.094948,0.094845,0.094845,0.094846,0.0,2.9278,30.9,1,sustained-quiet RMS,tracked p=100%,,0.09618
11,Run11_EC40_s0p50,0.094812,0.094838,0.094812,0.094812,0.094812,0.0,2.9653,31.3,1,sustained-quiet RMS,tracked p=100%,,0.09489
12,Run12_HU12_s2p25,0.094821,0.094856,0.094821,0.094821,0.094821,0.0,2.6358,27.8,1,sustained-quiet RMS,tracked p=100%,,0.095601
13,Run13_HU12_s2p50,0.094858,0.094918,0.094858,0.094858,0.094858,0.0,2.6845,28.3,1,sustained-quiet RMS,tracked p=100%,,0.096392
14,Run14_HU12_s2p75,0.094873,0.094937,0.094873,0.094873,0.094873,0.0,2.6409,27.8,1,sustained-quiet RMS,tracked p=100%,,0.097524
15,Run15_HU12_s3p00,0.094992,0.095073,0.094992,0.094992,0.094992,0.0,2.6132,27.5,1,sustained-quiet RMS,tracked p=100%,,0.09849
16,Run16_HU12_s3p50,0.095104,0.095218,0.095104,0.095104,0.095104,0.0,2.6622,28.0,1,sustained-quiet RMS,tracked p=100%,,0.099696
17,Run17_HU12_s4p00,0.095354,0.09571,0.095352,0.095354,0.095355,0.0,2.667,28.0,1,sustained-quiet RMS,tracked p=100%,,0.101059
18,Run18_HU12_s4p50,0.095564,0.096013,0.095562,0.095564,0.095565,0.0,2.7045,28.3,1,sustained-quiet RMS,tracked p=100%,,0.102412
19,Run19_HU12_s5p00,0.095799,0.024904,0.024914,0.095799,0.0958,2.8453,2.7856,29.1,1,sustained-quiet RMS,channels disagree by 285% | tracked p=100%,,0.102783
20,Run20_HU12_s5p50,0.096055,0.096837,0.096066,0.096056,0.096052,0.0001,2.7306,28.4,1,sustained-quiet RMS,tracked p=100%,,0.102608
21,Run21_HU12_s6p00,0.097391,0.099427,0.097389,0.097382,0.097401,0.0002,2.7805,28.6,1,sustained-quiet RMS,tracked p=100%,,0.106005
22,Run22_FR76_s1p00,0.096526,0.097251,0.096519,0.096522,0.096531,0.0001,2.6085,27.0,1,sustained-quiet RMS,tracked p=100%,,0.101707
23,Run23_FR76_s1p50,0.097345,0.098518,0.097337,0.097339,0.097352,0.0002,2.6721,27.4,1,sustained-quiet RMS,tracked p=100%,,0.106054
24,Run24_FR76_s1p75,0.099909,0.101923,0.0999,0.099902,0.099919,0.0002,2.8731,28.8,1,sustained-quiet RMS,tracked p=100%,,0.107452
25,Run25_FR76_s2p00,0.102044,0.103386,0.025319,0.102047,0.10204,3.0305,2.7904,27.3,1,sustained-quiet RMS,channels disagree by 303% | tracked p=100%,,0.110721
