run,folder,T_exp_psd_s,T_exp_welch_s,T_ch_bot_s,T_ch_mid_s,T_ch_top_s,channel_spread,window_s,cycles_in_window,accepted,stop_rule,note,pulse_end_s,T_driver_logged_s
1,Run01_HU12_s0p50,0.09901,0.099013,0.09901,0.09901,0.09901,0.0,2.9675,30.0,1,sustained-quiet RMS,,,0.09812
2,Run02_HU12_s0p75,0.099017,0.099026,0.099017,0.099017,0.099017,0.0,2.9721,30.0,1,sustained-quiet RMS,,,0.09818
3,Run03_EC40_s0p20,0.099012,0.099016,0.099012,0.099012,0.099012,0.0,2.9721,30.0,1,sustained-quiet RMS,,,0.098146
4,Run04_HU12_s1p00,0.099024,0.099041,0.099024,0.099024,0.099024,0.0,2.9721,30.0,1,sustained-quiet RMS,,,0.098236
5,Run05_HU12_s1p25,0.099093,0.099121,0.099093,0.099093,0.099093,0.0,2.9721,30.0,1,sustained-quiet RMS,,,0.09838
6,Run06_EC40_s0p30,0.099077,0.099089,0.099077,0.099077,0.099077,0.0,2.9614,29.9,1,sustained-quiet RMS,,,0.098303
7,Run07_HU12_s1p50,0.099151,0.099192,0.099151,0.099151,0.099151,0.0,2.9721,30.0,1,sustained-quiet RMS,,,0.098566
8,Run08_EC40_s0p40,0.099132,0.099152,0.099132,0.099132,0.099132,0.0,2.9614,29.9,1,sustained-quiet RMS,,,0.098412
9,Run09_HU12_s1p75,0.099341,0.099456,0.099341,0.099341,0.099341,0.0,2.9614,29.8,1,sustained-quiet RMS,,,0.099347
10,Run10_HU12_s2p00,0.09948,0.099613,0.09948,0.09948,0.09948,0.0,2.9771,29.9,1,sustained-quiet RMS,,,0.100492
11,Run11_EC40_s0p50,0.099439,0.099499,0.099439,0.099439,0.09944,0.0,2.9928,30.1,1,sustained-quiet RMS,,,0.098991
12,Run12_HU12_s2p25,0.099577,0.099706,0.099576,0.099577,0.099577,0.0,2.9614,29.7,1,sustained-quiet RMS,,,0.101407
13,Run13_HU12_s2p50,0.099782,0.09991,0.099782,0.099782,0.099782,0.0,2.9614,29.7,1,sustained-quiet RMS,,,0.101333
14,Run14_HU12_s2p75,0.099938,0.100062,0.099939,0.099938,0.099938,0.0,2.9614,29.6,1,sustained-quiet RMS,,,0.101277
15,Run15_HU12_s3p00,0.100198,0.10036,0.100198,0.100198,0.100198,0.0,2.9614,29.6,1,sustained-quiet RMS,,,0.102335
16,Run16_HU12_s3p50,0.100522,0.100851,0.100523,0.100522,0.100521,0.0,2.966,29.5,1,sustained-quiet RMS,,,0.104264
17,Run17_HU12_s4p00,0.101289,0.101747,0.101294,0.101289,0.101287,0.0001,2.9659,29.3,1,sustained-quiet RMS,,,0.106298
18,Run18_HU12_s4p50,0.1023,0.103113,0.102331,0.102304,0.102289,0.0004,2.9863,29.2,1,sustained-quiet RMS,,,0.113842
19,Run19_HU12_s5p00,0.104312,0.10584,0.104328,0.104309,0.104313,0.0002,2.996,28.7,1,sustained-quiet RMS,,,0.125086
20,Run20_HU12_s5p50,0.104809,0.106839,0.104814,0.104801,0.104817,0.0001,2.951,28.2,1,sustained-quiet RMS,,,0.134811
21,Run21_HU12_s6p00,0.105071,0.107435,0.047739,0.10506,0.105082,1.2012,2.9126,27.7,0,sustained-quiet RMS,channels disagree by 120%,,0.156976
22,Run22_FR76_s1p00,0.104706,0.10554,0.104704,0.104704,0.104708,0.0,2.9928,28.6,1,sustained-quiet RMS,,,0.114883
23,Run23_FR76_s1p50,0.104684,0.105604,0.104677,0.10468,0.104689,0.0001,2.9643,28.3,1,sustained-quiet RMS,,,0.117082
24,Run24_FR76_s1p75,0.104879,0.106335,0.10487,0.104871,0.104889,0.0002,3.0005,28.6,1,sustained-quiet RMS,,,0.122544
25,Run25_FR76_s2p00,0.105194,0.10778,0.105212,0.105192,0.105193,0.0002,2.9783,28.3,1,sustained-quiet RMS,,,0.134409
