run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,beta_applied,s_applied
1,HU12,0.5,0.092,1.0,0.5282,0.2641,0.2641,1.0,0.218,0.0222,0.003192,0.098066,1.0659,1.0,0
2,HU12,0.75,0.098066,1.0659,0.655,0.4913,0.3962,1.24,0.3563,0.0363,0.00556,0.098092,1.0662,1.0,0
3,EC40,0.2,0.098092,1.0662,1.604,0.3208,0.2497,1.28,0.2326,0.0237,0.003631,0.098002,1.0652,1.0,0
4,HU12,1.0,0.098002,1.0652,0.6537,0.6537,0.5282,1.24,0.4744,0.0484,0.007397,0.098239,1.0678,1.0,0
5,HU12,1.25,0.098239,1.0678,0.6586,0.8233,0.6603,1.25,0.5964,0.0608,0.009324,0.098055,1.0658,1.0,0
6,EC40,0.3,0.098055,1.0658,1.6028,0.4808,0.3746,1.28,0.3488,0.0356,0.005442,0.09792,1.0644,1.0,0
7,HU12,1.5,0.09792,1.0644,0.652,0.978,0.7924,1.23,0.7106,0.0725,0.011071,0.099597,1.0826,1.0,0
8,EC40,0.4,0.099597,1.0826,1.6527,0.6611,0.4994,1.32,0.4637,0.0473,0.00735,0.103373,1.1236,1.0,0
9,HU12,1.75,0.103373,1.1236,0.7747,1.3558,0.9244,1.47,0.8819,0.0899,0.014495,0.102628,1.1155,1.0,0
10,HU12,2.0,0.102628,1.1155,0.7572,1.5144,1.0565,1.43,1.0032,0.1023,0.016382,0.10341,1.124,1.0,0
11,EC40,0.5,0.10341,1.124,1.8595,0.9297,0.6243,1.49,0.6045,0.0616,0.009942,0.101646,1.1048,1.0,0
12,HU12,2.25,0.101646,1.1048,0.7341,1.6517,1.1885,1.39,1.1127,0.1135,0.017994,0.104109,1.1316,1.0,0
13,HU12,2.5,0.104109,1.1316,0.7921,1.9801,1.3206,1.5,1.2825,0.1308,0.02125,0.107923,1.1731,1.0,0
14,HU12,2.75,0.107923,1.1731,0.8772,2.4124,1.4527,1.66,1.446,0.1475,0.024838,0.107041,1.1635,1.0,0
15,HU12,3.0,0.107041,1.1635,0.8579,2.5736,1.5847,1.62,1.5596,0.159,0.026566,0.115325,1.2535,1.0,0
16,HU12,3.5,0.115325,1.2535,1.0444,3.6554,1.8488,1.98,1.9102,0.1948,0.035046,0.319376,3.4715,1.0,0
17,HU12,4.0,0.319376,3.4715,2.4744,9.8974,2.113,4.68,0.6637,0.0677,0.033736,0.32468,3.5291,1.0,0
18,HU12,4.5,0.32468,3.5291,2.5081,11.2866,2.3771,4.75,0.7323,0.0747,0.037842,0.324651,3.5288,1.0,0
19,HU12,5.0,0.324651,3.5288,2.508,12.5398,2.6412,4.75,0.8138,0.083,0.042048,0.325762,3.5409,1.0,0
20,HU12,5.5,0.325762,3.5409,2.5142,13.8282,2.9053,4.76,0.892,0.091,0.046248,0.326927,3.5536,1.0,0
21,HU12,6.0,0.326927,3.5536,2.5205,15.1227,3.1694,4.77,0.9677,0.0987,0.050352,0.327074,3.5552,1.0,0
22,FR76,1.0,0.327074,3.5552,21.1891,21.1891,1.299,16.31,1.3548,0.1382,0.070524,0.384186,4.1759,1.0,0
23,FR76,1.5,0.384186,4.1759,27.7841,41.6762,1.9485,21.39,1.9312,0.1969,0.118085,0.602645,6.5505,1.0,0
24,FR76,1.75,0.602645,6.5505,33.0964,57.9187,2.2732,25.48,1.0894,0.1111,0.104491,0.70817,7.6975,1.0,0
25,FR76,2.0,0.70817,7.6975,40.8763,81.7526,2.598,31.47,1.1134,0.1135,0.125493,0.642767,6.9866,1.0,0
