d_ctrl_mm,F_base_kN,F_appl_kN,KE_frac,maxvel_mms
6.7527,1.8228,1.9138,0.0,0.0841
6.7943,1.8341,1.9214,0.0,0.1006
6.8328,1.8473,1.94,0.0,0.1032
6.8706,1.8643,1.962,0.0,0.1001
6.915,1.8763,1.9618,0.0,0.0949
6.954,1.8822,1.9749,0.0,0.1098
6.9942,1.9001,1.9894,0.0,0.1117
7.0361,1.9128,1.9996,0.0,0.1022
7.0772,1.9253,2.0105,0.0,0.1046
7.1177,1.9362,2.0274,0.0,0.0967
7.1589,1.9428,2.0324,0.0,0.126
7.1983,1.9595,2.0492,0.0,0.1413
7.2385,1.97,2.0639,0.0,0.1458
7.2811,1.9821,2.0705,0.0,0.1004
7.3225,1.9905,2.0799,0.0,0.1004
7.3624,2.0057,2.0952,0.0,0.1342
7.4061,2.0168,2.1,0.0,0.0929
7.4443,2.0292,2.1173,0.0,0.1154
7.4848,2.0415,2.1318,0.0,0.1307
7.5263,2.0539,2.1425,0.0,0.0993
7.5694,2.0623,2.1488,0.0,0.1049
7.6089,2.0742,2.1631,0.0,0.1039
7.6402,2.0838,2.1977,0.0,0.1283
7.6782,2.0892,2.2157,0.0,0.188
7.7306,2.1071,2.1943,0.0,0.1041
7.7637,2.107,2.193,0.0,0.1051
7.8039,2.1197,2.2023,0.0,0.0965
7.8332,2.1173,2.2134,0.0,0.102
7.8772,2.1329,2.2159,0.0,0.0918
7.9161,2.1413,2.2272,0.0,0.1145
7.9567,2.1567,2.2418,0.0,0.0955
7.9977,2.1628,2.249,0.0,0.1079
8.034,2.1803,2.2753,0.0,0.0862
8.0774,2.1897,2.2739,0.0,0.0949
8.1155,2.2044,2.298,0.0,0.0923
8.1569,2.2117,2.3058,0.0,0.0859
8.199,2.2196,2.308,0.0,0.115
8.2396,2.2311,2.3198,0.0,0.1156
8.2807,2.2442,2.3298,0.0,0.0983
8.3183,2.2577,2.3512,0.0,0.1429
8.3599,2.2649,2.3649,0.0,0.0953
8.4017,2.2807,2.3668,0.0,0.1079
8.4424,2.2935,2.3854,0.0,0.0903
8.4808,2.3033,2.3983,0.0,0.1002
8.5208,2.3189,2.4063,0.0,0.1197
8.5624,2.3252,2.4138,0.0,0.1031
8.6017,2.3374,2.4344,0.0,0.0935
8.6427,2.3494,2.4486,0.0,0.0929
8.6826,2.3627,2.4516,0.0,0.117
8.7257,2.3738,2.4567,0.0,0.1017
8.7655,2.3853,2.4704,0.0,0.0974
8.8027,2.3925,2.492,0.0,0.1326
8.8439,2.4041,2.5051,0.0,0.0922
8.8857,2.4166,2.5069,0.0,0.1228
8.9272,2.4307,2.517,0.0,0.1134
8.9686,2.4388,2.5269,0.0,0.1012
9.0082,2.4541,2.5395,0.0,0.1002
9.0479,2.4628,2.5592,0.0,0.0831
9.0911,2.4736,2.5584,0.0,0.0961
9.1304,2.485,2.573,0.0,0.119
9.1728,2.4981,2.5802,0.0,0.1007
9.2112,2.5076,2.5952,0.0,0.1083
9.252,2.5158,2.6048,0.0,0.1127
9.2937,2.5292,2.613,0.0,0.1009
9.3326,2.5427,2.6345,0.0,0.084
9.3718,2.5528,2.6412,0.0,0.1154
9.4136,2.5668,2.6496,0.0,0.1135
9.4536,2.5741,2.6601,0.0,0.0969
9.4932,2.5864,2.6815,0.0,0.1161
9.534,2.596,2.6902,0.0,0.1078
9.5725,2.6104,2.7114,0.0,0.0912
9.6149,2.6201,2.7107,0.0,0.0954
9.6535,2.6308,2.7286,0.0,0.098
9.6956,2.6398,2.7332,0.0,0.0958
