d_ctrl_mm,F_base_kN,F_appl_kN,KE_frac,maxvel_mms
20.2216,2.518,2.8753,0.0,0.0929
20.2528,2.5229,2.8843,0.0,0.087
20.2879,2.5266,2.889,0.0,0.1104
20.3201,2.528,2.8933,0.0,0.0987
20.3507,2.5327,2.9069,0.0,0.0956
20.3853,2.5365,2.9071,0.0,0.098
20.4188,2.5384,2.9042,0.0,0.104
20.4513,2.5438,2.9178,0.0,0.0916
20.4849,2.5476,2.9167,0.0,0.0932
20.5199,2.5559,2.9197,0.0,0.093
20.5512,2.5564,2.9217,0.0,0.0991
20.5859,2.5614,2.9284,0.0,0.0779
20.6164,2.5643,2.9286,0.0,0.0995
20.6526,2.5664,2.9287,0.0,0.1036
20.6846,2.5741,2.9392,0.0,0.0935
20.7188,2.5754,2.9427,0.0,0.0945
20.7491,2.579,2.9457,0.0,0.1007
20.7847,2.5849,2.9482,0.0,0.0971
20.8103,2.5864,2.9622,0.0,0.0999
20.8459,2.5853,2.9563,0.0,0.1019
20.8779,2.593,2.9626,0.0,0.1007
20.9081,2.6012,2.9744,0.0,0.0929
20.9411,2.6062,2.9802,0.0,0.1002
20.9721,2.6116,2.9865,0.0,0.1047
21.0059,2.6181,3.0115,0.0,0.1062
21.0383,2.6176,3.0109,0.0,0.1096
21.0695,2.6177,3.0581,0.0,0.0901
21.104,2.6264,3.0577,0.0,0.0933
21.1377,2.6308,3.0543,0.0,0.0953
21.1669,2.6314,3.0633,0.0,0.0971
21.1987,2.6478,3.0728,0.0,0.0903
21.2331,2.6495,3.0691,0.0,0.102
21.2649,2.6559,3.0766,0.0,0.0963
21.2953,2.6562,3.0771,0.0,0.0957
21.3274,2.6567,3.0764,0.0,0.0991
21.3599,2.6634,3.0845,0.0,0.0972
21.392,2.6682,3.0894,0.0,0.0934
21.4268,2.6744,3.096,0.0,0.0912
21.4607,2.6758,3.0985,0.0,0.094
21.4929,2.6797,3.0993,0.0,0.0993
21.5253,2.6828,3.1156,0.0,0.0943
21.5568,2.695,3.1183,0.0,0.096
21.5895,2.6982,3.1238,0.0,0.0956
21.6226,2.7026,3.1227,0.0,0.1038
21.6549,2.7102,3.1338,0.0,0.0911
21.6866,2.7095,3.139,0.0,0.0973
21.7189,2.712,3.1405,0.0,0.1233
21.7538,2.7207,3.1415,0.0,0.1016
21.7888,2.7251,3.1459,0.0,0.085
21.8201,2.7322,3.1582,0.0,0.0977
21.8545,2.7308,3.1513,0.0,0.1047
21.8869,2.7338,3.1509,0.0,0.0964
21.9165,2.7357,3.1605,0.0,0.1009
21.9513,2.7416,3.164,0.0,0.0888
21.9849,2.7432,3.1633,0.0,0.112
22.0191,2.7485,3.1671,0.0,0.0992
22.0514,2.7545,3.1749,0.0,0.0964
22.0819,2.7583,3.1864,0.0,0.0925
22.1135,2.761,3.1816,0.0,0.0982
22.1502,2.7673,3.1869,0.0,0.0949
22.1813,2.7735,3.1985,0.0,0.0908
22.2159,2.777,3.1989,0.0,0.0962
22.2488,2.7817,3.2013,0.0,0.0933
22.2809,2.7858,3.2099,0.0,0.1053
22.3155,2.7906,3.2122,0.0,0.0805
22.3492,2.7908,3.2139,0.0,0.0935
22.3807,2.7974,3.2212,0.0,0.1089
22.4141,2.8015,3.2292,0.0,0.101
22.4497,2.8049,3.2271,0.0,0.0981
22.4819,2.8132,3.2327,0.0,0.0978
22.5154,2.8142,3.2362,0.0,0.0941
22.547,2.8143,3.2403,0.0,0.088
22.5779,2.8194,3.2452,0.0,0.1062
22.6114,2.8219,3.2431,0.0,0.1086
22.6425,2.8282,3.2535,0.0,0.1054
22.6787,2.8357,3.2569,0.0,0.1015
22.7108,2.8385,3.2632,0.0,0.0924
22.746,2.8378,3.2644,0.0,0.0861
22.78,2.8422,3.2688,0.0,0.1168
22.8146,2.8501,3.2774,0.0,0.0935
22.8433,2.8504,3.2923,0.0,0.1156
22.8801,2.8605,3.3,0.0,0.0873
22.9132,2.863,3.3006,0.0,0.0966
22.9459,2.867,3.304,0.0,0.0915
22.9819,2.8716,3.3025,0.0,0.1049
23.0116,2.8803,3.3226,0.0,0.0983
23.0453,2.8747,3.3157,0.0,0.1327
23.0795,2.8895,3.3213,0.0,0.1008
23.1115,2.8928,3.334,0.0,0.0953
23.1491,2.8935,3.3253,0.0,0.1039
23.1783,2.9017,3.34,0.0,0.1011
23.2143,2.8981,3.336,0.0,0.1249
23.2452,2.9103,3.3521,0.0,0.0927
23.2797,2.9144,3.3499,0.0,0.0948
23.3127,2.9164,3.3526,0.0,0.0986
23.3443,2.9248,3.3664,0.0,0.0997
23.3782,2.9279,3.3639,0.0,0.0965
23.4071,2.9423,3.3802,0.0,0.0985
23.4404,2.9504,3.3887,0.0,0.0946
23.4748,2.9541,3.3884,0.0,0.0906
23.5068,2.9566,3.3968,0.0,0.093
23.541,2.9608,3.3948,0.0,0.0995
23.572,2.9632,3.4048,0.0,0.0893
23.6064,2.9696,3.4048,0.0,0.1042
23.639,2.9751,3.4131,0.0,0.1048
23.6745,2.9806,3.4164,0.0,0.0977
23.7101,2.9833,3.4156,0.0,0.0988
23.7412,2.9916,3.4272,0.0,0.0947
23.7759,2.9915,3.4253,0.0,0.0994
23.8058,2.991,3.4319,0.0,0.0957
23.8414,2.9989,3.4306,0.0,0.1031
23.8732,3.0063,3.4404,0.0,0.0991
23.9081,3.0095,3.441,0.0,0.1036
23.9384,3.0145,3.4491,0.0,0.1098
23.9731,3.0204,3.455,0.0,0.1004
24.0086,3.0232,3.4562,0.0,0.0969
24.0399,3.0246,3.463,0.0,0.1017
24.0714,3.0345,3.4716,0.0,0.0998
24.1056,3.0381,3.4799,0.0,0.0995
24.1389,3.0436,3.4844,0.0,0.0908
24.171,3.0471,3.4914,0.0,0.1013
24.207,3.0506,3.5116,0.0,0.0975
24.2422,3.0606,3.5157,0.0,0.0985
24.2738,3.0605,3.5209,0.0,0.1016
24.3058,3.0677,3.529,0.0,0.1061
24.342,3.0696,3.5382,0.0,0.1099
24.3735,3.0783,3.5468,0.0,0.1018
24.4073,3.0829,3.5525,0.0,0.0948
24.4412,3.0838,3.5555,0.0,0.0982
24.4731,3.0918,3.5777,0.0,0.1009
24.5068,3.0966,3.5833,0.0,0.1003
24.5396,3.0983,3.587,0.0,0.1019
24.5755,3.1062,3.5928,0.0,0.0928
24.6083,3.1097,3.6012,0.0,0.0862
24.6393,3.1112,3.6081,0.0,0.0954
24.6766,3.1163,3.6017,0.0,0.1116
24.7077,3.1254,3.6129,0.0,0.1005
24.7427,3.1268,3.6175,0.0,0.098
24.7779,3.1303,3.6155,0.0,0.1018
24.8082,3.1371,3.6285,0.0,0.0806
24.8468,3.1397,3.6296,0.0,0.0914
24.8783,3.1488,3.6399,0.0,0.0922
24.9109,3.1509,3.639,0.0,0.0997
24.9473,3.1559,3.64,0.0,0.1023
24.9798,3.1575,3.6475,0.0,0.0944
25.0153,3.1654,3.6501,0.0,0.0921
25.0458,3.1711,3.6627,0.0,0.0861
25.0801,3.1693,3.6588,0.0,0.1174
25.1146,3.1802,3.6684,0.0,0.0936
25.1481,3.1841,3.6689,0.0,0.0991
25.1832,3.1908,3.6734,0.0,0.0968
25.2145,3.1952,3.6805,0.0,0.1024
25.2465,3.1977,3.6856,0.0,0.11
25.283,3.1999,3.6861,0.0,0.1009
25.3163,3.2046,3.6916,0.0,0.1001
25.3497,3.2122,3.7019,0.0,0.0969
25.3841,3.212,3.7003,0.0,0.1166
25.419,3.2211,3.7062,0.0,0.0994
25.4529,3.2246,3.7177,0.0,0.092
25.4874,3.2273,3.7123,0.0,0.1081
25.5172,3.2291,3.7183,0.0,0.1016
25.5488,3.2386,3.7407,0.0,0.0995
25.5854,3.2409,3.7382,0.0,0.107
25.6208,3.2491,3.7445,0.0,0.0956
25.6539,3.2512,3.748,0.0,0.1005
25.6864,3.2578,3.7552,0.0,0.0972
25.7224,3.2609,3.7551,0.0,0.1009
25.754,3.2707,3.7653,0.0,0.1008
25.7878,3.2722,3.7727,0.0,0.0881
25.8207,3.2755,3.7779,0.0,0.1005
25.857,3.2812,3.7759,0.0,0.0958
25.8906,3.2866,3.7822,0.0,0.0966
25.9234,3.2895,3.7909,0.0,0.0972
25.9554,3.2955,3.7984,0.0,0.1073
25.9895,3.2997,3.8059,0.0,0.0911
26.0226,3.3047,3.8106,0.0,0.0904
26.0568,3.3152,3.8136,0.0,0.0971
26.0913,3.319,3.8172,0.0,0.0886
26.1235,3.3242,3.8254,0.0,0.0958
26.1594,3.3247,3.8221,0.0,0.1031
26.1827,3.3499,3.8528,0.0,0.0958
26.2082,3.3677,3.8695,0.0,0.1077
26.2448,3.3773,3.876,0.0,0.0904
26.2741,3.3808,3.8806,0.0,0.0977
26.3102,3.38,3.8827,0.0,0.1145
26.3406,3.3902,3.8958,0.0,0.1035
26.3768,3.3934,3.8965,0.0,0.0958
26.4081,3.4022,3.913,0.0,0.0859
26.4441,3.4038,3.9046,0.0,0.1124
26.4803,3.4091,3.9059,0.0,0.0953
26.511,3.418,3.9167,0.0,0.0986
26.5466,3.4187,3.9162,0.0,0.0982
26.5794,3.4258,3.9242,0.0,0.0983
26.6045,3.4518,3.9507,0.0,0.0881
26.6252,3.4838,3.9882,0.0,0.0996
26.6552,3.4951,3.9967,0.0,0.0837
26.6873,3.4973,3.999,0.0,0.1025
26.721,3.5043,4.0024,0.0,0.1059
26.7557,3.5114,4.0089,0.0,0.0949
26.788,3.514,4.0198,0.0,0.0882
26.8231,3.5168,4.0172,0.0,0.0973
26.8559,3.5229,4.0235,0.0,0.1013
26.8888,3.5261,4.0286,0.0,0.0996
26.9222,3.537,4.0331,0.0,0.0952
26.9558,3.5398,4.0363,0.0,0.0992
26.988,3.5408,4.044,0.0,0.1044
27.0219,3.541,4.0474,0.0,0.4201
27.0553,3.5532,4.054,0.0,0.1005
27.0883,3.5571,4.0589,0.0,0.1065
27.1229,3.5618,4.0629,0.0,0.1122
27.1563,3.5682,4.0729,0.0,0.0976
27.191,3.5768,4.0762,0.0,0.0855
27.2228,3.5827,4.088,0.0,0.1008
27.2582,3.5877,4.0913,0.0,0.0928
27.2923,3.59,4.0878,0.0,0.1006
27.3259,3.5942,4.0964,0.0,0.0964
27.3609,3.5993,4.0955,0.0,0.1028
27.3921,3.6053,4.1064,0.0,0.1003
27.4288,3.6107,4.1289,0.0,0.0999
27.4584,3.6147,4.1404,0.0,0.1007
27.4928,3.6162,4.1426,0.0,0.1027
27.5251,3.6265,4.15,0.0,0.1032
27.5581,3.6269,4.1692,0.0,0.1237
27.5924,3.6358,4.1762,0.0,0.0989
27.6218,3.6491,4.2058,0.0,0.1095
27.6463,3.6772,4.2251,0.0,0.0991
27.6782,3.685,4.2331,0.0,0.1017
27.7126,3.6856,4.2369,0.0,0.0977
27.7432,3.6937,4.2482,0.0,0.1108
27.7798,3.6994,4.252,0.0,0.0962
27.8053,3.7255,4.2759,0.0,0.0953
27.8257,3.7589,4.3139,0.0,0.0888
27.8549,3.7715,4.3243,0.0,0.0944
27.88,3.7698,4.3422,0.0,0.1207
27.9128,3.7751,4.3483,0.0,0.1037
27.9465,3.7792,4.3529,0.0,0.1075
27.9799,3.7827,4.3681,0.0,0.0924
28.0142,3.7905,4.3728,0.0,0.0969
28.0473,3.7959,4.3778,0.0,0.1007
28.0796,3.8001,4.389,0.0,0.0964
28.1139,3.8054,4.3896,0.0,0.0996
28.1464,3.8126,4.3993,0.0,0.0909
28.1812,3.8178,4.401,0.0,0.1163
28.2163,3.8214,4.3999,0.0,0.1655
28.2577,3.8357,4.3983,0.0,0.0983
28.29,3.8406,4.4053,0.0,0.0974
28.3253,3.8488,4.4116,0.0,0.0916
28.3573,3.8505,4.4122,0.0,0.1006
28.3878,3.8594,4.4301,0.0,0.0977
28.4237,3.8602,4.4238,0.0,0.1158
28.4561,3.8704,4.4346,0.0,0.0961
28.4907,3.8776,4.4379,0.0,0.0917
28.523,3.8798,4.4424,0.0,0.0997
28.5576,3.8851,4.447,0.0,0.1003
28.589,3.8927,4.4607,0.0,0.0858
28.6244,3.8964,4.459,0.0,0.096
28.6598,3.9048,4.4643,0.0,0.0914
28.6905,3.9059,4.471,0.0,0.1021
28.7279,3.9134,4.4729,0.0,0.0936
28.7585,3.9151,4.4805,0.0,0.102
28.794,3.926,4.4867,0.0,0.098
28.8266,3.928,4.4897,0.0,0.1078
28.859,3.9369,4.4988,0.0,0.1001
28.893,3.944,4.508,0.0,0.091
28.9269,3.9415,4.507,0.0,0.0997
28.9601,3.953,4.5162,0.0,0.0919
28.9945,3.9546,4.5202,0.0,0.093
29.0247,3.9622,4.5322,0.0,0.1019
29.0613,3.9697,4.5309,0.0,0.0958
29.094,3.9698,4.5401,0.0,0.0936
29.1272,3.976,4.5459,0.0,0.0935
29.1628,3.98,4.5428,0.0,0.1089
29.193,3.9906,4.5568,0.0,0.106
29.2308,3.9942,4.5545,0.0,0.0999
29.2618,3.9993,4.5666,0.0,0.0973
29.2963,4.0024,4.5782,0.0,0.0943
29.3317,4.0105,4.5703,0.0,0.094
29.3616,4.0194,4.5829,0.0,0.0963
29.3984,4.0222,4.5809,0.0,0.1061
29.4283,4.0287,4.5989,0.0,0.0866
29.4608,4.034,4.6012,0.0,0.1114
29.4961,4.0361,4.6032,0.0,0.1099
29.5278,4.0459,4.6165,0.0,0.1015
29.566,4.0489,4.61,0.0,0.1018
29.5987,4.055,4.6181,0.0,0.1008
29.6337,4.0599,4.6216,0.0,0.0967
29.6681,4.0662,4.6251,0.0,0.112
29.701,4.0735,4.6391,0.0,0.0957
29.7313,4.0774,4.6463,0.0,0.1027
29.7684,4.0844,4.6497,0.0,0.0944
29.7967,4.0853,4.6548,0.0,0.0928
29.8326,4.0914,4.6601,0.0,0.0819
29.8661,4.0964,4.662,0.0,0.1003
29.9009,4.0996,4.6659,0.0,0.1
29.9328,4.107,4.6746,0.0,0.1019
29.9658,4.117,4.6836,0.0,0.0968
30.0008,4.1196,4.6863,0.0,0.0973
30.0353,4.1231,4.6893,0.0,0.1078
30.0682,4.1309,4.6987,0.0,0.0953
30.1005,4.1375,4.701,0.0,0.0985
30.1335,4.1416,4.7105,0.0,0.0978
30.1682,4.1446,4.7113,0.0,0.0995
30.2038,4.1499,4.7143,0.0,0.1182
30.2353,4.1542,4.7234,0.0,0.103
30.2694,4.1616,4.726,0.0,0.1072
30.3038,4.1662,4.7339,0.0,0.0902
30.337,4.1739,4.7376,0.0,0.0983
30.3719,4.18,4.7414,0.0,0.0995
30.403,4.1878,4.7542,0.0,0.0996
30.4344,4.1831,4.7515,0.0,0.108
30.4668,4.1886,4.7605,0.0,0.1027
30.5005,4.1907,4.7663,0.0,0.1004
30.5364,4.2003,4.7725,0.0,0.0969
30.5706,4.2055,4.7761,0.0,0.1019
30.6034,4.2154,4.8057,0.0,0.1058
30.6381,4.2202,4.8124,0.0,0.1004
30.6718,4.2236,4.8155,0.0,0.0974
30.7063,4.2342,4.8273,0.0,0.0915
30.7408,4.2323,4.8325,0.0,0.1218
30.7726,4.245,4.8423,0.0,0.1013
30.807,4.251,4.8497,0.0,0.1021
30.8409,4.2567,4.8537,0.0,0.0977
30.874,4.2574,4.8567,0.0,0.1063
30.9058,4.2633,4.8794,0.0,0.0761
30.9422,4.2665,4.8791,0.0,0.1164
30.9724,4.2759,4.9117,0.0,0.0974
31.009,4.2818,4.9096,0.0,0.0963
31.05,4.2851,4.9097,0.0,0.1019
31.0812,4.2898,4.9194,0.0,0.1106
31.1161,4.2935,4.9238,0.0,0.0983
31.3413,3.7147,4.6241,0.0,1.3275
31.4567,3.8442,4.4786,0.0,0.0943
31.4958,3.862,4.4899,0.0,0.0971
31.5362,3.8717,4.4962,0.0,0.0971
31.5734,3.884,4.5098,0.0,0.096
31.612,3.8954,4.5203,0.0,0.1013
31.6492,3.9039,4.5327,0.0,0.1164
31.6889,3.9192,4.5441,0.0,0.0965
31.7265,3.9289,4.557,0.0,0.0933
31.7625,3.9375,4.5717,0.0,0.0984
31.8024,3.9523,4.5827,0.0,0.0896
31.838,3.965,4.5958,0.0,0.1229
31.8772,3.9745,4.6066,0.0,0.0988
31.9153,3.9831,4.6168,0.0,0.3441
31.954,3.9989,4.6303,0.0,0.0962
31.9917,4.0086,4.6413,0.0,0.1228
32.0296,4.0167,4.6521,0.0,0.0985
32.0661,4.0279,4.6669,0.0,0.0993
32.1044,4.0373,4.6786,0.0,0.0908
32.1418,4.0456,4.6884,0.0,0.1045
32.1779,4.0569,4.7059,0.0,0.269
32.2152,4.0668,4.7187,0.0,0.1625
32.253,4.0758,4.7238,0.0,0.0977
32.2895,4.0839,4.7325,0.0,0.0934
32.3246,4.092,4.7385,0.0,0.0955
32.3597,4.0977,4.7442,0.0,0.0972
32.393,4.1045,4.7497,0.0,0.1099
32.4286,4.1085,4.7557,0.0,0.0983
32.4692,4.1284,4.7517,0.0,0.1079
32.5018,4.1366,4.7633,0.0,0.0961
32.5375,4.1398,4.7644,0.0,0.0986
32.5691,4.1444,4.7781,0.0,0.093
32.6029,4.1527,4.7784,0.0,0.1021
32.6376,4.1552,4.7844,0.0,0.0998
32.673,4.1591,4.7873,0.0,0.0989
32.7066,4.1691,4.7991,0.0,0.0913
32.7409,4.1713,4.7984,0.0,0.0977
32.774,4.1763,4.8033,0.0,0.101
32.8082,4.1794,4.8063,0.0,0.1003
32.8433,4.1852,4.8102,0.0,0.1013
32.876,4.1894,4.8159,0.0,0.1049
32.9086,4.1946,4.826,0.0,0.1004
32.9377,4.192,4.827,0.0,0.0992
32.9716,4.1915,4.838,0.0,0.0995
33.005,4.197,4.8442,0.0,0.2041
33.0455,4.216,4.8488,0.0,0.0876
33.0837,4.2197,4.8525,0.0,0.1003
33.1184,4.2225,4.8541,0.0,0.0995
33.1502,4.2306,4.8618,0.0,0.1011
33.1875,4.2349,4.8631,0.0,0.1004
33.2192,4.2396,4.8746,0.0,0.1121
33.2522,4.2461,4.8849,0.0,0.093
33.2844,4.2465,4.8856,0.0,0.0937
33.321,4.2586,4.8882,0.0,0.0984
33.3579,4.2614,4.8896,0.0,0.0966
33.3875,4.2667,4.8996,0.0,0.1027
33.4196,4.2635,4.9071,0.0,0.1
33.4527,4.2638,4.9099,0.0,0.1013
33.4867,4.2761,4.9197,0.0,0.1131
33.5268,4.2868,4.9148,0.0,0.1005
33.5581,4.296,4.9264,0.0,0.0969
33.5939,4.2994,4.9303,0.0,0.0942
33.6298,4.3043,4.9322,0.0,0.0888
33.6611,4.3089,4.9452,0.0,0.0987
33.6947,4.3141,4.9453,0.0,0.097
33.727,4.3162,4.9504,0.0,0.1277
33.7628,4.3271,4.9644,0.0,0.0885
33.7962,4.3298,4.9625,0.0,0.0917
33.8321,4.3326,4.9613,0.0,0.1007
33.8613,4.3318,4.9728,0.0,0.2251
33.8982,4.3394,4.9731,0.0,0.1487
33.9316,4.3538,4.9829,0.0,0.0958
33.9581,4.3785,5.0071,0.0,0.0919
33.9889,4.386,5.0149,0.0,0.105
34.0211,4.3943,5.0241,0.0,0.094
34.0576,4.4006,5.0282,0.0,0.0956
34.0874,4.4035,5.0343,0.0,0.1008
34.1257,4.4076,5.0343,0.0,0.0981
34.158,4.4103,5.0415,0.0,0.1182
34.191,4.4158,5.0523,0.0,0.0906
34.2249,4.4245,5.0581,0.0,0.0927
34.2574,4.4274,5.0638,0.0,0.0952
34.2932,4.4338,5.0633,0.0,0.1011
34.3257,4.4385,5.0731,0.0,0.0944
34.3599,4.4439,5.073,0.0,0.1005
34.3925,4.4118,5.0838,0.0,0.1051
34.4329,4.4508,5.083,0.0,0.0903
34.4655,4.4571,5.0895,0.0,0.0966
34.4997,4.4606,5.0933,0.0,0.0996
34.5329,4.4652,5.0976,0.0,0.1159
34.5674,4.4707,5.1066,0.0,0.091
34.6028,4.4807,5.1089,0.0,0.0999
34.6362,4.4823,5.1119,0.0,0.1031
34.6709,4.4864,5.1159,0.0,0.1162
34.7052,4.4959,5.1234,0.0,0.0968
34.74,4.4968,5.1256,0.0,0.1036
34.7725,4.5058,5.1512,0.0,0.0919
34.8061,4.5085,5.1509,0.0,0.0948
34.8443,4.5032,5.1511,0.0,0.1347
34.8834,4.515,5.1513,0.0,0.1007
34.9169,4.5383,5.1581,1e-05,12.9876
35.8901,1.7625,3.7555,5e-05,4.8653
36.5433,1.9427,2.638,0.0,0.3146
36.6144,1.9665,2.5946,0.0,0.0987
36.6541,1.9735,2.6043,0.0,0.0987
36.6975,1.9757,2.6063,0.0,0.093
36.74,1.9798,2.6086,0.0,0.1042
36.7801,1.9851,2.6183,0.0,0.0979
36.8242,1.9887,2.6204,0.0,0.0887
36.8664,1.9929,2.6253,0.0,0.0951
36.9101,1.9983,2.6244,0.0,0.0967
36.9528,2.0009,2.6304,0.0,0.0942
36.9937,2.0054,2.6341,0.0,0.0987
37.0372,2.0081,2.6348,0.0,0.1043
37.0798,2.0132,2.6391,0.0,0.2949
37.1211,2.0165,2.645,0.0,0.0999
37.1642,2.0207,2.6479,0.0,0.0965
37.2053,2.0234,2.6531,0.0,0.0958
37.2489,2.0282,2.6545,0.0,0.1002
37.29,2.0332,2.6623,0.0,0.0961
37.3327,2.0371,2.6675,0.0,0.0928
37.3736,2.0413,2.6711,0.0,0.1115
37.4171,2.0437,2.6714,0.0,0.1088
37.4581,2.05,2.68,0.0,0.1009
37.4996,2.0522,2.6858,0.0,0.0995
37.5435,2.0574,2.6843,0.0,0.1084
37.5855,2.0619,2.6894,0.0,0.1
37.628,2.0669,2.6943,0.0,0.1002
37.6687,2.0714,2.7012,0.0,0.103
37.7103,2.0733,2.704,0.0,0.1229
37.7539,2.0791,2.7068,0.0,0.095
37.7957,2.0823,2.7103,0.0,0.1051
37.8356,2.0882,2.724,0.0,0.0944
37.8779,2.0927,2.7234,0.0,0.0979
37.9214,2.0964,2.7238,0.0,0.1022
37.9636,2.1004,2.728,0.0,0.1076
38.0055,2.1041,2.7348,0.0,0.0987
38.0449,2.1091,2.7416,0.0,0.1148
38.0896,2.1134,2.7413,0.0,0.0997
38.1283,2.123,2.7526,0.0,0.1099
38.1707,2.1281,2.756,0.0,0.104
38.2139,2.132,2.7587,0.0,0.1014
38.2552,2.1368,2.7636,0.0,0.1
38.2929,2.1464,2.7796,0.0,0.0995
38.3359,2.1515,2.7815,0.0,0.0977
38.3785,2.1562,2.7822,0.0,0.1
38.4198,2.1594,2.788,0.0,0.102
38.4603,2.1654,2.7971,0.0,0.097
38.5041,2.1691,2.7967,0.0,0.0969
38.5439,2.1755,2.8051,0.0,0.0991
38.5866,2.1781,2.8102,0.0,0.0958
38.6284,2.1823,2.8126,0.0,0.1001
38.6699,2.1886,2.819,0.0,0.1018
38.7114,2.1901,2.8219,0.0,0.1082
38.7536,2.1956,2.8258,0.0,0.1108
38.7965,2.2006,2.8347,0.0,0.1068
38.8363,2.2044,2.8385,0.0,0.105
38.8799,2.2089,2.8379,0.0,0.1047
38.9206,2.2153,2.8461,0.0,0.0904
38.9643,2.2195,2.8471,0.0,0.1006
39.0046,2.2217,2.8535,0.0,0.1042
39.0464,2.2269,2.8611,0.0,0.0969
39.0885,2.2342,2.8627,0.0,0.0995
39.1307,2.2366,2.8658,0.0,0.097
39.172,2.2429,2.8709,0.0,0.0995
39.2132,2.2471,2.8788,0.0,0.1021
39.2494,2.2519,2.9002,0.0,0.0984
39.2919,2.25,2.9017,0.0,0.0937
39.3299,2.2616,2.9129,0.0,0.0994
39.3699,2.2625,2.9172,0.0,0.1109
39.4109,2.2655,2.9232,0.0,0.1138
39.4515,2.2701,2.9296,0.0,0.0993
39.4928,2.2744,2.9352,0.0,0.1236
39.5354,2.2798,2.9352,0.0,0.1244
39.5767,2.2848,2.9427,0.0,0.1163
39.6177,2.2882,2.9503,0.0,0.1071
39.6595,2.2965,2.9528,0.0,0.132
39.7071,2.2937,2.9416,0.0,0.1708
39.7406,2.3036,2.9682,0.0,0.1045
39.7826,2.3076,2.9705,0.0,0.1045
39.8292,2.3117,2.9704,0.0,0.0971
39.8731,2.3103,2.9674,0.0,0.0953
39.9187,2.3151,2.9591,0.0,0.1604
39.9494,2.33,2.994,0.0,0.0961
39.9993,2.324,2.974,0.0,0.1914
40.0348,2.3388,2.9964,0.0,0.1065
