run,record,scale,table_file,record_dur_s,T_end,T_end_over_Tinit,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source
1,HU12,0.5,vel_HU.txt,35.9467,0.089422,0.9433,0.089422,,,,0.0,legacy_fallback:module missing
2,HU12,0.75,vel_HU.txt,35.9467,0.090657,0.9563,0.090657,,,,0.0,legacy_fallback:module missing
3,EC40,0.2,vel_EC.txt,39.5922,0.071658,0.7559,0.072117,0.071658,0.07169,0.0,2.4996,exp_psd_svd
4,HU12,1.0,vel_HU.txt,35.9467,0.071619,0.7555,0.077981,0.071619,0.040721,0.7588,2.4999,exp_psd_svd
5,HU12,1.25,vel_HU.txt,35.9467,0.072058,0.7601,0.076027,0.072058,0.071953,0.7618,2.4999,exp_psd_svd
6,EC40,0.3,vel_EC.txt,39.5922,0.067441,0.7114,0.06684,0.067441,0.067478,0.0001,2.4996,exp_psd_svd
7,HU12,1.5,vel_HU.txt,35.9467,0.066671,0.7033,0.042913,0.066671,0.037991,0.7533,2.4996,exp_psd_svd
8,EC40,0.4,vel_EC.txt,39.5922,0.067436,0.7114,0.067056,0.067436,0.067671,0.0002,2.4996,exp_psd_svd
9,HU12,1.75,vel_HU.txt,35.9467,0.063622,0.6711,0.076941,0.063622,0.036144,0.0,2.4999,exp_psd_svd
10,HU12,2.0,vel_HU.txt,35.9467,0.06341,0.6689,0.037732,0.06341,0.035902,0.0,2.4999,exp_psd_svd
11,EC40,0.5,vel_EC.txt,39.5922,0.070086,0.7393,0.139473,0.070086,0.070216,0.0002,2.4996,exp_psd_svd
12,HU12,2.25,vel_HU.txt,35.9467,0.059973,0.6326,0.037134,0.059973,0.060008,0.8851,2.5,exp_psd_svd
13,HU12,2.5,vel_HU.txt,35.9467,0.060368,0.6368,0.034896,0.060368,0.060377,0.8841,2.4997,exp_psd_svd
14,HU12,2.75,vel_HU.txt,35.9467,0.06057,0.6389,0.0358,0.06057,0.032236,0.8789,2.4998,exp_psd_svd
15,HU12,3.0,vel_HU.txt,35.9467,0.060989,0.6433,0.070263,0.060989,0.032634,0.8689,2.4998,exp_psd_svd
16,HU12,3.5,vel_HU.txt,35.9467,0.063068,0.6653,0.040463,0.063068,0.035323,0.7876,2.4995,exp_psd_svd
17,HU12,4.0,vel_HU.txt,35.9467,0.063239,0.6671,0.057638,0.063239,0.063263,0.0001,2.4998,exp_psd_svd
18,HU12,4.5,vel_HU.txt,35.9467,0.064417,0.6795,0.070133,0.064417,0.06444,0.7892,2.4998,exp_psd_svd
19,HU12,5.0,vel_HU.txt,35.9467,0.067809,0.7153,0.074552,0.067809,0.038284,0.7716,2.4998,exp_psd_svd
20,HU12,5.5,vel_HU.txt,35.9467,0.068988,0.7277,0.074631,0.068988,0.069097,0.0,2.4995,exp_psd_svd
21,HU12,6.0,vel_HU.txt,35.9467,0.073545,0.7758,0.077696,0.073545,0.073515,0.7724,2.4996,exp_psd_svd
22,FR76,1.0,vel_FR.txt,17.346,0.082679,0.8721,0.08727,0.082679,0.083099,0.0003,2.4999,exp_psd_svd
23,FR76,1.5,vel_FR.txt,17.346,0.080883,0.8532,0.070783,0.080883,0.023015,2.055,2.4995,exp_psd_svd
24,FR76,1.75,vel_FR.txt,17.346,0.078958,0.8329,0.080759,0.078958,0.025503,2.1403,2.4998,exp_psd_svd
25,FR76,2.0,vel_FR.txt,17.346,0.080257,0.8466,0.083419,0.080257,0.022567,0.0244,2.4995,exp_psd_svd
