         time tiltx_full... 
------------- ------------- 
 2.226472e-04  1.404404e-02 
 5.407147e-04  1.405550e-02 
 8.587821e-04  1.406116e-02 
 1.176850e-03  1.404763e-02 
 1.494917e-03  1.401668e-02 
 1.812984e-03  1.396899e-02 
 2.131052e-03  1.390485e-02 
 2.449119e-03  1.382165e-02 
 2.767187e-03  1.371648e-02 
 3.085254e-03  1.359255e-02 
 3.403322e-03  1.345533e-02 
 3.721389e-03  1.330456e-02 
 4.039457e-03  1.314000e-02 
 4.357524e-03  1.295843e-02 
 4.675592e-03  1.276043e-02 
 4.993659e-03  1.254636e-02 
 5.311726e-03  1.231582e-02 
 5.629794e-03  1.207006e-02 
 5.947861e-03  1.181091e-02 
 6.265929e-03  1.153960e-02 
 6.583996e-03  1.125571e-02 
 6.902064e-03  1.095951e-02 
 7.220131e-03  1.065144e-02 
 7.538199e-03  1.033112e-02 
 7.856266e-03  9.997872e-03 
 8.174334e-03  9.648905e-03 
 8.492401e-03  9.285157e-03 
 8.810468e-03  8.912519e-03 
 9.128536e-03  8.533251e-03 
 9.446603e-03  8.146385e-03 
 9.764671e-03  7.750625e-03 
 1.008274e-02  7.346634e-03 
 1.040081e-02  6.937661e-03 
 1.071887e-02  6.523731e-03 
 1.103694e-02  6.099017e-03 
 1.135501e-02  5.663473e-03 
 1.167308e-02  5.225336e-03 
 1.199114e-02  4.785402e-03 
 1.230921e-02  4.340562e-03 
 1.262728e-02  3.890660e-03 
 1.294535e-02  3.435164e-03 
 1.326341e-02  2.976401e-03 
 1.358148e-02  2.512752e-03 
 1.389955e-02  2.039440e-03 
 1.421762e-02  1.557366e-03 
 1.453568e-02  1.067113e-03 
 1.485375e-02  5.720932e-04 
 1.517182e-02  7.177708e-05 
 1.548988e-02 -4.324417e-04 
 1.580795e-02 -9.381169e-04 
 1.612602e-02 -1.442119e-03 
 1.644409e-02 -1.943879e-03 
 1.676215e-02 -2.446895e-03 
 1.708022e-02 -2.951078e-03 
 1.739829e-02 -3.455308e-03 
 1.771636e-02 -3.957859e-03 
 1.803442e-02 -4.461417e-03 
 1.835249e-02 -4.965807e-03 
 1.867056e-02 -5.469763e-03 
 1.898863e-02 -5.972595e-03 
 1.930669e-02 -6.477601e-03 
 1.962476e-02 -6.987652e-03 
 1.994283e-02 -7.502309e-03 
 2.026090e-02 -8.019493e-03 
 2.057896e-02 -8.539216e-03 
 2.089703e-02 -9.058681e-03 
 2.121510e-02 -9.574626e-03 
 2.153317e-02 -1.008452e-02 
 2.185123e-02 -1.058709e-02 
 2.216930e-02 -1.108600e-02 
 2.248737e-02 -1.158253e-02 
 2.280544e-02 -1.207273e-02 
 2.312350e-02 -1.255641e-02 
 2.344157e-02 -1.303648e-02 
 2.375964e-02 -1.351452e-02 
 2.407771e-02 -1.399359e-02 
 2.439577e-02 -1.446842e-02 
 2.471384e-02 -1.493701e-02 
 2.503191e-02 -1.540214e-02 
 2.534998e-02 -1.586519e-02 
 2.566804e-02 -1.632505e-02 
 2.598611e-02 -1.677457e-02 
 2.630418e-02 -1.721216e-02 
 2.662225e-02 -1.764022e-02 
 2.694031e-02 -1.805736e-02 
 2.725838e-02 -1.846014e-02 
 2.757645e-02 -1.884503e-02 
 2.789452e-02 -1.921307e-02 
 2.821258e-02 -1.956835e-02 
 2.853065e-02 -1.991154e-02 
 2.884872e-02 -2.024277e-02 
 2.916679e-02 -2.056227e-02 
 2.948485e-02 -2.087056e-02 
 2.980292e-02 -2.116561e-02 
 3.012099e-02 -2.144325e-02 
 3.043906e-02 -2.170397e-02 
 3.075712e-02 -2.194690e-02 
 3.107519e-02 -2.216467e-02 
 3.139326e-02 -2.235652e-02 
 3.171133e-02 -2.252537e-02 
 3.202939e-02 -2.267332e-02 
 3.234746e-02 -2.280142e-02 
 3.266553e-02 -2.290528e-02 
 3.298359e-02 -2.298137e-02 
 3.330166e-02 -2.303339e-02 
 3.361973e-02 -2.306237e-02 
 3.393780e-02 -2.306782e-02 
 3.425586e-02 -2.304744e-02 
 3.457393e-02 -2.299829e-02 
 3.489200e-02 -2.292351e-02 
 3.521007e-02 -2.282593e-02 
 3.552813e-02 -2.270452e-02 
 3.584620e-02 -2.255311e-02 
 3.616427e-02 -2.236785e-02 
 3.648234e-02 -2.215285e-02 
 3.680040e-02 -2.191059e-02 
 3.711847e-02 -2.163815e-02 
 3.743654e-02 -2.133277e-02 
 3.775461e-02 -2.099702e-02 
 3.807267e-02 -2.063114e-02 
 3.839074e-02 -2.023703e-02 
 3.870881e-02 -1.981275e-02 
 3.902688e-02 -1.935797e-02 
 3.934494e-02 -1.887250e-02 
 3.966301e-02 -1.835447e-02 
 3.998108e-02 -1.780392e-02 
 4.029915e-02 -1.722244e-02 
 4.061721e-02 -1.661321e-02 
 4.093528e-02 -1.597361e-02 
 4.125335e-02 -1.530257e-02 
 4.157142e-02 -1.460335e-02 
 4.188948e-02 -1.387794e-02 
 4.220755e-02 -1.312400e-02 
 4.252562e-02 -1.233932e-02 
 4.284369e-02 -1.152091e-02 
 4.316175e-02 -1.067058e-02 
 4.347982e-02 -9.793048e-03 
 4.379789e-02 -8.889453e-03 
 4.411596e-02 -7.958953e-03 
 4.443402e-02 -7.001015e-03 
 4.475209e-02 -6.018035e-03 
 4.507016e-02 -5.012828e-03 
 4.538823e-02 -3.985832e-03 
 4.570629e-02 -2.935016e-03 
 4.602436e-02 -1.858219e-03 
 4.634243e-02 -7.600820e-04 
 4.666050e-02  3.560880e-04 
 4.697856e-02  1.490637e-03 
 4.729663e-02  2.645761e-03 
 4.761470e-02  3.819446e-03 
 4.793277e-02  5.010998e-03 
 4.825083e-02  6.222979e-03 
 4.856890e-02  7.456198e-03 
 4.888697e-02  8.710754e-03 
 4.920504e-02  9.984931e-03 
 4.952310e-02  1.127815e-02 
 4.984117e-02  1.258887e-02 
 5.015924e-02  1.391586e-02 
 5.047730e-02  1.525432e-02 
 5.079537e-02  1.660286e-02 
 5.111344e-02  1.796175e-02 
 5.143151e-02  1.932951e-02 
 5.174957e-02  2.070421e-02 
 5.206764e-02  2.208633e-02 
 5.238571e-02  2.347844e-02 
 5.270378e-02  2.487929e-02 
 5.302184e-02  2.628950e-02 
 5.333991e-02  2.770785e-02 
 5.365798e-02  2.913189e-02 
 5.397605e-02  3.056429e-02 
 5.429411e-02  3.200623e-02 
 5.461218e-02  3.345505e-02 
 5.493025e-02  3.490888e-02 
 5.524832e-02  3.636726e-02 
 5.556638e-02  3.782821e-02 
 5.588445e-02  3.929029e-02 
 5.620252e-02  4.074907e-02 
 5.652059e-02  4.220350e-02 
 5.683865e-02  4.365627e-02 
 5.715672e-02  4.510898e-02 
 5.747479e-02  4.656002e-02 
 5.779286e-02  4.800645e-02 
 5.811092e-02  4.945076e-02 
 5.842899e-02  5.089506e-02 
 5.874706e-02  5.233626e-02 
 5.906513e-02  5.377218e-02 
 5.938319e-02  5.520225e-02 
 5.970126e-02  5.662639e-02 
 6.001933e-02  5.804556e-02 
 6.033740e-02  5.945957e-02 
 6.065546e-02  6.086575e-02 
 6.097353e-02  6.226234e-02 
 6.129160e-02  6.364827e-02 
 6.160967e-02  6.502258e-02 
 6.192773e-02  6.638358e-02 
 6.224580e-02  6.773038e-02 
 6.256387e-02  6.906064e-02 
 6.288194e-02  7.037317e-02 
 6.320000e-02  7.166885e-02 
 6.351807e-02  7.294783e-02 
 6.383614e-02  7.421080e-02 
 6.415421e-02  7.545876e-02 
 6.447227e-02  7.669021e-02 
 6.479034e-02  7.790236e-02 
 6.510841e-02  7.909697e-02 
 6.542648e-02  8.027333e-02 
 6.574454e-02  8.142858e-02 
 6.606261e-02  8.255692e-02 
 6.638068e-02  8.365705e-02 
 6.669875e-02  8.473207e-02 
 6.701681e-02  8.578142e-02 
 6.733488e-02  8.680166e-02 
 6.765295e-02  8.779023e-02 
 6.797101e-02  8.874840e-02 
 6.828908e-02  8.967902e-02 
 6.860715e-02  9.058143e-02 
 6.892522e-02  9.145468e-02 
 6.924328e-02  9.229562e-02 
 6.956135e-02  9.310925e-02 
 6.987942e-02  9.389436e-02 
 7.019749e-02  9.465106e-02 
 7.051555e-02  9.537641e-02 
 7.083362e-02  9.606762e-02 
 7.115169e-02  9.671956e-02 
 7.146976e-02  9.733600e-02 
 7.178782e-02  9.791431e-02 
 7.210589e-02  9.845595e-02 
 7.242396e-02  9.895836e-02 
 7.274203e-02  9.942101e-02 
 7.306009e-02  9.984397e-02 
 7.337816e-02  1.002289e-01 
 7.369623e-02  1.005775e-01 
 7.401430e-02  1.008913e-01 
 7.433236e-02  1.011692e-01 
 7.465043e-02  1.014098e-01 
 7.496850e-02  1.016156e-01 
 7.528657e-02  1.017880e-01 
 7.560463e-02  1.019276e-01 
 7.592270e-02  1.020293e-01 
 7.624077e-02  1.020938e-01 
 7.655884e-02  1.021232e-01 
 7.687690e-02  1.021175e-01 
 7.719497e-02  1.020722e-01 
 7.751304e-02  1.019877e-01 
 7.783111e-02  1.018628e-01 
 7.814917e-02  1.016992e-01 
 7.846724e-02  1.015008e-01 
 7.878531e-02  1.012664e-01 
 7.910338e-02  1.009968e-01 
 7.942144e-02  1.006994e-01 
 7.973951e-02  1.003710e-01 
 8.005758e-02  1.000150e-01 
 8.037565e-02  9.962981e-02 
 8.069371e-02  9.921463e-02 
 8.101178e-02  9.876980e-02 
 8.132985e-02  9.829352e-02 
 8.164792e-02  9.778788e-02 
 8.196598e-02  9.725377e-02 
 8.228405e-02  9.668828e-02 
 8.260212e-02  9.609239e-02 
 8.292019e-02  9.546789e-02 
 8.323825e-02  9.481450e-02 
 8.355632e-02  9.413300e-02 
 8.387439e-02  9.342275e-02 
 8.419245e-02  9.268498e-02 
 8.451052e-02  9.192025e-02 
 8.482859e-02  9.112875e-02 
 8.514666e-02  9.031354e-02 
 8.546472e-02  8.947455e-02 
 8.578279e-02  8.861335e-02 
 8.610086e-02  8.772825e-02 
 8.641893e-02  8.682293e-02 
 8.673699e-02  8.589752e-02 
 8.705506e-02  8.495112e-02 
 8.737313e-02  8.398318e-02 
 8.769120e-02  8.299643e-02 
 8.800926e-02  8.199066e-02 
 8.832733e-02  8.096596e-02 
 8.864540e-02  7.992215e-02 
 8.896347e-02  7.885978e-02 
 8.928153e-02  7.777987e-02 
 8.959960e-02  7.668189e-02 
 8.991767e-02  7.556490e-02 
 9.023574e-02  7.442878e-02 
 9.055380e-02  7.327484e-02 
 9.087187e-02  7.210319e-02 
 9.118994e-02  7.091513e-02 
 9.150801e-02  6.971363e-02 
 9.182607e-02  6.849897e-02 
 9.214414e-02  6.726944e-02 
 9.246221e-02  6.602531e-02 
 9.278028e-02  6.476684e-02 
 9.309834e-02  6.349162e-02 
 9.341641e-02  6.220093e-02 
 9.373448e-02  6.089506e-02 
 9.405255e-02  5.957452e-02 
 9.437061e-02  5.823878e-02 
 9.468868e-02  5.688826e-02 
 9.500675e-02  5.552395e-02 
 9.532482e-02  5.414786e-02 
 9.564288e-02  5.275940e-02 
 9.596095e-02  5.135868e-02 
 9.627902e-02  4.994597e-02 
 9.659709e-02  4.852192e-02 
 9.691515e-02  4.708599e-02 
 9.723322e-02  4.563887e-02 
 9.755129e-02  4.418127e-02 
 9.786936e-02  4.271312e-02 
 9.818742e-02  4.123354e-02 
 9.850549e-02  3.974250e-02 
 9.882356e-02  3.823969e-02 
 9.914163e-02  3.672475e-02 
 9.945969e-02  3.519795e-02 
 9.977776e-02  3.366083e-02 
 1.000958e-01  3.211332e-02 
 1.004139e-01  3.055731e-02 
 1.007320e-01  2.899611e-02 
 1.010500e-01  2.742888e-02 
 1.013681e-01  2.585590e-02 
 1.016862e-01  2.427680e-02 
 1.020042e-01  2.269241e-02 
 1.023223e-01  2.110152e-02 
 1.026404e-01  1.950443e-02 
 1.029584e-01  1.789901e-02 
 1.032765e-01  1.628519e-02 
 1.035946e-01  1.466392e-02 
 1.039126e-01  1.303638e-02 
 1.042307e-01  1.140130e-02 
 1.045488e-01  9.758547e-03 
 1.048668e-01  8.108099e-03 
 1.051849e-01  6.450853e-03 
 1.055030e-01  4.789214e-03 
 1.058210e-01  3.125208e-03 
 1.061391e-01  1.460583e-03 
 1.064572e-01 -2.028459e-04 
 1.067752e-01 -1.864511e-03 
 1.070933e-01 -3.525409e-03 
 1.074114e-01 -5.185320e-03 
 1.077294e-01 -6.845110e-03 
 1.080475e-01 -8.505645e-03 
 1.083656e-01 -1.016761e-02 
 1.086836e-01 -1.182988e-02 
 1.090017e-01 -1.349022e-02 
 1.093198e-01 -1.514757e-02 
 1.096379e-01 -1.679994e-02 
 1.099559e-01 -1.844503e-02 
 1.102740e-01 -2.007880e-02 
 1.105921e-01 -2.169770e-02 
 1.109101e-01 -2.329848e-02 
 1.112282e-01 -2.487963e-02 
 1.115463e-01 -2.644069e-02 
 1.118643e-01 -2.797984e-02 
 1.121824e-01 -2.949472e-02 
 1.125005e-01 -3.098437e-02 
 1.128185e-01 -3.244751e-02 
 1.131366e-01 -3.388593e-02 
 1.134547e-01 -3.530128e-02 
 1.137727e-01 -3.669669e-02 
 1.140908e-01 -3.807736e-02 
 1.144089e-01 -3.944571e-02 
 1.147269e-01 -4.080454e-02 
 1.150450e-01 -4.215382e-02 
 1.153631e-01 -4.349385e-02 
 1.156811e-01 -4.482294e-02 
 1.159992e-01 -4.613773e-02 
 1.163173e-01 -4.743673e-02 
 1.166353e-01 -4.872121e-02 
 1.169534e-01 -4.999075e-02 
 1.172715e-01 -5.124205e-02 
 1.175895e-01 -5.247578e-02 
 1.179076e-01 -5.369763e-02 
 1.182257e-01 -5.491624e-02 
 1.185437e-01 -5.610211e-02 
 1.188618e-01 -5.724614e-02 
 1.191799e-01 -5.834977e-02 
 1.194979e-01 -5.943172e-02 
 1.198160e-01 -6.047811e-02 
 1.201341e-01 -6.148532e-02 
 1.204521e-01 -6.247321e-02 
 1.207702e-01 -6.340477e-02 
 1.210883e-01 -6.430120e-02 
 1.214063e-01 -6.513967e-02 
 1.217244e-01 -6.597177e-02 
 1.220425e-01 -6.676006e-02 
 1.223605e-01 -6.750621e-02 
 1.226786e-01 -6.821974e-02 
 1.229967e-01 -6.889942e-02 
 1.233148e-01 -6.950986e-02 
 1.236328e-01 -7.005756e-02 
 1.239509e-01 -7.054268e-02 
 1.242690e-01 -7.098485e-02 
 1.245870e-01 -7.135220e-02 
