         time Z Displace... 
------------- ------------- 
 1.193087e-04  5.861771e-07 
 5.170043e-04  5.861772e-07 
 9.146999e-04  5.861773e-07 
 1.312396e-03  5.861773e-07 
 1.710091e-03  5.861776e-07 
 2.107787e-03  5.861776e-07 
 2.505482e-03  5.861782e-07 
 2.903178e-03  5.861787e-07 
 3.300874e-03  5.861789e-07 
 3.698569e-03  5.861794e-07 
 4.096265e-03  5.861800e-07 
 4.493961e-03  5.861800e-07 
 4.891656e-03  5.861805e-07 
 5.289352e-03  5.861812e-07 
 5.687047e-03  5.861836e-07 
 6.084743e-03  5.861892e-07 
 6.482439e-03  5.861971e-07 
 6.880134e-03  5.862065e-07 
 7.277830e-03  5.862189e-07 
 7.675526e-03  5.862337e-07 
 8.073221e-03  5.862504e-07 
 8.470917e-03  5.862697e-07 
 8.868613e-03  5.862904e-07 
 9.266308e-03  5.863122e-07 
 9.664004e-03  5.863404e-07 
 1.006170e-02  5.863787e-07 
 1.045940e-02  5.864099e-07 
 1.085709e-02  5.864275e-07 
 1.125479e-02  5.864750e-07 
 1.165248e-02  5.865308e-07 
 1.205018e-02  5.865556e-07 
 1.244787e-02  5.866021e-07 
 1.284557e-02  5.866401e-07 
 1.324326e-02  5.866967e-07 
 1.364096e-02  5.868220e-07 
 1.403866e-02  5.869349e-07 
 1.443635e-02  5.870351e-07 
 1.483405e-02  5.871074e-07 
 1.523174e-02  5.872043e-07 
 1.562944e-02  5.872914e-07 
 1.602713e-02  5.873782e-07 
 1.642483e-02  5.875037e-07 
 1.682253e-02  5.876327e-07 
 1.722022e-02  5.877787e-07 
 1.761792e-02  5.879278e-07 
 1.801561e-02  5.880193e-07 
 1.841331e-02  5.881472e-07 
 1.881100e-02  5.883170e-07 
 1.920870e-02  5.884798e-07 
 1.960639e-02  5.886334e-07 
 2.000409e-02  5.887556e-07 
 2.040179e-02  5.888638e-07 
 2.079948e-02  5.889808e-07 
 2.119718e-02  5.891622e-07 
 2.159487e-02  5.893224e-07 
 2.199257e-02  5.894730e-07 
 2.239026e-02  5.895935e-07 
 2.278796e-02  5.897101e-07 
 2.318566e-02  5.898532e-07 
 2.358335e-02  5.900281e-07 
 2.398105e-02  5.902201e-07 
 2.437874e-02  5.904379e-07 
 2.477644e-02  5.906438e-07 
 2.517413e-02  5.908640e-07 
 2.557183e-02  5.910714e-07 
 2.596952e-02  5.912941e-07 
 2.636722e-02  5.915263e-07 
 2.676492e-02  5.918080e-07 
 2.716261e-02  5.921104e-07 
 2.756031e-02  5.924089e-07 
 2.795800e-02  5.927162e-07 
 2.835570e-02  5.930305e-07 
 2.875339e-02  5.933680e-07 
 2.915109e-02  5.937446e-07 
 2.954879e-02  5.941487e-07 
 2.994648e-02  5.945537e-07 
 3.034418e-02  5.949546e-07 
 3.074187e-02  5.953676e-07 
 3.113957e-02  5.957824e-07 
 3.153726e-02  5.962160e-07 
 3.193496e-02  5.966857e-07 
 3.233265e-02  5.971554e-07 
 3.273035e-02  5.975818e-07 
 3.312805e-02  5.980333e-07 
 3.352574e-02  5.985271e-07 
 3.392344e-02  5.990198e-07 
 3.432113e-02  5.994980e-07 
 3.471883e-02  5.999799e-07 
 3.511652e-02  6.004523e-07 
 3.551422e-02  6.010024e-07 
 3.591192e-02  6.015427e-07 
 3.630961e-02  6.020475e-07 
 3.670731e-02  6.025526e-07 
 3.710500e-02  6.030696e-07 
 3.750270e-02  6.036406e-07 
 3.790039e-02  6.042014e-07 
 3.829809e-02  6.047598e-07 
 3.869578e-02  6.053240e-07 
 3.909348e-02  6.058945e-07 
 3.949118e-02  6.065219e-07 
 3.988887e-02  6.071215e-07 
 4.028657e-02  6.077412e-07 
 4.068426e-02  6.083481e-07 
 4.108196e-02  6.089810e-07 
 4.147965e-02  6.096243e-07 
 4.187735e-02  6.102884e-07 
 4.227505e-02  6.109522e-07 
 4.267274e-02  6.116259e-07 
 4.307044e-02  6.123348e-07 
 4.346813e-02  6.130803e-07 
 4.386583e-02  6.137974e-07 
 4.426352e-02  6.145030e-07 
 4.466122e-02  6.152144e-07 
 4.505891e-02  6.159352e-07 
 4.545661e-02  6.167087e-07 
 4.585431e-02  6.175295e-07 
 4.625200e-02  6.183618e-07 
 4.664970e-02  6.191231e-07 
 4.704739e-02  6.198725e-07 
 4.744509e-02  6.206635e-07 
 4.784278e-02  6.215026e-07 
 4.824048e-02  6.223760e-07 
 4.863818e-02  6.232098e-07 
 4.903587e-02  6.240373e-07 
 4.943357e-02  6.248852e-07 
 4.983126e-02  6.257679e-07 
 5.022896e-02  6.266756e-07 
 5.062665e-02  6.275854e-07 
 5.102435e-02  6.284462e-07 
 5.142204e-02  6.293302e-07 
 5.181974e-02  6.302388e-07 
 5.221744e-02  6.311386e-07 
 5.261513e-02  6.320614e-07 
 5.301283e-02  6.330064e-07 
 5.341052e-02  6.339770e-07 
 5.380822e-02  6.349175e-07 
 5.420591e-02  6.358154e-07 
 5.460361e-02  6.367493e-07 
 5.500131e-02  6.377038e-07 
 5.539900e-02  6.387435e-07 
 5.579670e-02  6.398017e-07 
 5.619439e-02  6.408311e-07 
 5.659209e-02  6.417806e-07 
 5.698978e-02  6.427490e-07 
 5.738748e-02  6.437840e-07 
 5.778517e-02  6.448257e-07 
 5.818287e-02  6.458558e-07 
 5.858057e-02  6.468733e-07 
 5.897826e-02  6.479338e-07 
 5.937596e-02  6.490336e-07 
 5.977365e-02  6.501271e-07 
 6.017135e-02  6.511670e-07 
 6.056904e-02  6.521951e-07 
 6.096674e-02  6.532641e-07 
 6.136444e-02  6.543659e-07 
 6.176213e-02  6.555002e-07 
 6.215983e-02  6.566115e-07 
 6.255752e-02  6.576995e-07 
 6.295522e-02  6.587316e-07 
 6.335291e-02  6.597948e-07 
 6.375061e-02  6.608783e-07 
 6.414830e-02  6.619828e-07 
 6.454600e-02  6.631397e-07 
 6.494370e-02  6.642795e-07 
 6.534139e-02  6.654698e-07 
 6.573909e-02  6.665909e-07 
 6.613678e-02  6.676825e-07 
 6.653448e-02  6.687991e-07 
 6.693217e-02  6.699496e-07 
 6.732987e-02  6.711358e-07 
 6.772757e-02  6.723090e-07 
 6.812526e-02  6.735328e-07 
 6.852296e-02  6.747049e-07 
 6.892065e-02  6.759386e-07 
 6.931835e-02  6.771526e-07 
 6.971604e-02  6.783687e-07 
 7.011374e-02  6.795882e-07 
 7.051143e-02  6.808711e-07 
 7.090913e-02  6.821385e-07 
 7.130683e-02  6.833704e-07 
 7.170452e-02  6.845861e-07 
