run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,beta_applied,s_applied
1,HU12,0.5,0.17,1.8478,1.7361,0.868,0.2641,3.29,0.2066,0.0211,0.005567,0.098078,1.0661,1.0,0
2,HU12,0.75,0.17,1.8478,1.7361,1.302,0.3962,3.29,0.3099,0.0316,0.00835,0.098056,1.0658,1.0,0
3,EC40,0.2,1.1,11.9565,116.9967,23.3993,0.2497,93.71,0.1321,0.0135,0.02312,0.098133,1.0667,1.0,0
4,HU12,1.0,0.17,1.8478,1.7361,1.7361,0.5282,3.29,0.4132,0.0421,0.011133,0.098068,1.066,1.0,0
5,HU12,1.25,0.17,1.8478,1.7361,2.1701,0.6603,3.29,0.5166,0.0527,0.013916,0.098044,1.0657,1.0,0
6,EC40,0.3,1.1,11.9565,116.9967,35.099,0.3746,93.71,0.1981,0.0202,0.03468,0.098135,1.0667,1.0,0
7,HU12,1.5,0.17,1.8478,1.7361,2.6041,0.7924,3.29,0.6199,0.0632,0.0167,0.098072,1.066,1.0,0
8,EC40,0.4,1.1,11.9565,116.9967,46.7987,0.4994,93.71,0.2641,0.0269,0.04624,0.09816,1.067,1.0,0
9,HU12,1.75,0.17,1.8478,1.7361,3.0381,0.9244,3.29,0.7232,0.0737,0.019483,0.098099,1.0663,1.0,0
10,HU12,2.0,0.17,1.8478,1.7361,3.4721,1.0565,3.29,0.8265,0.0843,0.022266,0.098112,1.0664,1.0,0
11,EC40,0.5,1.1,11.9565,116.9967,58.4983,0.6243,93.71,0.3302,0.0337,0.0578,0.098165,1.067,1.0,0
12,HU12,2.25,0.17,1.8478,1.7361,3.9061,1.1885,3.29,0.9298,0.0948,0.025049,0.098122,1.0665,1.0,0
13,HU12,2.5,0.17,1.8478,1.7361,4.3402,1.3206,3.29,1.0331,0.1053,0.027833,0.09809,1.0662,1.0,0
14,HU12,2.75,0.17,1.8478,1.7361,4.7742,1.4527,3.29,1.1364,0.1159,0.030616,0.098078,1.0661,1.0,0
15,HU12,3.0,0.17,1.8478,1.7361,5.2082,1.5847,3.29,1.2397,0.1264,0.033399,0.098105,1.0664,1.0,0
16,HU12,3.5,0.17,1.8478,1.7361,6.0762,1.8488,3.29,1.4463,0.1475,0.038966,0.098115,1.0665,1.0,0
17,HU12,4.0,0.17,1.8478,1.7361,6.9443,2.113,3.29,1.653,0.1686,0.044532,0.098169,1.0671,1.0,0
18,HU12,4.5,0.17,1.8478,1.7361,7.8123,2.3771,3.29,1.8596,0.1896,0.050099,0.098027,1.0655,1.0,0
19,HU12,5.0,0.17,1.8478,1.7361,8.6803,2.6412,3.29,2.0662,0.2107,0.055665,0.09663,1.0503,1.0,0
20,HU12,5.5,0.17,1.8478,1.7361,9.5484,2.9053,3.29,2.2728,0.2318,0.061232,0.095242,1.0352,1.0,0
21,HU12,6.0,0.17,1.8478,1.7361,10.4164,3.1694,3.29,2.4794,0.2528,0.066799,0.095472,1.0377,1.0,0
22,FR76,1.0,0.5,5.4348,44.3992,44.3992,1.299,34.18,1.2138,0.1238,0.09659,0.094267,1.0246,1.0,0
23,FR76,1.5,0.5,5.4348,44.3992,66.5989,1.9485,34.18,1.8207,0.1857,0.144886,0.094947,1.032,1.0,0
24,FR76,1.75,0.5,5.4348,44.3992,77.6987,2.2732,34.18,2.1241,0.2166,0.169033,0.0956,1.0391,1.0,0
25,FR76,2.0,0.5,5.4348,44.3992,88.7985,2.598,34.18,2.4276,0.2475,0.193181,0.09797,1.0649,1.0,0
