T_s,Sd_m
7.100000000000001865e-01,7.142215422873431085e-02
7.200000000000001954e-01,7.214612003646461713e-02
7.300000000000002043e-01,7.295872611527491614e-02
7.400000000000002132e-01,7.377945542317938810e-02
7.500000000000002220e-01,7.458241456303239814e-02
7.600000000000002309e-01,7.538769256658670037e-02
7.700000000000002398e-01,7.620838631761334137e-02
7.800000000000002487e-01,7.704696947639609605e-02
7.900000000000002576e-01,7.785515743113104181e-02
8.000000000000002665e-01,8.028153973125255749e-02
8.100000000000002753e-01,8.733246770697335182e-02
8.200000000000002842e-01,9.350032096257573921e-02
8.300000000000002931e-01,9.855468020023994136e-02
8.400000000000003020e-01,1.023745169460645588e-01
8.500000000000003109e-01,1.049109568478361620e-01
8.600000000000003197e-01,1.061079489662030695e-01
8.700000000000003286e-01,1.058245218893905243e-01
8.800000000000003375e-01,1.040473668375287986e-01
8.900000000000003464e-01,1.068631751039008787e-01
9.000000000000003553e-01,1.122183798387356435e-01
9.100000000000003642e-01,1.167907391557560653e-01
9.200000000000003730e-01,1.204890004551356641e-01
9.300000000000003819e-01,1.233160187991252238e-01
9.400000000000003908e-01,1.254070893085120486e-01
9.500000000000003997e-01,1.269010941770984113e-01
9.600000000000004086e-01,1.279414259809955601e-01
9.700000000000004174e-01,1.285509110753628725e-01
9.800000000000004263e-01,1.286183173477525588e-01
9.900000000000004352e-01,1.280803878498635029e-01
1.000000000000000444e+00,1.268552411869753038e-01
1.010000000000000453e+00,1.249910463464039556e-01
1.020000000000000462e+00,1.224879256289387597e-01
1.030000000000000471e+00,1.193402333057163311e-01
1.040000000000000480e+00,1.155732333767734571e-01
1.050000000000000488e+00,1.160711624790942004e-01
1.060000000000000497e+00,1.166175548416938240e-01
1.070000000000000506e+00,1.169500841007583419e-01
1.080000000000000515e+00,1.171124640418605978e-01
1.090000000000000524e+00,1.171113037894278425e-01
1.100000000000000533e+00,1.169966858494034950e-01
1.110000000000000542e+00,1.167809845208639674e-01
1.120000000000000551e+00,1.164723122675388467e-01
1.130000000000000560e+00,1.160616025370401483e-01
1.140000000000000568e+00,1.155584191609287936e-01
1.150000000000000577e+00,1.149767344228131427e-01
1.160000000000000586e+00,1.143099271642533110e-01
1.170000000000000595e+00,1.150749369246272386e-01
1.180000000000000604e+00,1.164697518538876791e-01
1.190000000000000613e+00,1.171878333515855158e-01
1.200000000000000622e+00,1.172641626546192806e-01
1.210000000000000631e+00,1.167436208032957140e-01
1.220000000000000639e+00,1.156970163981238670e-01
1.230000000000000648e+00,1.141876817096833530e-01
1.240000000000000657e+00,1.122718150987525448e-01
1.250000000000000666e+00,1.100196643407857083e-01
1.260000000000000675e+00,1.075162270711648022e-01
1.270000000000000684e+00,1.048494566915212506e-01
1.280000000000000693e+00,1.020773093254162545e-01
1.290000000000000702e+00,9.927888854000754826e-02
1.300000000000000711e+00,9.653294141722892907e-02
1.310000000000000719e+00,9.390997187516088307e-02
1.320000000000000728e+00,9.147860100765814462e-02
1.330000000000000737e+00,8.930863385719722825e-02
1.340000000000000746e+00,8.745562354346479716e-02
1.350000000000000755e+00,8.596437172327672793e-02
1.360000000000000764e+00,8.487534376718726403e-02
1.370000000000000773e+00,8.421643614950048706e-02
1.380000000000000782e+00,8.398435293973938176e-02
1.390000000000000790e+00,8.418794698076532967e-02
1.400000000000000799e+00,8.479299241891337380e-02
1.410000000000000808e+00,8.577634529930837359e-02
1.420000000000000817e+00,8.709362922651042727e-02
1.430000000000000826e+00,8.869315952864682828e-02
1.440000000000000835e+00,9.052767942784056832e-02
1.450000000000000844e+00,9.254818165860230483e-02
1.460000000000000853e+00,9.470537883185831118e-02
1.470000000000000862e+00,9.695100190883494673e-02
1.480000000000000870e+00,9.923891518416447233e-02
1.490000000000000879e+00,1.015341995992383728e-01
1.500000000000000888e+00,1.038082553971977906e-01
1.510000000000000897e+00,1.060293148144201836e-01
1.520000000000000906e+00,1.081727829442334365e-01
1.530000000000000915e+00,1.102272067949625345e-01
1.540000000000000924e+00,1.121801850530603772e-01
1.550000000000000933e+00,1.140188232139802832e-01
1.560000000000000941e+00,1.157373747599020480e-01
1.570000000000000950e+00,1.173321517073684789e-01
1.580000000000000959e+00,1.188017993377825515e-01
1.590000000000000968e+00,1.201500168087142606e-01
1.600000000000000977e+00,1.213778623532887208e-01
1.610000000000000986e+00,1.224915409230861174e-01
1.620000000000000995e+00,1.234995581500070438e-01
1.630000000000001004e+00,1.244122581364209557e-01
1.640000000000001013e+00,1.252446812066262682e-01
1.650000000000001021e+00,1.260642569754551190e-01
1.660000000000001030e+00,1.280349035354826359e-01
1.670000000000001039e+00,1.296257721999250212e-01
1.680000000000001048e+00,1.308242696199628519e-01
1.690000000000001057e+00,1.316362904046572968e-01
1.700000000000001066e+00,1.320931080233415100e-01
1.710000000000001075e+00,1.322394807470132216e-01
1.720000000000001084e+00,1.321184587152673395e-01
1.730000000000001092e+00,1.317718885189992362e-01
1.740000000000001101e+00,1.313595795310407710e-01
1.750000000000001110e+00,1.319721562106994373e-01
1.760000000000001119e+00,1.326255996783695656e-01
1.770000000000001128e+00,1.333430915775391246e-01
1.780000000000001137e+00,1.341186038053669149e-01
1.790000000000001146e+00,1.349829797262122599e-01
1.800000000000001155e+00,1.359227002623369929e-01
1.810000000000001164e+00,1.369562252460974072e-01
1.820000000000001172e+00,1.380876414540421759e-01
1.830000000000001181e+00,1.393115352658465256e-01
1.840000000000001190e+00,1.406470411877024373e-01
1.850000000000001199e+00,1.420825499321604068e-01
1.860000000000001208e+00,1.436163648975467277e-01
1.870000000000001217e+00,1.452636997262613250e-01
1.880000000000001226e+00,1.470032852189978034e-01
1.890000000000001235e+00,1.488433385854157631e-01
1.900000000000001243e+00,1.507770845299360452e-01
1.910000000000001252e+00,1.527949746798598629e-01
1.920000000000001261e+00,1.549017181167975377e-01
1.930000000000001270e+00,1.570797165737193579e-01
1.940000000000001279e+00,1.593320061045215563e-01
1.950000000000001288e+00,1.616486145186145917e-01
1.960000000000001297e+00,1.640187732123901121e-01
1.970000000000001306e+00,1.664446949419724486e-01
1.980000000000001315e+00,1.689188967797117247e-01
1.990000000000001323e+00,1.714329376211391198e-01
2.000000000000001332e+00,1.739818256556714404e-01
