T_s,Sd_m
1.000000000000000021e-02,9.648038955156222266e-06
1.200000000000000025e-02,1.391572492839679621e-05
1.400000000000000029e-02,1.916159387270304016e-05
1.600000000000000033e-02,2.526054015281452444e-05
1.800000000000000211e-02,3.271527346133837289e-05
2.000000000000000042e-02,4.128630079548756846e-05
2.199999999999999872e-02,5.277461555098732470e-05
2.400000000000000050e-02,6.579342311126307890e-05
2.600000000000000228e-02,7.915259718526893159e-05
2.800000000000000405e-02,9.486784956615586717e-05
2.999999999999999889e-02,1.151862473394821523e-04
3.200000000000000067e-02,1.342076698939105367e-04
3.400000000000000244e-02,1.517793117749460547e-04
3.600000000000000422e-02,1.694557223849378885e-04
3.799999999999999906e-02,1.776150345572988080e-04
4.000000000000000083e-02,2.013563817027398380e-04
4.200000000000000261e-02,2.359273471950148506e-04
4.400000000000000439e-02,2.401583731023896413e-04
4.600000000000000616e-02,2.537246787012045974e-04
4.800000000000000100e-02,2.708421778976425058e-04
5.000000000000000278e-02,3.187081010835905661e-04
5.200000000000000455e-02,3.557978667704541124e-04
5.399999999999999939e-02,3.847322694368909184e-04
5.600000000000000117e-02,3.974055424248287751e-04
5.800000000000000294e-02,4.311708989793958959e-04
6.000000000000000472e-02,4.746720163206397027e-04
6.200000000000000649e-02,5.255741777852513709e-04
6.400000000000000133e-02,5.410748652311086603e-04
6.600000000000000311e-02,5.297543027635691088e-04
6.800000000000000488e-02,5.389492424187809511e-04
6.999999999999999278e-02,5.914802612971275120e-04
7.199999999999999456e-02,6.711677857750188029e-04
7.399999999999999634e-02,7.566185812635597713e-04
7.599999999999999811e-02,8.742823691003640853e-04
7.799999999999999989e-02,9.884550660984197691e-04
8.000000000000000167e-02,1.043618852381075941e-03
8.200000000000000344e-02,1.090280955549168115e-03
8.399999999999999134e-02,1.112359986466587500e-03
8.599999999999999312e-02,1.149643443023952698e-03
8.799999999999999489e-02,1.155332534027319995e-03
8.999999999999999667e-02,1.151362785920838350e-03
9.199999999999999845e-02,1.248541397438728126e-03
9.400000000000000022e-02,1.313760451896228958e-03
9.600000000000000200e-02,1.467636560709847070e-03
9.799999999999998990e-02,1.600974590977083042e-03
9.999999999999999167e-02,1.665732215552233461e-03
1.000000000000000056e-01,1.665732215552233894e-03
1.050000000000000100e-01,1.949856436878421705e-03
1.100000000000000144e-01,2.099042775284424081e-03
1.150000000000000189e-01,2.352882389284178827e-03
1.200000000000000233e-01,2.705060397093555970e-03
1.250000000000000278e-01,3.360288109945319679e-03
1.300000000000000322e-01,3.859655893198497400e-03
1.350000000000000366e-01,4.039992274890103797e-03
1.400000000000000411e-01,3.734923051267471407e-03
1.450000000000000455e-01,4.022079858706084990e-03
1.500000000000000500e-01,4.162008455116312719e-03
1.550000000000000544e-01,3.899634872242558475e-03
1.600000000000000588e-01,4.025317261437472843e-03
1.650000000000000633e-01,5.148865956422673563e-03
1.700000000000000677e-01,6.083273241536904345e-03
1.750000000000000722e-01,6.408898508092232028e-03
1.800000000000000766e-01,6.354816602569001750e-03
1.850000000000000810e-01,6.334587097726552575e-03
1.900000000000000855e-01,6.232967079529979672e-03
1.950000000000000899e-01,6.274827238588048806e-03
2.000000000000000944e-01,6.801907906545756263e-03
2.050000000000000988e-01,7.278352977518481176e-03
2.100000000000001033e-01,7.628780455723153595e-03
2.150000000000001077e-01,7.947400076916303485e-03
2.200000000000001121e-01,8.382545940370267692e-03
2.250000000000001166e-01,9.059013534306305238e-03
2.300000000000001210e-01,1.007072199350560540e-02
2.350000000000001255e-01,1.125362126594135238e-02
2.400000000000001299e-01,1.251798666734423374e-02
2.450000000000001343e-01,1.364580453163191480e-02
2.500000000000001110e-01,1.454812616704382819e-02
2.550000000000001155e-01,1.515725758198692430e-02
2.600000000000001199e-01,1.542790947670473999e-02
2.650000000000001243e-01,1.539710553066106317e-02
2.700000000000001288e-01,1.516695672629421454e-02
2.750000000000001332e-01,1.484988245745162173e-02
2.800000000000001377e-01,1.458399622561679793e-02
2.850000000000001421e-01,1.446531217750575762e-02
2.900000000000001465e-01,1.452438783937417925e-02
2.950000000000001510e-01,1.473931399518550733e-02
3.000000000000001554e-01,1.505105417165108345e-02
3.050000000000001599e-01,1.538937725255542371e-02
3.100000000000001643e-01,1.581733127845058248e-02
3.150000000000001688e-01,1.675577356500757703e-02
3.200000000000001732e-01,1.706227522714623066e-02
3.250000000000001776e-01,1.677810240805149497e-02
3.300000000000001821e-01,1.696400933745931955e-02
3.350000000000001865e-01,1.707490016752223616e-02
3.400000000000001910e-01,1.711191692474334225e-02
3.450000000000001954e-01,1.711224621278218880e-02
3.500000000000001998e-01,1.727924282439403242e-02
3.550000000000002043e-01,1.892152763897147691e-02
3.600000000000002087e-01,2.060206011997780737e-02
3.650000000000002132e-01,2.199773939096586958e-02
3.700000000000002176e-01,2.299295332151152574e-02
3.750000000000002220e-01,2.347548521442184219e-02
3.800000000000002265e-01,2.343322206550642675e-02
3.850000000000002309e-01,2.342394455588138816e-02
3.900000000000002354e-01,2.393680725779857854e-02
3.950000000000002398e-01,2.406587913655106395e-02
4.000000000000002442e-01,2.379033311473073564e-02
4.050000000000002487e-01,2.324965569568060442e-02
4.100000000000002531e-01,2.330498272896553216e-02
4.150000000000002576e-01,2.462142463426817210e-02
4.200000000000002620e-01,2.603071758329033453e-02
4.250000000000002665e-01,2.752340976192334601e-02
4.300000000000002709e-01,2.907110581305886315e-02
4.350000000000002753e-01,3.067422027382841337e-02
4.400000000000002798e-01,3.379592402311636795e-02
4.450000000000002842e-01,3.704396019412380808e-02
4.500000000000002887e-01,3.990111268126919630e-02
4.550000000000002931e-01,4.214738592497844355e-02
4.600000000000002975e-01,4.366521183821495816e-02
4.650000000000003020e-01,4.440720340077007611e-02
4.700000000000003064e-01,4.438741966672776068e-02
4.750000000000003109e-01,4.489103014720051410e-02
4.800000000000003153e-01,4.668305925315671678e-02
4.850000000000003197e-01,4.842648099768011999e-02
4.900000000000003242e-01,5.011515603004248337e-02
4.950000000000003286e-01,5.174031560332623125e-02
5.000000000000000000e-01,5.331663088129223044e-02
5.100000000000000089e-01,5.619770317446699803e-02
5.200000000000000178e-01,5.863023232866037410e-02
5.300000000000000266e-01,6.058479630205208799e-02
5.400000000000000355e-01,6.208218528223218013e-02
5.500000000000000444e-01,6.314570582667079768e-02
5.600000000000000533e-01,6.382652292835293284e-02
5.700000000000000622e-01,6.558811482313935126e-02
5.800000000000000711e-01,6.726982036626742711e-02
5.900000000000000799e-01,6.862500829949803871e-02
6.000000000000000888e-01,6.966954690570395514e-02
6.100000000000000977e-01,7.042796708029767927e-02
6.200000000000001066e-01,7.093378280581123796e-02
6.300000000000001155e-01,7.122462253792229137e-02
6.400000000000001243e-01,7.133457190480950449e-02
6.500000000000001332e-01,7.130179395943835041e-02
6.600000000000001421e-01,7.118969706492506155e-02
6.700000000000001510e-01,7.096154346265212687e-02
6.800000000000001599e-01,7.063983071310933615e-02
6.900000000000001688e-01,7.070156695870583041e-02
7.000000000000001776e-01,7.095740051445531549e-02
