T_s,Sd_m
1.000000000000000021e-02,3.296556704285431450e-06
1.200000000000000025e-02,4.757410041074741206e-06
1.400000000000000029e-02,6.496799799975035726e-06
1.600000000000000033e-02,8.530323165480972785e-06
1.800000000000000211e-02,1.087020330546581322e-05
2.000000000000000042e-02,1.358672523950778148e-05
2.199999999999999872e-02,1.684261966167838314e-05
2.400000000000000050e-02,2.027694113889445804e-05
2.600000000000000228e-02,2.358648628767311776e-05
2.800000000000000405e-02,2.773965483275014104e-05
2.999999999999999889e-02,3.236950164407269775e-05
3.200000000000000067e-02,3.651947726688826253e-05
3.400000000000000244e-02,4.247884902465872624e-05
3.600000000000000422e-02,4.938281412410378701e-05
3.799999999999999906e-02,5.533770530614059475e-05
4.000000000000000083e-02,6.020473764144763343e-05
4.200000000000000261e-02,6.602700575151946932e-05
4.400000000000000439e-02,7.462614235161844868e-05
4.600000000000000616e-02,8.361845454179242737e-05
4.800000000000000100e-02,8.949614479882271069e-05
5.000000000000000278e-02,9.253565580710299346e-05
5.200000000000000455e-02,9.513539369614083590e-05
5.399999999999999939e-02,1.059718179559014081e-04
5.600000000000000117e-02,1.276745782313062991e-04
5.800000000000000294e-02,1.514074260096835527e-04
6.000000000000000472e-02,1.779154417053858701e-04
6.200000000000000649e-02,2.035154722098194834e-04
6.400000000000000133e-02,2.260973524589866932e-04
6.600000000000000311e-02,2.499618396061179079e-04
6.800000000000000488e-02,2.683824272922446705e-04
6.999999999999999278e-02,2.854556423730298742e-04
7.199999999999999456e-02,3.019801654041599651e-04
7.399999999999999634e-02,3.148030146727425144e-04
7.599999999999999811e-02,3.260311261707814602e-04
7.799999999999999989e-02,3.378429995947987343e-04
8.000000000000000167e-02,3.526967438201450162e-04
8.200000000000000344e-02,3.717183283742020645e-04
8.399999999999999134e-02,3.946253121868241454e-04
8.599999999999999312e-02,4.217207356771718449e-04
8.799999999999999489e-02,4.531562640138664020e-04
8.999999999999999667e-02,4.889007374104157276e-04
9.199999999999999845e-02,5.282407904357845586e-04
9.400000000000000022e-02,5.697728277558552525e-04
9.600000000000000200e-02,6.119674259914595999e-04
9.799999999999998990e-02,6.536333942402400982e-04
9.999999999999999167e-02,6.953175215396314524e-04
1.000000000000000056e-01,6.953175215396319945e-04
1.050000000000000100e-01,8.130293088361364041e-04
1.100000000000000144e-01,9.228520238541784455e-04
1.150000000000000189e-01,1.037642732102360800e-03
1.200000000000000233e-01,1.141553816736122105e-03
1.250000000000000278e-01,1.222439217433536965e-03
1.300000000000000322e-01,1.301833144999079653e-03
1.350000000000000366e-01,1.361659206034203677e-03
1.400000000000000411e-01,1.440344776267779526e-03
1.450000000000000455e-01,1.508163723185624097e-03
1.500000000000000500e-01,1.618421775595189080e-03
1.550000000000000544e-01,1.706318938513780217e-03
1.600000000000000588e-01,1.758875903635231117e-03
1.650000000000000633e-01,1.763904568323297010e-03
1.700000000000000677e-01,1.736063681124135321e-03
1.750000000000000722e-01,1.694450125708824983e-03
1.800000000000000766e-01,1.647858936339303493e-03
1.850000000000000810e-01,1.643282587537017335e-03
1.900000000000000855e-01,1.648974235847301423e-03
1.950000000000000899e-01,1.646645489276183120e-03
2.000000000000000944e-01,1.643423087736250749e-03
2.050000000000000988e-01,1.653863176196646674e-03
2.100000000000001033e-01,1.673787748415991872e-03
2.150000000000001077e-01,1.694433275648566870e-03
2.200000000000001121e-01,1.723595737893587453e-03
2.250000000000001166e-01,1.753390499553829796e-03
2.300000000000001210e-01,1.782643646387641750e-03
2.350000000000001255e-01,1.811439739520993679e-03
2.400000000000001299e-01,1.841662733410660098e-03
2.450000000000001343e-01,1.878132670605609043e-03
2.500000000000001110e-01,1.915080195973879696e-03
2.550000000000001155e-01,1.952643548529975782e-03
2.600000000000001199e-01,1.990624280032229042e-03
2.650000000000001243e-01,2.028676606931544175e-03
2.700000000000001288e-01,2.073426514561231039e-03
2.750000000000001332e-01,2.117418775869015987e-03
2.800000000000001377e-01,2.160353161593284600e-03
2.850000000000001421e-01,2.201949957616402762e-03
2.900000000000001465e-01,2.242090359447489970e-03
2.950000000000001510e-01,2.287552891505873452e-03
3.000000000000001554e-01,2.330472620726270830e-03
3.050000000000001599e-01,2.370277065861326436e-03
3.100000000000001643e-01,2.406511173171300283e-03
3.150000000000001688e-01,2.442898498214465981e-03
3.200000000000001732e-01,2.478846138707750408e-03
3.250000000000001776e-01,2.510143208598845498e-03
3.300000000000001821e-01,2.536896420119991169e-03
3.350000000000001865e-01,2.561978840577216251e-03
3.400000000000001910e-01,2.588178119032114467e-03
3.450000000000001954e-01,2.610402130118968933e-03
3.500000000000001998e-01,2.798519778079193703e-03
3.550000000000002043e-01,3.000824219231503637e-03
3.600000000000002087e-01,3.192113678235085610e-03
3.650000000000002132e-01,3.371310067568521283e-03
3.700000000000002176e-01,3.537458701943932502e-03
3.750000000000002220e-01,3.689636933301069718e-03
3.800000000000002265e-01,3.827119973393533665e-03
3.850000000000002309e-01,3.949694381671163546e-03
3.900000000000002354e-01,4.057811272127447889e-03
