drift_pct,F_kN,d_mm
-1.46,-13.234249171009,-30.076
-1.45,-13.411890099478919,-29.869999999999997
-1.44,-14.033633349123637,-29.663999999999998
-1.43,-14.773803884414967,-29.458000000000002
-1.42,-15.395547134059687,-29.252
-1.4100000000000001,-16.402179062055897,-29.046000000000003
-1.4000000000000001,-17.112742775935573,-28.840000000000003
-1.3900000000000001,-18.17858834675509,-28.634
-1.3800000000000001,-18.889152060634768,-28.428000000000004
-1.37,-19.777356702984367,-28.222
-1.36,-20.665561345333963,-28.016000000000002
-1.35,-21.28730459497868,-27.810000000000002
-1.34,-22.175509237328278,-27.604
-1.33,-22.708432022738037,-27.398000000000003
-1.32,-23.448602558029368,-27.192
-1.31,-23.863098057792513,-26.986
-1.3,-24.336807200378964,-26.78
-1.29,-24.810516342965414,-26.574
-1.28,-25.165798199905254,-26.368000000000002
-1.27,-25.580293699668402,-26.162
-1.26,-25.817148270961624,-25.956
-1.25,-26.11321648507816,-25.75
-1.24,-26.409284699194693,-25.544
-1.23,-26.646139270487918,-25.338
-1.22,-26.882993841781143,-25.131999999999998
-1.21,-27.060634770251063,-24.926
-1.2,-27.267882520132638,-24.72
-1.19,-27.415916627190903,-24.514
-1.18,-27.593557555660823,-24.308
-1.17,-27.741591662719088,-24.101999999999997
-1.1600000000000001,-27.8600189483657,-23.896
-1.1500000000000001,-27.978446234012313,-23.690000000000005
-1.1400000000000001,-28.096873519658928,-23.484
-1.1300000000000001,-28.244907626717193,-23.278000000000002
-1.12,-28.33372809095215,-23.072000000000003
-1.11,-28.422548555187113,-22.866
-1.1,-28.51136901942207,-22.660000000000004
-1.09,-28.600189483657033,-22.454
-1.08,-28.718616769303644,-22.248
-1.07,-28.807437233538607,-22.042
-1.06,-28.86665087636191,-21.836
-1.05,-28.95547134059687,-21.630000000000003
-1.04,-29.073898626243484,-21.424
-1.03,-29.073898626243484,-21.218
-1.02,-29.192325911890098,-21.012
-1.01,-29.22193273330175,-20.806
-1.0,-29.31075319753671,-20.6
-0.99,-29.369966840360014,-20.394
-0.98,-29.429180483183323,-20.188
-0.97,-29.429180483183323,-19.982
-0.9600000000000001,-29.547607768829934,-19.776000000000003
-0.9500000000000001,-29.547607768829934,-19.570000000000004
-0.9400000000000001,-29.636428233064898,-19.364
-0.93,-29.66603505447655,-19.158
-0.92,-29.66603505447655,-18.951999999999998
-0.91,-29.75485551871151,-18.746000000000002
-0.9,-29.784462340123163,-18.540000000000003
-0.89,-29.784462340123163,-18.334
-0.88,-29.784462340123163,-18.128
-0.87,-29.902889625769774,-17.921999999999997
-0.86,-29.902889625769774,-17.716
-0.85,-29.902889625769774,-17.51
-0.8400000000000001,-29.902889625769774,-17.304000000000002
-0.8300000000000001,-29.902889625769774,-17.098
-0.8200000000000001,-29.96210326859308,-16.892000000000003
-0.81,-29.991710090004734,-16.686000000000003
-0.8,-30.02131691141639,-16.48
-0.79,-30.02131691141639,-16.274
-0.78,-30.02131691141639,-16.068
-0.77,-30.02131691141639,-15.862
-0.76,-30.02131691141639,-15.656
-0.75,-30.02131691141639,-15.45
-0.74,-30.02131691141639,-15.244000000000002
-0.73,-30.02131691141639,-15.038
-0.72,-30.02131691141639,-14.831999999999999
-0.7100000000000001,-29.96210326859308,-14.626000000000001
-0.7000000000000001,-29.96210326859308,-14.420000000000002
-0.6900000000000001,-29.902889625769774,-14.214000000000002
-0.68,-29.902889625769774,-14.008000000000001
-0.67,-29.902889625769774,-13.802
-0.66,-29.902889625769774,-13.596
-0.65,-29.814069161534817,-13.39
-0.64,-29.784462340123163,-13.184000000000001
-0.63,-29.784462340123163,-12.978
-0.62,-29.75485551871151,-12.772
-0.61,-29.66603505447655,-12.565999999999999
-0.6,-29.636428233064898,-12.36
-0.59,-29.547607768829934,-12.154
-0.5800000000000001,-29.51800094741828,-11.948
-0.5700000000000001,-29.429180483183323,-11.742
-0.56,-29.34036001894836,-11.536000000000001
-0.55,-29.31075319753671,-11.330000000000002
-0.54,-29.192325911890098,-11.124
-0.53,-29.103505447655138,-10.918
-0.52,-29.014684983420178,-10.712
-0.51,-28.896257697773564,-10.506
-0.5,-28.807437233538607,-10.3
-0.49,-28.68900994789199,-10.094
-0.48000000000000004,-28.57058266224538,-9.888000000000002
-0.47000000000000003,-28.422548555187113,-9.682
-0.46,-28.33372809095215,-9.475999999999999
-0.45,-28.185693983893888,-9.270000000000001
-0.44,-28.03765987683562,-9.064
-0.43,-27.919232591189008,-8.858
-0.42000000000000004,-27.800805305542397,-8.652000000000001
-0.41000000000000003,-27.741591662719088,-8.446000000000002
-0.4,-27.65277119848413,-8.24
-0.39,-27.29748934154429,-8.034
-0.38,-27.29748934154429,-7.828
-0.36000000000000004,-28.008053055423964,-7.416
-0.35000000000000003,-28.008053055423964,-7.210000000000001
-0.34,-28.008053055423964,-7.0040000000000004
-0.22,-22.797252486972994,-4.532
-0.21000000000000002,-22.560397915679772,-4.3260000000000005
-0.2,-22.382756987209852,-4.12
-0.19,-22.027475130270012,-3.914
-0.18000000000000002,-21.553765987683562,-3.708
-0.17,-21.198484130743722,-3.5020000000000002
-0.16,-20.665561345333963,-3.2960000000000003
-0.15000000000000002,-20.191852202747512,-3.0900000000000003
-0.14,-19.71814306016106,-2.8840000000000003
-0.13,-19.126006631927993,-2.678
-0.12,-18.35622927522501,-2.472
-0.11,-17.882520132638557,-2.266
-0.09999999999999999,-17.468024632875412,-2.06
-0.08,-12.671719564187587,-1.6480000000000001
-0.06999999999999999,-11.842728564661297,-1.4419999999999997
-0.060000000000000005,-10.9545239223117,-1.2360000000000002
-0.05,-9.296541923259117,-1.03
-0.04,-8.408337280909521,-0.8240000000000001
-0.02,-2.7830412126954047,-0.41200000000000003
-0.01,-2.7238275698720984,-0.20600000000000002
0.01,2.19090478446234,0.20600000000000002
0.02,2.486972998578872,0.41200000000000003
0.03,2.486972998578872,0.618
0.05,7.520132638559923,1.03
0.060000000000000005,8.053055423969681,1.2360000000000002
0.06999999999999999,8.94126006631928,1.4419999999999997
0.08,10.066319279962102,1.6480000000000001
0.09,11.369019422074844,1.8539999999999999
0.09999999999999999,12.020369493131216,2.06
0.11,12.671719564187587,2.266
0.15000000000000002,17.527238275698718,3.0900000000000003
0.16,17.882520132638557,3.2960000000000003
0.17,18.53387020369493,3.5020000000000002
0.18000000000000002,19.126006631927993,3.708
0.19,19.71814306016106,3.914
0.2,20.251065845570817,4.12
0.21000000000000002,20.724774988157268,4.3260000000000005
0.22,21.316911416390333,4.532
0.23,21.73140691615348,4.7379999999999995
0.24000000000000002,22.323543344386543,4.944000000000001
0.25,22.560397915679772,5.15
0.26,25.521080056845094,5.356
0.27,28.422548555187113,5.562
0.28,28.540975840833724,5.768000000000001
0.29000000000000004,28.65940312648034,5.974
0.36000000000000004,30.258171482709614,7.416
0.37,30.139744197063003,7.622000000000001
0.38,27.29748934154429,7.828
0.39,27.47513027001421,8.034
0.4,27.65277119848413,8.24
0.41000000000000003,27.830412126954048,8.446000000000002
0.42000000000000004,28.067266698247273,8.652000000000001
0.43,28.363334912363804,8.858
0.44,28.33372809095215,9.064
0.45,28.185693983893888,9.270000000000001
0.46,28.156087162482233,9.475999999999999
0.47000000000000003,28.7482235907153,9.682
0.48000000000000004,28.896257697773564,9.888000000000002
0.49,28.985078162008524,10.094
0.5,29.103505447655138,10.3
0.51,29.192325911890098,10.506
0.52,29.251539554713403,10.712
0.53,29.31075319753671,10.918
0.54,29.39957366177167,11.124
0.55,29.429180483183323,11.330000000000002
0.56,29.458787304594978,11.536000000000001
0.5700000000000001,29.547607768829934,11.742
0.5800000000000001,29.547607768829934,11.948
0.59,29.547607768829934,12.154
0.6,29.547607768829934,12.36
0.61,29.547607768829934,12.565999999999999
0.62,29.547607768829934,12.772
