drift_pct,F_kN,d_mm
0.63,29.547607768829934,12.978
0.64,29.429180483183323,13.184000000000001
0.65,29.429180483183323,13.39
0.66,29.429180483183323,13.596
0.67,29.31075319753671,13.802
0.68,29.31075319753671,14.008000000000001
0.6900000000000001,29.22193273330175,14.214000000000002
0.7000000000000001,29.192325911890098,14.420000000000002
0.7100000000000001,29.073898626243484,14.626000000000001
0.72,29.04429180483183,14.831999999999999
0.73,28.95547134059687,15.038
0.74,28.86665087636191,15.244000000000002
0.75,28.807437233538607,15.45
0.76,28.718616769303644,15.656
0.77,28.629796305068687,15.862
0.78,28.540975840833724,16.068
0.79,28.452155376598768,16.274
0.8,28.363334912363804,16.48
0.81,28.244907626717193,16.686000000000003
0.8200000000000001,28.156087162482233,16.892000000000003
0.8300000000000001,28.03765987683562,17.098
0.8400000000000001,27.978446234012313,17.304000000000002
0.85,27.889625769777354,17.51
0.86,27.741591662719088,17.716
0.87,27.65277119848413,17.921999999999997
0.88,27.534343912837514,18.128
0.89,27.445523448602557,18.334
0.9,27.29748934154429,18.540000000000003
0.91,27.20866887730933,18.746000000000002
0.92,27.11984841307437,18.951999999999998
0.93,26.971814306016103,19.158
0.9400000000000001,26.912600663192798,19.364
0.9500000000000001,26.734959734722878,19.570000000000004
0.9600000000000001,26.67574609189957,19.776000000000003
0.97,26.527711984841304,19.982
0.98,26.438891520606347,20.188
0.99,26.32046423495973,20.394
1.0,26.172430127901468,20.6
1.01,26.083609663666508,20.806
1.02,25.965182378019893,21.012
1.03,25.876361913784933,21.218
1.04,25.75793462813832,21.424
1.05,25.639507342491708,21.630000000000003
1.06,25.550686878256748,21.836
1.07,25.402652771198483,22.042
1.08,25.31383230696352,22.248
1.09,25.165798199905257,22.454
1.1,25.076977735670297,22.660000000000004
1.11,24.988157271435337,22.866
1.12,24.899336807200378,23.072000000000003
1.1300000000000001,24.780909521553763,23.278000000000002
1.1400000000000001,24.66248223590715,23.484
1.1500000000000001,24.603268593083847,23.690000000000005
1.1600000000000001,24.455234486025578,23.896
1.17,24.366414021790618,24.101999999999997
1.18,24.277593557555658,24.308
1.19,24.218379914732353,24.514
1.2,24.099952629085738,24.72
1.21,24.01113216485078,24.926
1.22,23.981525343439127,25.131999999999998
