27937      2016913          420            0 (  0.000000,  1.000000, -0.000751)  1.071721e-03     0     Default=T_B
       27938      2016999          420            0 (  0.000000,  1.000000, -0.000751)  1.083260e-03     0     Default=T_B
       27939      2017085          420            0 (  0.000000,  1.000000, -0.000751)  9.536296e-04     0     Default=T_B
       27940      2017263          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27941      2017349          420            0 (  0.000000,  1.000000, -0.000751)  9.366013e-04     0     Default=T_B
       27942      2017481          420            0 ( -0.000000,  1.000000, -0.000751)  1.090338e-03     0     Default=T_B
       27943      2017613          420            0 (  0.000000,  1.000000, -0.000751)  9.676816e-04     0     Default=T_B
       27944      2017653          420            0 (  0.000000,  1.000000, -0.000751)  1.000740e-03     0     Default=T_B
       27945      2017739          420            0 (  0.000000,  1.000000, -0.000751)  1.099905e-03     0     Default=T_B
       27946      2017871          420            0 ( -0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27947      2017957          420            0 (  0.000000,  1.000000, -0.000751)  9.913039e-04     0     Default=T_B
       27948      2018043          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27949      2018083          420            0 ( -0.000000,  1.000000, -0.000751)  1.010651e-03     0     Default=T_B
       27950      2018169          420            0 (  0.000000,  1.000000, -0.000751)  1.042908e-03     0     Default=T_B
       27951      2018255          420            0 ( -0.000000,  1.000000, -0.000751)  1.083907e-03     0     Default=T_B
       27952      2018433          420            0 (  0.000000,  1.000000, -0.000751)  1.315253e-03     0     Default=T_B
       27953      2018611          420            0 (  0.000000,  1.000000, -0.000751)  1.025282e-03     0     Default=T_B
       27954      2018697          420            0 (  0.000000,  1.000000, -0.000751)  1.016966e-03     0     Default=T_B
       27955      2018783          420            0 (  0.000000,  1.000000, -0.000751)  1.084066e-03     0     Default=T_B
       27956      2018869          420            0 (  0.000000,  1.000000, -0.000751)  9.026431e-04     0     Default=T_B
       27957      2018955          420            0 (  0.000000,  1.000000, -0.000751)  1.059335e-03     0     Default=T_B
       27958      2019041          420            0 ( -0.000000,  1.000000, -0.000751)  1.040587e-03     0     Default=T_B
       27959      2019127          420            0 (  0.000000,  1.000000, -0.000751)  1.044279e-03     0     Default=T_B
       27960      2019167          420            0 (  0.000000,  1.000000, -0.000751)  1.056444e-03     0     Default=T_B
       27961      2019207          420            0 (  0.000000,  1.000000, -0.000751)  1.126334e-03     0     Default=T_B
       27962      2019247          420            0 (  0.000000,  1.000000, -0.000751)  9.873633e-04     0     Default=T_B
       27963      2019333          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27964      2019419          420            0 ( -0.000000,  1.000000, -0.000751)  1.218937e-03     0     Default=T_B
       27965      2019551          420            0 (  0.000000,  1.000000, -0.000751)  8.603470e-04     0     Default=T_B
       27966      2019637          420            0 (  0.000000,  1.000000, -0.000751)  1.052470e-03     0     Default=T_B
       27967      2019723          420            0 (  0.000000,  1.000000, -0.000751)  1.218093e-03     0     Default=T_B
       27968      2019763          420            0 (  0.000000,  1.000000, -0.000751)  1.353276e-03     0     Default=T_B
       27969      2019849          420            0 (  0.000000,  1.000000, -0.000751)  1.053496e-03     0     Default=T_B
       27970      2019889          420            0 ( -0.000000,  1.000000, -0.000751)  9.552215e-04     0     Default=T_B
       27971      2019975          420            0 ( -0.000000,  1.000000, -0.000751)  1.060652e-03     0     Default=T_B
       27972      2020061          420            0 (  0.000000,  1.000000, -0.000751)  1.165405e-03     0     Default=T_B
       27973      2020147          420            0 (  0.000000,  1.000000, -0.000751)  1.045889e-03     0     Default=T_B
       27974      2020233          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27975      2020319          420            0 (  0.000000,  1.000000, -0.000751)  1.470296e-03     0     Default=T_B
       27976      2020451          420            0 (  0.000000,  1.000000, -0.000751)  8.741670e-04     0     Default=T_B
       27977      2020537          420            0 ( -0.000000,  1.000000, -0.000751)  1.025250e-03     0     Default=T_B
       27978      2020669          420            0 (  0.000000,  1.000000, -0.000751)  1.195292e-03     0     Default=T_B
       27979      2020755          420            0 (  0.000000,  1.000000, -0.000751)  1.164733e-03     0     Default=T_B
       27980      2020795          420            0 (  0.000000,  1.000000, -0.000751)  9.569808e-04     0     Default=T_B
       27981      2020835          420            0 (  0.000000,  1.000000, -0.000751)  1.089507e-03     0     Default=T_B
       27982      2020875          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27983      2020961          420            0 ( -0.000000,  1.000000, -0.000751)  1.090543e-03     0     Default=T_B
       27984      2021047          420            0 ( -0.000000,  1.000000, -0.000751)  1.148733e-03     0     Default=T_B
       27985      2021087          420            0 ( -0.000000,  1.000000, -0.000751)  1.032118e-03     0     Default=T_B
       27986      2021219          420            0 (  0.000000,  1.000000, -0.000751)  1.039932e-03     0     Default=T_B
       27987      2021305          420            0 (  0.000000,  1.000000, -0.000751)  1.053499e-03     0     Default=T_B
       27988      2021391          420            0 (  0.000000,  1.000000, -0.000751)  9.921322e-04     0     Default=T_B
       27989      2021431          420            0 ( -0.000000,  1.000000, -0.000751)  1.157833e-03     0     Default=T_B
       27990      2021471          420            0 ( -0.000000,  1.000000, -0.000751)  1.212421e-03     0     Default=T_B
       27991      2021511          420            0 ( -0.000000,  1.000000, -0.000751)  8.521565e-04     0     Default=T_B
       27992      2021551          420            0 (  0.000000,  1.000000, -0.000751)  1.035410e-03     0     Default=T_B
       27993      2021637          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       27994      2021723          420            0 ( -0.000000,  1.000000, -0.000751)  9.929750e-04     0     Default=T_B
       27995      2021855          420            0 (  0.000000,  1.000000, -0.000751)  9.477825e-04     0     Default=T_B
       27996      2021895          420            0 ( -0.000000,  1.000000, -0.000751)  1.030183e-03     0     Default=T_B
       27997      2021935          420            0 (  0.000000,  1.000000, -0.000751)  9.955277e-04     0     Default=T_B
       27998      2021975          420            0 (  0.000000,  1.000000, -0.000751)  1.010241e-03     0     Default=T_B
       27999      2022061          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       28000      2022101          420            0 ( -0.000000,  1.000000, -0.000751)  9.897726e-04     0     Default=T_B
       28001      2022141          420            0 ( -0.000000,  1.000000, -0.000751)  1.031097e-03     0     Default=T_B
       28002      2022273          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       28003      2022313          420            0 (  0.000000,  1.000000, -0.000751)  1.069249e-03     0     Default=T_B
       28004      2022353          420            0 (  0.000000,  1.000000, -0.000751)  1.269628e-03     0     Default=T_B
       28005      2022439          420            0 (  0.000000,  1.000000, -0.000751)  9.876659e-04     0     Default=T_B
       28006      2022571          420            0 (  0.000000,  1.000000, -0.000751)  1.082493e-03     0     Default=T_B
       28007      2022611          420            0 (  0.000000,  1.000000, -0.000751)  1.111414e-03     0     Default=T_B
       28008      2022651          420            0 ( -0.000000,  1.000000, -0.000751)  1.032718e-03     0     Default=T_B
       28009      2022737          420            0 ( -0.000000,  1.000000, -0.000751)  1.098848e-03     0     Default=T_B
       28010      2022777          420            0 ( -0.000000,  1.000000, -0.000751)  1.211414e-03     0     Default=T_B
       28011      2022817          420            0 (  0.000000,  1.000000, -0.000751)  9.721447e-04     0     Default=T_B
       28012      2022857          420            0 (  0.000000,  1.000000, -0.000751)  1.018379e-03     0     Default=T_B
