T_s,Sd_m
1.000000000000000021e-02,8.970015897198861367e-06
1.200000000000000025e-02,1.300580025746934735e-05
1.400000000000000029e-02,1.789087743636617233e-05
1.600000000000000033e-02,2.361420228891705021e-05
1.800000000000000211e-02,3.018469278746827307e-05
2.000000000000000042e-02,3.759309970755823368e-05
2.199999999999999872e-02,4.569438711299279101e-05
2.400000000000000050e-02,5.425736122028330488e-05
2.600000000000000228e-02,6.310953707641023638e-05
2.800000000000000405e-02,7.236204911688107698e-05
2.999999999999999889e-02,8.525344982147140384e-05
3.200000000000000067e-02,9.715792851256844587e-05
3.400000000000000244e-02,1.104855109918660998e-04
3.600000000000000422e-02,1.267359026381893164e-04
3.799999999999999906e-02,1.444265496325697253e-04
4.000000000000000083e-02,1.659050406166061255e-04
4.200000000000000261e-02,1.889872756587671868e-04
4.400000000000000439e-02,2.010810871793918062e-04
4.600000000000000616e-02,2.239939921253311303e-04
4.800000000000000100e-02,2.388766359467558217e-04
5.000000000000000278e-02,2.466119895005609028e-04
5.200000000000000455e-02,2.739751463430355411e-04
5.399999999999999939e-02,3.020278004723934073e-04
5.600000000000000117e-02,3.476336869514728891e-04
5.800000000000000294e-02,3.987952496216807131e-04
6.000000000000000472e-02,4.202858497495405403e-04
6.200000000000000649e-02,4.701539873480863291e-04
6.400000000000000133e-02,5.160693891095143255e-04
6.600000000000000311e-02,5.217462030749319942e-04
6.800000000000000488e-02,5.748609441141364334e-04
6.999999999999999278e-02,6.303742976395699518e-04
7.199999999999999456e-02,6.407749080959289530e-04
7.399999999999999634e-02,6.778378721422698974e-04
7.599999999999999811e-02,7.679223178580879246e-04
7.799999999999999989e-02,8.115406587313367566e-04
8.000000000000000167e-02,8.301944117632015794e-04
8.200000000000000344e-02,8.669823104272542970e-04
8.399999999999999134e-02,9.546941114831996970e-04
8.599999999999999312e-02,1.054566191037572534e-03
8.799999999999999489e-02,1.134362316285292965e-03
8.999999999999999667e-02,1.211591808641564226e-03
9.199999999999999845e-02,1.298987913658598793e-03
9.400000000000000022e-02,1.396776451417237105e-03
9.600000000000000200e-02,1.486049857951223657e-03
9.799999999999998990e-02,1.566772134114049640e-03
9.999999999999999167e-02,1.646488655393904934e-03
1.000000000000000056e-01,1.646488655393905801e-03
1.050000000000000100e-01,1.742143744960279045e-03
