run,rec,sf,edp,pga,pgv,sd_T1,sd_Tr,arias,R_sd,edp_per_pgv,sdtgt
1,HU12,0.5,0.30096242499999537,0.06266950042231847,0.019258564608947773,0.35435984494161715,0.3427432848374342,0.0055313983580050725,0.8493130056809363,0.015627458801377357,0.2641
2,HU12,0.75,0.4116915250000075,0.10450342570108147,0.025648884353936353,0.4288401077352145,0.42439152088423915,0.01198475551551283,0.9600117096654697,0.01605104999184204,0.4913
3,EC40,0.2,0.1493554499999994,0.08574535276031178,0.06411238198911583,0.2789906384679094,0.2796946199915784,0.07843395361069745,0.5353421563540343,0.0023295882225270468,0.3208
4,HU12,1.0,0.6745353999999537,0.1318133388891859,0.03375766898343894,0.5282408122515916,0.5506428275965644,0.019569730608828575,1.2769467719178893,0.019981693651029985,0.6537
5,HU12,1.25,0.9601084000000482,0.15697436274159868,0.03986654714765623,0.5667901888356118,0.6069930771025701,0.02864960971590673,1.693939695696659,0.02408305882232626,0.8228
6,EC40,0.3,0.4824740750000167,0.10993855746634279,0.09591644215027371,0.3795256032073293,0.38518919928896417,0.17533458444594924,1.2712556700330127,0.0050301498281610305,0.4806
7,HU12,1.5,1.2359079750000057,0.1887638684042575,0.04719996920245949,0.639479201515781,0.7245522886367117,0.04267637891054134,1.9326789238344073,0.026184508080899453,0.9768
8,EC40,0.4,0.870102475000023,0.1446184861946472,0.12770851916371698,0.4980185854768926,0.5364474166436134,0.29995415490744043,1.7471285216531234,0.006813190542790557,0.6595
9,HU12,1.75,1.4133220499999988,0.2208630419352624,0.0545025907762115,0.7444058381962335,0.8837722368388713,0.056416854750573946,1.8985907652532832,0.025931281978926864,1.3869
10,HU12,2.0,2.060709925000015,0.24280894839291006,0.06035639314599698,0.7931733259161101,0.9586296225083825,0.0682470919342901,2.5980575211854333,0.03414236367662549,1.6608
11,EC40,0.5,0.9261823500000543,0.19240848211338515,0.15922421012153218,0.6242706799930788,0.7995584263721748,0.46078348134292735,1.4836230175191356,0.005816843740616585,0.9866
12,HU12,2.25,2.2479054999999803,0.27065348414182666,0.06959639179513709,0.922288268616805,1.1498074941190706,0.08761488879182144,2.4373133395389055,0.032299167270293,1.8368
13,HU12,2.5,2.566745850000024,0.3111829704225661,0.07549738672630371,0.9807000401105782,1.251328979871618,0.10443348538152292,2.6172588406447015,0.033997810537536866,6.1453
14,HU12,2.75,3.0985966499999518,0.3507009042772926,0.08288231942354671,1.0927160376362168,1.3989712192983765,0.12423953914402493,2.835683327850566,0.0373854963465181,6.6628
15,HU12,3.0,3.648935049999996,0.38901505111953943,0.08962453997728947,1.2026168708169254,1.5634580479912104,0.14675292485789268,3.034162532179772,0.04071357075779271,7.2373
16,HU12,3.5,4.765106475000058,0.44380369012862586,0.10309265709696971,1.4272406472549397,1.843516058214588,0.19933514426763455,3.3386846739300404,0.046221589482536705,8.4581
17,HU12,4.0,5.875998100000002,0.4779800508792886,0.11824594138998262,1.7510788994811288,2.1271652481356345,0.25626628813710184,3.355644398285622,0.04969302143420371,9.9962
18,HU12,4.5,8.484361649999967,0.5409525867701529,0.13521975912683118,1.8667336913244175,2.4754921737047684,0.3162122496890864,4.545030546901657,0.06274498420043735,2.3771
19,HU12,5.0,10.73690480000003,0.6173930957143586,0.149194399502668,2.068213233533336,2.7890742854234283,0.37726750780797325,5.191391596338014,0.07196587027255018,2.6412
20,HU12,5.5,13.523664924999984,0.6915557332755158,0.16218637941191524,2.2738252068623694,3.1316032069280038,0.45091094486576405,5.947539364145394,0.0833834812395254,2.9053
21,HU12,6.0,16.36715594999999,0.7990652739411632,0.17479323587228368,2.5376523635606714,3.4867039881426103,0.5492687218883446,6.449723447160684,0.09363723869703398,3.1694
22,FR76,1.0,3.637446475,0.35753558086571297,0.25238369813735906,1.298987916071147,1.7409966606129332,0.8577748347509422,2.800215791076514,0.014412366970787197,1.299
23,FR76,1.5,13.15611072500003,0.5049366092353956,0.367126139640916,1.9217996268706907,2.3131461129202333,1.8490113345932646,6.84572446630267,0.035835396351422834,1.9485
24,FR76,1.75,29.48249835000002,0.5941148144320976,0.4225982013816246,2.4381631960863595,2.509277268381818,2.4488506079566177,12.092093916159563,0.06976484578876861,2.2732
