run,T_exp_s,test_raw,px_area
1,0.0911,0.98,110
2,0.09198,1.98,114
3,0.09356,2.98,113
4,0.09448,3.98,112
5,0.09376,4.98,111
6,0.09442,5.98,110
7,0.09467,6.98,113
8,0.09567,7.97,112
9,0.09628,8.94,114
10,0.09669,9.93,114
11,0.0976,10.93,105
12,0.09559,11.93,112
13,0.09581,12.93,110
14,0.09581,13.93,111
15,0.09715,14.93,112
16,0.09911,15.93,115
17,0.09738,16.92,115
18,0.102,17.92,108
19,0.10323,18.92,111
20,0.10306,19.93,110
21,0.10376,20.93,105
22,0.1032,21.86,56
23,0.1044,22.88,112
24,0.10749,23.87,112
