#Recording frequency [Hz],100,, 
#Number of samples,3633,, 
#pos [mm],vel [mm/s],acc [m/s2], Time in recording [s] 
-33.7247,70.166,3.114675,4.05
-32.8732,99.5372,2.759553,4.06
-31.7452,125.5239,2.437785,4.07
-30.3749,147.8465,2.026746,4.08
-28.8022,165.995,1.602954,4.09
-27.0687,180.0478,1.207611,4.1
-25.2145,190.1276,0.808344,4.11
-23.2796,196.1755,0.401229,4.12
-21.3045,198.1718,-0.001962,4.13
-19.3296,196.146,-0.403191,4.14
-17.395,190.0982,-0.806382,4.15
-15.5403,180.2293,-1.16739,4.16
-13.7996,167.594,-1.359666,4.17
-12.193,153.5952,-1.440108,4.18
-10.7302,138.8409,-1.51074,4.19
-9.4182,123.4932,-1.558809,4.2
-8.2622,107.5912,-1.621593,4.21
-7.27,90.5757,-1.781496,4.22
-6.458,71.3776,-2.058138,4.23
-5.8519,49.3541,-2.346552,4.24
-5.4792,24.8487,-2.554524,4.25
-5.359,-0.8682,-2.588859,4.26
-5.4943,-25.918,-2.421108,4.27
-5.8673,-47.9709,-1.989468,4.28
-6.4382,-65.3689,-1.490139,4.29
-7.1583,-77.8522,-1.006506,4.3
-7.9787,-85.3666,-0.496386,4.31
-8.8485,-87.721,0.025506,4.32
-9.716,-84.9448,0.52974,4.33
-10.5329,-77.8178,0.895653,4.34
-11.2639,-68.1599,1.035936,4.35
-11.8903,-56.7803,1.239984,4.36
-12.3921,-43.164,1.483272,4.37
-12.7504,-28.5962,1.430298,4.38
-12.9721,-16.471,0.994734,4.39
-13.0961,-9.2067,0.458127,4.4
-13.1728,-6.9013,0.002943,4.41
-13.2453,-7.9559,-0.213858,4.42
-13.3358,-10.1828,-0.231516,4.43
-13.4498,-12.6549,-0.262908,4.44
-13.5905,-15.5881,-0.32373,4.45
-13.764,-19.2619,-0.411039,4.46
-13.9793,-24.0198,-0.540531,4.47
-14.2485,-30.0235,-0.660213,4.48
-14.5827,-36.8905,-0.713187,4.49
-14.9867,-43.8654,-0.681795,4.5
-15.4572,-50.0163,-0.548379,4.51
-15.9802,-54.1218,-0.272718,4.52
-16.5297,-55.2303,0.051012,4.53
-17.0742,-53.1457,0.365913,4.54
-17.5821,-47.9169,0.679833,4.55
-18.0227,-39.7403,0.955494,4.56
-18.3677,-28.7924,1.234098,4.57
-18.589,-14.9897,1.526436,4.58
-18.6578,1.7217,1.815831,4.59
-18.545,21.3122,2.102283,4.6
-18.2214,43.9537,2.426013,4.61
-17.6565,69.4156,2.666358,4.62
-16.8302,95.7456,2.59965,4.63
