#Recording frequency [Hz],100,, 
#Number of samples,3633,, 
#pos [mm],vel [mm/s],acc [m/s2], Time in recording [s] 
19.7643,27.4974,-0.567018,6.86
20.0058,20.2871,-0.875052,6.87
20.1595,9.9326,-1.195839,6.88
20.1939,-3.5807,-1.506816,6.89
20.0783,-19.9928,-1.77561,6.9
19.7883,-38.1266,-1.851147,6.91
19.317,-55.8729,-1.698111,6.92
18.6803,-70.7841,-1.284129,6.93
17.9161,-81.2611,-0.811287,6.94
17.0706,-87.0736,-0.351198,6.95
16.1902,-88.2213,0.121644,6.96
15.3191,-85.4942,0.423792,6.97
14.4866,-80.8736,0.50031,6.98
13.7036,-75.6645,0.541512,6.99
12.9742,-70.2004,0.551322,7
12.299,-64.9128,0.506196,7.01
11.6744,-60.101,0.456165,7.02
11.096,-55.5835,0.447336,7.03
10.5638,-50.7275,0.523854,7.04
10.0855,-44.6698,0.687681,7.05
9.6752,-37.1701,0.812268,7.06
9.3446,-28.9101,0.839736,7.07
9.0972,-20.6059,0.821097,7.08
8.9314,-12.6206,0.775971,7.09
8.8426,-5.2827,0.691605,7.1
8.8228,1.1674,0.59841,7.11
8.8636,6.916,0.551322,7.12
8.9604,12.4538,0.556227,7.13
9.1137,18.2956,0.612144,7.14
9.3288,24.8634,0.701415,7.15
9.6136,32.2062,0.767142,7.16
9.9735,39.7501,0.741636,7.17
10.4058,46.4651,0.601353,7.18
10.8973,51.5074,0.407115,7.19
11.4306,54.9458,0.280566,7.2
11.9924,57.2512,0.180504,7.21
12.5719,58.4333,0.055917,7.22
13.1565,58.2371,-0.095157,7.23
13.7309,56.3241,-0.287433,7.24
14.2771,52.6601,-0.445374,7.25
14.7804,47.8826,-0.51012,7.26
15.2333,42.6686,-0.532683,7.27
15.6336,37.4153,-0.517968,7.28
15.9823,32.3583,-0.493443,7.29
16.2813,27.4435,-0.489519,7.3
16.5309,22.4404,-0.511101,7.31
16.7292,17.1773,-0.541512,7.32
16.8735,11.6445,-0.565056,7.33
16.9614,5.8958,-0.584676,7.34
16.9906,-0.0981,-0.614106,7.35
16.9585,-6.3667,-0.639612,7.36
16.8627,-12.8021,-0.64746,7.37
16.7029,-19.1148,-0.615087,7.38
16.4827,-24.7555,-0.513063,7.39
16.2128,-28.8905,-0.31392,7.4
15.912,-30.8819,-0.084366,7.41
15.6026,-30.6366,0.133416,7.42
15.3063,-28.292,0.335502,7.43
15.043,-24.0639,0.51012,7.44
14.8305,-18.1681,0.669042,7.45
14.6852,-10.6193,0.840717,7.46
14.6233,-1.5255,0.978057,7.47
14.6581,8.5887,1.044765,7.48
14.7964,19.0854,1.054575,7.49
15.039,29.3368,0.995715,7.5
15.3797,38.5631,0.849546,7.51
15.8048,46.1757,0.672966,7.52
16.2979,52.2137,0.534645,7.53
16.8449,56.9765,0.417906,7.54
17.4337,60.6062,0.308034,7.55
18.0534,63.1519,0.201105,7.56
18.6935,64.7215,0.112815,7.57
19.345,65.4474,0.032373,7.58
19.9996,65.315,-0.05886,7.59
20.6478,64.1427,-0.175599,7.6
21.2779,61.6117,-0.330597,7.61
21.8746,57.4425,-0.503253,7.62
22.4221,51.8753,-0.610182,7.63
22.9096,45.5478,-0.655308,7.64
23.3322,38.9702,-0.660213,7.65
23.6893,32.476,-0.638631,7.66
23.9825,26.2025,-0.616068,7.67
24.2138,20.0664,-0.611163,7.68
24.3841,14.0185,-0.59841,7.69
24.4951,8.26,-0.553284,7.7
24.5511,3.0509,-0.488538,7.71
24.558,-1.5941,-0.440469,7.72
24.5201,-5.9645,-0.433602,7.73
24.4385,-10.3986,-0.453222,7.74
24.3115,-15.0338,-0.473823,7.75
24.1372,-19.8554,-0.4905,7.76
23.9142,-24.731,-0.484614,7.77
23.6433,-29.3859,-0.446355,7.78
23.3281,-33.5698,-0.390438,7.79
22.9735,-37.2829,-0.352179,7.8
22.5832,-40.7606,-0.34335,7.81
22.1583,-44.2284,-0.350217,7.82
21.6984,-47.7747,-0.359046,7.83
21.2026,-51.375,-0.361008,7.84
20.6711,-54.8919,-0.342369,7.85
20.1059,-58.085,-0.296262,7.86
19.5111,-60.7828,-0.243288,7.87
18.8917,-63.0293,-0.20601,7.88
18.2516,-64.9422,-0.17658,7.89
17.5943,-66.4382,-0.122625,7.9
16.9255,-67.1495,-0.01962,7.91
16.2551,-66.708,0.10791,7.92
15.5954,-65.0256,0.228573,7.93
14.9584,-62.2101,0.334521,7.94
14.354,-58.5755,0.3924,7.95
13.7877,-54.7055,0.381609,7.96
13.2587,-51.1739,0.324711,7.97
12.7626,-48.123,0.285471,7.98
12.2958,-45.229,0.293319,7.99
11.8591,-42.0113,0.350217,8
11.4579,-38.0824,0.435564,8.01
11.1,-33.3736,0.506196,8.02
10.7921,-28.1547,0.537588,8.03
10.5373,-22.8279,0.527778,8.04
10.3345,-17.8101,0.475785,8.05
10.1783,-13.6212,0.361989,8.06
10.0571,-10.9332,0.175599,8.07
9.9533,-10.1583,-0.020601,8.08
9.8487,-10.9578,-0.139302,8.09
9.7316,-12.5176,-0.172656,8.1
9.5981,-14.1558,-0.154998,8.11
9.4502,-15.2889,-0.071613,8.12
9.296,-15.3085,0.067689,8.13
9.1484,-14.0136,0.191295,8.14
9.0194,-11.6347,0.28449,8.15
8.9185,-8.4219,0.358065,8.16
8.8526,-4.7137,0.383571,8.17
8.824,-1.0693,0.345312,8.18
8.8294,2.0503,0.278604,8.19
8.8631,4.5911,0.229554,8.2
8.9197,6.6708,0.18639,8.21
8.995,8.3189,0.143226,8.22
9.0848,9.5746,0.10791,8.23
9.1857,10.5703,0.091233,8.24
9.2959,11.4777,0.090252,8.25
9.4154,12.4293,0.100062,8.26
9.5448,13.4593,0.105948,8.27
9.6846,14.5139,0.104967,8.28
9.8348,15.5047,0.093195,8.29
9.9942,16.3435,0.074556,8.3
10.1612,17.0253,0.061803,8.31
10.3343,17.5942,0.051993,8.32
10.5125,18.0063,0.030411,8.33
10.6936,18.1436,-0.002943,8.34
10.8741,17.8983,-0.046107,8.35
11.0501,17.2215,-0.089271,8.36
11.2173,16.1571,-0.123606,8.37
11.3724,14.8425,-0.139302,8.38
11.5138,13.4495,-0.139302,8.39
11.6414,12.0516,-0.140283,8.4
11.7548,10.6193,-0.146169,8.41
11.8536,9.1527,-0.14715,8.42
11.9382,7.7891,-0.125568,8.43
12.0104,6.7346,-0.085347,8.44
12.074,6.0184,-0.057879,8.45
12.1313,5.4445,-0.056898,8.46
12.1829,4.8756,-0.056898,8.47
12.229,4.3556,-0.047088,8.48
12.2703,3.9289,-0.038259,8.49
12.3078,3.5757,-0.032373,8.5
12.3421,3.2962,-0.023544,8.51
12.3742,3.1637,-0.002943,8.52
12.4062,3.2913,0.028449,8.53
12.4412,3.7719,0.067689,8.54
12.4829,4.6303,0.103986,8.55
12.5347,5.7438,0.118701,8.56
12.5977,6.8425,0.101043,8.57
12.6703,7.5635,0.043164,8.58
12.7464,7.5145,-0.052974,8.59
12.8174,6.5286,-0.144207,8.6
12.8745,4.7873,-0.204048,8.61
12.9113,2.4917,-0.25506,8.62
12.9226,-0.3335,-0.309996,8.63
12.9029,-3.6788,-0.359046,8.64
12.8476,-7.4458,-0.394362,8.65
12.7531,-11.4875,-0.413982,8.66
12.6176,-15.6028,-0.409077,8.67
12.4415,-19.571,-0.384552,8.68
12.227,-23.3037,-0.361989,8.69
11.9763,-26.7666,-0.330597,8.7
11.693,-29.8077,-0.277623,8.71
11.3825,-32.1474,-0.190314,8.72
11.0535,-33.4717,-0.074556,8.73
10.7173,-33.5453,0.059841,8.74
10.3869,-32.3289,0.183447,8.75
10.0746,-29.9352,0.295281,8.76
9.7913,-26.6096,0.369837,8.77
9.5439,-22.8328,0.385533,8.78
9.3339,-19.2717,0.326673,8.79
9.1551,-16.731,0.181485,8.8
8.9937,-15.8628,-0.007848,8.81
8.8327,-16.5249,-0.124587,8.82
8.6608,-17.8983,-0.150093,8.83
8.4746,-19.3208,-0.134397,8.84
8.2761,-20.2331,-0.048069,8.85
8.0742,-19.8505,0.124587,8.86
7.8839,-18.0357,0.238383,8.87
7.7159,-15.5194,0.26487,8.88
7.574,-12.856,0.267813,8.89
7.4583,-10.3299,0.237402,8.9
7.3657,-8.3189,0.164808,8.91
7.2889,-7.2104,0.056898,8.92
7.2175,-7.2888,-0.072594,8.93
7.1396,-8.4268,-0.154998,8.94
7.0474,-10.0454,-0.168732,8.95
6.9391,-11.5366,-0.129492,8.96
6.8192,-12.2478,-0.012753,8.97
6.6989,-11.5268,0.15696,8.98
6.593,-9.501,0.248193,8.99
6.5107,-6.9357,0.26487,9
6.4544,-4.3556,0.251136,9.01
6.4226,-2.065,0.206991,9.02
6.4116,-0.2256,0.160884,9.03
6.4167,1.1968,0.123606,9.04
6.4341,2.1925,0.075537,9.05
6.4584,2.5261,-0.008829,9.06
6.4817,1.9865,-0.099081,9.07
6.496,0.7995,-0.138321,9.08
6.4972,-0.5396,-0.129492,9.09
6.4859,-1.6481,-0.092214,9.1
6.466,-2.2073,-0.01962,9.11
6.4448,-1.8737,0.086328,9.12
6.4321,-0.4856,0.191295,9.13
6.4386,1.9571,0.297243,9.14
6.4748,5.4642,0.404172,9.15
6.551,9.9081,0.484614,9.16
6.6749,14.9357,0.520911,9.17
6.8502,20.1056,0.513063,9.18
7.0759,24.9321,0.452241,9.19
7.3463,29.018,0.364932,9.2
7.6538,32.3828,0.308034,9.21
7.9927,35.3503,0.285471,9.22
8.3602,38.1266,0.269775,9.23
8.7545,40.687,0.242307,9.24
9.1728,42.904,0.201105,9.25
9.6111,44.6944,0.15696,9.26
10.0651,46.004,0.104967,9.27
10.5289,46.6122,0.016677,9.28
10.9938,46.1806,-0.103005,9.29
11.449,44.714,-0.190314,9.3
11.8856,42.4822,-0.256041,9.31
12.2964,39.5784,-0.324711,9.32
12.6752,36.1057,-0.369837,9.33
13.0176,32.3338,-0.384552,9.34
13.3218,28.5275,-0.376704,9.35
13.5884,24.8046,-0.367875,9.36
13.818,21.1013,-0.37278,9.37
14.0102,17.3294,-0.381609,9.38
14.1642,13.4691,-0.390438,9.39
14.2794,9.5451,-0.394362,9.4
14.3552,5.6407,-0.386514,9.41
14.3928,1.9129,-0.359046,9.42
14.3948,-1.4225,-0.308034,9.43
14.3663,-4.1742,-0.242307,9.44
14.3136,-6.2244,-0.167751,9.45
14.2441,-7.588,-0.104967,9.46
14.1634,-8.4906,-0.075537,9.47
14.0747,-9.2606,-0.07848,9.48
13.9779,-10.1141,-0.092214,9.49
13.872,-11.0804,-0.101043,9.5
13.7562,-12.0859,-0.100062,9.51
13.6305,-13.0277,-0.08829,9.52
13.4962,-13.7978,-0.065727,9.53
13.3555,-14.2785,-0.030411,9.54
13.2119,-14.3815,0.00981,9.55
13.0692,-14.1068,0.045126,9.56
12.931,-13.4691,0.082404,9.57
12.8013,-12.3802,0.135378,9.58
12.6852,-10.7469,0.191295,9.59
12.588,-8.6034,0.237402,9.6
12.5148,-5.9645,0.290376,9.61
12.4706,-2.7615,0.350217,9.62
12.4614,1.0006,0.40221,9.63
12.4918,5.111,0.419868,9.64
12.5636,9.2116,0.400248,9.65
12.6749,12.9688,0.351198,9.66
12.8208,16.0786,0.270756,9.67
12.9936,18.3398,0.181485,9.68
13.1851,19.8505,0.120663,9.69
13.389,20.8757,0.084366,9.7
13.6016,21.6065,0.061803,9.71
13.8207,22.1951,0.055917,9.72
14.0455,22.769,0.05886,9.73
14.276,23.338,0.054936,9.74
14.5117,23.75,0.027468,9.75
14.7496,23.7206,-0.033354,9.76
14.9837,22.9652,-0.11772,9.77
15.2063,21.4398,-0.187371,9.78
15.4106,19.3355,-0.233478,9.79
15.5915,16.7751,-0.278604,9.8
15.7444,13.7242,-0.331578,9.81
15.8643,10.1681,-0.379647,9.82
15.9466,6.2588,-0.40221,9.83
15.9893,2.3053,-0.388476,9.84
15.9939,-1.3047,-0.33354,9.85
15.9654,-4.2674,-0.258984,9.86
15.9108,-6.5482,-0.197181,9.87
15.836,-8.3679,-0.16677,9.88
15.7441,-9.9817,-0.155979,9.89
15.6366,-11.5022,-0.148131,9.9
15.5144,-12.9296,-0.13734,9.91
15.3784,-14.2539,-0.12753,9.92
15.2296,-15.5047,-0.122625,9.93
15.0684,-16.7359,-0.123606,9.94
14.8947,-18.0014,-0.129492,9.95
14.7082,-19.3012,-0.130473,9.96
14.5088,-20.5667,-0.122625,9.97
14.2973,-21.6997,-0.103986,9.98
14.0756,-22.6071,-0.077499,9.99
13.8462,-23.2007,-0.041202,10
13.6129,-23.387,0.003924,10.01
13.38,-23.1271,0.048069,10.02
13.1516,-22.5041,0.076518,10.03
12.9304,-21.739,0.076518,10.04
12.7162,-21.1602,0.03924,10.05
12.5055,-21.0719,-0.021582,10.06
12.2928,-21.5624,-0.076518,10.07
12.0728,-22.4894,-0.108891,10.08
11.8423,-23.6519,-0.123606,10.09
11.5996,-24.888,-0.123606,10.1
11.3447,-26.0652,-0.111834,10.11
11.0787,-27.0952,-0.094176,10.12
10.8035,-27.9193,-0.070632,10.13
10.5212,-28.4981,-0.045126,10.14
10.2342,-28.8708,-0.02943,10.15
9.944,-29.1602,-0.028449,10.16
9.6508,-29.5183,-0.043164,10.17
9.353,-30.0922,-0.071613,10.18
9.048,-30.9456,-0.099081,10.19
8.7333,-32.01,-0.113796,10.2
8.4077,-33.1088,-0.105948,10.21
8.0718,-34.026,-0.077499,10.22
7.7281,-34.6538,-0.048069,10.23
7.3795,-35.0266,-0.026487,10.24
7.0283,-35.1983,-0.007848,10.25
6.6762,-35.1836,0.010791,10.26
6.3254,-34.9383,0.038259,10.27
5.9785,-34.3742,0.074556,10.28
5.639,-33.4668,0.106929,10.29
5.3102,-32.2308,0.140283,10.3
4.9955,-30.6513,0.175599,10.31
4.6981,-28.8071,0.193257,10.32
4.4195,-26.9334,0.181485,10.33
4.1587,-25.2951,0.146169,10.34
3.9125,-23.9904,0.114777,10.35
3.678,-22.9358,0.096138,10.36
3.4533,-22.0185,0.087309,10.37
3.2376,-21.1062,0.095157,10.38
3.0318,-20.0222,0.121644,10.39
2.8382,-18.6439,0.154017,10.4
2.6598,-16.9958,0.175599,10.41
2.4987,-15.2104,0.181485,10.42
2.3556,-13.4152,0.177561,10.43
2.2303,-11.6592,0.173637,10.44
2.1222,-9.967,0.164808,10.45
2.0307,-8.3434,0.159903,10.46
1.9553,-6.7199,0.164808,10.47
1.8965,-5.0423,0.170694,10.48
1.8544,-3.3845,0.160884,10.49
1.8283,-1.8835,0.139302,10.5
1.816,-0.5984,0.11772,10.51
1.8156,0.4905,0.100062,10.52
1.8253,1.4126,0.084366,10.53
1.8434,2.1876,0.070632,10.54
1.8687,2.8449,0.060822,10.55
1.9002,3.4727,0.064746,10.56
1.9386,4.2428,0.089271,10.57
1.9861,5.3366,0.129492,10.58
2.0466,6.8229,0.167751,10.59
2.1233,8.5249,0.172656,10.6
2.2167,10.1141,0.145188,10.61
2.3246,11.3894,0.109872,10.62
2.4434,12.3214,0.076518,10.63
2.5701,12.9737,0.053955,10.64
2.7023,13.4495,0.041202,10.65
2.8387,13.8076,0.030411,10.66
2.978,14.0332,0.014715,10.67
3.1186,14.0528,-0.010791,10.68
3.2581,13.783,-0.043164,10.69
3.3933,13.219,-0.069651,10.7
3.5219,12.4734,-0.079461,10.71
3.6427,11.718,-0.071613,10.72
3.7568,11.1442,-0.043164,10.73
3.8667,10.8793,-0.00981,10.74
3.9754,10.8989,0.013734,10.75
4.0851,11.0461,0.015696,10.76
4.196,11.1245,0,10.77
4.307,11.0313,-0.018639,10.78
4.4162,10.7959,-0.028449,10.79
4.5228,10.5261,-0.025506,10.8
4.627,10.3348,-0.012753,10.81
4.7298,10.2465,-0.004905,10.82
4.8319,10.1681,-0.010791,10.83
4.9328,9.9621,-0.030411,10.84
5.0305,9.5353,-0.054936,10.85
5.1227,8.8731,-0.077499,10.86
5.2071,7.9657,-0.103986,10.87
5.281,6.7591,-0.13734,10.88
5.341,5.1797,-0.178542,10.89
5.3831,3.1588,-0.22563,10.9
5.4028,0.721,-0.261927,10.91
5.3965,-2.0209,-0.286452,10.92
5.3618,-4.9541,-0.300186,10.93
5.2974,-7.9118,-0.291357,10.94
5.2043,-10.6537,-0.257022,10.95
5.0857,-12.9737,-0.206991,10.96
4.9466,-14.7591,-0.150093,10.97
4.7925,-15.9413,-0.086328,10.98
4.6301,-16.417,-0.008829,10.99
4.4669,-16.0639,0.079461,11
4.3116,-14.8769,0.157941,11.01
4.1715,-13.0767,0.202086,11.02
4.0508,-11.0412,0.205029,11.03
3.9502,-9.1478,0.173637,11.04
3.8664,-7.691,0.11772,11.05
3.7946,-6.7689,0.066708,11.06
3.7298,-6.2244,0.042183,11.07
3.6697,-5.8026,0.042183,11.08
3.614,-5.3121,0.055917,11.09
3.5638,-4.6941,0.067689,11.1
3.5204,-3.978,0.075537,11.11
3.4846,-3.1686,0.086328,11.12
3.4573,-2.271,0.093195,11.13
3.4392,-1.3636,0.08829,11.14
3.4296,-0.6033,0.063765,11.15
3.426,-0.1962,0.017658,11.16
3.424,-0.2796,-0.034335,11.17
3.4189,-0.7946,-0.06867,11.18
3.4074,-1.5156,-0.075537,11.19
3.3888,-2.1925,-0.059841,11.2
3.3642,-2.6928,-0.040221,11.21
3.3356,-2.9921,-0.01962,11.22
3.3052,-3.046,0.008829,11.23
3.2756,-2.8155,0.037278,11.24
3.2497,-2.3348,0.05886,11.25
3.2294,-1.702,0.067689,11.26
3.2156,-1.0791,0.056898,11.27
3.2071,-0.6622,0.026487,11.28
3.2013,-0.5641,-0.006867,11.29
3.195,-0.721,-0.024525,11.3
3.1867,-0.932,-0.017658,11.31
3.177,-0.9614,0.011772,11.32
3.1687,-0.6278,0.054936,11.33
3.1659,0.1619,0.103005,11.34
3.1734,1.4077,0.146169,11.35
3.1952,2.997,0.171675,11.36
3.2337,4.6941,0.167751,11.37
3.2886,6.2195,0.13734,11.38
3.3569,7.382,0.095157,11.39
3.4346,8.0736,0.043164,11.4
3.5167,8.2551,-0.006867,11.41
3.5981,7.9608,-0.051993,11.42
3.6745,7.2594,-0.08829,11.43
3.7422,6.2244,-0.118701,11.44
3.7981,4.905,-0.145188,11.45
3.8394,3.3158,-0.172656,11.46
3.8634,1.4175,-0.206991,11.47
3.8666,-0.824,-0.241326,11.48
3.846,-3.3452,-0.262908,11.49
3.7994,-5.9743,-0.262908,11.5
3.7268,-8.4955,-0.241326,11.51
3.6304,-10.7321,-0.20601,11.52
3.5133,-12.6402,-0.175599,11.53
3.3785,-14.2883,-0.154017,11.54
3.228,-15.7843,-0.145188,11.55
3.0632,-17.1479,-0.12753,11.56
2.886,-18.227,-0.08829,11.57
2.7003,-18.8205,-0.030411,11.58
2.5118,-18.742,0.046107,11.59
2.328,-17.9033,0.121644,11.6
2.1559,-16.4416,0.170694,11.61
2.0004,-14.612,0.195219,11.62
1.8641,-12.6451,0.198162,11.63
1.7472,-10.7616,0.178542,11.64
1.6478,-9.192,0.135378,11.65
1.5616,-8.1423,0.074556,11.66
1.4829,-7.7009,0.013734,11.67
1.4059,-7.7793,-0.02943,11.68
1.3262,-8.211,-0.056898,11.69
1.2408,-8.8977,-0.080442,11.7
1.1474,-9.8149,-0.103005,11.71
1.0438,-10.9332,-0.120663,11.72
0.9284,-12.1742,-0.12753,11.73
0.8004,-13.4103,-0.119682,11.74
0.6605,-14.5335,-0.104967,11.75
0.51,-15.5636,-0.101043,11.76
0.3492,-16.6181,-0.109872,11.77
0.1772,-17.8002,-0.126549,11.78
-0.0073,-19.1197,-0.13734,11.79
-0.2053,-20.4686,-0.132435,11.8
-0.4162,-21.6752,-0.108891,11.81
-0.6377,-22.563,-0.06867,11.82
-0.866,-23.0143,-0.021582,11.83
-1.0965,-23.0339,0.017658,11.84
-1.3257,-22.7592,0.037278,11.85
-1.5514,-22.3913,0.036297,11.86
-1.7738,-22.1068,0.020601,11.87
-1.9941,-21.994,0.001962,11.88
-2.214,-21.994,-0.001962,11.89
-2.4337,-21.8861,0.023544,11.9
-2.6504,-21.3662,0.080442,11.91
-2.8587,-20.1645,0.159903,11.92
-3.0511,-18.2025,0.232497,11.93
-3.2209,-15.6911,0.269775,11.94
-3.3642,-12.959,0.276642,11.95
-3.4801,-10.2318,0.268794,11.96
-3.5694,-7.6665,0.244269,11.97
-3.6346,-5.4495,0.199143,11.98
-3.6803,-3.7916,0.132435,11.99
-3.7127,-2.8253,0.060822,12
-3.7389,-2.4868,0.006867,12.01
-3.7639,-2.5604,-0.021582,12.02
-3.7907,-2.8204,-0.030411,12.03
-3.8205,-3.1392,-0.033354,12.04
-3.8536,-3.4875,-0.036297,12.05
-3.8904,-3.8799,-0.042183,12.06
-3.9316,-4.3949,-0.060822,12.07
-3.9788,-5.0816,-0.076518,12.08
-4.0336,-5.8909,-0.085347,12.09
-4.0968,-6.7542,-0.087309,12.1
-4.1688,-7.6567,-0.093195,12.11
-4.2501,-8.6132,-0.0981,12.12
-4.3412,-9.5942,-0.0981,12.13
-4.442,-10.5703,-0.097119,12.14
-4.5523,-11.4728,-0.083385,12.15
-4.6708,-12.1889,-0.059841,12.16
-4.7955,-12.7138,-0.045126,12.17
-4.9248,-13.1356,-0.03924,12.18
-5.058,-13.5133,-0.036297,12.19
-5.195,-13.8664,-0.034335,12.2
-5.3353,-14.1951,-0.031392,12.21
-5.4789,-14.5482,-0.03924,12.22
-5.6267,-15.0387,-0.05886,12.23
-5.7804,-15.7451,-0.082404,12.24
-5.9422,-16.6329,-0.095157,12.25
-6.1132,-17.555,-0.089271,12.26
-6.2928,-18.3202,-0.063765,12.27
-6.4786,-18.7763,-0.027468,12.28
-6.6671,-18.8793,0.006867,12.29
-6.8552,-18.7028,0.028449,12.3
-7.0406,-18.3447,0.043164,12.31
-7.2216,-17.8248,0.060822,12.32
-7.3964,-17.089,0.086328,12.33
-7.5624,-16.0786,0.115758,12.34
-7.717,-14.7739,0.145188,12.35
-7.857,-13.1895,0.171675,12.36
-7.98,-11.3943,0.187371,12.37
-8.0845,-9.4912,0.193257,12.38
-8.1697,-7.539,0.197181,12.39
-8.2353,-5.5917,0.192276,12.4
-8.2819,-3.7621,0.173637,12.41
-8.3112,-2.1386,0.151074,12.42
-8.3253,-0.6916,0.138321,12.43
-8.3253,0.6867,0.13734,12.44
-8.3117,2.0356,0.132435,12.45
-8.2849,3.3011,0.120663,12.46
-8.246,4.4537,0.109872,12.47
-8.1961,5.5083,0.101043,12.48
-8.1361,6.4942,0.096138,12.49
-8.0664,7.4213,0.089271,12.5
-7.9879,8.2796,0.082404,12.51
-7.901,9.0841,0.07848,12.52
-7.8063,9.8492,0.074556,12.53
-7.7043,10.5507,0.065727,12.54
-7.5956,11.1589,0.055917,12.55
-7.4817,11.5758,0.027468,12.56
-7.3654,11.6052,-0.021582,12.57
-7.2513,11.1294,-0.073575,12.58
-7.1444,10.1877,-0.114777,12.59
-7.0485,8.9712,-0.128511,12.6
-6.9648,7.8088,-0.103986,12.61
-6.891,7.0436,-0.04905,12.62
-6.8219,6.867,0.013734,12.63
-6.7517,7.2545,0.063765,12.64
-6.6757,7.9902,0.083385,12.65
-6.5918,8.7701,0.072594,12.66
-6.501,9.3244,0.038259,12.67
-6.4068,9.4274,-0.017658,12.68
-6.3143,8.9811,-0.071613,12.69
-6.2287,8.0785,-0.108891,12.7
-6.1536,6.9111,-0.124587,12.71
-6.0907,5.68,-0.121644,12.72
-6.0397,4.5371,-0.106929,12.73
-5.9994,3.5659,-0.087309,12.74
-5.9678,2.786,-0.06867,12.75
-5.9431,2.168,-0.054936,12.76
-5.9241,1.6383,-0.051012,12.77
-5.9103,1.1232,-0.051993,12.78
-5.9016,0.6082,-0.051012,12.79
-5.898,0.1373,-0.043164,12.8
-5.8983,-0.1619,-0.016677,12.81
-5.9001,-0.1128,0.026487,12.82
-5.8991,0.3826,0.072594,12.83
-5.891,1.2998,0.110853,12.84
-5.872,2.5555,0.140283,12.85
-5.8391,4.0515,0.158922,12.86
-5.7904,5.6996,0.170694,12.87
-5.7248,7.436,0.17658,12.88
-5.6416,9.2067,0.177561,12.89
-5.5407,10.9823,0.177561,12.9
-5.422,12.7383,0.173637,12.91
-5.2861,14.4354,0.165789,12.92
-5.1338,15.9903,0.145188,12.93
-4.9672,17.2803,0.112815,12.94
-4.7894,18.2172,0.074556,12.95
-4.6042,18.7371,0.02943,12.96
-4.4164,18.7273,-0.031392,12.97
-4.2317,18.0994,-0.094176,12.98
-4.0563,16.9026,-0.145188,12.99
-3.8951,15.2644,-0.182466,13
-3.7521,13.3024,-0.209934,13.01
-3.6297,11.1491,-0.220725,13.02
-3.5291,9.0105,-0.206991,13.03
-3.4485,7.1711,-0.160884,13.04
-3.3834,6.0135,-0.070632,13.05
-3.325,5.8468,0.037278,13.06
-3.2634,6.5825,0.109872,13.07
-3.1915,7.848,0.143226,13.08
-3.1057,9.3342,0.154017,13.09
-3.0046,10.8842,0.155979,13.1
-2.888,12.4489,0.15696,13.11
-2.7555,14.0675,0.16677,13.12
-2.6064,15.7549,0.170694,13.13
-2.4404,17.4324,0.164808,13.14
-2.2582,18.9774,0.144207,13.15
-2.0616,20.2969,0.119682,13.16
-1.8531,21.3564,0.092214,13.17
-1.6354,22.1314,0.062784,13.18
-1.4115,22.6071,0.032373,13.19
-1.1842,22.8279,0.011772,13.2
-0.9554,22.9063,0.003924,13.21
-0.7262,22.9211,-0.000981,13.22
-0.4973,22.8573,-0.011772,13.23
-0.2696,22.6366,-0.032373,13.24
-0.0454,22.1559,-0.063765,13.25
0.1723,21.3171,-0.103986,13.26
0.3795,20.0516,-0.149112,13.27
0.5719,18.3545,-0.190314,13.28
0.7454,16.2797,-0.224649,13.29
0.8966,13.9351,-0.244269,13.3
1.0239,11.5366,-0.23544,13.31
1.1281,9.3636,-0.199143,13.32
1.2126,7.6224,-0.149112,13.33
1.2821,6.352,-0.104967,13.34
1.3406,5.3857,-0.08829,13.35
1.3901,4.5028,-0.08829,13.36
1.4308,3.6444,-0.083385,13.37
1.4633,2.8743,-0.070632,13.38
1.4888,2.2661,-0.051012,13.39
1.5093,1.8639,-0.02943,13.4
1.5268,1.6775,-0.007848,13.41
1.5433,1.6432,0.000981,13.42
1.5599,1.6628,0.002943,13.43
1.5766,1.6775,0,13.44
1.5932,1.6334,-0.008829,13.45
1.6089,1.496,-0.018639,13.46
1.6228,1.2704,-0.026487,13.47
1.634,0.9565,-0.036297,13.48
1.6417,0.5543,-0.044145,13.49
1.6448,0.0638,-0.053955,13.5
1.6426,-0.5346,-0.065727,13.51
1.6339,-1.2213,-0.071613,13.52
1.6183,-1.8688,-0.057879,13.53
1.5973,-2.2661,-0.021582,13.54
1.5745,-2.2023,0.034335,13.55
1.555,-1.6088,0.084366,13.56
1.5436,-0.6327,0.110853,13.57
1.5428,0.4709,0.109872,13.58
1.5527,1.4911,0.094176,13.59
1.572,2.3348,0.074556,13.6
1.5988,2.997,0.057879,13.61
1.6317,3.5905,0.060822,13.62
1.6711,4.3213,0.085347,13.63
1.7193,5.3808,0.126549,13.64
1.7802,6.8768,0.172656,13.65
1.858,8.7309,0.198162,13.66
1.955,10.6635,0.188352,13.67
2.0704,12.3263,0.144207,13.68
2.1998,13.4544,0.081423,13.69
2.3374,13.9743,0.022563,13.7
2.4777,14.0087,-0.015696,13.71
2.6167,13.7732,-0.031392,13.72
2.7528,13.4446,-0.034335,13.73
2.8857,13.1405,-0.026487,13.74
3.0161,12.9835,-0.004905,13.75
3.1461,13.062,0.020601,13.76
3.278,13.3367,0.034335,13.77
3.4131,13.6899,0.036297,13.78
3.5517,14.0234,0.030411,13.79
3.6933,14.2834,0.021582,13.8
3.837,14.4305,0.007848,13.81
3.9816,14.4599,-0.001962,13.82
