         time Z Velocity... 
------------- ------------- 
 2.893992e-04  6.200206e-10 
 6.109538e-04  1.308932e-09 
 9.325084e-04  1.997844e-09 
 1.254063e-03  2.686756e-09 
 1.575618e-03  3.375668e-09 
 1.897172e-03  4.064580e-09 
 2.218727e-03  4.753491e-09 
 2.540282e-03  5.442403e-09 
 2.861836e-03  6.131315e-09 
 3.183391e-03  6.820227e-09 
 3.504946e-03  7.509139e-09 
 3.826500e-03  8.198050e-09 
 4.148055e-03  8.886962e-09 
 4.469609e-03  9.575874e-09 
 4.791164e-03  1.026479e-08 
 5.112719e-03  2.221715e-08 
 5.434273e-03  5.503753e-08 
 5.755828e-03  8.785790e-08 
 6.077383e-03  1.206783e-07 
 6.398937e-03  1.534987e-07 
 6.720492e-03  1.863190e-07 
 7.042047e-03  2.191394e-07 
 7.363601e-03  2.519598e-07 
 7.685156e-03  2.847801e-07 
 8.006710e-03  3.176005e-07 
 8.328265e-03  3.504209e-07 
 8.649820e-03  3.832413e-07 
 8.971374e-03  4.160616e-07 
 9.292929e-03  4.488820e-07 
 9.614484e-03  4.817024e-07 
 9.936038e-03  5.145228e-07 
 1.025759e-02  5.733952e-07 
 1.057915e-02  6.387365e-07 
 1.090070e-02  7.040777e-07 
 1.122226e-02  7.694190e-07 
 1.154381e-02  8.347603e-07 
 1.186537e-02  9.001016e-07 
 1.218692e-02  9.654429e-07 
 1.250848e-02  1.030784e-06 
 1.283003e-02  1.096125e-06 
 1.315158e-02  1.161467e-06 
 1.347314e-02  1.226808e-06 
 1.379469e-02  1.292149e-06 
 1.411625e-02  1.357491e-06 
 1.443780e-02  1.422832e-06 
 1.475936e-02  1.488173e-06 
 1.508091e-02  1.560686e-06 
 1.540247e-02  1.654884e-06 
 1.572402e-02  1.749082e-06 
 1.604558e-02  1.843280e-06 
 1.636713e-02  1.937478e-06 
 1.668869e-02  2.031676e-06 
 1.701024e-02  2.125874e-06 
 1.733179e-02  2.220072e-06 
 1.765335e-02  2.314270e-06 
 1.797490e-02  2.408468e-06 
 1.829646e-02  2.502666e-06 
 1.861801e-02  2.596864e-06 
 1.893957e-02  2.691062e-06 
 1.926112e-02  2.785260e-06 
 1.958268e-02  2.879458e-06 
 1.990423e-02  2.973656e-06 
 2.022579e-02  3.079917e-06 
 2.054734e-02  3.191371e-06 
 2.086890e-02  3.302826e-06 
 2.119045e-02  3.414280e-06 
 2.151201e-02  3.525734e-06 
 2.183356e-02  3.637188e-06 
 2.215511e-02  3.748643e-06 
 2.247667e-02  3.860097e-06 
 2.279822e-02  3.971551e-06 
 2.311978e-02  4.083006e-06 
 2.344133e-02  4.194460e-06 
 2.376289e-02  4.305914e-06 
 2.408444e-02  4.417368e-06 
 2.440600e-02  4.528823e-06 
 2.472755e-02  4.640277e-06 
 2.504911e-02  4.753225e-06 
 2.537066e-02  4.874663e-06 
 2.569222e-02  4.996101e-06 
 2.601377e-02  5.117538e-06 
 2.633532e-02  5.238976e-06 
 2.665688e-02  5.360414e-06 
 2.697843e-02  5.481852e-06 
 2.729999e-02  5.603290e-06 
 2.762154e-02  5.724727e-06 
 2.794310e-02  5.846165e-06 
 2.826465e-02  5.967603e-06 
 2.858621e-02  6.089041e-06 
 2.890776e-02  6.210479e-06 
 2.922932e-02  6.331916e-06 
 2.955087e-02  6.453354e-06 
 2.987243e-02  6.574792e-06 
 3.019398e-02  6.702313e-06 
 3.051553e-02  6.833887e-06 
 3.083709e-02  6.965460e-06 
 3.115864e-02  7.097034e-06 
 3.148020e-02  7.228607e-06 
 3.180175e-02  7.360181e-06 
 3.212331e-02  7.491755e-06 
 3.244486e-02  7.623328e-06 
 3.276642e-02  7.754902e-06 
 3.308797e-02  7.886476e-06 
 3.340953e-02  8.018049e-06 
 3.373108e-02  8.149623e-06 
 3.405264e-02  8.281197e-06 
 3.437419e-02  8.412770e-06 
 3.469575e-02  8.544344e-06 
 3.501730e-02  8.676544e-06 
 3.533885e-02  8.821283e-06 
 3.566041e-02  8.966021e-06 
 3.598196e-02  9.110760e-06 
 3.630352e-02  9.255498e-06 
 3.662507e-02  9.400237e-06 
 3.694663e-02  9.544976e-06 
 3.726818e-02  9.689714e-06 
 3.758974e-02  9.834453e-06 
 3.791129e-02  9.979192e-06 
 3.823285e-02  1.012393e-05 
 3.855440e-02  1.026867e-05 
 3.887596e-02  1.041341e-05 
 3.919751e-02  1.055815e-05 
 3.951906e-02  1.070288e-05 
 3.984062e-02  1.084762e-05 
 4.016217e-02  1.099807e-05 
 4.048373e-02  1.115428e-05 
 4.080528e-02  1.131048e-05 
 4.112684e-02  1.146668e-05 
 4.144839e-02  1.162288e-05 
 4.176995e-02  1.177909e-05 
 4.209150e-02  1.193529e-05 
 4.241306e-02  1.209149e-05 
 4.273461e-02  1.224770e-05 
 4.305617e-02  1.240390e-05 
 4.337772e-02  1.256010e-05 
 4.369927e-02  1.271631e-05 
 4.402083e-02  1.287251e-05 
 4.434238e-02  1.302871e-05 
 4.466394e-02  1.318492e-05 
 4.498549e-02  1.334112e-05 
 4.530705e-02  1.349491e-05 
 4.562860e-02  1.364857e-05 
 4.595016e-02  1.380223e-05 
 4.627171e-02  1.395589e-05 
 4.659327e-02  1.410955e-05 
 4.691482e-02  1.426321e-05 
 4.723638e-02  1.441688e-05 
 4.755793e-02  1.457054e-05 
 4.787948e-02  1.472420e-05 
 4.820104e-02  1.487786e-05 
 4.852259e-02  1.503152e-05 
 4.884415e-02  1.518518e-05 
 4.916570e-02  1.533884e-05 
 4.948726e-02  1.549250e-05 
 4.980881e-02  1.564616e-05 
 5.013037e-02  1.578964e-05 
 5.045192e-02  1.591777e-05 
 5.077348e-02  1.604590e-05 
 5.109503e-02  1.617404e-05 
 5.141659e-02  1.630217e-05 
 5.173814e-02  1.643031e-05 
 5.205970e-02  1.655844e-05 
 5.238125e-02  1.668658e-05 
 5.270280e-02  1.681471e-05 
 5.302436e-02  1.694285e-05 
 5.334591e-02  1.707098e-05 
 5.366747e-02  1.719912e-05 
 5.398902e-02  1.732725e-05 
 5.431058e-02  1.745539e-05 
 5.463213e-02  1.758352e-05 
 5.495369e-02  1.771166e-05 
 5.527524e-02  1.780689e-05 
