run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,T_id_held,beta_applied,s_applied
1,HU12,0.5,0.092,1.0,0.5282,0.2641,0.2641,1.0,0.218,0.0222,0.003192,0.098066,1.0659,3.0,0,1.0,0
2,HU12,0.75,0.098066,1.0659,0.655,0.4913,0.3962,1.24,0.3563,0.0363,0.00556,0.098092,1.0662,3.0,0,1.0,0
3,EC40,0.2,0.098092,1.0662,1.604,0.3208,0.2497,1.28,0.2326,0.0237,0.003631,0.098002,1.0652,3.0,0,1.0,0
4,HU12,1.0,0.098002,1.0652,0.6537,0.6537,0.5282,1.24,0.4744,0.0484,0.007397,0.098233,1.0678,3.0,0,1.0,0
5,HU12,1.25,0.098233,1.0678,0.6585,0.8231,0.6603,1.25,0.5963,0.0608,0.009323,0.098049,1.0658,3.0,0,1.0,0
6,EC40,0.3,0.098049,1.0658,1.6026,0.4808,0.3746,1.28,0.3488,0.0356,0.005441,0.097909,1.0642,3.0,0,1.0,0
7,HU12,1.5,0.097909,1.0642,0.6517,0.9776,0.7924,1.23,0.7104,0.0724,0.011068,0.099549,1.0821,3.0,0,1.0,0
8,EC40,0.4,0.099549,1.0821,1.6511,0.6605,0.4994,1.32,0.4636,0.0473,0.007346,0.103846,1.1288,3.0,0,1.0,0
9,HU12,1.75,0.103846,1.1288,0.7859,1.3753,0.9244,1.49,0.8914,0.0909,0.014732,0.106879,1.1617,3.0,0,1.0,0
10,HU12,2.0,0.106879,1.1617,0.8543,1.7086,1.0565,1.62,1.0379,0.1058,0.017655,0.106098,1.1532,3.0,0,1.0,0
11,EC40,0.5,0.106098,1.1532,1.9826,0.9913,0.6243,1.59,0.6154,0.0627,0.010388,0.104762,1.1387,3.0,0,1.0,0
12,HU12,2.25,0.104762,1.1387,0.8074,1.8167,1.1885,1.53,1.1502,0.1173,0.01916,0.104762,1.1387,3.0,1,1.0,0
13,HU12,2.5,0.104762,1.1387,0.8074,2.0186,1.3206,1.53,1.278,0.1303,0.021289,0.104762,1.1387,3.0,1,1.0,0
14,HU12,2.75,0.104762,1.1387,0.8074,2.2204,1.4527,1.53,1.4058,0.1434,0.023418,0.104762,1.1387,3.0,1,1.0,0
15,HU12,3.0,0.104762,1.1387,0.8074,2.4223,1.5847,1.53,1.5336,0.1564,0.025547,0.104762,1.1387,3.0,1,1.0,0
16,HU12,3.5,0.104762,1.1387,0.8074,2.826,1.8488,1.53,1.7892,0.1824,0.029805,0.104762,1.1387,3.0,1,1.0,0
17,HU12,4.0,0.104762,1.1387,0.8074,3.2297,2.113,1.53,2.0448,0.2085,0.034063,0.104762,1.1387,3.0,1,1.0,0
18,HU12,4.5,0.104762,1.1387,0.8074,3.6334,2.3771,1.53,2.3004,0.2346,0.038321,0.104762,1.1387,3.0,1,1.0,0
19,HU12,5.0,0.104762,1.1387,0.8074,4.0372,2.6412,1.53,2.556,0.2606,0.042578,0.104762,1.1387,3.0,1,1.0,0
20,HU12,5.5,0.104762,1.1387,0.8074,4.4409,2.9053,1.53,2.8116,0.2867,0.046836,0.104762,1.1387,3.0,1,1.0,0
21,HU12,6.0,0.104762,1.1387,0.8074,4.8446,3.1694,1.53,3.0672,0.3128,0.051094,0.104762,1.1387,3.0,1,1.0,0
22,FR76,1.0,0.104762,1.1387,1.7376,1.7376,1.299,1.34,1.1001,0.1122,0.018326,0.104762,1.1387,3.0,1,1.0,0
23,FR76,1.5,0.104762,1.1387,1.7376,2.6064,1.9485,1.34,1.6502,0.1683,0.027489,0.104762,1.1387,3.0,1,1.0,0
24,FR76,1.75,0.104762,1.1387,1.7376,3.0408,2.2732,1.34,1.9252,0.1963,0.03207,0.104762,1.1387,3.0,1,1.0,0
25,FR76,2.0,0.104762,1.1387,1.7376,3.4752,2.598,1.34,2.2002,0.2244,0.036652,0.104762,1.1387,3.0,1,1.0,0
