run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,T_legacy_disp,T_exp_psd,T_exp_welch,T_exp_ch_spread,T_exp_window_s,tid_source,beta_applied,s_applied
1,HU12,0.5,0.0948,1.0,0.5867,0.2933,0.2933,1.0,0.5211,0.0531,0.007841,0.102347,1.0796,0.721,two-IM(Sd+PGA),0.0648,0,0,0.101955,0.102363,ok_autocorr,0.101955,0.102347,0.102352,0.0,2.9634,exp_psd_svd,1.0,0
2,HU12,0.75,0.102347,1.0796,0.7506,0.5629,0.44,1.28,0.8615,0.0879,0.014024,0.098962,1.0439,0.801,two-IM(Sd+PGA),0.0973,0,0,0.100557,0.100401,ok_autocorr,0.100557,0.098962,0.100002,0.0001,2.9582,exp_psd_svd,1.0,0
3,EC40,0.2,0.098962,1.0439,1.6321,0.3264,0.2751,1.19,0.7029,0.0717,0.01107,0.096286,1.0157,0.627,two-IM(Sd+PGA),0.0751,0,0,0.098606,0.096525,ok_autocorr,0.098606,0.096286,0.09612,0.0001,2.9537,exp_psd_svd,1.0,0
4,HU12,1.0,0.096286,1.0157,0.6179,0.6179,0.5867,1.05,1.08,0.1101,0.01652,0.095066,1.0028,0.738,two-IM(Sd+PGA),0.1297,0,0,0.099901,0.097452,ok_autocorr,0.099901,0.095066,0.09666,0.0,2.9482,exp_psd_svd,1.0,0
5,HU12,1.25,0.095066,1.0028,0.5923,0.7403,0.7333,1.01,1.3269,0.1353,0.02001,0.095731,1.0098,0.724,two-IM(Sd+PGA),0.1621,0,0,0.100648,0.099371,ok_autocorr,0.100648,0.095731,0.098443,0.0001,2.9482,exp_psd_svd,1.0,0
6,EC40,0.3,0.095731,1.0098,1.4469,0.4341,0.4126,1.05,1.1357,0.1158,0.017261,0.098632,1.0404,0.591,two-IM(Sd+PGA),0.1126,0,0,0.10052,0.099302,ok_autocorr,0.10052,0.098632,0.099108,0.0001,2.9634,exp_psd_svd,1.0,0
7,HU12,1.5,0.098632,1.0404,0.6668,1.0002,0.88,1.14,1.6498,0.1682,0.025893,0.096311,1.0159,0.762,two-IM(Sd+PGA),0.1945,0,0,0.100771,0.099856,ok_autocorr,0.100771,0.096311,0.099019,0.0,2.9534,exp_psd_svd,1.0,0
8,EC40,0.4,0.096311,1.0159,1.4884,0.5953,0.5501,1.08,1.2568,0.1282,0.01923,0.095749,1.01,0.601,two-IM(Sd+PGA),0.1501,0,0,0.100322,0.097621,ok_autocorr,0.100322,0.095749,0.096757,0.0001,2.9534,exp_psd_svd,1.0,0
9,HU12,1.75,0.095749,1.01,0.6067,1.0617,1.0266,1.03,1.8827,0.192,0.02862,0.097145,1.0247,0.732,two-IM(Sd+PGA),0.2269,0,0,0.100958,0.099877,ok_autocorr,0.100958,0.097145,0.099229,0.0001,2.9482,exp_psd_svd,1.0,0
10,HU12,2.0,0.097145,1.0247,0.6358,1.2716,1.1733,1.08,2.1613,0.2204,0.03338,0.098478,1.0388,0.747,two-IM(Sd+PGA),0.2594,0,0,0.100965,0.100532,ok_autocorr,0.100965,0.098478,0.100118,0.0001,2.9534,exp_psd_svd,1.0,0
11,EC40,0.5,0.098478,1.0388,1.6165,0.8082,0.6877,1.18,1.7305,0.1765,0.027115,0.097407,1.0275,0.627,two-IM(Sd+PGA),0.1876,0,0,0.100339,0.099171,ok_autocorr,0.100339,0.097407,0.098767,0.0001,2.9534,exp_psd_svd,1.0,0
12,HU12,2.25,0.097407,1.0275,0.6413,1.4429,1.32,1.09,2.4372,0.2485,0.03775,0.099307,1.0475,0.75,two-IM(Sd+PGA),0.2918,0,0,0.101312,0.100778,ok_autocorr,0.101312,0.099307,0.100434,0.0002,2.9534,exp_psd_svd,1.0,0
13,HU12,2.5,0.099307,1.0475,0.6809,1.7022,1.4666,1.16,2.7764,0.2831,0.04388,0.100175,1.0567,0.768,two-IM(Sd+PGA),0.3242,0,0,0.102276,0.101665,ok_autocorr,0.102276,0.100175,0.10129,0.0001,2.9531,exp_psd_svd,1.0,0
14,HU12,2.75,0.100175,1.0567,0.6994,1.9235,1.6133,1.19,3.1036,0.3165,0.049481,0.100633,1.0615,0.776,two-IM(Sd+PGA),0.3566,0,0,0.103403,0.102289,ok_autocorr,0.103403,0.100633,0.101872,0.0001,2.9583,exp_psd_svd,1.0,0
15,HU12,3.0,0.100633,1.0615,0.7102,2.1307,1.76,1.21,3.392,0.3459,0.054324,0.099731,1.052,0.782,two-IM(Sd+PGA),0.389,0,0,0.105295,0.102777,ok_autocorr,0.105295,0.099731,0.102098,0.0,2.9433,exp_psd_svd,1.0,0
16,HU12,3.5,0.099731,1.052,0.6897,2.414,2.0533,1.18,3.8873,0.3964,0.061701,0.098809,1.0423,0.772,two-IM(Sd+PGA),0.4539,0,0,0.106116,0.104184,ok_autocorr,0.106116,0.098809,0.102516,2.6732,2.862,exp_psd_svd,1.0,0
17,HU12,4.0,0.098809,1.0423,0.6705,2.682,2.3466,1.14,4.4118,0.4499,0.069367,0.104494,1.1023,0.763,two-IM(Sd+PGA),0.5187,0,0,0.109614,0.108064,ok_autocorr,0.109614,0.104494,0.024979,3.2122,2.9382,exp_psd_svd,1.0,0
