         time Record_Dis... 
 6.764422e-02 -8.883950e-04 
 6.804807e-02 -8.991907e-04 
 6.845191e-02 -9.102196e-04 
 6.885576e-02 -9.214887e-04 
 6.925960e-02 -9.330027e-04 
 6.966345e-02 -9.447645e-04 
 7.006730e-02 -9.567732e-04 
 7.047114e-02 -9.689699e-04 
 7.087499e-02 -9.813274e-04 
 7.127883e-02 -9.938443e-04 
 7.168268e-02 -1.006517e-03 
 7.208653e-02 -1.019340e-03 
 7.249037e-02 -1.032307e-03 
 7.289422e-02 -1.045411e-03 
 7.329806e-02 -1.058646e-03 
 7.370191e-02 -1.072000e-03 
 7.410576e-02 -1.085463e-03 
 7.450960e-02 -1.099023e-03 
 7.491345e-02 -1.112666e-03 
 7.531730e-02 -1.126347e-03 
 7.572114e-02 -1.139986e-03 
 7.612499e-02 -1.153571e-03 
 7.652883e-02 -1.167086e-03 
 7.693268e-02 -1.180522e-03 
 7.733653e-02 -1.193869e-03 
 7.774037e-02 -1.207121e-03 
 7.814422e-02 -1.220275e-03 
 7.854806e-02 -1.233325e-03 
 7.895191e-02 -1.246267e-03 
 7.935576e-02 -1.259098e-03 
 7.975960e-02 -1.271816e-03 
 8.016345e-02 -1.284408e-03 
 8.056729e-02 -1.296800e-03 
 8.097114e-02 -1.308978e-03 
 8.137499e-02 -1.320947e-03 
 8.177883e-02 -1.332713e-03 
 8.218268e-02 -1.344287e-03 
 8.258652e-02 -1.355678e-03 
 8.299037e-02 -1.366895e-03 
 8.339422e-02 -1.377949e-03 
 8.379806e-02 -1.388851e-03 
 8.420191e-02 -1.399611e-03 
 8.460576e-02 -1.410238e-03 
 8.500960e-02 -1.420741e-03 
 8.541345e-02 -1.431167e-03 
 8.581729e-02 -1.441554e-03 
 8.622114e-02 -1.451907e-03 
 8.662499e-02 -1.462231e-03 
 8.702883e-02 -1.472529e-03 
 8.743268e-02 -1.482805e-03 
 8.783652e-02 -1.493059e-03 
 8.824037e-02 -1.503295e-03 
 8.864422e-02 -1.513512e-03 
 8.904806e-02 -1.523709e-03 
 8.945191e-02 -1.533883e-03 
 8.985575e-02 -1.544029e-03 
 9.025960e-02 -1.554137e-03 
 9.066345e-02 -1.564184e-03 
 9.106729e-02 -1.574168e-03 
 9.147114e-02 -1.584085e-03 
 9.187498e-02 -1.593934e-03 
 9.227883e-02 -1.603716e-03 
 9.268268e-02 -1.613430e-03 
 9.308652e-02 -1.623076e-03 
 9.349037e-02 -1.632655e-03 
 9.389422e-02 -1.642164e-03 
 9.429806e-02 -1.651605e-03 
 9.470191e-02 -1.660980e-03 
 9.510575e-02 -1.670289e-03 
 9.550960e-02 -1.679499e-03 
 9.591345e-02 -1.688601e-03 
 9.631729e-02 -1.697599e-03 
 9.672114e-02 -1.706499e-03 
 9.712498e-02 -1.715310e-03 
 9.752883e-02 -1.724039e-03 
 9.793268e-02 -1.732692e-03 
 9.833652e-02 -1.741277e-03 
 9.874037e-02 -1.749801e-03 
 9.914421e-02 -1.758273e-03 
 9.954806e-02 -1.766701e-03 
 9.995191e-02 -1.775094e-03 
 1.003558e-01 -1.783439e-03 
 1.007596e-01 -1.791719e-03 
 1.011634e-01 -1.799938e-03 
 1.015673e-01 -1.808102e-03 
 1.019711e-01 -1.816216e-03 
 1.023750e-01 -1.824284e-03 
 1.027788e-01 -1.832307e-03 
 1.031827e-01 -1.840289e-03 
 1.035865e-01 -1.848229e-03 
 1.039904e-01 -1.856127e-03 
 1.043942e-01 -1.863984e-03 
 1.047981e-01 -1.871798e-03 
 1.052019e-01 -1.879562e-03 
 1.056058e-01 -1.887252e-03 
 1.060096e-01 -1.894859e-03 
