run,t_start_s,dur_s,peak_pos_deg,peak_neg_deg,peak_abs_deg,residual_deg
1,130.0,0.0,9.924,-8.151,9.924,0.043
2,610.0,0.0,13.614,-10.719,13.614,0.0655
3,785.0,5.0,24.68,-26.766,26.766,0.051
4,970.0,5.0,17.585,-14.739,17.585,0.071
5,1130.0,0.0,20.389,-20.037,20.389,0.0795
6,1285.0,25.0,24.673,-26.78,26.78,0.061
7,1465.0,0.0,22.055,-22.607,22.607,0.08
8,1595.0,25.0,24.672,-26.788,26.788,0.086
9,1795.0,0.0,23.298,-22.598,23.298,0.143
10,2065.0,0.0,24.323,-22.379,24.323,0.202
11,2220.0,25.0,24.556,-26.913,26.913,0.224
12,2390.0,0.0,24.524,-21.402,24.524,0.262
13,2530.0,5.0,24.5,-19.396,24.5,0.36
14,2675.0,5.0,24.401,-17.298,24.401,0.4655
15,2855.0,5.0,24.293,-15.014,24.293,0.566
16,3030.0,5.0,24.203,-15.112,24.203,0.731
17,3160.0,0.0,24.03,-16.86,24.03,1.016
18,3350.0,0.0,23.756,-17.408,23.756,1.4985
19,3515.0,5.0,23.268,-18.897,23.268,2.061
20,3665.0,5.0,22.701,-21.339,22.701,2.391
21,3820.0,5.0,22.38,-23.725,23.725,2.768
22,4435.0,10.0,21.978,-29.519,29.519,2.533
23,4635.0,10.0,22.223,-29.277,29.277,2.417
24,4985.0,15.0,22.329,-29.177,29.177,6.034
