run,record,scale,T_excite,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,n_cycles_used,ncyc_source,A_record_g,T_id_held,T_jump_flag,T_acorr,T_fft,tid_note,beta_applied,s_applied
1,HU12,0.5,0.0948,1.0,0.5867,0.2933,0.2933,1.0,0.5211,0.0531,0.007841,0.094857,1.0006,0.721,two-IM(Sd+PGA),0.0648,0,0,0.094404,0.094863,ok_autocorr,1.0,0
2,HU12,0.75,0.094857,1.0006,0.5878,0.4409,0.44,1.0,0.7826,0.0798,0.01178,0.09493,1.0014,0.721,two-IM(Sd+PGA),0.0973,0,0,0.094462,0.094944,ok_autocorr,1.0,0
3,EC40,0.2,0.09493,1.0014,1.3853,0.2771,0.2751,1.01,0.7273,0.0742,0.010951,0.094924,1.0013,0.574,two-IM(Sd+PGA),0.0751,0,0,0.094784,0.094934,ok_autocorr,1.0,0
4,HU12,1.0,0.094924,1.0013,0.5893,0.5893,0.5867,1.0,1.045,0.1066,0.015738,0.095074,1.0029,0.722,two-IM(Sd+PGA),0.1297,0,0,0.094607,0.095095,ok_autocorr,1.0,0
5,HU12,1.25,0.095074,1.0029,0.5924,0.7405,0.7333,1.01,1.3272,0.1353,0.020016,0.095291,1.0052,0.724,two-IM(Sd+PGA),0.1621,0,0,0.094864,0.095315,ok_autocorr,1.0,0
6,EC40,0.3,0.095291,1.0052,1.4131,0.4239,0.4126,1.03,1.1095,0.1131,0.016776,0.095283,1.0051,0.581,two-IM(Sd+PGA),0.1126,0,0,0.09513,0.095292,ok_autocorr,1.0,0
7,HU12,1.5,0.095283,1.0051,0.5968,0.8953,0.88,1.02,1.6005,0.1632,0.024199,0.09554,1.0078,0.727,two-IM(Sd+PGA),0.1945,0,0,0.095327,0.095584,ok_autocorr,1.0,0
8,EC40,0.4,0.09554,1.0078,1.4323,0.5729,0.5501,1.04,1.4989,0.1528,0.022731,0.095534,1.0077,0.587,two-IM(Sd+PGA),0.1501,0,0,0.095423,0.095545,ok_autocorr,1.0,0
9,HU12,1.75,0.095534,1.0077,0.6021,1.0537,1.0266,1.03,1.8789,0.1916,0.028491,0.095752,1.01,0.729,two-IM(Sd+PGA),0.2269,0,0,0.096005,0.095877,ok_autocorr,1.0,0
10,HU12,2.0,0.095752,1.01,0.6067,1.2135,1.1733,1.03,2.1517,0.2194,0.032711,0.095958,1.0122,0.732,two-IM(Sd+PGA),0.2594,0,0,0.096941,0.096171,ok_autocorr,1.0,0
11,EC40,0.5,0.095958,1.0122,1.4644,0.7322,0.6877,1.06,1.916,0.1954,0.029197,0.095926,1.0119,0.595,two-IM(Sd+PGA),0.1876,0,0,0.0962,0.095996,ok_autocorr,1.0,0
12,HU12,2.25,0.095926,1.0119,0.6104,1.3734,1.32,1.04,2.4234,0.2471,0.036916,0.096102,1.0137,0.734,two-IM(Sd+PGA),0.2918,0,0,0.09779,0.09642,ok_autocorr,1.0,0
13,HU12,2.5,0.096102,1.0137,0.6141,1.5352,1.4666,1.05,2.6961,0.2749,0.041153,0.096346,1.0163,0.736,two-IM(Sd+PGA),0.3242,0,0,0.098817,0.0968,ok_autocorr,1.0,0
14,HU12,2.75,0.096346,1.0163,0.6192,1.7027,1.6133,1.06,2.9715,0.303,0.045483,0.096594,1.0189,0.739,two-IM(Sd+PGA),0.3566,0,0,0.100136,0.097175,ok_autocorr,1.0,0
15,HU12,3.0,0.096594,1.0189,0.6243,1.873,1.76,1.06,3.249,0.3313,0.049872,0.097018,1.0234,0.741,two-IM(Sd+PGA),0.389,0,0,0.101419,0.097712,ok_autocorr,1.0,0
16,HU12,3.5,0.097018,1.0234,0.6332,2.2161,2.0533,1.08,3.8078,0.3883,0.058728,0.105864,1.1167,0.746,two-IM(Sd+PGA),0.4539,0,0,0.105864,0.099161,ok_autocorr,1.0,0
17,HU12,4.0,0.105864,1.1167,0.832,3.328,2.3466,1.42,5.1529,0.5255,0.086765,0.114741,1.2104,0.834,two-IM(Sd+PGA),0.5187,0,0,0.114741,0.101896,ok_autocorr,1.0,0
18,HU12,4.5,0.114741,1.2104,1.0317,4.6427,2.6399,1.76,6.1238,0.6245,0.111644,0.100581,1.061,0.887,two-IM(Sd+PGA),0.5836,0,0,0.139893,0.106373,HOLD_disagree_32pct,1.0,0
19,HU12,5.0,0.100581,1.061,0.709,3.5449,2.9333,1.21,5.6518,0.5763,0.090469,0.100581,1.061,0.781,two-IM(Sd+PGA),0.6484,1,0,0.136231,0.105106,HOLD_disagree_30pct,1.0,0
