         time Mid_Disp()... 
 4.239839e-02  5.749362e-04 
 4.271646e-02  5.894608e-04 
 4.303453e-02  6.039878e-04 
 4.335259e-02  6.185152e-04 
 4.367066e-02  6.330499e-04 
 4.398873e-02  6.476134e-04 
 4.430680e-02  6.622355e-04 
 4.462486e-02  6.768966e-04 
 4.494293e-02  6.915602e-04 
 4.526100e-02  7.061947e-04 
 4.557907e-02  7.208110e-04 
 4.589713e-02  7.354313e-04 
 4.621520e-02  7.500890e-04 
 4.653327e-02  7.647806e-04 
 4.685134e-02  7.794704e-04 
 4.716940e-02  7.941569e-04 
 4.748747e-02  8.088572e-04 
 4.780554e-02  8.235934e-04 
 4.812361e-02  8.383444e-04 
 4.844167e-02  8.530798e-04 
 4.875974e-02  8.677804e-04 
 4.907781e-02  8.824589e-04 
 4.939588e-02  8.971290e-04 
 4.971394e-02  9.117817e-04 
 5.003201e-02  9.263946e-04 
 5.035008e-02  9.409463e-04 
 5.066815e-02  9.554365e-04 
 5.098621e-02  9.698764e-04 
 5.130428e-02  9.842520e-04 
 5.162235e-02  9.985508e-04 
 5.194042e-02  1.012765e-03 
 5.225848e-02  1.026896e-03 
 5.257655e-02  1.040944e-03 
 5.289462e-02  1.054877e-03 
 5.321268e-02  1.068665e-03 
 5.353075e-02  1.082308e-03 
 5.384882e-02  1.095810e-03 
 5.416689e-02  1.109191e-03 
 5.448495e-02  1.122436e-03 
 5.480302e-02  1.135495e-03 
 5.512109e-02  1.148336e-03 
 5.543916e-02  1.160963e-03 
 5.575722e-02  1.173406e-03 
 5.607529e-02  1.185670e-03 
 5.639336e-02  1.197741e-03 
 5.671143e-02  1.209577e-03 
 5.702949e-02  1.221146e-03 
 5.734756e-02  1.232455e-03 
 5.766563e-02  1.243512e-03 
 5.798370e-02  1.254299e-03 
 5.830176e-02  1.264793e-03 
 5.861983e-02  1.274979e-03 
 5.893790e-02  1.284856e-03 
 5.925597e-02  1.294444e-03 
 5.957403e-02  1.303747e-03 
 5.989210e-02  1.312763e-03 
 6.021017e-02  1.321465e-03 
 6.052824e-02  1.329822e-03 
 6.084630e-02  1.337807e-03 
 6.116437e-02  1.345355e-03 
 6.148244e-02  1.352456e-03 
 6.180051e-02  1.359133e-03 
 6.211857e-02  1.365397e-03 
 6.243664e-02  1.371238e-03 
 6.275471e-02  1.376615e-03 
 6.307278e-02  1.381498e-03 
 6.339084e-02  1.385888e-03 
 6.370891e-02  1.389813e-03 
 6.402698e-02  1.393295e-03 
 6.434505e-02  1.396331e-03 
 6.466311e-02  1.398887e-03 
 6.498118e-02  1.400940e-03 
 6.529925e-02  1.402528e-03 
 6.561732e-02  1.403671e-03 
 6.593538e-02  1.404391e-03 
 6.625345e-02  1.404666e-03 
 6.657152e-02  1.404488e-03 
 6.688959e-02  1.403856e-03 
 6.720765e-02  1.402780e-03 
 6.752572e-02  1.401284e-03 
 6.784379e-02  1.399392e-03 
 6.816186e-02  1.397119e-03 
 6.847992e-02  1.394478e-03 
 6.879799e-02  1.391474e-03 
 6.911606e-02  1.388121e-03 
 6.943413e-02  1.384426e-03 
 6.975219e-02  1.380376e-03 
 7.007026e-02  1.375965e-03 
 7.038833e-02  1.371188e-03 
 7.070639e-02  1.366054e-03 
 7.102446e-02  1.360561e-03 
 7.134253e-02  1.354712e-03 
 7.166060e-02  1.348547e-03 
 7.197866e-02  1.342100e-03 
 7.229673e-02  1.335350e-03 
 7.261480e-02  1.328284e-03 
 7.293287e-02  1.320909e-03 
 7.325093e-02  1.313264e-03 
 7.356900e-02  1.305409e-03 
 7.388707e-02  1.297356e-03 
 7.420514e-02  1.289061e-03 
 7.452320e-02  1.280483e-03 
 7.484127e-02  1.271624e-03 
 7.515934e-02  1.262534e-03 
 7.547741e-02  1.253228e-03 
 7.579547e-02  1.243688e-03 
 7.611354e-02  1.233889e-03 
 7.643161e-02  1.223824e-03 
 7.674968e-02  1.213514e-03 
 7.706774e-02  1.202998e-03 
 7.738581e-02  1.192318e-03 
