Velocity, Vel [m/s]
2561,0
0.00000000,-0.0193185127436713
0.00390630,-0.0191799367947638
0.00781250,-0.0190676677625377
0.01171900,-0.0189817523029275
0.01562500,-0.0189167893736958
0.01953100,-0.0188627371848964
0.02343800,-0.0188112490772153
0.02734400,-0.0187607318212255
0.03125000,-0.0187144502186559
0.03515600,-0.0186741364535572
0.03906300,-0.0186371281904863
0.04296900,-0.0185995726651033
0.04687500,-0.0185609315008709
0.05078100,-0.0185233771539039
0.05468800,-0.0184873348010348
0.05859400,-0.0184495432038255
0.06250000,-0.0184069448287383
0.06640600,-0.0183608097461362
0.07031300,-0.0183153160507849
0.07421900,-0.0182719668130600
0.07812500,-0.0182274327009318
0.08203100,-0.0181775221484374
0.08593800,-0.0181223446672731
0.08984400,-0.0180657144544780
0.09375000,-0.0180096933166396
0.09765600,-0.0179513934528307
0.10156000,-0.0178864307780721
0.10547000,-0.0178146226733826
0.10938000,-0.0177401426043706
0.11328000,-0.0176663384652646
0.11719000,-0.0175919133776446
0.12109000,-0.0175125769015184
0.12500000,-0.0174276473597401
0.12891000,-0.0173409476743923
0.13281000,-0.0172565676585957
0.13672000,-0.0171743181182491
0.14063000,-0.0170904688126360
0.14453000,-0.0170035231254383
0.14844000,-0.0169168544806730
0.15234000,-0.0168344306021667
0.15625000,-0.0167566954068506
0.16016000,-0.0166803568892298
0.16406000,-0.0166036961480185
0.16797000,-0.0165298229511250
0.17188000,-0.0164628842717796
0.17578000,-0.0164032846887434
0.17969000,-0.0163480569922629
0.18359000,-0.0162948634727661
0.18750000,-0.0162467074864744
0.19141000,-0.0162077919547223
0.19531000,-0.0161782506739501
0.19922000,-0.0161538538339468
0.20313000,-0.0161295485840176
0.20703000,-0.0161046697081112
0.21094000,-0.0160821951465455
0.21484000,-0.0160617630852371
0.21875000,-0.0160397633826636
0.22266000,-0.0160118390766710
0.22656000,-0.0159785222811490
0.23047000,-0.0159449089887898
0.23438000,-0.0159137694501928
0.23828000,-0.0158830477212750
0.24219000,-0.0158494933065147
0.24609000,-0.0158117999833484
0.25000000,-0.0157723251381785
0.25391000,-0.0157310952926308
0.25781000,-0.0156840215506416
0.26172000,-0.0156270393380288
0.26563000,-0.0155603551209596
0.26953000,-0.0154892864009851
0.27344000,-0.0154193203276189
0.27734000,-0.0153511079892710
0.28125000,-0.0152833174652235
0.28516000,-0.0152164651766071
0.28906000,-0.0151540811120473
0.29297000,-0.0150986461159355
